Date,Adj Close_GREENPOWER.NS,Close_GREENPOWER.NS,High_GREENPOWER.NS,Low_GREENPOWER.NS,Open_GREENPOWER.NS,Volume_GREENPOWER.NS,Date
2020-11-23,1.979665994644165,1.979665994644165,2.0717430114746094,1.8415499925613403,1.9336270093917847,9244213,2020-11-23
2020-11-30,1.979665994644165,1.979665994644165,2.0717430114746094,1.9336270093917847,1.979665994644165,8794587,2020-11-30
2020-12-07,2.20986008644104,2.20986008644104,2.4400529861450195,1.979665994644165,2.025705099105835,24188475,2020-12-07
2020-12-14,2.20986008644104,2.20986008644104,2.394015073776245,2.20986008644104,2.2558979988098145,19633906,2020-12-14
2020-12-21,2.2558979988098145,2.2558979988098145,2.347975969314575,1.8875880241394043,2.2558979988098145,15729813,2020-12-21
2020-12-28,2.2558979988098145,2.2558979988098145,2.347975969314575,2.16382098197937,2.347975969314575,11907882,2020-12-28
2021-01-04,3.1766738891601562,3.1766738891601562,3.1766738891601562,2.2558979988098145,2.3019371032714844,46863464,2021-01-04
2021-01-11,2.7162859439849854,2.7162859439849854,3.3147900104522705,2.6242079734802246,3.3147900104522705,43884838,2021-01-11
2021-01-18,2.4400529861450195,2.4400529861450195,2.7623250484466553,2.4400529861450195,2.7162859439849854,7884610,2021-01-18
2021-01-25,2.4400529861450195,2.4400529861450195,2.4400529861450195,2.16382098197937,2.4400529861450195,4499853,2021-01-25
2021-02-01,2.394015073776245,2.394015073776245,2.6242079734802246,2.394015073776245,2.5321309566497803,6387362,2021-02-01
2021-02-08,2.2558979988098145,2.2558979988098145,2.4400529861450195,2.16382098197937,2.4400529861450195,5090041,2021-02-08
2021-02-15,1.979665994644165,1.979665994644165,2.2558979988098145,1.8875880241394043,2.20986008644104,9703508,2021-02-15
2021-02-22,1.9336270093917847,1.9336270093917847,2.0717430114746094,1.8875880241394043,2.0717430114746094,8102054,2021-02-22
2021-03-01,2.025705099105835,2.025705099105835,2.1177821159362793,1.8875880241394043,1.979665994644165,11060054,2021-03-01
2021-03-08,2.025705099105835,2.025705099105835,2.0717430114746094,1.9336270093917847,2.025705099105835,7482615,2021-03-08
2021-03-15,1.8415499925613403,1.8415499925613403,2.025705099105835,1.7494720220565796,2.025705099105835,8852437,2021-03-15
2021-03-22,1.9336270093917847,1.9336270093917847,1.979665994644165,1.79551100730896,1.8875880241394043,6370838,2021-03-22
2021-03-29,1.9336270093917847,1.9336270093917847,1.979665994644165,1.8415499925613403,1.9336270093917847,8754806,2021-03-29
2021-04-05,1.79551100730896,1.79551100730896,1.979665994644165,1.79551100730896,1.9336270093917847,5462104,2021-04-05
2021-04-12,1.7034330368041992,1.7034330368041992,1.8415499925613403,1.6573950052261353,1.8415499925613403,7873553,2021-04-12
2021-04-19,1.79551100730896,1.79551100730896,1.79551100730896,1.6573950052261353,1.7034330368041992,3526386,2021-04-19
2021-04-26,1.8415499925613403,1.8415499925613403,1.979665994644165,1.79551100730896,1.8415499925613403,5191906,2021-04-26
2021-05-03,1.8415499925613403,1.8415499925613403,1.8415499925613403,1.7494720220565796,1.8415499925613403,7542208,2021-05-03
2021-05-10,2.1177821159362793,2.1177821159362793,2.1177821159362793,1.8875880241394043,1.9336270093917847,17894094,2021-05-10
2021-05-17,2.1177821159362793,2.1177821159362793,2.394015073776245,2.025705099105835,2.16382098197937,17095375,2021-05-17
2021-05-24,2.3019371032714844,2.3019371032714844,2.394015073776245,2.0717430114746094,2.1177821159362793,20483525,2021-05-24
2021-05-31,2.20986008644104,2.20986008644104,2.2558979988098145,2.025705099105835,2.2558979988098145,20736743,2021-05-31
2021-06-07,2.8544020652770996,2.8544020652770996,3.1306350231170654,2.20986008644104,2.20986008644104,46369301,2021-06-07
2021-06-14,2.6242079734802246,2.6242079734802246,2.7623250484466553,2.6242079734802246,2.7623250484466553,35703651,2021-06-14
2021-06-21,2.6702470779418945,2.6702470779418945,2.7623250484466553,2.5321309566497803,2.5321309566497803,22257507,2021-06-21
2021-06-28,2.7162859439849854,2.7162859439849854,2.7623250484466553,2.6702470779418945,2.7162859439849854,18376635,2021-06-28
2021-07-05,2.7623250484466553,2.7623250484466553,2.8083629608154297,2.4400529861450195,2.7623250484466553,78844966,2021-07-05
2021-07-12,3.2687509059906006,3.2687509059906006,3.4529058933258057,2.6702470779418945,2.7623250484466553,151866190,2021-07-12
2021-07-19,2.8544020652770996,2.8544020652770996,3.2687509059906006,2.7162859439849854,3.1306350231170654,70068171,2021-07-19
2021-07-26,3.1306350231170654,3.1306350231170654,3.2687509059906006,2.8544020652770996,2.9004409313201904,32601296,2021-07-26
2021-08-02,3.0845959186553955,3.0845959186553955,3.406867027282715,2.9464800357818604,3.1306350231170654,26995662,2021-08-02
2021-08-09,3.0845959186553955,3.0845959186553955,3.2227120399475098,2.8083629608154297,3.1306350231170654,20954486,2021-08-09
2021-08-16,2.7623250484466553,2.7623250484466553,3.1766738891601562,2.7162859439849854,3.1306350231170654,13603589,2021-08-16
