Date,Adj Close_GODREJAGRO.NS,Close_GODREJAGRO.NS,High_GODREJAGRO.NS,Low_GODREJAGRO.NS,Open_GODREJAGRO.NS,Volume_GODREJAGRO.NS,Date
2021-04-05,484.6513366699219,515.2999877929688,522.9500122070312,500.1000061035156,522.5499877929688,650961,2021-04-05
2021-04-12,467.110595703125,496.6499938964844,512.0,492.3500061035156,508.0,405421,2021-04-12
2021-04-19,471.5780334472656,501.3999938964844,504.0,480.0,492.20001220703125,302617,2021-04-19
2021-04-26,469.6500244140625,499.3500061035156,515.0,487.5,504.3999938964844,494986,2021-04-26
2021-05-03,484.5102844238281,515.1500244140625,524.0,494.25,498.0,598196,2021-05-03
2021-05-10,497.3484191894531,528.7999877929688,596.2000122070312,492.6000061035156,495.0,5715085,2021-05-10
2021-05-17,516.8641967773438,549.5499877929688,564.0,538.0,557.0,2355681,2021-05-17
2021-05-24,520.2030639648438,553.0999755859375,567.0,542.0999755859375,552.7000122070312,1304040,2021-05-24
2021-05-31,529.7023315429688,563.2000122070312,574.9500122070312,549.0,557.7999877929688,994450,2021-05-31
2021-06-07,522.4603271484375,555.5,565.0,551.0,564.9500122070312,596213,2021-06-07
2021-06-14,521.9901123046875,555.0,570.0,543.7999877929688,557.8499755859375,1299614,2021-06-14
2021-06-21,578.6566162109375,615.25,661.1500244140625,546.25,552.0,11635254,2021-06-21
2021-06-28,598.8778076171875,636.75,649.0,602.3499755859375,618.9000244140625,3730010,2021-06-28
2021-07-05,615.1488037109375,654.0499877929688,674.4000244140625,631.2999877929688,642.7999877929688,2955626,2021-07-05
2021-07-12,618.440673828125,657.5499877929688,672.0,645.9500122070312,656.9000244140625,1167955,2021-07-12
2021-07-19,610.8695068359375,649.5,659.0,628.0499877929688,653.0,859905,2021-07-19
2021-07-26,655.7323608398438,697.2000122070312,700.0,644.0,649.6500244140625,2279722,2021-07-26
2021-08-02,653.2400512695312,694.5499877929688,746.7999877929688,683.0999755859375,703.0,2915185,2021-08-02
2021-08-09,622.7822265625,654.75,714.0,626.9000244140625,694.5499877929688,1478557,2021-08-09
2021-08-16,608.3719482421875,639.5999755859375,663.8499755859375,597.0,652.0,787550,2021-08-16
2021-08-23,591.3458862304688,621.7000122070312,648.4000244140625,603.0,642.0,769248,2021-08-23
2021-08-30,604.7098999023438,635.75,646.0,621.25,626.0499877929688,434005,2021-08-30
2021-09-06,628.8222045898438,661.0999755859375,686.0,633.0,635.75,1285911,2021-09-06
2021-09-13,637.810791015625,670.5499877929688,677.0,640.0999755859375,667.5,717674,2021-09-13
2021-09-20,614.2691650390625,645.7999877929688,688.9500122070312,629.5999755859375,670.5499877929688,695190,2021-09-20
2021-09-27,600.382080078125,631.2000122070312,654.0,620.0,650.0,597263,2021-09-27
2021-10-04,595.3884887695312,625.9500122070312,640.0,624.4000244140625,634.4000244140625,404013,2021-10-04
2021-10-11,606.0891723632812,637.2000122070312,662.8499755859375,621.0999755859375,626.0,565253,2021-10-11
2021-10-18,588.5399169921875,618.75,648.7999877929688,610.25,639.9000244140625,396086,2021-10-18
2021-10-25,564.6177978515625,593.5999755859375,622.9500122070312,584.0,620.1500244140625,360508,2021-10-25
2021-11-01,568.2323608398438,597.4000244140625,637.0,578.0999755859375,584.0,210436,2021-11-01
2021-11-08,577.3161010742188,606.9500122070312,636.25,591.25,600.0,875148,2021-11-08
2021-11-15,553.584228515625,582.0,612.8499755859375,580.3499755859375,606.9500122070312,256088,2021-11-15
2021-11-22,533.7998046875,561.2000122070312,588.75,559.0,580.0,324778,2021-11-22
2021-11-29,499.0818786621094,524.7000122070312,565.4500122070312,511.0,565.0,678177,2021-11-29
2021-12-06,514.871337890625,541.2999877929688,547.9000244140625,524.0,528.0,593270,2021-12-06
2021-12-13,504.4559631347656,530.3499755859375,545.7999877929688,525.0,545.7999877929688,380524,2021-12-13
2021-12-20,508.02288818359375,534.0999755859375,555.0,516.3499755859375,530.0,868455,2021-12-20
2021-12-27,492.47119140625,517.75,535.7000122070312,512.25,527.2999877929688,708275,2021-12-27
2022-01-03,497.0368347167969,522.5499877929688,537.9500122070312,518.25,519.8499755859375,513355,2022-01-03
2022-01-10,523.4794921875,550.3499755859375,553.2999877929688,522.5999755859375,527.5,505639,2022-01-10
2022-01-17,495.2296142578125,520.6500244140625,561.3499755859375,517.0,555.0,623433,2022-01-17
2022-01-24,509.2594909667969,535.4000244140625,538.0999755859375,493.29998779296875,527.4500122070312,491236,2022-01-24
2022-01-31,495.03936767578125,520.4500122070312,545.0,517.0,538.0,909190,2022-01-31
2022-02-07,476.30120849609375,500.75,517.5,498.5,517.0,337445,2022-02-07
2022-02-14,464.26885986328125,488.1000061035156,505.3999938964844,482.0,500.0,393182,2022-02-14
2022-02-21,447.6708068847656,470.6499938964844,488.70001220703125,460.0,483.3500061035156,314431,2022-02-21
2022-02-28,459.9885559082031,483.6000061035156,505.0,457.54998779296875,467.8999938964844,386948,2022-02-28
2022-03-07,458.89471435546875,482.45001220703125,500.0,466.25,479.6000061035156,867557,2022-03-07
2022-03-14,453.7107849121094,477.0,488.0,472.6000061035156,483.0,374730,2022-03-14
2022-03-21,437.25543212890625,459.70001220703125,484.8500061035156,458.0,484.8500061035156,627020,2022-03-21
2022-03-28,436.589599609375,459.0,461.8999938964844,441.0,459.04998779296875,1205690,2022-03-28
2022-04-04,485.95562744140625,510.8999938964844,552.9000244140625,462.0,464.5,6090468,2022-04-04
2022-04-11,480.2961730957031,504.95001220703125,514.7999877929688,493.25,512.9000244140625,1261666,2022-04-11
2022-04-18,470.7368469238281,494.8999938964844,521.0,484.1000061035156,504.8500061035156,897741,2022-04-18
2022-04-25,518.7235717773438,545.3499755859375,593.0,496.6000061035156,526.9500122070312,15775139,2022-04-25
2022-05-02,500.36590576171875,526.0499877929688,588.5999755859375,513.1500244140625,541.0,4649679,2022-05-02
2022-05-09,476.9194641113281,501.3999938964844,564.0,488.1000061035156,522.0,3917118,2022-05-09
2022-05-16,476.5865478515625,501.04998779296875,518.1500244140625,490.25,505.0,982925,2022-05-16
2022-05-23,500.0805969238281,525.75,530.0,498.0,506.5,932343,2022-05-23
2022-05-30,499.2244873046875,524.8499755859375,544.4000244140625,517.7000122070312,526.0,627633,2022-05-30
2022-06-06,499.8903503417969,525.5499877929688,528.9000244140625,512.3499755859375,528.2000122070312,311645,2022-06-06
2022-06-13,478.0608825683594,502.6000061035156,524.9000244140625,497.1499938964844,518.0,694620,2022-06-13
2022-06-20,473.2574157714844,497.54998779296875,508.8500061035156,490.8999938964844,502.6000061035156,371110,2022-06-20
2022-06-27,479.0596008300781,503.6499938964844,510.3999938964844,498.75,500.6000061035156,180857,2022-06-27
2022-07-04,489.2847595214844,514.4000244140625,517.5499877929688,502.04998779296875,506.6499938964844,227374,2022-07-04
2022-07-11,475.58782958984375,500.0,526.5,496.8999938964844,512.0,284083,2022-07-11
2022-07-18,478.2510986328125,502.79998779296875,520.4500122070312,501.04998779296875,503.8500061035156,392065,2022-07-18
2022-07-25,493.43408203125,509.1499938964844,511.45001220703125,495.04998779296875,502.5,290573,2022-07-25
2022-08-01,474.8267517089844,489.95001220703125,519.75,488.1000061035156,509.0,1000845,2022-08-01
2022-08-08,488.44305419921875,504.0,504.8999938964844,492.04998779296875,492.5,642943,2022-08-08
2022-08-15,496.0992126464844,511.8999938964844,513.75,502.54998779296875,504.0,514367,2022-08-15
2022-08-22,503.7068786621094,519.75,540.0,508.0,515.0,2632857,2022-08-22
2022-08-29,505.3544616699219,521.4500122070312,527.2999877929688,508.0,509.95001220703125,392101,2022-08-29
2022-09-05,506.275146484375,522.4000244140625,532.0,517.6500244140625,520.0,363965,2022-09-05
2022-09-12,503.3192443847656,519.3499755859375,557.7000122070312,517.0,525.0499877929688,1355281,2022-09-12
2022-09-19,503.46466064453125,519.5,527.9500122070312,512.25,518.0,362764,2022-09-19
2022-09-26,497.84368896484375,513.7000122070312,518.5999755859375,498.79998779296875,515.0,525566,2022-09-26
2022-10-03,503.9491882324219,520.0,532.5999755859375,510.6499938964844,514.0,536273,2022-10-03
2022-10-10,496.4868469238281,512.2999877929688,528.0,502.70001220703125,515.0,378384,2022-10-10
2022-10-17,492.5618896484375,508.25,519.0,502.1499938964844,512.0,231107,2022-10-17
2022-10-24,489.9936828613281,505.6000061035156,517.7999877929688,503.6000061035156,517.7999877929688,152828,2022-10-24
2022-10-31,484.9057312011719,500.3500061035156,509.8999938964844,498.79998779296875,507.5,325389,2022-10-31
2022-11-07,456.75238037109375,471.29998779296875,498.75,468.1000061035156,496.0,489006,2022-11-07
2022-11-14,452.2944030761719,466.70001220703125,475.54998779296875,462.04998779296875,471.29998779296875,671384,2022-11-14
2022-11-21,454.3780517578125,468.8500061035156,472.45001220703125,453.8999938964844,466.0,533103,2022-11-21
2022-11-28,469.7388000488281,484.70001220703125,487.3999938964844,466.95001220703125,468.75,456486,2022-11-28
2022-12-05,468.7696838378906,483.70001220703125,498.0,480.20001220703125,484.70001220703125,300809,2022-12-05
2022-12-12,465.765380859375,480.6000061035156,493.3500061035156,478.1499938964844,490.0,239611,2022-12-12
2022-12-19,442.0215759277344,456.1000061035156,484.8500061035156,452.0,480.6000061035156,217775,2022-12-19
2022-12-26,455.2018127441406,469.70001220703125,480.0,454.0,456.1000061035156,197596,2022-12-26
2023-01-02,452.197509765625,466.6000061035156,479.0,465.0,477.0,193288,2023-01-02
2023-01-09,447.4971923828125,461.75,472.70001220703125,458.1499938964844,470.0,224482,2023-01-09
2023-01-16,441.24627685546875,455.29998779296875,463.95001220703125,453.54998779296875,462.8999938964844,183787,2023-01-16
2023-01-23,439.4049072265625,453.3999938964844,462.04998779296875,447.6000061035156,457.70001220703125,163154,2023-01-23
2023-01-30,433.49322509765625,447.29998779296875,458.3500061035156,443.54998779296875,455.79998779296875,293514,2023-01-30
2023-02-06,443.8629455566406,458.0,466.0,446.95001220703125,447.29998779296875,577268,2023-02-06
2023-02-13,434.995361328125,448.8500061035156,460.20001220703125,443.04998779296875,460.20001220703125,225253,2023-02-13
2023-02-20,426.2731628417969,439.8500061035156,454.1499938964844,436.70001220703125,451.0,199989,2023-02-20
2023-02-27,426.2247314453125,439.79998779296875,445.0,432.1000061035156,439.79998779296875,204142,2023-02-27
2023-03-06,423.8988037109375,437.3999938964844,449.95001220703125,435.29998779296875,441.5,231926,2023-03-06
2023-03-13,403.3047180175781,416.1499938964844,439.1499938964844,407.0,437.70001220703125,465434,2023-03-13
2023-03-20,393.3226623535156,405.8500061035156,424.70001220703125,405.0,418.20001220703125,289946,2023-03-20
2023-03-27,399.96124267578125,412.70001220703125,419.25,390.8500061035156,407.8999938964844,386901,2023-03-27
2023-04-03,413.7713623046875,426.95001220703125,433.29998779296875,413.0,413.0,137190,2023-04-03
2023-04-10,422.8327331542969,436.29998779296875,439.0,427.0,429.0,195407,2023-04-10
2023-04-17,412.5115051269531,425.6499938964844,437.70001220703125,424.0,437.0,152127,2023-04-17
2023-04-24,424.4318542480469,437.95001220703125,440.45001220703125,425.0,425.6499938964844,174672,2023-04-24
2023-05-01,427.96917724609375,441.6000061035156,452.6499938964844,436.20001220703125,437.95001220703125,285977,2023-05-01
2023-05-08,411.05780029296875,424.1499938964844,447.8999938964844,417.1499938964844,444.8999938964844,715768,2023-05-08
2023-05-15,408.7318420410156,421.75,430.0,419.25,424.1499938964844,251641,2023-05-15
2023-05-22,413.4321594238281,426.6000061035156,429.0,422.04998779296875,424.0,152721,2023-05-22
2023-05-29,421.427490234375,434.8500061035156,441.5,425.0,428.0,273840,2023-05-29
2023-06-05,424.3349304199219,437.8500061035156,446.0,433.0,435.0,287241,2023-06-05
2023-06-12,442.40924072265625,456.5,462.29998779296875,435.1000061035156,435.1000061035156,628189,2023-06-12
2023-06-19,436.206787109375,450.1000061035156,462.0,445.8500061035156,458.79998779296875,259018,2023-06-19
2023-06-26,439.6956787109375,453.70001220703125,460.0,442.95001220703125,447.04998779296875,157191,2023-06-26
2023-07-03,447.6910095214844,461.95001220703125,485.0,454.95001220703125,455.0,1210029,2023-07-03
2023-07-10,444.73516845703125,458.8999938964844,471.6000061035156,456.25,460.29998779296875,293370,2023-07-10
2023-07-17,471.3378601074219,486.3500061035156,530.0,459.04998779296875,459.95001220703125,3733441,2023-07-17
2023-07-24,471.0470886230469,486.04998779296875,499.8999938964844,473.20001220703125,487.8500061035156,686621,2023-07-24
2023-07-31,476.9056091308594,482.6000061035156,520.0,469.20001220703125,489.0,3406039,2023-07-31
2023-08-07,468.2094421386719,473.79998779296875,494.04998779296875,469.6499938964844,485.0,931455,2023-08-07
2023-08-14,466.4306945800781,472.0,481.25,466.04998779296875,474.79998779296875,383939,2023-08-14
2023-08-21,479.27728271484375,485.0,495.04998779296875,469.1000061035156,472.0,650129,2023-08-21
2023-08-28,474.9786071777344,480.6499938964844,490.0,472.1000061035156,485.8500061035156,642866,2023-08-28
2023-09-04,490.1968994140625,496.04998779296875,499.0,481.95001220703125,482.0,816914,2023-09-04
2023-09-11,486.6888122558594,492.5,509.29998779296875,471.79998779296875,504.0,1256390,2023-09-11
2023-09-18,474.2868957519531,479.95001220703125,499.75,476.0,494.5,358802,2023-09-18
2023-09-25,474.5833435058594,480.25,485.1499938964844,472.6499938964844,482.3500061035156,374048,2023-09-25
2023-10-02,508.9233093261719,515.0,522.0,477.29998779296875,480.25,1696910,2023-10-02
2023-10-09,484.2182922363281,490.0,510.0,479.0,499.75,1496279,2023-10-09
2023-10-16,474.43511962890625,480.1000061035156,496.0,475.0,491.20001220703125,909982,2023-10-16
2023-10-23,458.92034912109375,464.3999938964844,482.54998779296875,446.3500061035156,480.1000061035156,428198,2023-10-23
2023-10-30,466.77655029296875,472.3500061035156,475.95001220703125,459.8500061035156,464.0,331524,2023-10-30
2023-11-06,469.93878173828125,475.54998779296875,494.0,469.5,484.0,798106,2023-11-06
2023-11-13,475.2256774902344,480.8999938964844,483.1000061035156,475.25,480.0,344366,2023-11-13
2023-11-20,490.6910095214844,496.54998779296875,510.0,480.3500061035156,483.0,1266440,2023-11-20
2023-11-27,497.2625427246094,503.20001220703125,511.5,493.6499938964844,496.54998779296875,952077,2023-11-27
2023-12-04,513.9136962890625,520.0499877929688,530.4500122070312,501.70001220703125,510.0,1436990,2023-12-04
2023-12-11,552.5523681640625,559.1500244140625,566.8499755859375,519.25,523.9000244140625,2498618,2023-12-11
2023-12-18,541.2374877929688,547.7000122070312,570.9000244140625,528.25,558.9500122070312,1228534,2023-12-18
2023-12-25,550.8724365234375,557.4500122070312,572.3499755859375,541.2000122070312,547.7000122070312,916659,2023-12-25
2024-01-01,557.9874877929688,564.6500244140625,575.6500244140625,553.25,557.0,1198569,2024-01-01
2024-01-08,555.4181518554688,562.0499877929688,577.0999755859375,537.0999755859375,565.0,1215028,2024-01-08
2024-01-15,535.7529907226562,542.1500244140625,569.6500244140625,533.4500122070312,565.0,723225,2024-01-15
2024-01-22,527.9955444335938,534.2999877929688,545.0,522.4500122070312,542.1500244140625,297451,2024-01-22
2024-01-29,535.0612182617188,541.4500122070312,579.0,528.0499877929688,534.2999877929688,1881799,2024-01-29
2024-02-05,517.2736206054688,523.4500122070312,546.4000244140625,516.0499877929688,546.4000244140625,603491,2024-02-05
2024-02-12,510.7020568847656,516.7999877929688,526.5999755859375,504.0,523.4500122070312,741456,2024-02-12
2024-02-19,515.9395141601562,522.0999755859375,527.9000244140625,510.04998779296875,516.7999877929688,570720,2024-02-19
2024-02-26,520.6334838867188,526.8499755859375,531.0,505.0,525.0,738202,2024-02-26
2024-03-04,509.3680114746094,515.4500122070312,532.4500122070312,509.54998779296875,530.7999877929688,272955,2024-03-04
2024-03-11,504.674072265625,510.70001220703125,522.75,489.0,518.9000244140625,951842,2024-03-11
2024-03-18,489.6534118652344,495.5,510.0,494.95001220703125,507.0,1106494,2024-03-18
2024-03-25,481.2536926269531,487.0,500.0,482.0,495.5,1147114,2024-03-25
2024-04-01,533.3318481445312,539.7000122070312,549.9500122070312,489.45001220703125,489.45001220703125,1204332,2024-04-01
2024-04-08,527.9955444335938,534.2999877929688,549.0,522.5,539.7000122070312,307971,2024-04-08
2024-04-15,540.0022583007812,546.4500122070312,554.8499755859375,506.1499938964844,506.1499938964844,754465,2024-04-15
2024-04-22,537.8281860351562,544.25,557.4000244140625,540.0499877929688,557.4000244140625,437419,2024-04-22
2024-04-29,547.8089599609375,554.3499755859375,576.9000244140625,533.0999755859375,544.0999755859375,946383,2024-04-29
2024-05-06,553.7876586914062,560.4000244140625,594.0,546.2999877929688,559.9000244140625,2867066,2024-05-06
2024-05-13,549.39013671875,555.9500122070312,564.4500122070312,546.25,550.5499877929688,517350,2024-05-13
2024-05-20,541.533935546875,548.0,562.0,546.2000122070312,555.4000244140625,431361,2024-05-20
2024-05-27,512.9749145507812,519.0999755859375,550.75,516.0499877929688,550.75,369982,2024-05-27
2024-06-03,554.3311157226562,560.9500122070312,569.0,476.04998779296875,530.0,856239,2024-06-03
2024-06-10,580.0243530273438,586.9500122070312,600.9500122070312,568.0,573.0,1473958,2024-06-10
2024-06-17,609.17626953125,616.4500122070312,635.5,586.9500122070312,586.9500122070312,4365775,2024-06-17
2024-06-24,667.3318481445312,675.2999877929688,694.0,614.0,621.0,4799040,2024-06-24
2024-07-01,780.0855712890625,789.4000244140625,841.9500122070312,675.0,677.5,8130678,2024-07-01
2024-07-08,819.0206298828125,828.7999877929688,836.9500122070312,780.0999755859375,790.5499877929688,2300525,2024-07-08
2024-07-15,797.7743530273438,807.2999877929688,876.7000122070312,795.5,845.3499755859375,3371696,2024-07-15
2024-07-22,822.6276245117188,832.4500122070312,874.0,789.0,805.2000122070312,2473388,2024-07-22
2024-07-29,826.2000122070312,826.2000122070312,870.0,810.0,836.6500244140625,1762994,2024-07-29
2024-08-05,831.4000244140625,831.4000244140625,837.7000122070312,777.25,777.9000244140625,1804731,2024-08-05
2024-08-12,795.9500122070312,795.9500122070312,848.4000244140625,790.0,831.4000244140625,1409633,2024-08-12
2024-08-19,797.0999755859375,797.0999755859375,842.0,795.0,807.0,962149,2024-08-19
2024-08-26,783.7000122070312,783.7000122070312,806.0,780.5499877929688,800.0,841873,2024-08-26
2024-09-02,779.5999755859375,779.5999755859375,845.0,773.0,798.4500122070312,2451999,2024-09-02
2024-09-09,795.4500122070312,795.4500122070312,835.0,760.0,773.5,5075973,2024-09-09
2024-09-16,782.2999877929688,782.2999877929688,853.75,772.7000122070312,800.0499877929688,3459685,2024-09-16
2024-09-23,774.25,774.25,797.0999755859375,760.0,785.9000244140625,1725320,2024-09-23
2024-09-30,739.9000244140625,739.9000244140625,774.0,725.0,774.0,1266252,2024-09-30
2024-10-07,749.9500122070312,749.9500122070312,766.7999877929688,703.0,739.9000244140625,1061064,2024-10-07
2024-10-14,774.4000244140625,774.4000244140625,799.9500122070312,753.0999755859375,753.0999755859375,2328778,2024-10-14
2024-10-21,736.7999877929688,736.7999877929688,774.4000244140625,715.5999755859375,767.0,797914,2024-10-21
2024-10-28,723.3499755859375,723.3499755859375,754.9500122070312,688.0,725.75,1036927,2024-10-28
2024-11-04,724.2000122070312,724.2000122070312,748.2999877929688,705.0,715.0,600494,2024-11-04
2024-11-11,730.0999755859375,730.0999755859375,735.0,689.0,724.0,568158,2024-11-11
2024-11-18,727.3499755859375,727.3499755859375,743.7000122070312,706.0,727.5499877929688,315566,2024-11-18
2024-11-25,750.5499877929688,750.5499877929688,764.4500122070312,730.3499755859375,738.25,576982,2024-11-25
2024-12-02,770.0,770.0,785.4000244140625,740.0,750.5,1046567,2024-12-02
2024-12-09,768.5,768.5,794.25,751.0,767.0,849103,2024-12-09
2024-12-16,726.2999877929688,726.2999877929688,793.9500122070312,723.4500122070312,783.5,760616,2024-12-16
2024-12-23,720.2000122070312,720.2000122070312,737.7999877929688,710.0,727.0999755859375,253265,2024-12-23
2024-12-30,754.75,754.75,770.6500244140625,712.4000244140625,713.5499877929688,492556,2024-12-30
2025-01-06,743.9000244140625,743.9000244140625,788.4000244140625,721.0,754.75,788774,2025-01-06
2025-01-13,737.1500244140625,737.1500244140625,748.25,700.0,743.8499755859375,325807,2025-01-13
2025-01-20,707.1500244140625,707.1500244140625,745.5499877929688,696.2000122070312,731.0,394247,2025-01-20
2025-01-27,747.4500122070312,747.4500122070312,783.5,677.4500122070312,701.4000244140625,1298907,2025-01-27
2025-02-03,760.75,760.75,793.0,735.7999877929688,736.0,794539,2025-02-03
2025-02-10,706.9500122070312,706.9500122070312,770.0,694.0499877929688,760.75,1112791,2025-02-10
2025-02-17,732.4500122070312,732.4500122070312,754.75,683.75,703.0,534204,2025-02-17
2025-02-24,715.1500244140625,715.1500244140625,753.9000244140625,708.0,720.0,922215,2025-02-24
2025-03-03,761.4000244140625,761.4000244140625,784.2999877929688,711.5499877929688,714.0499877929688,1996355,2025-03-03
2025-03-10,720.25,720.25,774.9000244140625,715.1500244140625,760.1500244140625,1324426,2025-03-10
2025-03-17,768.2999877929688,768.2999877929688,797.9500122070312,715.5,723.7000122070312,2320992,2025-03-17
2025-03-24,753.7000122070312,753.7000122070312,811.25,741.1500244140625,770.0,3322528,2025-03-24
2025-03-31,739.2000122070312,739.2000122070312,787.2999877929688,723.5499877929688,753.7000122070312,1246865,2025-03-31
2025-04-07,768.8499755859375,768.8499755859375,783.0,668.0,670.0,1581992,2025-04-07
2025-04-14,762.0,762.0,792.0,755.0,777.0,1336315,2025-04-14
2025-04-21,768.3499755859375,768.3499755859375,809.0,751.0,762.0,2433786,2025-04-21
2025-04-28,678.0,678.0,790.7000122070312,672.0,768.0,3379199,2025-04-28
2025-05-05,703.0,703.0,709.5,655.0,660.0,4264045,2025-05-05
2025-05-12,732.7000122070312,732.7000122070312,748.5,705.5999755859375,707.0,1937441,2025-05-12
2025-05-19,745.5499877929688,745.5499877929688,756.9000244140625,732.0,732.0,880359,2025-05-19
2025-05-26,762.7999877929688,762.7999877929688,774.9500122070312,740.0,746.2000122070312,1904989,2025-05-26
2025-06-02,805.75,805.75,827.0,748.0,762.0499877929688,2812585,2025-06-02
2025-06-09,787.1500244140625,787.1500244140625,825.5499877929688,758.1500244140625,817.7999877929688,1149051,2025-06-09
2025-06-16,762.5,762.5,788.9000244140625,740.5499877929688,784.9000244140625,722098,2025-06-16
2025-06-23,785.0,785.0,791.5,742.3499755859375,758.0999755859375,882186,2025-06-23
2025-06-30,781.9500122070312,781.9500122070312,812.75,770.5,786.6500244140625,1179208,2025-06-30
2025-07-07,780.2999877929688,780.2999877929688,797.2000122070312,762.2999877929688,780.3499755859375,567575,2025-07-07
2025-07-14,774.5,774.5,786.7999877929688,769.9500122070312,780.2999877929688,194903,2025-07-14
