Date,Adj Close_GREENLAM.NS,Close_GREENLAM.NS,High_GREENLAM.NS,Low_GREENLAM.NS,Open_GREENLAM.NS,Volume_GREENLAM.NS,Date
2021-06-07,121.89672088623047,122.96499633789062,126.0,117.0,123.30000305175781,203700,2021-06-07
2021-06-14,113.1830825805664,114.17500305175781,123.36000061035156,113.0999984741211,123.00499725341797,505760,2021-06-14
2021-06-21,120.43949890136719,121.49500274658203,123.94499969482422,112.5999984741211,114.1050033569336,248990,2021-06-21
2021-06-28,138.5904083251953,139.80499267578125,146.0,120.33999633789062,123.9000015258789,2378670,2021-06-28
2021-07-05,132.28567504882812,133.44500732421875,142.0,130.1999969482422,142.0,736270,2021-07-05
2021-07-12,131.2447967529297,132.39500427246094,140.8000030517578,129.13999938964844,135.72999572753906,320030,2021-07-12
2021-07-19,134.13943481445312,135.31500244140625,137.6999969482422,127.22000122070312,132.9949951171875,155370,2021-07-19
2021-07-26,134.6598663330078,135.83999633789062,144.60000610351562,133.0050048828125,135.33999633789062,1278470,2021-07-26
2021-08-02,143.52716064453125,144.78500366210938,149.0,128.75999450683594,136.7050018310547,5696720,2021-08-02
2021-08-09,132.82594299316406,133.99000549316406,146.92999267578125,125.0,146.0,1771650,2021-08-09
2021-08-16,132.17166137695312,133.3300018310547,138.96499633789062,126.93499755859375,134.1999969482422,813100,2021-08-16
2021-08-23,134.9027557373047,136.0850067138672,138.80499267578125,130.7050018310547,137.48500061035156,406970,2021-08-23
2021-08-30,135.1109161376953,136.2949981689453,139.39999389648438,134.05499267578125,138.49000549316406,316880,2021-08-30
2021-09-06,138.3475341796875,139.55999755859375,142.0,135.51499938964844,136.2949981689453,260150,2021-09-06
2021-09-13,139.65609741210938,140.8800048828125,145.9949951171875,138.3350067138672,140.5,357340,2021-09-13
2021-09-20,138.79859924316406,140.01499938964844,142.09500122070312,135.00999450683594,139.5,244990,2021-09-20
2021-09-27,135.70570373535156,136.89500427246094,151.0,136.0,140.01499938964844,2577300,2021-09-27
2021-10-04,136.6772003173828,137.875,140.7899932861328,132.36500549316406,138.10000610351562,422050,2021-10-04
2021-10-11,139.19017028808594,140.41000366210938,144.0050048828125,137.5449981689453,139.7899932861328,182610,2021-10-11
2021-10-18,140.79608154296875,142.02999877929688,146.52999877929688,138.0,140.5,143710,2021-10-18
2021-10-25,140.7812042236328,142.01499938964844,145.8000030517578,135.3000030517578,144.875,559870,2021-10-25
2021-11-01,139.26451110839844,140.48500061035156,144.89500427246094,139.11000061035156,144.89500427246094,56340,2021-11-01
2021-11-08,145.71795654296875,146.9949951171875,160.42999267578125,138.7550048828125,141.0,554220,2021-11-08
2021-11-15,140.95469665527344,142.19000244140625,149.1999969482422,138.5800018310547,149.1999969482422,231510,2021-11-15
2021-11-22,156.82066345214844,158.19500732421875,174.89500427246094,136.22500610351562,145.0,2082120,2021-11-22
2021-11-29,146.3672637939453,147.64999389648438,161.60000610351562,146.0,160.5,1590130,2021-11-29
