Date,Adj Close_VAIBHAVGBL.NS,Close_VAIBHAVGBL.NS,High_VAIBHAVGBL.NS,Low_VAIBHAVGBL.NS,Open_VAIBHAVGBL.NS,Volume_VAIBHAVGBL.NS,Date
2022-01-17,502.06134033203125,535.9500122070312,566.5,521.0,545.0,794998,2022-01-17
2022-01-24,435.1292419433594,464.5,537.3499755859375,452.3500061035156,536.0,1060040,2022-01-24
2022-01-31,431.5226135253906,460.6499938964844,480.0,437.54998779296875,480.0,1836617,2022-01-31
2022-02-07,417.3587341308594,444.04998779296875,469.0,435.04998779296875,469.0,598259,2022-02-07
2022-02-14,399.3597717285156,424.8999938964844,445.0,418.0,435.0,950792,2022-02-14
2022-02-21,382.3947448730469,406.8500061035156,424.8999938964844,377.0,421.0,681343,2022-02-21
2022-02-28,376.2854919433594,400.3500061035156,418.0,391.8999938964844,406.0,390551,2022-02-28
2022-03-07,382.1598205566406,406.6000061035156,444.25,389.0,396.0,850301,2022-03-07
2022-03-14,377.6483154296875,401.79998779296875,422.8999938964844,398.25,408.0,707679,2022-03-14
2022-03-21,357.53460693359375,380.3999938964844,413.0,379.0,413.0,799904,2022-03-21
2022-03-28,383.5225830078125,408.04998779296875,417.5,360.1499938964844,382.29998779296875,2999319,2022-03-28
2022-04-04,472.8122863769531,503.04998779296875,522.75,404.1000061035156,417.3999938964844,7957864,2022-04-04
2022-04-11,464.1182861328125,493.79998779296875,513.0,474.6000061035156,512.0,398780,2022-04-11
2022-04-18,449.40899658203125,478.1499938964844,509.0,454.1000061035156,490.0,547582,2022-04-18
2022-04-25,439.8691101074219,468.0,489.0,447.0,473.0,1263286,2022-04-25
2022-05-02,394.895263671875,420.1499938964844,463.6499938964844,407.0,461.95001220703125,1124225,2022-05-02
2022-05-09,368.4373779296875,392.0,419.5,381.29998779296875,419.0,563908,2022-05-09
2022-05-16,377.5543212890625,401.70001220703125,436.3500061035156,395.5,399.8500061035156,661101,2022-05-16
2022-05-23,314.6755676269531,334.79998779296875,417.95001220703125,330.0,415.0,1221028,2022-05-23
2022-05-30,317.8712463378906,338.20001220703125,354.6499938964844,333.5,337.0,1006172,2022-05-30
2022-06-06,324.3094787597656,345.04998779296875,357.6000061035156,328.20001220703125,339.5,853105,2022-06-06
2022-06-13,300.0133361816406,319.20001220703125,341.0,310.0,341.0,481244,2022-06-13
2022-06-20,288.9225769042969,307.3999938964844,323.6499938964844,296.25,315.29998779296875,501928,2022-06-20
2022-06-27,284.22314453125,302.3999938964844,335.0,287.8999938964844,314.3999938964844,1326319,2022-06-27
2022-07-04,287.800048828125,304.70001220703125,368.75,298.6000061035156,304.70001220703125,1842860,2022-07-04
2022-07-11,282.557861328125,299.1499938964844,309.04998779296875,295.0,305.0,845477,2022-07-11
2022-07-18,292.38104248046875,309.54998779296875,318.8500061035156,302.0,303.3500061035156,981337,2022-07-18
2022-07-25,281.7550354003906,298.29998779296875,313.3500061035156,296.25,311.8999938964844,885983,2022-07-25
2022-08-01,286.14715576171875,302.95001220703125,338.79998779296875,291.1000061035156,306.0,5276798,2022-08-01
2022-08-08,290.8226013183594,307.8999938964844,310.8999938964844,293.0,305.79998779296875,1306951,2022-08-08
2022-08-15,295.494873046875,311.29998779296875,325.45001220703125,306.95001220703125,307.8999938964844,1454629,2022-08-15
2022-08-22,293.359130859375,309.04998779296875,315.0,299.25,312.0,1362242,2022-08-22
2022-08-29,324.541259765625,341.8999938964844,375.6499938964844,305.20001220703125,309.04998779296875,9839594,2022-08-29
2022-09-05,358.90338134765625,378.1000061035156,418.0,336.1499938964844,337.70001220703125,9321417,2022-09-05
2022-09-12,341.67486572265625,359.95001220703125,404.79998779296875,354.70001220703125,377.8999938964844,3233275,2022-09-12
2022-09-19,344.6649475097656,363.1000061035156,375.0,348.0,357.0,1761826,2022-09-19
2022-09-26,333.7962646484375,351.6499938964844,366.0,342.79998779296875,358.95001220703125,1448252,2022-09-26
2022-10-03,346.2786560058594,364.79998779296875,384.0,348.6499938964844,353.8999938964844,1157908,2022-10-03
2022-10-10,321.7411193847656,338.95001220703125,369.79998779296875,336.04998779296875,366.0,695589,2022-10-10
2022-10-17,323.4496765136719,340.75,358.79998779296875,332.6499938964844,338.70001220703125,709351,2022-10-17
2022-10-24,338.1627502441406,356.25,370.0,340.0,346.8500061035156,1980650,2022-10-24
2022-10-31,328.33819580078125,345.8999938964844,359.70001220703125,343.04998779296875,358.6000061035156,610773,2022-10-31
2022-11-07,306.9267883300781,321.95001220703125,347.6499938964844,319.8500061035156,345.8999938964844,674327,2022-11-07
2022-11-14,300.30108642578125,315.0,334.79998779296875,314.04998779296875,323.8999938964844,474547,2022-11-14
2022-11-21,312.408447265625,327.70001220703125,334.8500061035156,315.0,316.25,472603,2022-11-21
2022-11-28,334.09686279296875,350.45001220703125,359.1000061035156,328.0,329.29998779296875,804640,2022-11-28
2022-12-05,320.9884948730469,336.70001220703125,358.0,331.29998779296875,351.1499938964844,522926,2022-12-05
2022-12-12,321.6081237792969,337.3500061035156,345.0,329.8500061035156,336.6000061035156,490014,2022-12-12
2022-12-19,291.2443542480469,305.5,350.0,302.6000061035156,339.04998779296875,1258498,2022-12-19
2022-12-26,296.3924255371094,310.8999938964844,331.0,305.04998779296875,306.95001220703125,969673,2022-12-26
2023-01-02,284.4756774902344,298.3999938964844,314.8999938964844,297.0,312.8999938964844,1206249,2023-01-02
2023-01-09,285.0953674316406,299.04998779296875,306.0,296.1499938964844,300.79998779296875,563111,2023-01-09
2023-01-16,280.51934814453125,294.25,303.0,293.75,300.5,494521,2023-01-16
2023-01-23,278.135986328125,291.75,304.3500061035156,289.5,295.79998779296875,842281,2023-01-23
2023-01-30,282.5690002441406,296.3999938964844,308.75,288.3999938964844,292.75,626212,2023-01-30
2023-02-06,288.1658020019531,300.75,304.0,288.54998779296875,297.8999938964844,598479,2023-02-06
2023-02-13,309.3410949707031,322.8500061035156,326.75,300.75,301.70001220703125,1429324,2023-02-13
2023-02-20,310.01177978515625,323.54998779296875,345.1499938964844,316.70001220703125,324.04998779296875,1627636,2023-02-20
