Date,Adj Close_HOVS.NS,Close_HOVS.NS,High_HOVS.NS,Low_HOVS.NS,Open_HOVS.NS,Volume_HOVS.NS,Date
2023-08-14,45.20000076293945,45.20000076293945,47.099998474121094,44.5,47.099998474121094,29485,2023-08-14
2023-08-21,47.54999923706055,47.54999923706055,49.849998474121094,45.0,45.20000076293945,56388,2023-08-21
2023-08-28,50.25,50.25,50.25,46.599998474121094,48.75,64066,2023-08-28
2023-09-04,51.04999923706055,51.04999923706055,54.79999923706055,50.54999923706055,52.0,101997,2023-09-04
2023-09-11,49.45000076293945,49.45000076293945,51.349998474121094,46.0,51.0,66757,2023-09-11
2023-09-18,50.099998474121094,50.099998474121094,51.0,48.25,49.45000076293945,22218,2023-09-18
2023-09-25,55.75,55.75,55.75,47.599998474121094,50.099998474121094,158376,2023-09-25
2023-10-02,58.45000076293945,58.45000076293945,63.79999923706055,55.25,55.75,453729,2023-10-02
2023-10-09,54.54999923706055,54.54999923706055,59.0,52.54999923706055,58.95000076293945,519616,2023-10-09
2023-10-16,52.599998474121094,52.599998474121094,60.95000076293945,52.150001525878906,55.0,499442,2023-10-16
2023-10-23,51.75,51.75,54.900001525878906,50.04999923706055,52.650001525878906,269010,2023-10-23
2023-10-30,55.29999923706055,55.29999923706055,57.70000076293945,50.900001525878906,51.5,220389,2023-10-30
2023-11-06,55.599998474121094,55.599998474121094,58.79999923706055,54.099998474121094,55.45000076293945,269952,2023-11-06
2023-11-13,57.0,57.0,59.70000076293945,55.79999923706055,57.099998474121094,236319,2023-11-13
2023-11-20,58.349998474121094,58.349998474121094,60.900001525878906,55.0,58.04999923706055,303648,2023-11-20
2023-11-27,60.650001525878906,60.650001525878906,64.3499984741211,57.29999923706055,58.349998474121094,802563,2023-11-27
2023-12-04,61.79999923706055,61.79999923706055,62.900001525878906,58.0,61.849998474121094,309282,2023-12-04
2023-12-11,77.3499984741211,77.3499984741211,91.9000015258789,63.0,63.0,4489404,2023-12-11
2023-12-18,78.75,78.75,97.4000015258789,75.80000305175781,77.5,2325626,2023-12-18
2023-12-25,72.5,72.5,81.3499984741211,71.05000305175781,78.75,146931,2023-12-25
2024-01-01,81.5999984741211,81.5999984741211,83.5999984741211,71.5,72.19999694824219,182298,2024-01-01
2024-01-08,77.55000305175781,77.55000305175781,83.6500015258789,75.0,83.6500015258789,88280,2024-01-08
2024-01-15,75.94999694824219,75.94999694824219,79.9000015258789,75.0,78.0,91284,2024-01-15
2024-01-22,75.0999984741211,75.0999984741211,77.0,72.6500015258789,75.94999694824219,38542,2024-01-22
2024-01-29,77.4000015258789,77.4000015258789,82.1500015258789,72.8499984741211,76.5,125453,2024-01-29
2024-02-05,68.75,68.75,80.0,66.5,79.9000015258789,202688,2024-02-05
2024-02-12,62.849998474121094,62.849998474121094,71.94999694824219,60.04999923706055,68.69999694824219,243406,2024-02-12
2024-02-19,66.80000305175781,66.80000305175781,67.19999694824219,60.29999923706055,62.849998474121094,87401,2024-02-19
