Date,Adj Close_JINDALSAW.NS,Close_JINDALSAW.NS,High_JINDALSAW.NS,Low_JINDALSAW.NS,Open_JINDALSAW.NS,Volume_JINDALSAW.NS,Date
2022-01-03,50.45671844482422,52.75,53.54999923706055,49.54999923706055,49.650001525878906,12195290,2022-01-03
2022-01-10,49.763240814208984,52.025001525878906,53.20000076293945,51.0,53.0,11115608,2022-01-10
2022-01-17,51.70020294189453,54.04999923706055,59.70000076293945,52.07500076293945,52.32500076293945,50913008,2022-01-17
2022-01-24,50.31324005126953,52.599998474121094,54.349998474121094,49.025001525878906,53.75,11958850,2022-01-24
2022-01-31,49.95454025268555,52.224998474121094,54.375,49.42499923706055,53.474998474121094,22711068,2022-01-31
2022-02-07,47.826271057128906,50.0,53.0,49.599998474121094,52.525001525878906,10885244,2022-02-07
2022-02-14,44.502349853515625,46.525001525878906,49.20000076293945,46.04999923706055,49.04999923706055,10052006,2022-02-14
2022-02-21,40.8914680480957,42.75,46.42499923706055,40.0,46.025001525878906,11319740,2022-02-21
2022-02-28,41.99147033691406,43.900001525878906,46.224998474121094,41.775001525878906,42.04999923706055,6981096,2022-02-28
2022-03-07,42.876251220703125,44.82500076293945,45.95000076293945,42.04999923706055,43.625,8769932,2022-03-07
2022-03-14,44.502349853515625,46.525001525878906,48.349998474121094,43.54999923706055,45.0,20115678,2022-03-14
2022-03-21,44.88495635986328,46.92499923706055,49.32500076293945,45.70000076293945,46.849998474121094,18450720,2022-03-21
2022-03-28,44.59800338745117,46.625,47.07500076293945,43.95000076293945,46.54999923706055,14322906,2022-03-28
2022-04-04,46.27192306518555,48.375,49.75,46.75,46.875,13457736,2022-04-04
2022-04-11,45.69800567626953,47.775001525878906,49.099998474121094,46.775001525878906,48.650001525878906,4610450,2022-04-11
2022-04-18,46.75018310546875,48.875,50.75,47.04999923706055,47.775001525878906,15078040,2022-04-18
2022-04-25,44.167564392089844,46.17499923706055,48.724998474121094,45.275001525878906,48.724998474121094,6690468,2022-04-25
2022-05-02,43.35451889038086,45.32500076293945,46.875,43.20000076293945,46.0,6486926,2022-05-02
2022-05-09,38.26102066040039,40.0,44.974998474121094,38.79999923706055,44.625,8311722,2022-05-09
2022-05-16,44.35886764526367,46.375,47.95000076293945,39.349998474121094,40.650001525878906,13452310,2022-05-16
2022-05-23,40.1979866027832,42.025001525878906,46.20000076293945,41.125,46.20000076293945,8630522,2022-05-23
2022-05-30,42.2306022644043,44.150001525878906,45.5,42.07500076293945,42.5,6466180,2022-05-30
