Date,Adj Close_PARKHOTELS.NS,Close_PARKHOTELS.NS,High_PARKHOTELS.NS,Low_PARKHOTELS.NS,Open_PARKHOTELS.NS,Volume_PARKHOTELS.NS,Date
2024-08-19,177.6699981689453,177.6699981689453,183.52000427246094,173.83999633789062,177.0,1854420,2024-08-19
2024-08-26,173.02000427246094,173.02000427246094,180.88999938964844,172.5,178.97999572753906,1143411,2024-08-26
2024-09-02,174.07000732421875,174.07000732421875,178.6699981689453,171.5,174.25,1419484,2024-09-02
2024-09-09,174.91000366210938,174.91000366210938,179.13999938964844,169.1199951171875,174.97000122070312,710534,2024-09-09
2024-09-16,172.3300018310547,172.3300018310547,177.89999389648438,166.10000610351562,177.89999389648438,705446,2024-09-16
2024-09-23,171.6999969482422,171.6999969482422,175.0,163.61000061035156,175.0,1313250,2024-09-23
2024-09-30,162.44000244140625,162.44000244140625,173.2899932861328,161.60000610351562,170.6999969482422,773341,2024-09-30
2024-10-07,158.91000366210938,158.91000366210938,164.88999938964844,154.41000366210938,164.88999938964844,1029298,2024-10-07
2024-10-14,158.77999877929688,158.77999877929688,164.0,156.89999389648438,159.8000030517578,511961,2024-10-14
2024-10-21,146.5800018310547,146.5800018310547,159.4499969482422,146.0,159.39999389648438,545850,2024-10-21
2024-10-28,159.5399932861328,159.5399932861328,160.39999389648438,143.0,148.7899932861328,1467996,2024-10-28
2024-11-04,152.3000030517578,152.3000030517578,160.0,148.8000030517578,159.0500030517578,908546,2024-11-04
2024-11-11,145.99000549316406,145.99000549316406,154.89999389648438,144.5,152.75,1887792,2024-11-11
2024-11-18,148.4600067138672,148.4600067138672,150.6999969482422,138.0,146.89999389648438,1752414,2024-11-18
2024-11-25,175.75999450683594,175.75999450683594,177.5,147.4199981689453,148.97999572753906,10400322,2024-11-25
2024-12-02,194.66000366210938,194.66000366210938,198.24000549316406,174.10000610351562,176.8000030517578,7505892,2024-12-02
2024-12-09,194.6999969482422,194.6999969482422,201.0,187.14999389648438,195.99000549316406,3288843,2024-12-09
2024-12-16,179.10000610351562,179.10000610351562,199.0,176.10000610351562,194.6999969482422,2042756,2024-12-16
2024-12-23,180.4499969482422,180.4499969482422,184.99000549316406,176.6699981689453,180.1999969482422,1144342,2024-12-23
2024-12-30,203.27000427246094,203.27000427246094,205.5,179.30999755859375,180.4499969482422,6467950,2024-12-30
2025-01-06,188.41000366210938,188.41000366210938,206.1999969482422,184.11000061035156,205.0,5810596,2025-01-06
2025-01-13,197.1199951171875,197.1199951171875,199.5800018310547,178.61000061035156,188.52000427246094,2365495,2025-01-13
2025-01-20,181.35000610351562,181.35000610351562,202.0,179.10000610351562,199.0,1285479,2025-01-20
2025-01-27,178.49000549316406,178.49000549316406,185.08999633789062,163.82000732421875,182.49000549316406,1941094,2025-01-27
2025-02-03,192.27000427246094,192.27000427246094,200.97999572753906,172.0,178.89999389648438,2211084,2025-02-03
2025-02-10,159.89999389648438,159.89999389648438,193.9499969482422,156.10000610351562,193.9499969482422,2853714,2025-02-10
2025-02-17,162.2100067138672,162.2100067138672,168.0,153.0800018310547,159.89999389648438,1678802,2025-02-17
2025-02-24,145.8800048828125,145.8800048828125,160.7100067138672,142.97999572753906,160.6999969482422,1337188,2025-02-24
2025-03-03,151.3300018310547,151.3300018310547,157.5800018310547,138.19000244140625,145.8800048828125,2432709,2025-03-03
2025-03-10,142.82000732421875,142.82000732421875,154.0,141.25,151.5,2267278,2025-03-10
2025-03-17,155.82000732421875,155.82000732421875,157.25,140.0500030517578,143.19000244140625,2606250,2025-03-17
2025-03-24,146.44000244140625,146.44000244140625,160.0,143.10000610351562,157.0,5232855,2025-03-24
2025-03-31,143.4499969482422,143.4499969482422,153.5,141.5,146.44000244140625,2224625,2025-03-31
2025-04-07,139.77999877929688,139.77999877929688,141.0,129.0,135.89999389648438,2844764,2025-04-07
2025-04-14,155.42999267578125,155.42999267578125,158.6999969482422,139.1699981689453,139.77999877929688,2567461,2025-04-14
2025-04-21,160.08999633789062,160.08999633789062,167.6999969482422,148.1999969482422,156.8699951171875,6519456,2025-04-21
2025-04-28,148.8300018310547,148.8300018310547,160.0,148.36000061035156,160.0,1930189,2025-04-28
2025-05-05,139.75,139.75,152.9499969482422,135.5800018310547,151.0,2779862,2025-05-05
2025-05-12,155.69000244140625,155.69000244140625,157.5,141.42999267578125,145.25,6504594,2025-05-12
2025-05-19,162.5500030517578,162.5500030517578,170.1699981689453,156.5,157.1999969482422,5922235,2025-05-19
2025-05-26,150.9499969482422,150.9499969482422,164.25,149.75,163.89999389648438,4262930,2025-05-26
2025-06-02,161.02999877929688,161.02999877929688,163.3000030517578,147.5500030517578,150.1999969482422,6319046,2025-06-02
2025-06-09,162.6699981689453,162.6699981689453,168.72999572753906,151.22000122070312,161.0800018310547,7890046,2025-06-09
2025-06-16,160.17999267578125,160.17999267578125,173.1999969482422,156.10000610351562,163.39999389648438,8396764,2025-06-16
2025-06-23,161.9600067138672,161.9600067138672,167.52000427246094,155.0,155.0,4234547,2025-06-23
2025-06-30,158.88999938964844,158.88999938964844,166.69000244140625,157.10000610351562,162.0,3100736,2025-06-30
2025-07-07,161.50999450683594,161.50999450683594,166.8800048828125,153.97000122070312,159.99000549316406,4288773,2025-07-07
2025-07-14,161.4600067138672,161.4600067138672,164.10000610351562,159.10000610351562,163.6999969482422,1729291,2025-07-14
