Date,Adj Close_SHALPAINTS.NS,Close_SHALPAINTS.NS,High_SHALPAINTS.NS,Low_SHALPAINTS.NS,Open_SHALPAINTS.NS,Volume_SHALPAINTS.NS,Date
2023-04-17,148.64999389648438,148.64999389648438,153.5,146.0,148.6999969482422,195005,2023-04-17
2023-04-24,147.3000030517578,147.3000030517578,151.9499969482422,146.0,148.10000610351562,268773,2023-04-24
2023-05-01,143.0,143.0,149.39999389648438,142.4499969482422,147.3000030517578,261227,2023-05-01
2023-05-08,146.0500030517578,146.0500030517578,149.5,142.8000030517578,143.8000030517578,273754,2023-05-08
2023-05-15,150.89999389648438,150.89999389648438,160.0,146.5500030517578,146.5500030517578,598615,2023-05-15
2023-05-22,154.0,154.0,163.39999389648438,150.39999389648438,150.85000610351562,705262,2023-05-22
2023-05-29,152.3000030517578,152.3000030517578,157.89999389648438,148.10000610351562,148.10000610351562,307230,2023-05-29
2023-06-05,148.0,148.0,153.5500030517578,146.0,152.39999389648438,202097,2023-06-05
2023-06-12,149.1999969482422,149.1999969482422,152.75,147.10000610351562,149.0,180008,2023-06-12
2023-06-19,150.35000610351562,150.35000610351562,156.64999389648438,147.75,149.1999969482422,440938,2023-06-19
2023-06-26,152.39999389648438,152.39999389648438,154.0,148.1999969482422,151.60000610351562,197467,2023-06-26
2023-07-03,153.35000610351562,153.35000610351562,156.5,149.8000030517578,152.35000610351562,305018,2023-07-03
2023-07-10,155.85000610351562,155.85000610351562,162.0,151.60000610351562,153.3000030517578,680979,2023-07-10
2023-07-17,154.0500030517578,154.0500030517578,159.4499969482422,152.0,157.0,812982,2023-07-17
2023-07-24,154.8000030517578,154.8000030517578,155.6999969482422,152.0,154.25,837250,2023-07-24
2023-07-31,155.0,155.0,157.89999389648438,153.0500030517578,155.35000610351562,456401,2023-07-31
2023-08-07,156.5500030517578,156.5500030517578,160.0,154.25,156.5,853560,2023-08-07
2023-08-14,156.60000610351562,156.60000610351562,159.14999389648438,147.5500030517578,157.5,1200942,2023-08-14
2023-08-21,157.0,157.0,168.85000610351562,155.8000030517578,158.14999389648438,2130993,2023-08-21
2023-08-28,160.35000610351562,160.35000610351562,165.64999389648438,158.6999969482422,159.0,632568,2023-08-28
2023-09-04,160.10000610351562,160.10000610351562,162.9499969482422,158.10000610351562,160.35000610351562,527654,2023-09-04
2023-09-11,157.89999389648438,157.89999389648438,163.89999389648438,152.14999389648438,160.14999389648438,697365,2023-09-11
2023-09-18,153.25,153.25,159.6999969482422,152.0500030517578,157.14999389648438,236651,2023-09-18
2023-09-25,161.3000030517578,161.3000030517578,167.9499969482422,153.60000610351562,153.60000610351562,867335,2023-09-25
2023-10-02,164.0,164.0,165.85000610351562,161.3000030517578,161.3000030517578,2040810,2023-10-02
2023-10-09,192.4499969482422,192.4499969482422,197.0,161.5500030517578,162.0,15183317,2023-10-09
2023-10-16,186.14999389648438,186.14999389648438,199.10000610351562,183.8000030517578,192.0,4672196,2023-10-16
2023-10-23,184.75,184.75,188.0,168.8000030517578,187.0,1552268,2023-10-23
2023-10-30,180.4499969482422,180.4499969482422,188.4499969482422,179.5,184.14999389648438,480758,2023-10-30
2023-11-06,173.39999389648438,173.39999389648438,181.9499969482422,169.0500030517578,181.0,817429,2023-11-06
2023-11-13,178.64999389648438,178.64999389648438,184.1999969482422,165.0,173.10000610351562,1503681,2023-11-13
2023-11-20,170.25,170.25,179.4499969482422,169.39999389648438,178.5,399481,2023-11-20
2023-11-27,198.6999969482422,198.6999969482422,202.3000030517578,166.5,170.25,5096647,2023-11-27
2023-12-04,181.8000030517578,181.8000030517578,214.25,175.6999969482422,200.0,19928057,2023-12-04
2023-12-11,181.89999389648438,181.89999389648438,187.0,179.0,180.85000610351562,3083223,2023-12-11
2023-12-18,181.39999389648438,181.39999389648438,184.10000610351562,176.5500030517578,181.89999389648438,1853008,2023-12-18
2023-12-25,177.6999969482422,177.6999969482422,183.89999389648438,176.75,181.39999389648438,641335,2023-12-25
2024-01-01,184.1999969482422,184.1999969482422,187.10000610351562,177.0,177.6999969482422,1355470,2024-01-01
2024-01-08,180.5500030517578,180.5500030517578,189.0500030517578,179.6999969482422,186.25,987689,2024-01-08
2024-01-15,217.75,217.75,220.0,181.39999389648438,181.39999389648438,13149777,2024-01-15
2024-01-22,202.35000610351562,202.35000610351562,221.60000610351562,199.3000030517578,217.75,1604329,2024-01-22
2024-01-29,194.0,194.0,209.10000610351562,192.25,204.6999969482422,1707338,2024-01-29
2024-02-05,199.9499969482422,199.9499969482422,210.14999389648438,186.9499969482422,194.5,3195606,2024-02-05
2024-02-12,196.5,196.5,200.8000030517578,193.10000610351562,198.6999969482422,1875186,2024-02-12
2024-02-19,195.60000610351562,195.60000610351562,200.0,192.75,198.0,1470977,2024-02-19
2024-02-26,172.25,172.25,198.0,165.0,195.60000610351562,2662819,2024-02-26
2024-03-04,180.39999389648438,180.39999389648438,199.8000030517578,176.25,176.64999389648438,3328506,2024-03-04
2024-03-11,166.39999389648438,166.39999389648438,184.85000610351562,150.6999969482422,180.5500030517578,1887410,2024-03-11
2024-03-18,165.0,165.0,177.5,160.10000610351562,168.39999389648438,2047579,2024-03-18
2024-03-25,166.10000610351562,166.10000610351562,168.0500030517578,158.39999389648438,165.0,1294516,2024-03-25
2024-04-01,176.0,176.0,183.0,166.75,166.75,1410770,2024-04-01
2024-04-08,168.89999389648438,168.89999389648438,182.0,167.64999389648438,176.0,1009557,2024-04-08
2024-04-15,172.10000610351562,172.10000610351562,174.9499969482422,162.14999389648438,168.4499969482422,955881,2024-04-15
2024-04-22,168.5500030517578,168.5500030517578,178.4499969482422,167.10000610351562,173.1999969482422,1206547,2024-04-22
