Date,Adj Close_PARAGMILK.NS,Close_PARAGMILK.NS,High_PARAGMILK.NS,Low_PARAGMILK.NS,Open_PARAGMILK.NS,Volume_PARAGMILK.NS,Date
2020-12-14,115.31127166748047,116.05000305175781,122.69999694824219,113.6500015258789,119.0,4214353,2020-12-14
2020-12-21,110.49213409423828,111.19999694824219,117.1500015258789,102.19999694824219,116.19999694824219,2642226,2020-12-21
2020-12-28,114.06922912597656,114.80000305175781,118.80000305175781,110.0999984741211,112.0,4038566,2020-12-28
2021-01-04,112.38004302978516,113.0999984741211,115.80000305175781,110.69999694824219,115.75,2182885,2021-01-04
2021-01-11,120.1303939819336,120.9000015258789,127.4000015258789,111.0,113.75,8508547,2021-01-11
2021-01-18,118.04376220703125,118.80000305175781,129.3000030517578,118.0,121.0,4262801,2021-01-18
2021-01-25,110.04500579833984,110.75,120.80000305175781,106.6500015258789,119.69999694824219,2258286,2021-01-25
2021-02-01,109.2997817993164,110.0,119.19999694824219,109.0,111.5999984741211,3092867,2021-02-01
2021-02-08,107.2628173828125,107.94999694824219,111.55000305175781,107.5,110.69999694824219,1857816,2021-02-08
2021-02-15,107.21315002441406,107.9000015258789,110.19999694824219,105.55000305175781,108.94999694824219,1642450,2021-02-15
2021-02-22,106.6169662475586,107.30000305175781,112.4000015258789,104.0,108.5,1291368,2021-02-22
2021-03-01,106.8653793334961,107.55000305175781,114.1500015258789,106.30000305175781,108.80000305175781,3714711,2021-03-01
2021-03-08,104.08319854736328,104.75,111.69999694824219,104.05000305175781,108.25,1562360,2021-03-08
2021-03-15,97.62457275390625,98.25,106.0999984741211,95.0999984741211,105.0,1916675,2021-03-15
2021-03-22,101.30101776123047,101.94999694824219,105.5,94.0,98.80000305175781,3310605,2021-03-22
2021-03-29,110.74054718017578,111.44999694824219,112.0,98.25,101.94999694824219,4132471,2021-03-29
2021-04-05,115.70870971679688,116.44999694824219,121.25,107.5,114.05000305175781,8420942,2021-04-05
2021-04-12,111.58513641357422,112.30000305175781,114.69999694824219,102.0,113.5,3652624,2021-04-12
2021-04-19,111.03863525390625,111.75,115.5,105.0999984741211,108.9000015258789,2105681,2021-04-19
2021-04-26,110.98895263671875,111.69999694824219,116.5999984741211,110.9000015258789,112.44999694824219,2643682,2021-04-26
2021-05-03,134.637451171875,135.5,143.8000030517578,111.05000305175781,111.05000305175781,18159292,2021-05-03
2021-05-10,144.82220458984375,145.75,157.8000030517578,132.60000610351562,139.0,7490566,2021-05-10
2021-05-17,139.6553192138672,140.5500030517578,151.0,140.10000610351562,148.6999969482422,2322658,2021-05-17
