Date,Adj Close_ADVENZYMES.NS,Close_ADVENZYMES.NS,High_ADVENZYMES.NS,Low_ADVENZYMES.NS,Open_ADVENZYMES.NS,Volume_ADVENZYMES.NS,Date
2021-11-22,320.7087097167969,336.6499938964844,345.54998779296875,320.6499938964844,337.0,596625,2021-11-22
2021-11-29,317.61260986328125,333.3999938964844,337.0,302.95001220703125,330.0,467895,2021-11-29
2021-12-06,338.38037109375,355.20001220703125,359.0,330.0,335.20001220703125,963157,2021-12-06
2021-12-13,322.8045654296875,338.8500061035156,358.75,336.70001220703125,355.20001220703125,687803,2021-12-13
2021-12-20,313.6591491699219,329.25,338.8500061035156,319.0,338.8500061035156,306558,2021-12-20
2021-12-27,310.6583251953125,326.1000061035156,332.79998779296875,321.0,330.8999938964844,341309,2021-12-27
2022-01-03,320.04193115234375,335.95001220703125,348.75,326.1499938964844,329.8999938964844,773437,2022-01-03
2022-01-10,316.7076416015625,332.45001220703125,340.5,324.0,339.25,737732,2022-01-10
2022-01-17,304.46612548828125,319.6000061035156,348.3500061035156,317.20001220703125,334.0,755901,2022-01-17
2022-01-24,296.5591125488281,311.29998779296875,321.95001220703125,297.29998779296875,317.0,469128,2022-01-24
2022-01-31,324.3288269042969,340.45001220703125,354.8999938964844,312.8999938964844,312.8999938964844,1696745,2022-01-31
2022-02-07,297.1783447265625,311.95001220703125,332.0,309.0,329.0,586489,2022-02-07
2022-02-14,283.0315246582031,297.1000061035156,313.8999938964844,295.95001220703125,308.95001220703125,371029,2022-02-14
2022-02-21,295.1301574707031,309.79998779296875,313.79998779296875,260.0,297.0,2793432,2022-02-21
2022-02-28,291.51007080078125,306.0,337.75,301.3500061035156,309.04998779296875,2841151,2022-02-28
2022-03-07,288.93792724609375,303.29998779296875,318.1499938964844,294.0,299.1000061035156,1065060,2022-03-07
2022-03-14,286.31817626953125,300.54998779296875,311.70001220703125,298.5,304.8500061035156,626537,2022-03-14
2022-03-21,279.88775634765625,293.79998779296875,310.8999938964844,288.0,302.1000061035156,1030966,2022-03-21
2022-03-28,274.7911682128906,288.45001220703125,296.20001220703125,276.0,291.3999938964844,1125227,2022-03-28
2022-04-04,287.0802917480469,301.3500061035156,309.6000061035156,289.8999938964844,289.8999938964844,846612,2022-04-04
2022-04-11,299.60760498046875,314.5,324.04998779296875,301.70001220703125,301.79998779296875,1457173,2022-04-11
2022-04-18,292.2721862792969,306.79998779296875,328.6000061035156,305.0,316.0,1198289,2022-04-18
2022-04-25,287.93768310546875,302.25,311.04998779296875,300.0,303.5,622586,2022-04-25
2022-05-02,272.742919921875,286.29998779296875,301.8500061035156,284.6000061035156,301.0,346863,2022-05-02
2022-05-09,260.3584899902344,273.29998779296875,290.0,267.29998779296875,285.95001220703125,474196,2022-05-09
2022-05-16,264.6930847167969,277.8500061035156,291.6000061035156,271.0,273.20001220703125,572521,2022-05-16
2022-05-23,273.3621520996094,286.95001220703125,288.54998779296875,268.0,279.29998779296875,660401,2022-05-23
2022-05-30,283.1744079589844,297.25,306.79998779296875,280.8500061035156,289.5,793516,2022-05-30
2022-06-06,284.0317687988281,298.1499938964844,306.79998779296875,290.04998779296875,297.25,379993,2022-06-06
2022-06-13,259.5010986328125,272.3999938964844,293.8999938964844,268.54998779296875,293.8999938964844,265875,2022-06-13
2022-06-20,255.6905517578125,268.3999938964844,276.6000061035156,264.1000061035156,273.0,201047,2022-06-20
2022-06-27,251.16549682617188,263.6499938964844,278.8500061035156,258.3999938964844,273.70001220703125,171639,2022-06-27
2022-07-04,255.7381591796875,268.45001220703125,280.0,260.29998779296875,266.25,228495,2022-07-04
2022-07-11,261.072998046875,274.04998779296875,286.0,267.54998779296875,267.54998779296875,250480,2022-07-11
2022-07-18,279.4591064453125,293.3500061035156,300.6499938964844,269.20001220703125,274.04998779296875,1202755,2022-07-18
2022-07-25,273.4574279785156,287.04998779296875,293.8999938964844,279.79998779296875,292.3999938964844,209114,2022-07-25
2022-08-01,278.83990478515625,292.70001220703125,298.0,284.0,293.5,296259,2022-08-01
2022-08-08,251.45126342773438,263.95001220703125,287.8999938964844,261.95001220703125,286.20001220703125,476619,2022-08-08
2022-08-15,255.1593475341797,266.8500061035156,275.95001220703125,263.95001220703125,263.95001220703125,649828,2022-08-15
2022-08-22,252.1951141357422,263.75,269.45001220703125,262.29998779296875,268.20001220703125,284723,2022-08-22
2022-08-29,256.8804931640625,268.6499938964844,272.3500061035156,260.1000061035156,261.1000061035156,246508,2022-08-29
2022-09-05,264.3865661621094,276.5,282.0,267.04998779296875,270.0,546390,2022-09-05
2022-09-12,261.2311096191406,273.20001220703125,283.0,269.0,277.8999938964844,496346,2022-09-12
2022-09-19,278.1556701660156,290.8999938964844,310.5,263.0,273.20001220703125,14871054,2022-09-19
2022-09-26,257.5498352050781,269.3500061035156,290.0,266.95001220703125,289.79998779296875,1119065,2022-09-26
2022-10-03,269.3587646484375,281.70001220703125,291.0,264.75,267.3999938964844,609471,2022-10-03
2022-10-10,257.0238952636719,268.79998779296875,280.3500061035156,266.0,278.0,321263,2022-10-10
2022-10-17,269.69342041015625,282.04998779296875,288.0,265.45001220703125,269.70001220703125,559166,2022-10-17
2022-10-24,271.6535949707031,284.1000061035156,288.5,280.29998779296875,282.0,196138,2022-10-24
2022-10-31,269.2631530761719,281.6000061035156,292.45001220703125,280.0,285.54998779296875,292670,2022-10-31
2022-11-07,272.1317138671875,284.6000061035156,300.0,280.20001220703125,283.04998779296875,535604,2022-11-07
2022-11-14,266.92047119140625,279.1499938964844,286.0,272.04998779296875,281.0,238709,2022-11-14
2022-11-21,272.6097717285156,285.1000061035156,288.3500061035156,270.04998779296875,279.0,340310,2022-11-21
2022-11-28,271.175537109375,283.6000061035156,287.8999938964844,279.1499938964844,286.5,248645,2022-11-28
2022-12-05,291.2076721191406,304.54998779296875,323.75,283.70001220703125,283.70001220703125,2601323,2022-12-05
2022-12-12,288.5303649902344,301.75,318.8500061035156,296.0,306.04998779296875,458624,2022-12-12
2022-12-19,257.2629699707031,269.04998779296875,309.3999938964844,267.6000061035156,301.5,472253,2022-12-19
2022-12-26,268.4981689453125,280.79998779296875,284.6499938964844,268.6499938964844,274.8500061035156,255175,2022-12-26
2023-01-02,265.91650390625,278.1000061035156,294.70001220703125,276.0,282.1000061035156,343924,2023-01-02
2023-01-09,264.9124450683594,277.04998779296875,282.0,273.54998779296875,279.5,157931,2023-01-09
2023-01-16,268.8328552246094,281.1499938964844,297.5,277.1000061035156,277.1000061035156,353730,2023-01-16
2023-01-23,261.42236328125,273.3999938964844,282.0,269.1000061035156,281.1499938964844,142671,2023-01-23
2023-01-30,259.0318908691406,270.8999938964844,287.25,266.0,270.0,288766,2023-01-30
2023-02-06,268.21136474609375,280.5,283.5,269.8999938964844,269.8999938964844,229024,2023-02-06
2023-02-13,263.5259704589844,275.6000061035156,281.29998779296875,268.75,280.0,157541,2023-02-13
2023-02-20,264.434326171875,276.54998779296875,289.45001220703125,269.5,275.6000061035156,345670,2023-02-20
2023-02-27,260.65740966796875,272.6000061035156,284.0,271.0,277.0,208591,2023-02-27
2023-03-06,254.92027282714844,266.6000061035156,284.0,265.54998779296875,273.04998779296875,193062,2023-03-06
2023-03-13,227.23855590820312,237.64999389648438,268.0,236.5,265.5,511652,2023-03-13
2023-03-20,223.03134155273438,233.25,247.9499969482422,231.0,231.0,390760,2023-03-20
2023-03-27,221.83612060546875,232.0,243.9499969482422,225.0,231.5,364264,2023-03-27
2023-04-03,246.26675415039062,257.54998779296875,264.0,232.0,232.0,252048,2023-04-03
2023-04-10,250.09153747558594,261.54998779296875,262.6000061035156,248.14999389648438,258.0,136656,2023-04-10
2023-04-17,245.74085998535156,257.0,261.6499938964844,249.25,261.6000061035156,200962,2023-04-17
2023-04-24,246.88829040527344,258.20001220703125,259.0,251.0,258.6499938964844,136765,2023-04-24
2023-05-01,263.0000915527344,275.04998779296875,279.0,258.20001220703125,258.20001220703125,261453,2023-05-01
2023-05-08,277.1517028808594,289.8500061035156,295.6000061035156,266.1000061035156,277.0,415152,2023-05-08
2023-05-15,263.04791259765625,275.1000061035156,306.70001220703125,273.45001220703125,292.8999938964844,894383,2023-05-15
2023-05-22,265.7730407714844,273.95001220703125,282.1000061035156,268.6000061035156,275.6000061035156,253888,2023-05-22
2023-05-29,273.8738098144531,282.29998779296875,293.75,274.29998779296875,277.0,488952,2023-05-29
2023-06-05,266.1611022949219,274.3500061035156,287.5,269.0,282.45001220703125,651884,2023-06-05
2023-06-12,265.530517578125,273.70001220703125,277.45001220703125,271.45001220703125,275.75,932122,2023-06-12
2023-06-19,260.7282409667969,268.75,276.3999938964844,267.0,274.1000061035156,481327,2023-06-19
2023-06-26,271.0603332519531,279.3999938964844,285.8999938964844,265.6000061035156,282.29998779296875,3731590,2023-06-26
2023-07-03,275.280517578125,283.75,300.0,273.79998779296875,281.3500061035156,2517067,2023-07-03
2023-07-10,275.95965576171875,284.45001220703125,290.45001220703125,280.0,285.20001220703125,784790,2023-07-10
2023-07-17,292.84027099609375,301.8500061035156,310.79998779296875,284.1499938964844,285.6499938964844,1603382,2023-07-17
2023-07-24,317.5306396484375,327.29998779296875,339.75,297.1000061035156,303.29998779296875,2957459,2023-07-24
2023-07-31,331.3067932128906,341.5,343.6000061035156,317.0,329.1000061035156,1655517,2023-07-31
2023-08-07,320.1347961425781,329.0,346.54998779296875,325.8500061035156,343.1499938964844,1130013,2023-08-07
2023-08-14,320.3294372558594,329.20001220703125,344.95001220703125,327.6499938964844,335.0,939950,2023-08-14
2023-08-21,312.4963073730469,321.1499938964844,335.25,320.0,329.0,979571,2023-08-21
2023-08-28,315.8047180175781,324.54998779296875,336.0,319.0,322.79998779296875,853064,2023-08-28
2023-09-04,315.0262451171875,323.75,330.0,320.0,324.54998779296875,804529,2023-09-04
2023-09-11,305.19842529296875,313.6499938964844,325.95001220703125,301.0,325.70001220703125,1343843,2023-09-11
2023-09-18,314.393798828125,323.1000061035156,326.70001220703125,308.1000061035156,310.20001220703125,1275510,2023-09-18
2023-09-25,311.8638610839844,320.5,327.5,311.54998779296875,323.1000061035156,545554,2023-09-25
2023-10-02,316.7291259765625,325.5,332.0,309.75,320.5,901923,2023-10-02
2023-10-09,325.9244689941406,334.95001220703125,344.1499938964844,316.54998779296875,323.0,892213,2023-10-09
2023-10-16,322.8593444824219,331.79998779296875,340.45001220703125,322.8500061035156,336.54998779296875,804545,2023-10-16
2023-10-23,299.5060119628906,307.79998779296875,333.1000061035156,291.1000061035156,329.20001220703125,634483,2023-10-23
2023-10-30,300.08990478515625,308.3999938964844,318.0,304.8500061035156,309.1000061035156,316756,2023-10-30
2023-11-06,315.6587219238281,324.3999938964844,341.25,308.0,312.0,1707287,2023-11-06
2023-11-13,307.4850769042969,316.0,334.0,313.29998779296875,331.3500061035156,606158,2023-11-13
2023-11-20,320.3294372558594,329.20001220703125,339.5,313.0,315.3500061035156,1880942,2023-11-20
2023-11-27,319.5023193359375,328.3500061035156,345.0,324.6499938964844,329.20001220703125,1222723,2023-11-27
2023-12-04,343.82867431640625,353.3500061035156,368.0,325.29998779296875,333.70001220703125,6422020,2023-12-04
2023-12-11,360.3219299316406,370.29998779296875,378.8999938964844,352.79998779296875,353.0,5356731,2023-12-11
2023-12-18,365.5764465332031,375.70001220703125,384.0,352.04998779296875,371.29998779296875,3542601,2023-12-18
2023-12-25,365.2358703613281,375.3500061035156,384.1499938964844,369.8999938964844,375.70001220703125,1320929,2023-12-25
2024-01-01,365.9169921875,376.04998779296875,383.1499938964844,368.5,376.20001220703125,1144705,2024-01-01
2024-01-08,355.1160888671875,364.95001220703125,376.75,359.04998779296875,375.0,942342,2024-01-08
2024-01-15,372.1445617675781,382.45001220703125,391.95001220703125,358.1000061035156,365.0,1921690,2024-01-15
2024-01-22,362.2193908691406,372.25,382.45001220703125,365.6000061035156,382.45001220703125,755130,2024-01-22
2024-01-29,376.86383056640625,387.29998779296875,394.8999938964844,363.29998779296875,371.6000061035156,1537107,2024-01-29
2024-02-05,371.46343994140625,381.75,404.5,367.0,387.29998779296875,1433337,2024-02-05
2024-02-12,397.9305114746094,408.95001220703125,425.1499938964844,377.79998779296875,405.0,3930977,2024-02-12
2024-02-19,396.37359619140625,407.3500061035156,416.0,397.0,409.25,1153248,2024-02-19
2024-02-26,373.55548095703125,383.8999938964844,408.0,380.20001220703125,408.0,793388,2024-02-26
2024-03-04,361.1977233886719,371.20001220703125,395.0,367.0,391.04998779296875,638173,2024-03-04
2024-03-11,352.05096435546875,361.79998779296875,396.1499938964844,340.29998779296875,374.6000061035156,2667451,2024-03-11
2024-03-18,348.3533630371094,358.0,363.8999938964844,340.04998779296875,355.54998779296875,850993,2024-03-18
2024-03-25,339.06072998046875,348.45001220703125,363.0,345.0,358.0,519099,2024-03-25
2024-04-01,350.05621337890625,359.75,372.1499938964844,343.79998779296875,343.79998779296875,1072540,2024-04-01
2024-04-08,353.3159484863281,363.1000061035156,369.95001220703125,353.20001220703125,360.0,897065,2024-04-08
2024-04-15,356.381103515625,366.25,369.0,349.25,363.0,456545,2024-04-15
2024-04-22,381.1939392089844,391.75,395.0,368.0,372.0,781792,2024-04-22
2024-04-29,384.3077392578125,394.95001220703125,397.45001220703125,386.3999938964844,394.3999938964844,556072,2024-04-29
2024-05-06,383.1886901855469,393.79998779296875,401.95001220703125,376.6499938964844,395.0,714617,2024-05-06
2024-05-13,365.3818054199219,375.5,389.75,369.95001220703125,382.0,663887,2024-05-13
2024-05-20,367.4864196777344,373.70001220703125,386.3999938964844,364.20001220703125,373.75,842516,2024-05-20
2024-05-27,356.76763916015625,362.79998779296875,376.3999938964844,358.25,373.6499938964844,558933,2024-05-27
2024-06-03,356.9151611328125,362.95001220703125,369.8999938964844,334.04998779296875,368.3500061035156,1433473,2024-06-03
2024-06-10,388.3830871582031,394.95001220703125,404.8500061035156,358.0,364.75,2118790,2024-06-10
2024-06-17,380.0735778808594,386.5,409.79998779296875,375.95001220703125,394.95001220703125,2524069,2024-06-17
2024-06-24,375.402587890625,381.75,391.6000061035156,365.04998779296875,387.0,948326,2024-06-24
2024-07-01,392.56243896484375,399.20001220703125,410.0,367.20001220703125,382.70001220703125,2309695,2024-07-01
2024-07-08,370.1415100097656,376.3999938964844,404.3999938964844,372.79998779296875,401.3999938964844,914389,2024-07-08
2024-07-15,366.2572021484375,372.45001220703125,386.0,368.6000061035156,376.79998779296875,823689,2024-07-15
2024-07-22,393.56475830078125,399.04998779296875,414.25,356.45001220703125,372.0,2487967,2024-07-22
2024-07-29,427.196044921875,433.1499938964844,441.95001220703125,403.0,403.95001220703125,4012544,2024-07-29
2024-08-05,408.35858154296875,414.04998779296875,438.0,408.6000061035156,427.0,1494030,2024-08-05
2024-08-12,422.8072204589844,428.70001220703125,434.8999938964844,400.0,414.04998779296875,1609655,2024-08-12
2024-08-19,447.5621643066406,453.79998779296875,472.5,429.95001220703125,433.95001220703125,4457849,2024-08-19
2024-08-26,439.918701171875,446.04998779296875,486.0,440.0,455.75,1891695,2024-08-26
2024-09-02,449.978515625,456.25,477.70001220703125,435.1000061035156,448.20001220703125,1181154,2024-09-02
2024-09-09,525.9201049804688,533.25,550.0,439.79998779296875,456.25,11176627,2024-09-09
2024-09-16,530.6541137695312,538.0499877929688,571.0,499.3500061035156,537.0,4141202,2024-09-16
2024-09-23,496.0859069824219,503.0,548.0499877929688,499.5,542.0,1415897,2024-09-23
2024-09-30,485.2370910644531,492.0,525.5999755859375,480.1499938964844,502.6499938964844,1310463,2024-09-30
2024-10-07,478.2840270996094,484.95001220703125,498.45001220703125,461.0,494.5,1042351,2024-10-07
2024-10-14,473.106201171875,479.70001220703125,517.9000244140625,465.0,490.8999938964844,1458692,2024-10-14
2024-10-21,430.5,436.5,482.1000061035156,415.79998779296875,479.95001220703125,1057857,2024-10-21
2024-10-28,471.72540283203125,478.29998779296875,484.8999938964844,429.04998779296875,436.95001220703125,627997,2024-10-28
2024-11-04,479.3688659667969,486.04998779296875,505.70001220703125,468.8500061035156,475.54998779296875,990956,2024-11-04
2024-11-11,374.5300598144531,379.75,468.0,369.29998779296875,468.0,2686518,2024-11-11
2024-11-18,361.31427001953125,366.3500061035156,394.25,365.70001220703125,379.79998779296875,758194,2024-11-18
2024-11-25,372.9520568847656,378.1499938964844,398.5,365.8500061035156,375.70001220703125,998620,2024-11-25
2024-12-02,371.3740234375,376.54998779296875,388.3999938964844,365.3999938964844,370.0,1220038,2024-12-02
2024-12-09,372.2123718261719,377.3999938964844,411.3999938964844,374.0,377.6000061035156,1433240,2024-12-09
2024-12-16,356.23504638671875,361.20001220703125,388.79998779296875,361.0,380.70001220703125,773413,2024-12-16
2024-12-23,345.1889953613281,350.0,366.95001220703125,347.04998779296875,365.3999938964844,502151,2024-12-23
2024-12-30,353.5721435546875,358.5,365.0,338.29998779296875,351.75,838807,2024-12-30
2025-01-06,335.1291809082031,339.79998779296875,358.5,337.8999938964844,358.5,1257246,2025-01-06
2025-01-13,335.17852783203125,339.8500061035156,347.6499938964844,331.29998779296875,339.1000061035156,808243,2025-01-13
2025-01-20,323.1955261230469,327.70001220703125,350.5,326.8999938964844,341.8999938964844,1778650,2025-01-20
2025-01-27,337.7920837402344,342.5,347.04998779296875,321.0,321.0,901155,2025-01-27
2025-02-03,326.84466552734375,331.3999938964844,350.8999938964844,327.8500061035156,339.95001220703125,725187,2025-02-03
2025-02-10,304.4073791503906,308.6499938964844,335.0,301.1499938964844,330.29998779296875,1109172,2025-02-10
2025-02-17,285.81646728515625,289.79998779296875,306.75,287.0,305.79998779296875,1626705,2025-02-17
2025-02-24,256.2781677246094,259.8500061035156,291.3999938964844,258.1000061035156,289.0,2568037,2025-02-24
2025-03-03,286.01373291015625,290.0,293.70001220703125,257.8999938964844,264.6000061035156,1519877,2025-03-03
2025-03-10,263.32989501953125,267.0,292.95001220703125,265.3500061035156,291.0,948506,2025-03-10
2025-03-17,287.54241943359375,291.54998779296875,294.6000061035156,261.1000061035156,269.0,806940,2025-03-17
2025-03-24,275.6087646484375,279.45001220703125,302.3500061035156,275.20001220703125,293.1000061035156,1154798,2025-03-24
2025-03-31,274.12939453125,277.95001220703125,296.0,274.95001220703125,279.45001220703125,556351,2025-03-31
2025-04-07,272.6499938964844,276.45001220703125,278.20001220703125,266.0,269.95001220703125,536622,2025-04-07
2025-04-14,287.9862365722656,292.0,293.8500061035156,280.0,280.0,196551,2025-04-14
2025-04-21,285.5205993652344,289.5,306.5,283.45001220703125,293.5,647410,2025-04-21
2025-04-28,278.07440185546875,281.95001220703125,293.54998779296875,280.75,290.0,387856,2025-04-28
2025-05-05,277.0881652832031,280.95001220703125,291.95001220703125,273.6499938964844,282.25,373590,2025-05-05
2025-05-12,286.06304931640625,290.04998779296875,306.8500061035156,284.0,286.0,1195681,2025-05-12
2025-05-19,290.3500061035156,290.3500061035156,298.0,283.54998779296875,291.0,545214,2025-05-19
2025-05-26,305.1000061035156,305.1000061035156,322.95001220703125,286.95001220703125,291.45001220703125,2144553,2025-05-26
2025-06-02,303.6000061035156,303.6000061035156,312.75,302.0,303.79998779296875,597571,2025-06-02
2025-06-09,320.6000061035156,320.6000061035156,341.79998779296875,305.75,305.79998779296875,2344245,2025-06-09
2025-06-16,325.0,325.0,363.8999938964844,314.75,317.3500061035156,3606974,2025-06-16
2025-06-23,329.75,329.75,341.8500061035156,321.0,321.0,1267845,2025-06-23
2025-06-30,338.25,338.25,344.5,318.6000061035156,331.29998779296875,1695293,2025-06-30
2025-07-07,332.45001220703125,332.45001220703125,345.1499938964844,323.79998779296875,339.20001220703125,1132322,2025-07-07
2025-07-14,327.20001220703125,327.20001220703125,335.8999938964844,321.29998779296875,335.0,447283,2025-07-14
