Date,Adj Close_KIRLOSBROS.NS,Close_KIRLOSBROS.NS,High_KIRLOSBROS.NS,Low_KIRLOSBROS.NS,Open_KIRLOSBROS.NS,Volume_KIRLOSBROS.NS,Date
2023-06-05,560.663818359375,565.7999877929688,604.0,557.0,590.2000122070312,1119932,2023-06-05
2023-06-12,591.7787475585938,597.2000122070312,615.0,557.0499877929688,565.8499755859375,1316590,2023-06-12
2023-06-19,571.613525390625,576.8499755859375,617.9500122070312,564.2000122070312,601.1500244140625,961705,2023-06-19
2023-06-26,604.7598876953125,610.2999877929688,615.0,577.7000122070312,578.6500244140625,696590,2023-06-26
2023-07-03,624.1323852539062,629.8499755859375,654.7000122070312,598.5999755859375,610.2999877929688,1396604,2023-07-03
2023-07-10,694.7852172851562,701.1500244140625,725.0,629.9000244140625,629.9000244140625,2079104,2023-07-10
2023-07-17,687.9973754882812,694.2999877929688,724.9000244140625,687.5,703.0,867326,2023-07-17
2023-07-24,731.7960815429688,738.5,776.0999755859375,681.4000244140625,701.25,1274835,2023-07-24
2023-07-31,844.7420043945312,847.0499877929688,850.0,735.0499877929688,744.0,3375437,2023-07-31
2023-08-07,925.2221069335938,927.75,935.5999755859375,833.5499877929688,850.0,1288567,2023-08-07
2023-08-14,829.084716796875,831.3499755859375,992.7000122070312,782.2999877929688,923.9500122070312,1179599,2023-08-14
2023-08-21,859.0029907226562,861.3499755859375,880.2000122070312,765.5,812.25,815174,2023-08-21
2023-08-28,827.7384643554688,830.0,889.0,806.8499755859375,885.0,1039091,2023-08-28
2023-09-04,848.0828857421875,850.4000244140625,864.1500244140625,825.0499877929688,830.0,509781,2023-09-04
2023-09-11,810.9842529296875,813.2000122070312,861.0,762.0999755859375,861.0,938953,2023-09-11
2023-09-18,834.7193603515625,837.0,859.4500122070312,802.0499877929688,829.0,353214,2023-09-18
2023-09-25,836.7637939453125,839.0499877929688,877.4500122070312,809.9500122070312,836.9000244140625,398062,2023-09-25
2023-10-02,883.6356811523438,886.0499877929688,922.4000244140625,805.8499755859375,839.0499877929688,614527,2023-10-02
2023-10-09,953.2454833984375,955.8499755859375,979.7999877929688,864.3499755859375,886.75,518093,2023-10-09
2023-10-16,1001.4139404296875,1004.1500244140625,1061.550048828125,913.6500244140625,942.0,464364,2023-10-16
2023-10-23,890.2177734375,892.6500244140625,1034.8499755859375,814.0499877929688,1022.0999755859375,552030,2023-10-23
2023-10-30,915.2493286132812,917.75,934.7000122070312,870.0,894.75,196035,2023-10-30
2023-11-06,855.1635131835938,857.5,941.5,803.25,930.0,864827,2023-11-06
2023-11-13,897.1488037109375,899.5999755859375,906.5,845.75,856.0,323030,2023-11-13
2023-11-20,954.6915893554688,957.2999877929688,979.4500122070312,896.5499877929688,909.0,383807,2023-11-20
2023-11-27,988.549072265625,991.25,1010.0,945.0,957.2999877929688,271319,2023-11-27
2023-12-04,961.4231567382812,964.0499877929688,1047.800048828125,953.25,1000.0,427464,2023-12-04
2023-12-11,952.8466186523438,955.4500122070312,974.5499877929688,873.2000122070312,960.75,342860,2023-12-11
2023-12-18,904.9275512695312,907.4000244140625,958.4000244140625,875.5999755859375,947.2999877929688,162505,2023-12-18
2023-12-25,885.6302490234375,888.0499877929688,918.2999877929688,873.5499877929688,907.4000244140625,240899,2023-12-25
2024-01-01,912.9556274414062,915.4500122070312,925.25,888.0,888.0,287464,2024-01-01
2024-01-08,926.6681518554688,929.2000122070312,942.8499755859375,905.2000122070312,915.7999877929688,314114,2024-01-08
2024-01-15,881.8406372070312,884.25,936.75,843.4500122070312,929.0,430471,2024-01-15
2024-01-22,889.02099609375,891.4500122070312,907.25,837.0,884.25,399050,2024-01-22
2024-01-29,912.90576171875,915.4000244140625,928.9500122070312,891.0,900.75,143971,2024-01-29
2024-02-05,1001.513671875,1004.25,1034.0,901.0,902.0,349091,2024-02-05
2024-02-12,900.1904907226562,902.6500244140625,1026.199951171875,890.0,1025.949951171875,394715,2024-02-12
2024-02-19,923.9755249023438,926.5,944.9000244140625,898.9500122070312,906.1500244140625,265670,2024-02-19
2024-02-26,936.6907348632812,939.25,945.0,907.2000122070312,929.75,167264,2024-02-26
2024-03-04,1086.6810302734375,1089.6500244140625,1147.1500244140625,926.3499755859375,938.0,2785031,2024-03-04
2024-03-11,1044.79541015625,1047.6500244140625,1240.9000244140625,953.7000122070312,1099.6500244140625,2273903,2024-03-11
2024-03-18,1062.746337890625,1065.6500244140625,1097.949951171875,982.25,1051.0,556361,2024-03-18
2024-03-25,1092.0662841796875,1095.050048828125,1138.0,1010.5999755859375,1065.6500244140625,537867,2024-03-25
2024-04-01,1152.4512939453125,1155.5999755859375,1196.0,1088.1500244140625,1125.050048828125,617001,2024-04-01
2024-04-08,1136.893798828125,1140.0,1222.199951171875,1128.0,1160.25,522611,2024-04-08
2024-04-15,1194.237060546875,1197.5,1233.949951171875,1083.550048828125,1117.0,455074,2024-04-15
2024-04-22,1295.610107421875,1299.1500244140625,1353.800048828125,1194.5999755859375,1197.5,666767,2024-04-22
2024-04-29,1390.2515869140625,1394.050048828125,1410.0,1288.5,1312.949951171875,507593,2024-04-29
2024-05-06,1426.652099609375,1430.550048828125,1457.0,1295.0,1414.0999755859375,786518,2024-05-06
2024-05-13,1840.62109375,1845.6500244140625,1924.9000244140625,1381.0,1441.75,4603834,2024-05-13
2024-05-20,1633.088134765625,1637.550048828125,1884.4000244140625,1627.25,1849.25,693759,2024-05-20
2024-05-27,1713.917236328125,1718.5999755859375,1853.0,1591.25,1637.550048828125,835707,2024-05-27
2024-06-03,1792.701904296875,1797.5999755859375,1848.9000244140625,1515.25,1840.0,908446,2024-06-03
2024-06-10,2174.06005859375,2180.0,2198.949951171875,1760.0999755859375,1845.0,1079932,2024-06-10
2024-06-17,2117.464599609375,2123.25,2243.14990234375,2061.0,2180.0,456604,2024-06-17
2024-06-24,2116.068603515625,2121.85009765625,2295.5,2086.300048828125,2123.25,692353,2024-06-24
2024-07-01,2596.056884765625,2603.14990234375,2637.949951171875,2120.050048828125,2148.0,979602,2024-07-01
2024-07-08,2264.81201171875,2271.0,2684.0,2263.89990234375,2615.0,730624,2024-07-08
2024-07-15,2185.977294921875,2191.949951171875,2365.300048828125,2148.199951171875,2270.050048828125,664606,2024-07-15
2024-07-22,2234.744384765625,2240.85009765625,2323.550048828125,2148.300048828125,2200.0,481820,2024-07-22
2024-07-29,2245.300048828125,2245.300048828125,2486.199951171875,2203.550048828125,2266.25,511930,2024-07-29
2024-08-05,1980.550048828125,1980.550048828125,2205.300048828125,1941.5,2205.300048828125,755849,2024-08-05
2024-08-12,1985.949951171875,1985.949951171875,2043.550048828125,1851.6500244140625,1950.0999755859375,262706,2024-08-12
2024-08-19,1907.0,1907.0,2037.5999755859375,1897.5,1998.0,253750,2024-08-19
2024-08-26,1805.5999755859375,1805.5999755859375,1907.0,1695.6500244140625,1900.0,894909,2024-08-26
2024-09-02,1647.0,1647.0,1816.699951171875,1641.0,1810.949951171875,580000,2024-09-02
2024-09-09,1628.800048828125,1628.800048828125,1687.9000244140625,1605.0,1635.0,416933,2024-09-09
2024-09-16,1676.0999755859375,1676.0999755859375,1719.0,1577.3499755859375,1651.449951171875,712704,2024-09-16
2024-09-23,1749.25,1749.25,1772.0,1670.1500244140625,1709.449951171875,466604,2024-09-23
2024-09-30,1772.25,1772.25,1890.0,1740.0,1762.0,1068578,2024-09-30
2024-10-07,1770.0999755859375,1770.0999755859375,1825.0,1645.3499755859375,1789.0,421050,2024-10-07
2024-10-14,1856.0999755859375,1856.0999755859375,1865.0,1684.8499755859375,1762.550048828125,1179245,2024-10-14
2024-10-21,1627.3499755859375,1627.3499755859375,1879.449951171875,1604.0,1856.0,509274,2024-10-21
2024-10-28,1999.8499755859375,1999.8499755859375,2016.0,1615.0,1627.3499755859375,1969024,2024-10-28
2024-11-04,2071.5,2071.5,2189.89990234375,1905.050048828125,2015.5,2441286,2024-11-04
2024-11-11,2039.0999755859375,2039.0999755859375,2127.199951171875,1924.0,2108.0,1046158,2024-11-11
2024-11-18,2179.14990234375,2179.14990234375,2264.699951171875,1960.0,2065.0,2003277,2024-11-18
2024-11-25,2279.89990234375,2279.89990234375,2374.449951171875,2191.0,2266.0,1198626,2024-11-25
2024-12-02,2291.64990234375,2291.64990234375,2398.0,2260.0,2300.89990234375,1048659,2024-12-02
2024-12-09,2279.64990234375,2279.64990234375,2409.39990234375,2216.14990234375,2296.14990234375,758867,2024-12-09
2024-12-16,2161.10009765625,2161.10009765625,2325.10009765625,2120.0,2279.64990234375,419551,2024-12-16
2024-12-23,2015.800048828125,2015.800048828125,2145.0,1965.0,2145.0,594358,2024-12-23
2024-12-30,2072.550048828125,2072.550048828125,2148.300048828125,1981.4000244140625,1996.75,485889,2024-12-30
2025-01-06,2060.449951171875,2060.449951171875,2338.39990234375,1951.0,2070.0,4596366,2025-01-06
2025-01-13,1960.9000244140625,1960.9000244140625,2149.050048828125,1903.4000244140625,2048.5,795129,2025-01-13
2025-01-20,1794.9000244140625,1794.9000244140625,1993.0,1774.6500244140625,1979.8499755859375,566701,2025-01-20
2025-01-27,1953.199951171875,1953.199951171875,1987.9000244140625,1668.050048828125,1794.9000244140625,1104571,2025-01-27
2025-02-03,1965.5,1965.5,2005.75,1830.300048828125,1970.0,698727,2025-02-03
2025-02-10,1715.699951171875,1715.699951171875,1969.8499755859375,1644.199951171875,1969.8499755859375,935230,2025-02-10
2025-02-17,1750.550048828125,1750.550048828125,1845.0,1670.949951171875,1704.449951171875,1253376,2025-02-17
2025-02-24,1596.25,1596.25,1814.5999755859375,1569.0,1720.5,1501135,2025-02-24
2025-03-03,1695.800048828125,1695.800048828125,1720.0,1422.3499755859375,1599.300048828125,1560246,2025-03-03
2025-03-10,1578.199951171875,1578.199951171875,1747.1500244140625,1536.0,1695.8499755859375,671001,2025-03-10
2025-03-17,1733.6500244140625,1733.6500244140625,1770.0999755859375,1551.0,1577.800048828125,1717575,2025-03-17
2025-03-24,1712.699951171875,1712.699951171875,1832.0,1682.0,1734.050048828125,775200,2025-03-24
2025-03-31,1698.5999755859375,1698.5999755859375,1733.199951171875,1665.050048828125,1712.699951171875,442487,2025-03-31
2025-04-07,1625.550048828125,1625.550048828125,1700.0,1430.0,1487.699951171875,534948,2025-04-07
2025-04-14,1653.5,1653.5,1671.5,1625.0,1625.550048828125,220538,2025-04-14
2025-04-21,1735.5,1735.5,1839.199951171875,1633.0,1653.699951171875,812419,2025-04-21
2025-04-28,1736.699951171875,1736.699951171875,1778.0,1681.4000244140625,1700.0,349053,2025-04-28
2025-05-05,1806.0999755859375,1806.0999755859375,1871.9000244140625,1698.4000244140625,1754.0,718042,2025-05-05
2025-05-12,1885.800048828125,1885.800048828125,1933.5999755859375,1815.5,1874.0,444622,2025-05-12
2025-05-19,1837.699951171875,1837.699951171875,1933.9000244140625,1824.699951171875,1909.0,240723,2025-05-19
2025-05-26,1812.199951171875,1812.199951171875,1867.9000244140625,1734.300048828125,1837.699951171875,341809,2025-05-26
2025-06-02,1774.199951171875,1774.199951171875,1839.5,1753.0999755859375,1838.9000244140625,221477,2025-06-02
2025-06-09,1827.4000244140625,1827.4000244140625,1909.800048828125,1770.4000244140625,1779.5,474067,2025-06-09
2025-06-16,1801.199951171875,1801.199951171875,1846.0,1773.0,1827.0,295732,2025-06-16
2025-06-23,2327.800048828125,2327.800048828125,2475.0,1785.0,1785.0,9434522,2025-06-23
2025-06-30,2333.0,2333.0,2420.0,2170.5,2300.0,3735287,2025-06-30
2025-07-07,2193.800048828125,2193.800048828125,2387.800048828125,2160.0,2325.0,1306473,2025-07-07
2025-07-14,2214.0,2214.0,2248.5,2125.0,2170.10009765625,517674,2025-07-14
