Date,Adj Close_EXCEL.NS,Close_EXCEL.NS,High_EXCEL.NS,Low_EXCEL.NS,Open_EXCEL.NS,Volume_EXCEL.NS,Date
2020-12-07,0.12333299964666367,0.12333299964666367,0.12333299964666367,0.1033329963684082,0.10999999940395355,2329395,2020-12-07
2020-12-14,0.14333300292491913,0.14333300292491913,0.1466660052537918,0.12666599452495575,0.12666599452495575,7229985,2020-12-14
2020-12-21,0.16666600108146667,0.16666600108146667,0.16666600108146667,0.14000000059604645,0.15000000596046448,5252820,2020-12-21
2020-12-28,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.17333300411701202,0.17333300411701202,1581510,2020-12-28
2021-01-04,0.18666599690914154,0.18666599690914154,0.22333300113677979,0.18666599690914154,0.20999999344348907,16038045,2021-01-04
2021-01-11,0.16666600108146667,0.16666600108146667,0.18000000715255737,0.15333299338817596,0.18000000715255737,7585710,2021-01-11
2021-01-18,0.14333300292491913,0.14333300292491913,0.1766660064458847,0.14333300292491913,0.17333300411701202,6019305,2021-01-18
2021-01-25,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.13666599988937378,0.13666599988937378,4229550,2021-01-25
2021-02-01,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.163332998752594,0.163332998752594,4296585,2021-02-01
2021-02-08,0.23333300650119781,0.23333300650119781,0.23333300650119781,0.19666600227355957,0.19666600227355957,3526005,2021-02-08
2021-02-15,0.20333300530910492,0.20333300530910492,0.24333299696445465,0.1933329999446869,0.24333299696445465,13725660,2021-02-15
2021-02-22,0.1766660064458847,0.1766660064458847,0.21333299577236176,0.16666600108146667,0.20000000298023224,8051955,2021-02-22
2021-03-01,0.19666600227355957,0.19666600227355957,0.20333300530910492,0.17000000178813934,0.18000000715255737,5818980,2021-03-01
2021-03-08,0.18666599690914154,0.18666599690914154,0.20333300530910492,0.18000000715255737,0.20333300530910492,4487175,2021-03-08
2021-03-15,0.17000000178813934,0.17000000178813934,0.1933329999446869,0.16666600108146667,0.1933329999446869,3125640,2021-03-15
2021-03-22,0.15666599571704865,0.15666599571704865,0.1766660064458847,0.15666599571704865,0.16666600108146667,6229515,2021-03-22
2021-03-29,0.163332998752594,0.163332998752594,0.163332998752594,0.15000000596046448,0.15666599571704865,3904035,2021-03-29
2021-04-05,0.1766660064458847,0.1766660064458847,0.1766660064458847,0.1599999964237213,0.17000000178813934,3173190,2021-04-05
2021-04-12,0.16666600108146667,0.16666600108146667,0.18000000715255737,0.163332998752594,0.18000000715255737,3690825,2021-04-12
2021-04-19,0.14000000059604645,0.14000000059604645,0.16666600108146667,0.14000000059604645,0.16666600108146667,3776760,2021-04-19
2021-04-26,0.12999999523162842,0.12999999523162842,0.1333329975605011,0.11999999731779099,0.1333329975605011,3044895,2021-04-26
2021-05-03,0.15333299338817596,0.15333299338817596,0.15333299338817596,0.1333329975605011,0.1333329975605011,4402995,2021-05-03
2021-05-10,0.16666600108146667,0.16666600108146667,0.18000000715255737,0.15333299338817596,0.15333299338817596,3337710,2021-05-10
2021-05-17,0.1599999964237213,0.1599999964237213,0.18666599690914154,0.1599999964237213,0.17000000178813934,7222755,2021-05-17
2021-05-24,0.1466660052537918,0.1466660052537918,0.163332998752594,0.14333300292491913,0.163332998752594,14971830,2021-05-24
2021-05-31,0.1599999964237213,0.1599999964237213,0.163332998752594,0.1466660052537918,0.15333299338817596,6333630,2021-05-31
2021-06-07,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.15666599571704865,0.1599999964237213,8903955,2021-06-07
2021-06-14,0.2199999988079071,0.2199999988079071,0.23333300650119781,0.19666600227355957,0.19666600227355957,7741365,2021-06-14
2021-06-21,0.23999999463558197,0.23999999463558197,0.25999999046325684,0.22333300113677979,0.23000000417232513,9808530,2021-06-21
2021-06-28,0.22666600346565247,0.22666600346565247,0.25,0.2199999988079071,0.23333300650119781,8906745,2021-06-28
2021-07-05,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.21666599810123444,0.22666600346565247,23833395,2021-07-05
2021-07-12,0.24333299696445465,0.24333299696445465,0.2933329939842224,0.24333299696445465,0.2933329939842224,17040780,2021-07-12
2021-07-19,0.2366659939289093,0.2366659939289093,0.2533330023288727,0.22666600346565247,0.24666599929332733,5476740,2021-07-19
2021-07-26,0.2366659939289093,0.2366659939289093,0.2666659951210022,0.23000000417232513,0.24333299696445465,9225120,2021-07-26
2021-08-02,0.23000000417232513,0.23000000417232513,0.25666600465774536,0.22333300113677979,0.23999999463558197,4061880,2021-08-02
2021-08-09,0.21333299577236176,0.21333299577236176,0.24333299696445465,0.2066659927368164,0.2366659939289093,3345105,2021-08-09
2021-08-16,0.18333299458026886,0.18333299458026886,0.21666599810123444,0.18333299458026886,0.21333299577236176,2554095,2021-08-16
2021-08-23,0.1933329999446869,0.1933329999446869,0.1933329999446869,0.17000000178813934,0.18666599690914154,3145275,2021-08-23
2021-08-30,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.18666599690914154,0.1933329999446869,5120010,2021-08-30
2021-09-06,0.22333300113677979,0.22333300113677979,0.24333299696445465,0.21666599810123444,0.23000000417232513,5087100,2021-09-06
2021-09-13,0.2199999988079071,0.2199999988079071,0.23333300650119781,0.20999999344348907,0.23000000417232513,7055070,2021-09-13
2021-09-20,0.21333299577236176,0.21333299577236176,0.22333300113677979,0.20000000298023224,0.2199999988079071,3978225,2021-09-20
2021-09-27,0.19666600227355957,0.19666600227355957,0.2199999988079071,0.1933329999446869,0.2199999988079071,2139975,2021-09-27
2021-10-04,0.2066659927368164,0.2066659927368164,0.20999999344348907,0.19666600227355957,0.20333300530910492,4877400,2021-10-04
2021-10-11,0.2066659927368164,0.2066659927368164,0.23000000417232513,0.2066659927368164,0.21333299577236176,8495535,2021-10-11
2021-10-18,0.19666600227355957,0.19666600227355957,0.21666599810123444,0.1933329999446869,0.21333299577236176,7056810,2021-10-18
2021-10-25,0.1933329999446869,0.1933329999446869,0.21666599810123444,0.1933329999446869,0.20000000298023224,8587740,2021-10-25
2021-11-01,0.20333300530910492,0.20333300530910492,0.20999999344348907,0.1899999976158142,0.1933329999446869,3472365,2021-11-01
2021-11-08,0.20333300530910492,0.20333300530910492,0.20999999344348907,0.1933329999446869,0.20999999344348907,6448905,2021-11-08
2021-11-15,0.20999999344348907,0.20999999344348907,0.21333299577236176,0.19666600227355957,0.2066659927368164,13700370,2021-11-15
2021-11-22,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.2199999988079071,0.2199999988079071,6736560,2021-11-22
2021-11-29,0.3233329951763153,0.3233329951763153,0.3233329951763153,0.27000001072883606,0.27000001072883606,5535840,2021-11-29
2021-12-06,0.37333300709724426,0.37333300709724426,0.37333300709724426,0.3366659879684448,0.3366659879684448,20734050,2021-12-06
2021-12-13,0.46666601300239563,0.46666601300239563,0.46666601300239563,0.38999998569488525,0.38999998569488525,31273200,2021-12-13
2021-12-20,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.49000000953674316,0.49000000953674316,23768250,2021-12-20
2021-12-27,0.6066660284996033,0.6066660284996033,0.6933330297470093,0.5866659879684448,0.6166660189628601,104526540,2021-12-27
2022-01-03,0.7699999809265137,0.7699999809265137,0.7699999809265137,0.576665997505188,0.5899999737739563,71334585,2022-01-03
2022-01-10,0.7300000190734863,0.7300000190734863,0.8866659998893738,0.7300000190734863,0.8066660165786743,26496960,2022-01-10
2022-01-17,0.6933330297470093,0.6933330297470093,0.800000011920929,0.6600000262260437,0.6966660022735596,65192985,2022-01-17
2022-01-24,0.6333330273628235,0.6333330273628235,0.7266659736633301,0.5899999737739563,0.6666659712791443,29976960,2022-01-24
2022-01-31,0.663332998752594,0.663332998752594,0.713333010673523,0.5799999833106995,0.6433330178260803,24597960,2022-01-31
2022-02-07,0.5733330249786377,0.5733330249786377,0.6899999976158142,0.5699999928474426,0.6899999976158142,12246900,2022-02-07
2022-02-14,0.6033329963684082,0.6033329963684082,0.6166660189628601,0.5199999809265137,0.5466660261154175,10814730,2022-02-14
2022-02-21,0.5066660046577454,0.5066660046577454,0.6333330273628235,0.5066660046577454,0.5833330154418945,12287865,2022-02-21
2022-02-28,0.46666601300239563,0.46666601300239563,0.5199999809265137,0.4533329904079437,0.4833329916000366,8549130,2022-02-28
2022-03-07,0.5166659951210022,0.5166659951210022,0.5166659951210022,0.4399999976158142,0.46666601300239563,7281690,2022-03-07
2022-03-14,0.5199999809265137,0.5199999809265137,0.5433329939842224,0.4866659939289093,0.5400000214576721,7491450,2022-03-14
2022-03-21,0.4733330011367798,0.4733330011367798,0.5333330035209656,0.43666601181030273,0.5166659951210022,11046930,2022-03-21
2022-03-28,0.4433329999446869,0.4433329999446869,0.49000000953674316,0.4300000071525574,0.4833329916000366,14003070,2022-03-28
2022-04-04,0.6033329963684082,0.6033329963684082,0.6033329963684082,0.4266659915447235,0.44999998807907104,11317875,2022-04-04
2022-04-11,0.6033329963684082,0.6033329963684082,0.6666659712791443,0.6033329963684082,0.663332998752594,28937745,2022-04-11
2022-04-18,0.526665985584259,0.526665985584259,0.5733330249786377,0.5066660046577454,0.5733330249786377,20554275,2022-04-18
2022-04-25,0.4566659927368164,0.4566659927368164,0.5299999713897705,0.43333300948143005,0.5299999713897705,10587150,2022-04-25
2022-05-02,0.4300000071525574,0.4300000071525574,0.4733330011367798,0.42333298921585083,0.46333301067352295,4902990,2022-05-02
2022-05-09,0.3700000047683716,0.3700000047683716,0.42333298921585083,0.3400000035762787,0.4099999964237213,4452360,2022-05-09
2022-05-16,0.42333298921585083,0.42333298921585083,0.4433329999446869,0.37333300709724426,0.3799999952316284,3005385,2022-05-16
2022-05-23,0.413332998752594,0.413332998752594,0.4266659915447235,0.3866659998893738,0.42333298921585083,5147970,2022-05-23
2022-05-30,0.3966659903526306,0.3966659903526306,0.41999998688697815,0.3700000047683716,0.4166660010814667,5662380,2022-05-30
2022-06-06,0.39333298802375793,0.39333298802375793,0.42333298921585083,0.3833329975605011,0.3833329975605011,4275090,2022-06-06
2022-06-13,0.3400000035762787,0.3400000035762787,0.40333300828933716,0.33333298563957214,0.3866659998893738,4926435,2022-06-13
2022-06-20,0.413332998752594,0.413332998752594,0.41999998688697815,0.34666600823402405,0.34666600823402405,8919990,2022-06-20
2022-06-27,0.5099999904632568,0.5099999904632568,0.5133330225944519,0.413332998752594,0.413332998752594,43093365,2022-06-27
2022-07-04,0.5233330130577087,0.5233330130577087,0.5433329939842224,0.47999998927116394,0.5233330130577087,48569775,2022-07-04
2022-07-11,0.6000000238418579,0.6000000238418579,0.6299999952316284,0.5099999904632568,0.5366659760475159,77288775,2022-07-11
2022-07-18,0.5866659879684448,0.5866659879684448,0.6399999856948853,0.5699999928474426,0.5899999737739563,52226925,2022-07-18
2022-07-25,0.5366659760475159,0.5366659760475159,0.6033329963684082,0.5333330035209656,0.5866659879684448,26119305,2022-07-25
2022-08-01,0.5966659784317017,0.5966659784317017,0.6000000238418579,0.5133330225944519,0.5400000214576721,36517230,2022-08-01
2022-08-08,0.5899999737739563,0.5899999737739563,0.6499999761581421,0.5400000214576721,0.6233329772949219,29486340,2022-08-08
2022-08-15,0.5866659879684448,0.5866659879684448,0.6233329772949219,0.5699999928474426,0.5899999737739563,16780290,2022-08-15
2022-08-22,0.5866659879684448,0.5866659879684448,0.6100000143051147,0.5600000023841858,0.6000000238418579,17235945,2022-08-22
2022-08-29,0.5666660070419312,0.5666660070419312,0.5866659879684448,0.5633329749107361,0.5866659879684448,7951605,2022-08-29
2022-09-05,0.46333301067352295,0.46333301067352295,0.5933330059051514,0.46333301067352295,0.5666660070419312,45651765,2022-09-05
2022-09-12,0.5799999833106995,0.5799999833106995,0.5799999833106995,0.47666600346565247,0.4833329916000366,47159745,2022-09-12
2022-09-19,0.6033329963684082,0.6033329963684082,0.6666659712791443,0.576665997505188,0.6066660284996033,100588950,2022-09-19
2022-09-26,0.6499999761581421,0.6499999761581421,0.699999988079071,0.5699999928474426,0.613332986831665,90611079,2022-09-26
2022-10-03,0.6000000238418579,0.6000000238418579,0.75,0.550000011920929,0.6499999761581421,45398706,2022-10-03
2022-10-10,0.6000000238418579,0.6000000238418579,0.699999988079071,0.5,0.6000000238418579,80543538,2022-10-10
2022-10-17,0.5,0.5,0.6499999761581421,0.44999998807907104,0.550000011920929,116966468,2022-10-17
2022-10-24,0.5,0.5,0.550000011920929,0.44999998807907104,0.5,24411052,2022-10-24
2022-10-31,0.4000000059604645,0.4000000059604645,0.5,0.3499999940395355,0.5,124587468,2022-10-31
2022-11-07,0.3499999940395355,0.3499999940395355,0.4000000059604645,0.30000001192092896,0.4000000059604645,75675311,2022-11-07
2022-11-14,0.30000001192092896,0.30000001192092896,0.3499999940395355,0.30000001192092896,0.3499999940395355,137521757,2022-11-14
2022-11-21,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.20000000298023224,0.30000001192092896,205171844,2022-11-21
2022-11-28,0.550000011920929,0.550000011920929,0.550000011920929,0.30000001192092896,0.3499999940395355,312245339,2022-11-28
2022-12-05,0.6000000238418579,0.6000000238418579,0.699999988079071,0.5,0.6000000238418579,286799418,2022-12-05
2022-12-12,0.550000011920929,0.550000011920929,0.6000000238418579,0.5,0.550000011920929,151984542,2022-12-12
2022-12-19,0.44999998807907104,0.44999998807907104,0.6000000238418579,0.44999998807907104,0.550000011920929,59136684,2022-12-19
2022-12-26,0.550000011920929,0.550000011920929,0.6000000238418579,0.44999998807907104,0.44999998807907104,43183138,2022-12-26
2023-01-02,0.5,0.5,0.550000011920929,0.44999998807907104,0.550000011920929,27279459,2023-01-02
2023-01-09,0.5,0.5,0.550000011920929,0.5,0.5,22175877,2023-01-09
2023-01-16,0.550000011920929,0.550000011920929,0.550000011920929,0.5,0.550000011920929,20115123,2023-01-16
2023-01-23,0.44999998807907104,0.44999998807907104,0.550000011920929,0.44999998807907104,0.5,16672452,2023-01-23
2023-01-30,0.44999998807907104,0.44999998807907104,0.5,0.44999998807907104,0.44999998807907104,13802342,2023-01-30
2023-02-06,0.5,0.5,0.5,0.3499999940395355,0.44999998807907104,48032064,2023-02-06
2023-02-13,0.4000000059604645,0.4000000059604645,0.5,0.3499999940395355,0.5,68529661,2023-02-13
2023-02-20,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.3499999940395355,0.44999998807907104,19089365,2023-02-20
2023-02-27,0.4000000059604645,0.4000000059604645,0.5,0.3499999940395355,0.44999998807907104,53962756,2023-02-27
2023-03-06,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.3499999940395355,0.44999998807907104,19064720,2023-03-06
2023-03-13,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.3499999940395355,0.4000000059604645,29353296,2023-03-13
2023-03-20,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.3499999940395355,0.44999998807907104,36725714,2023-03-20
2023-03-27,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.3499999940395355,0.4000000059604645,10402867,2023-03-27
2023-04-03,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.3499999940395355,0.4000000059604645,20289085,2023-04-03
2023-04-10,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.4000000059604645,0.44999998807907104,13068020,2023-04-10
2023-04-17,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.4000000059604645,0.4000000059604645,15468407,2023-04-17
2023-04-24,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.4000000059604645,0.44999998807907104,22951090,2023-04-24
2023-05-01,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.4000000059604645,0.44999998807907104,15721213,2023-05-01
2023-05-08,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.4000000059604645,0.44999998807907104,17109994,2023-05-08
2023-05-15,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.3499999940395355,0.4000000059604645,31344855,2023-05-15
2023-05-22,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.3499999940395355,0.4000000059604645,26130833,2023-05-22
2023-05-29,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.3499999940395355,0.4000000059604645,18697225,2023-05-29
2023-06-05,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.3499999940395355,0.4000000059604645,28559278,2023-06-05
2023-06-12,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.3499999940395355,0.4000000059604645,28996673,2023-06-12
2023-06-19,0.3499999940395355,0.3499999940395355,0.44999998807907104,0.3499999940395355,0.4000000059604645,18760410,2023-06-19
2023-06-26,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.3499999940395355,0.4000000059604645,7247190,2023-06-26
2023-07-03,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.3499999940395355,0.3499999940395355,9953606,2023-07-03
2023-07-10,0.3499999940395355,0.3499999940395355,0.4000000059604645,0.3499999940395355,0.4000000059604645,9000026,2023-07-10
2023-07-17,0.3499999940395355,0.3499999940395355,0.4000000059604645,0.3499999940395355,0.4000000059604645,10087625,2023-07-17
2023-07-24,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.3499999940395355,0.3499999940395355,8636167,2023-07-24
2023-07-31,0.3499999940395355,0.3499999940395355,0.4000000059604645,0.30000001192092896,0.3499999940395355,31203026,2023-07-31
2023-08-07,0.3499999940395355,0.3499999940395355,0.4000000059604645,0.3499999940395355,0.3499999940395355,12295671,2023-08-07
2023-08-14,0.3499999940395355,0.3499999940395355,0.4000000059604645,0.30000001192092896,0.4000000059604645,13886057,2023-08-14
2023-08-21,0.3499999940395355,0.3499999940395355,0.4000000059604645,0.3499999940395355,0.3499999940395355,17930558,2023-08-21
2023-08-28,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.30000001192092896,0.3499999940395355,27798903,2023-08-28
2023-09-04,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.3499999940395355,0.4000000059604645,36221921,2023-09-04
2023-09-11,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.3499999940395355,0.4000000059604645,31289465,2023-09-11
2023-09-18,0.3499999940395355,0.3499999940395355,0.4000000059604645,0.3499999940395355,0.3499999940395355,6624981,2023-09-18
2023-09-25,0.3499999940395355,0.3499999940395355,0.4000000059604645,0.3499999940395355,0.3499999940395355,5208777,2023-09-25
2023-10-02,0.3499999940395355,0.3499999940395355,0.4000000059604645,0.3499999940395355,0.3499999940395355,6650508,2023-10-02
2023-10-09,0.3499999940395355,0.3499999940395355,0.4000000059604645,0.3499999940395355,0.3499999940395355,7943908,2023-10-09
2023-10-16,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.30000001192092896,0.4000000059604645,92688760,2023-10-16
2023-10-23,0.3499999940395355,0.3499999940395355,0.44999998807907104,0.3499999940395355,0.4000000059604645,74338981,2023-10-23
2023-10-30,0.3499999940395355,0.3499999940395355,0.4000000059604645,0.30000001192092896,0.3499999940395355,26485404,2023-10-30
2023-11-06,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,7564932,2023-11-06
2023-11-13,0.3499999940395355,0.3499999940395355,0.4000000059604645,0.3499999940395355,0.3499999940395355,7444269,2023-11-13
2023-11-20,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.30000001192092896,0.3499999940395355,13740686,2023-11-20
2023-11-27,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.30000001192092896,0.3499999940395355,21503524,2023-11-27
2023-12-04,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.30000001192092896,0.3499999940395355,85261330,2023-12-04
2023-12-11,0.4000000059604645,0.4000000059604645,0.5,0.4000000059604645,0.4000000059604645,101485030,2023-12-11
2023-12-18,0.4000000059604645,0.4000000059604645,0.44999998807907104,0.4000000059604645,0.4000000059604645,16652063,2023-12-18
2023-12-25,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.3499999940395355,0.4000000059604645,7528754,2023-12-25
2024-01-01,0.5,0.5,0.5,0.4000000059604645,0.4000000059604645,29090151,2024-01-01
2024-01-08,0.550000011920929,0.550000011920929,0.550000011920929,0.44999998807907104,0.5,65431444,2024-01-08
2024-01-15,0.550000011920929,0.550000011920929,0.550000011920929,0.44999998807907104,0.550000011920929,31943185,2024-01-15
2024-01-22,0.550000011920929,0.550000011920929,0.550000011920929,0.5,0.550000011920929,15595231,2024-01-22
2024-01-29,0.550000011920929,0.550000011920929,0.550000011920929,0.5,0.5,18974631,2024-01-29
2024-02-05,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.550000011920929,0.550000011920929,48346454,2024-02-05
2024-02-12,0.550000011920929,0.550000011920929,0.550000011920929,0.5,0.550000011920929,14599146,2024-02-12
2024-02-19,0.5,0.5,0.6000000238418579,0.5,0.6000000238418579,40490150,2024-02-19
2024-02-26,0.5,0.5,0.5,0.44999998807907104,0.5,15688747,2024-02-26
2024-03-04,0.550000011920929,0.550000011920929,0.6000000238418579,0.5,0.6000000238418579,55165775,2024-03-04
2024-03-11,0.5,0.5,0.550000011920929,0.44999998807907104,0.550000011920929,24730557,2024-03-11
2024-03-18,0.5,0.5,0.550000011920929,0.44999998807907104,0.5,17576632,2024-03-18
2024-03-25,0.5,0.5,0.550000011920929,0.44999998807907104,0.5,13196071,2024-03-25
2024-04-01,0.5,0.5,0.550000011920929,0.44999998807907104,0.5,23942699,2024-04-01
2024-04-08,0.5,0.5,0.550000011920929,0.5,0.550000011920929,19162811,2024-04-08
2024-04-15,0.5,0.5,0.550000011920929,0.5,0.5,18772845,2024-04-15
2024-04-22,0.550000011920929,0.550000011920929,0.550000011920929,0.5,0.550000011920929,28463232,2024-04-22
2024-04-29,0.550000011920929,0.550000011920929,0.550000011920929,0.5,0.550000011920929,24299931,2024-04-29
2024-05-06,0.5,0.5,0.550000011920929,0.5,0.550000011920929,22806614,2024-05-06
2024-05-13,0.550000011920929,0.550000011920929,0.550000011920929,0.5,0.550000011920929,33136907,2024-05-13
2024-05-20,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.5,0.5,67893362,2024-05-20
2024-05-27,0.800000011920929,0.800000011920929,0.8500000238418579,0.6000000238418579,0.6499999761581421,243071445,2024-05-27
2024-06-03,0.8999999761581421,0.8999999761581421,0.949999988079071,0.800000011920929,0.8500000238418579,126284438,2024-06-03
2024-06-10,0.7799999713897705,0.7799999713897705,0.9300000071525574,0.7799999713897705,0.8999999761581421,46819718,2024-06-10
2024-06-17,0.699999988079071,0.699999988079071,0.7599999904632568,0.699999988079071,0.7599999904632568,12198026,2024-06-17
2024-06-24,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.6800000071525574,0.6899999976158142,19766746,2024-06-24
2024-07-01,0.6899999976158142,0.6899999976158142,0.7099999785423279,0.6899999976158142,0.7099999785423279,17377007,2024-07-01
2024-07-08,0.6600000262260437,0.6600000262260437,0.6899999976158142,0.6499999761581421,0.6899999976158142,14110535,2024-07-08
2024-07-15,0.699999988079071,0.699999988079071,0.699999988079071,0.6600000262260437,0.6600000262260437,3762559,2024-07-15
2024-07-22,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.7099999785423279,0.7300000190734863,36490483,2024-07-22
2024-07-29,0.8399999737739563,0.8399999737739563,0.8999999761581421,0.7599999904632568,0.8999999761581421,64379956,2024-07-29
2024-08-05,0.800000011920929,0.800000011920929,0.8500000238418579,0.7799999713897705,0.8500000238418579,33799317,2024-08-05
2024-08-12,0.7799999713897705,0.7799999713897705,0.8199999928474426,0.7699999809265137,0.8100000023841858,20799729,2024-08-12
2024-08-19,0.8199999928474426,0.8199999928474426,0.8700000047683716,0.7699999809265137,0.7900000214576721,35467298,2024-08-19
2024-08-26,0.7900000214576721,0.7900000214576721,0.8199999928474426,0.7799999713897705,0.8199999928474426,26670781,2024-08-26
2024-09-02,0.7699999809265137,0.7699999809265137,0.800000011920929,0.7699999809265137,0.800000011920929,31173401,2024-09-02
2024-09-09,0.7599999904632568,0.7599999904632568,0.800000011920929,0.75,0.7900000214576721,48297788,2024-09-09
2024-09-16,0.7300000190734863,0.7300000190734863,0.8100000023841858,0.7300000190734863,0.7699999809265137,55936080,2024-09-16
2024-09-23,0.7599999904632568,0.7599999904632568,0.8199999928474426,0.7300000190734863,0.7400000095367432,78698012,2024-09-23
2024-09-30,0.7400000095367432,0.7400000095367432,0.7699999809265137,0.7400000095367432,0.7699999809265137,36218960,2024-09-30
2024-10-07,0.75,0.75,0.7699999809265137,0.7200000286102295,0.7400000095367432,52769925,2024-10-07
2024-10-14,0.75,0.75,0.8199999928474426,0.75,0.75,61797611,2024-10-14
2024-10-21,0.7200000286102295,0.7200000286102295,0.800000011920929,0.7099999785423279,0.7599999904632568,43872492,2024-10-21
2024-10-28,0.9599999785423279,0.9599999785423279,0.9700000286102295,0.7200000286102295,0.7400000095367432,66763299,2024-10-28
2024-11-04,1.1200000047683716,1.1200000047683716,1.1200000047683716,0.9100000262260437,1.0,82730664,2024-11-04
2024-11-11,1.340000033378601,1.340000033378601,1.340000033378601,1.1100000143051147,1.1699999570846558,91234276,2024-11-11
