Date,Adj Close_AWFIS.NS,Close_AWFIS.NS,High_AWFIS.NS,Low_AWFIS.NS,Open_AWFIS.NS,Volume_AWFIS.NS,Date
2024-12-02,715.6500244140625,715.6500244140625,740.0,696.5,699.2999877929688,1402871,2024-12-02
2024-12-09,726.8499755859375,726.8499755859375,807.7999877929688,700.0,728.0,4882423,2024-12-09
2024-12-16,714.6500244140625,714.6500244140625,755.7999877929688,701.0,730.7999877929688,2215652,2024-12-16
2024-12-23,725.4500122070312,725.4500122070312,743.5,690.25,720.0,1200458,2024-12-23
2024-12-30,751.0499877929688,751.0499877929688,772.7999877929688,703.0,730.2999877929688,1286144,2024-12-30
2025-01-06,712.6500244140625,712.6500244140625,786.9500122070312,698.0499877929688,751.9000244140625,2305106,2025-01-06
2025-01-13,701.0499877929688,701.0499877929688,724.0,671.4000244140625,700.7000122070312,2156606,2025-01-13
2025-01-20,675.4500122070312,675.4500122070312,713.7000122070312,668.6500244140625,711.0,1088941,2025-01-20
2025-01-27,664.6500244140625,664.6500244140625,681.0999755859375,603.3499755859375,671.75,1277157,2025-01-27
2025-02-03,698.7999877929688,698.7999877929688,709.0,645.9000244140625,654.0,955782,2025-02-03
2025-02-10,640.0499877929688,640.0499877929688,706.5,616.0499877929688,706.5,1215532,2025-02-10
2025-02-17,678.7000122070312,678.7000122070312,685.4500122070312,617.9500122070312,652.7999877929688,1226613,2025-02-17
2025-02-24,653.2000122070312,653.2000122070312,681.0499877929688,646.0,668.0,439530,2025-02-24
2025-03-03,631.3499755859375,631.3499755859375,661.6500244140625,626.0,653.0,744173,2025-03-03
2025-03-10,571.6500244140625,571.6500244140625,638.8499755859375,545.5,633.9500122070312,994099,2025-03-10
2025-03-17,619.5,619.5,626.0,548.8499755859375,571.6500244140625,929160,2025-03-17
2025-03-24,662.5999755859375,662.5999755859375,666.0,621.25,624.9000244140625,1640793,2025-03-24
2025-03-31,645.5,645.5,685.7000122070312,637.0,662.5999755859375,392716,2025-03-31
2025-04-07,634.3499755859375,634.3499755859375,645.0,568.4500122070312,570.0,403005,2025-04-07
2025-04-14,641.7999877929688,641.7999877929688,663.5499877929688,636.5999755859375,647.0499877929688,506083,2025-04-14
2025-04-21,659.7000122070312,659.7000122070312,699.5,638.6500244140625,649.9500122070312,768989,2025-04-21
2025-04-28,639.7000122070312,639.7000122070312,670.7000122070312,631.5999755859375,660.0,581469,2025-04-28
2025-05-05,597.7000122070312,597.7000122070312,641.5999755859375,585.0,637.2999877929688,422123,2025-05-05
2025-05-12,625.4000244140625,625.4000244140625,632.0,607.0999755859375,620.0,1019114,2025-05-12
2025-05-19,647.9500122070312,647.9500122070312,669.3499755859375,617.5999755859375,634.0,1352026,2025-05-19
2025-05-26,644.5999755859375,644.5999755859375,675.0,627.0499877929688,657.9500122070312,2858438,2025-05-26
2025-06-02,691.75,691.75,718.9500122070312,642.1500244140625,650.0,2272720,2025-06-02
2025-06-09,643.7000122070312,643.7000122070312,711.9500122070312,641.0,695.1500244140625,1089194,2025-06-09
2025-06-16,655.75,655.75,696.0,637.2000122070312,645.4500122070312,1768169,2025-06-16
2025-06-23,652.4500122070312,652.4500122070312,671.5999755859375,638.9000244140625,651.5499877929688,2222917,2025-06-23
2025-06-30,629.0,629.0,654.5,608.0999755859375,652.4000244140625,1118253,2025-06-30
2025-07-07,634.0,634.0,653.3499755859375,608.8499755859375,630.0,1271121,2025-07-07
2025-07-14,635.75,635.75,645.4000244140625,622.0499877929688,640.3499755859375,192947,2025-07-14
