Date,Adj Close_VHLTD.NS,Close_VHLTD.NS,High_VHLTD.NS,Low_VHLTD.NS,Open_VHLTD.NS,Volume_VHLTD.NS,Date
2021-03-08,260.0,260.0,280.0,260.0,270.0,1413,2021-03-08
2021-03-15,230.0,230.0,265.0,230.0,260.0,1499,2021-03-15
2021-03-22,215.0,215.0,235.0,210.0,235.0,1476,2021-03-22
2021-03-29,210.0,210.0,220.0,200.0,215.0,953,2021-03-29
2021-04-05,230.0,230.0,235.0,205.0,220.0,1941,2021-04-05
2021-04-12,215.0,215.0,230.0,215.0,230.0,497,2021-04-12
2021-04-19,200.0,200.0,205.0,190.0,205.0,1598,2021-04-19
2021-04-26,200.0,200.0,205.0,185.0,200.0,1637,2021-04-26
2021-05-03,210.0,210.0,220.0,190.0,200.0,1351,2021-05-03
2021-05-10,250.0,250.0,250.0,210.0,220.0,2097,2021-05-10
2021-05-17,290.0,290.0,290.0,240.0,240.0,2782,2021-05-17
2021-05-24,300.0,300.0,315.0,280.0,300.0,4834,2021-05-24
2021-05-31,330.0,330.0,330.0,285.0,300.0,4460,2021-05-31
2021-06-07,405.0,405.0,405.0,330.0,345.0,2159,2021-06-07
2021-06-14,470.0,470.0,505.0,385.0,425.0,7652,2021-06-14
2021-06-21,375.0,375.0,490.0,375.0,475.0,3800,2021-06-21
2021-06-28,375.0,375.0,405.0,355.0,360.0,2850,2021-06-28
2021-07-05,385.0,385.0,420.0,370.0,375.0,2026,2021-07-05
2021-07-12,395.0,395.0,435.0,375.0,400.0,2136,2021-07-12
2021-07-19,380.0,380.0,400.0,375.0,400.0,1273,2021-07-19
2021-07-26,325.0,325.0,390.0,320.0,390.0,3236,2021-07-26
2021-08-02,330.0,330.0,355.0,320.0,335.0,915,2021-08-02
2021-08-09,300.0,300.0,335.0,285.0,335.0,1214,2021-08-09
2021-08-16,275.0,275.0,315.0,275.0,305.0,583,2021-08-16
2021-08-23,275.0,275.0,285.0,255.0,285.0,758,2021-08-23
2021-08-30,315.0,315.0,315.0,275.0,275.0,527,2021-08-30
2021-09-06,305.0,305.0,325.0,285.0,325.0,606,2021-09-06
2021-09-13,315.0,315.0,335.0,295.0,320.0,1059,2021-09-13
2021-09-20,345.0,345.0,365.0,300.0,325.0,1022,2021-09-20
2021-09-27,345.0,345.0,355.0,325.0,330.0,1333,2021-09-27
2021-10-04,360.0,360.0,360.0,330.0,340.0,1506,2021-10-04
2021-10-11,420.0,420.0,420.0,350.0,375.0,2214,2021-10-11
2021-10-18,415.0,415.0,460.0,405.0,440.0,3338,2021-10-18
2021-10-25,375.0,375.0,425.0,365.0,425.0,1333,2021-10-25
2021-11-01,390.0,390.0,400.0,370.0,370.0,521,2021-11-01
2021-11-08,385.0,385.0,400.0,370.0,400.0,1241,2021-11-08
2021-11-15,375.0,375.0,400.0,365.0,400.0,740,2021-11-15
2021-11-22,370.0,370.0,390.0,360.0,385.0,1836,2021-11-22
2021-11-29,340.0,340.0,375.0,330.0,375.0,1448,2021-11-29
2021-12-06,385.0,385.0,385.0,325.0,330.0,1021,2021-12-06
2021-12-13,430.0,430.0,460.0,395.0,395.0,1547,2021-12-13
2021-12-20,400.0,400.0,440.0,375.0,440.0,1129,2021-12-20
2021-12-27,460.0,460.0,460.0,380.0,400.0,3125,2021-12-27
2022-01-03,575.0,575.0,575.0,475.0,475.0,6182,2022-01-03
2022-01-10,600.0,600.0,690.0,600.0,600.0,6300,2022-01-10
2022-01-17,565.0,565.0,605.0,545.0,580.0,5499,2022-01-17
2022-01-24,525.0,525.0,570.0,495.0,570.0,1575,2022-01-24
2022-01-31,515.0,515.0,560.0,500.0,550.0,1220,2022-01-31
2022-02-07,520.0,520.0,535.0,480.0,530.0,1749,2022-02-07
2022-02-14,460.0,460.0,525.0,445.0,525.0,986,2022-02-14
2022-02-21,410.0,410.0,470.0,390.0,470.0,890,2022-02-21
2022-02-28,435.0,435.0,455.0,400.0,425.0,572,2022-02-28
2022-03-07,415.0,415.0,445.0,400.0,445.0,1032,2022-03-07
2022-03-14,420.0,420.0,435.0,390.0,425.0,1403,2022-03-14
2022-03-21,365.0,365.0,420.0,355.0,420.0,2104,2022-03-21
2022-03-28,325.0,325.0,370.0,300.0,370.0,2604,2022-03-28
2022-04-04,400.0,400.0,400.0,340.0,340.0,1129,2022-04-04
2022-04-11,390.0,390.0,420.0,365.0,420.0,1160,2022-04-11
2022-04-18,385.0,385.0,430.0,375.0,405.0,2157,2022-04-18
2022-04-25,365.0,365.0,400.0,365.0,395.0,966,2022-04-25
2022-05-02,350.0,350.0,375.0,340.0,375.0,877,2022-05-02
2022-05-09,330.0,330.0,375.0,320.0,350.0,1465,2022-05-09
2022-05-16,360.0,360.0,370.0,320.0,330.0,1284,2022-05-16
2022-05-23,340.0,340.0,380.0,330.0,360.0,751,2022-05-23
2022-05-30,340.0,340.0,360.0,330.0,350.0,1625,2022-05-30
2022-06-06,300.0,300.0,355.0,290.0,350.0,3081,2022-06-06
2022-06-13,250.0,250.0,300.0,245.0,290.0,2494,2022-06-13
2022-06-20,220.0,220.0,250.0,215.0,250.0,2036,2022-06-20
2022-06-27,200.0,200.0,235.0,195.0,230.0,3898,2022-06-27
2022-07-04,170.0,170.0,210.0,170.0,205.0,5087,2022-07-04
2022-07-11,175.0,175.0,175.0,155.0,165.0,4152,2022-07-11
2022-07-18,190.0,190.0,190.0,180.0,180.0,541,2022-07-18
2022-07-25,185.0,185.0,185.0,185.0,185.0,334,2022-07-25
2022-08-01,180.0,180.0,180.0,180.0,180.0,1115,2022-08-01
2022-08-08,175.0,175.0,175.0,175.0,175.0,171,2022-08-08
2022-08-15,175.0,175.0,180.0,170.0,175.0,1331,2022-08-15
2022-08-22,180.0,180.0,180.0,170.0,170.0,813,2022-08-22
2022-08-29,185.0,185.0,185.0,170.0,175.0,2426,2022-08-29
2022-09-05,220.0,220.0,220.0,190.0,190.0,367,2022-09-05
2022-09-12,260.0,260.0,260.0,230.0,230.0,455,2022-09-12
2022-09-19,270.0,270.0,270.0,265.0,265.0,263,2022-09-19
2022-09-26,260.0,260.0,280.0,260.0,280.0,1206,2022-09-26
2022-10-03,250.0,250.0,260.0,250.0,260.0,14,2022-10-03
2022-10-10,240.0,240.0,250.0,240.0,250.0,46,2022-10-10
2022-10-17,230.0,230.0,230.0,230.0,230.0,2,2022-10-17
2022-10-24,220.0,220.0,225.0,220.0,225.0,4,2022-10-24
2022-10-31,180.0,180.0,210.0,180.0,210.0,606,2022-10-31
2022-11-07,190.0,190.0,190.0,170.0,175.0,1430,2022-11-07
2022-11-14,210.0,210.0,210.0,195.0,195.0,108,2022-11-14
2022-11-21,200.0,200.0,205.0,200.0,200.0,338,2022-11-21
2022-11-28,190.0,190.0,190.0,190.0,190.0,528,2022-11-28
2022-12-05,185.0,185.0,185.0,185.0,185.0,40,2022-12-05
2022-12-12,180.0,180.0,180.0,180.0,180.0,59,2022-12-12
2022-12-19,175.0,175.0,175.0,175.0,175.0,173,2022-12-19
2022-12-26,170.0,170.0,170.0,170.0,170.0,50,2022-12-26
2023-01-02,195.0,195.0,195.0,170.0,170.0,1947,2023-01-02
2023-01-09,195.0,195.0,200.0,180.0,200.0,1592,2023-01-09
2023-01-16,240.0,240.0,240.0,190.0,200.0,1264,2023-01-16
2023-01-23,240.0,240.0,250.0,220.0,250.0,2812,2023-01-23
2023-01-30,220.0,220.0,260.0,220.0,245.0,3861,2023-01-30
2023-02-06,220.0,220.0,225.0,200.0,225.0,2312,2023-02-06
2023-02-13,270.0,270.0,270.0,210.0,210.0,2434,2023-02-13
2023-02-20,270.0,270.0,270.0,270.0,270.0,0,2023-02-20
2023-02-27,260.0,260.0,260.0,260.0,260.0,523,2023-02-27
2023-03-06,260.0,260.0,260.0,260.0,260.0,0,2023-03-06
2023-03-13,250.0,250.0,250.0,250.0,250.0,0,2023-03-13
2023-03-20,250.0,250.0,250.0,250.0,250.0,0,2023-03-20
2023-03-27,250.0,250.0,250.0,250.0,250.0,0,2023-03-27
2023-04-03,220.0,220.0,245.0,220.0,240.0,383,2023-04-03
2023-04-10,230.0,230.0,235.0,210.0,225.0,846,2023-04-10
2023-04-17,210.0,210.0,235.0,210.0,220.0,1271,2023-04-17
2023-04-24,195.0,195.0,205.0,185.0,200.0,2435,2023-04-24
2023-05-01,185.0,185.0,200.0,185.0,195.0,765,2023-05-01
2023-05-08,190.0,190.0,195.0,175.0,190.0,2667,2023-05-08
2023-05-15,220.0,220.0,220.0,180.0,190.0,615,2023-05-15
2023-05-22,245.0,245.0,245.0,210.0,225.0,1714,2023-05-22
2023-05-29,295.0,295.0,295.0,235.0,235.0,2172,2023-05-29
2023-06-05,295.0,295.0,295.0,295.0,295.0,0,2023-06-05
2023-06-12,280.0,280.0,280.0,280.0,280.0,5,2023-06-12
2023-06-19,270.0,270.0,270.0,270.0,270.0,1715,2023-06-19
2023-06-26,260.0,260.0,260.0,260.0,260.0,20,2023-06-26
2023-07-03,250.0,250.0,250.0,250.0,250.0,114,2023-07-03
2023-07-10,250.0,250.0,250.0,250.0,250.0,0,2023-07-10
2023-07-17,240.0,240.0,240.0,240.0,240.0,185,2023-07-17
2023-07-24,230.0,230.0,230.0,230.0,230.0,1,2023-07-24
2023-07-31,235.0,235.0,235.0,210.0,220.0,964,2023-07-31
2023-08-07,245.0,245.0,255.0,230.0,235.0,2120,2023-08-07
2023-08-14,210.0,210.0,255.0,210.0,255.0,1964,2023-08-14
2023-08-21,220.0,220.0,235.0,200.0,210.0,2423,2023-08-21
2023-08-28,270.0,270.0,270.0,210.0,225.0,3139,2023-08-28
2023-09-04,315.0,315.0,315.0,260.0,280.0,5121,2023-09-04
2023-09-11,300.0,300.0,300.0,300.0,300.0,706,2023-09-11
2023-09-18,285.0,285.0,285.0,285.0,285.0,252,2023-09-18
2023-09-25,270.0,270.0,270.0,270.0,270.0,132,2023-09-25
2023-10-02,260.0,260.0,280.0,260.0,270.0,1099,2023-10-02
2023-10-09,300.0,300.0,300.0,250.0,250.0,1540,2023-10-09
2023-10-16,360.0,360.0,360.0,315.0,315.0,1762,2023-10-16
2023-10-23,360.0,360.0,360.0,360.0,360.0,0,2023-10-23
2023-10-30,360.0,360.0,360.0,360.0,360.0,0,2023-10-30
2023-11-06,360.0,360.0,360.0,360.0,360.0,0,2023-11-06
2023-11-13,360.0,360.0,360.0,360.0,360.0,0,2023-11-13
2023-11-20,360.0,360.0,360.0,360.0,360.0,0,2023-11-20
2023-11-27,360.0,360.0,360.0,360.0,360.0,0,2023-11-27
2023-12-04,360.0,360.0,360.0,360.0,360.0,0,2023-12-04
2023-12-11,360.0,360.0,360.0,360.0,360.0,0,2023-12-11
2023-12-18,360.0,360.0,360.0,360.0,360.0,0,2023-12-18
2023-12-25,360.0,360.0,360.0,360.0,360.0,0,2023-12-25
2024-01-01,360.0,360.0,360.0,360.0,360.0,0,2024-01-01
2024-01-08,360.0,360.0,360.0,360.0,360.0,0,2024-01-08
2024-01-15,360.0,360.0,360.0,360.0,360.0,0,2024-01-15
2024-01-22,360.0,360.0,360.0,360.0,360.0,0,2024-01-22
2024-01-29,360.0,360.0,360.0,360.0,360.0,0,2024-01-29
2024-02-05,360.0,360.0,360.0,360.0,360.0,0,2024-02-05
2024-02-12,360.0,360.0,360.0,360.0,360.0,0,2024-02-12
2024-02-19,360.0,360.0,360.0,360.0,360.0,0,2024-02-19
2024-02-26,360.0,360.0,360.0,360.0,360.0,0,2024-02-26
2024-03-04,360.0,360.0,360.0,360.0,360.0,0,2024-03-04
2024-03-11,360.0,360.0,360.0,360.0,360.0,0,2024-03-11
2024-03-18,360.0,360.0,360.0,360.0,360.0,0,2024-03-18
2024-03-25,360.0,360.0,360.0,360.0,360.0,0,2024-03-25
2024-04-01,45.75,45.75,360.0,39.599998474121094,360.0,2654,2024-04-01
2024-04-08,55.5,55.5,55.5,48.0,48.0,983,2024-04-08
2024-04-15,55.5,55.5,55.5,55.5,55.5,0,2024-04-15
2024-04-22,58.25,58.25,58.25,58.25,58.25,236,2024-04-22
2024-04-29,61.150001525878906,61.150001525878906,61.150001525878906,61.150001525878906,61.150001525878906,533,2024-04-29
2024-05-06,64.19999694824219,64.19999694824219,64.19999694824219,64.19999694824219,64.19999694824219,153,2024-05-06
2024-05-13,67.4000015258789,67.4000015258789,67.4000015258789,67.4000015258789,67.4000015258789,1000,2024-05-13
2024-05-20,70.75,70.75,70.75,67.4000015258789,67.4000015258789,177,2024-05-20
2024-05-27,74.25,74.25,74.25,74.25,74.25,712,2024-05-27
2024-06-03,94.5999984741211,94.5999984741211,94.5999984741211,77.94999694824219,77.94999694824219,4413,2024-06-03
2024-06-10,99.33000183105469,99.33000183105469,99.33000183105469,99.33000183105469,99.33000183105469,106,2024-06-10
2024-06-17,104.29000091552734,104.29000091552734,104.29000091552734,99.33000183105469,99.33000183105469,425,2024-06-17
2024-06-24,109.5,109.5,109.5,109.5,109.5,108,2024-06-24
2024-07-01,114.97000122070312,114.97000122070312,114.97000122070312,114.97000122070312,114.97000122070312,162,2024-07-01
2024-07-08,120.70999908447266,120.70999908447266,120.70999908447266,120.70999908447266,120.70999908447266,193,2024-07-08
2024-07-15,126.73999786376953,126.73999786376953,126.73999786376953,126.44999694824219,126.44999694824219,398,2024-07-15
2024-07-22,133.07000732421875,133.07000732421875,133.07000732421875,133.07000732421875,133.07000732421875,410,2024-07-22
2024-07-29,126.08999633789062,126.08999633789062,139.72000122070312,126.08999633789062,133.07000732421875,31854,2024-07-29
2024-08-05,117.55999755859375,117.55999755859375,119.77999877929688,110.61000061035156,119.77999877929688,653206,2024-08-05
2024-08-12,122.44000244140625,122.44000244140625,124.5,112.55000305175781,116.0,94082,2024-08-12
2024-08-19,118.31999969482422,118.31999969482422,124.19000244140625,115.05999755859375,124.19000244140625,52817,2024-08-19
2024-08-26,115.72000122070312,115.72000122070312,123.19999694824219,113.0999984741211,123.19999694824219,105037,2024-08-26
2024-09-02,116.1500015258789,116.1500015258789,120.94999694824219,110.05000305175781,118.98999786376953,182604,2024-09-02
2024-09-09,115.5,115.5,119.97000122070312,113.5,116.1500015258789,90529,2024-09-09
2024-09-16,134.25,134.25,143.3000030517578,113.20999908447266,113.20999908447266,148243,2024-09-16
2024-09-23,134.4600067138672,134.4600067138672,140.0,130.11000061035156,134.99000549316406,64731,2024-09-23
2024-09-30,127.9800033569336,127.9800033569336,139.0,126.0199966430664,134.5,16052,2024-09-30
2024-10-07,135.22999572753906,135.22999572753906,139.92999267578125,118.30000305175781,127.9800033569336,22544,2024-10-07
2024-10-14,132.0,132.0,141.99000549316406,128.4600067138672,139.0,29839,2024-10-14
2024-10-21,120.7699966430664,120.7699966430664,138.47999572753906,120.33000183105469,132.00999450683594,27270,2024-10-21
2024-10-28,127.69999694824219,127.69999694824219,132.7899932861328,119.0999984741211,124.8499984741211,4471,2024-10-28
2024-11-04,137.75999450683594,137.75999450683594,141.99000549316406,126.98999786376953,127.69000244140625,36099,2024-11-04
2024-11-11,139.63999938964844,139.63999938964844,143.0,129.39999389648438,137.75999450683594,40804,2024-11-11
2024-11-18,121.3782730102539,121.3782730102539,140.0,116.33910369873047,140.0,23123,2024-11-18
2024-11-25,129.9499969482422,129.9499969482422,134.0,115.0245361328125,123.2314453125,174163,2024-11-25
2024-12-02,129.22999572753906,129.22999572753906,136.0,125.0,136.0,63639,2024-12-02
2024-12-09,123.1500015258789,123.1500015258789,132.5,122.0,132.5,86051,2024-12-09
2024-12-16,122.44000244140625,122.44000244140625,127.69999694824219,116.1500015258789,123.5,84982,2024-12-16
2024-12-23,124.27999877929688,124.27999877929688,126.5,117.69999694824219,126.5,44317,2024-12-23
2024-12-30,117.52999877929688,117.52999877929688,127.98999786376953,117.41000366210938,127.98999786376953,54081,2024-12-30
2025-01-06,109.87000274658203,109.87000274658203,120.0,108.9800033569336,119.94000244140625,32803,2025-01-06
2025-01-13,113.5,113.5,117.23999786376953,104.37000274658203,111.94000244140625,61067,2025-01-13
2025-01-20,118.19000244140625,118.19000244140625,121.98999786376953,112.0,112.0,92482,2025-01-20
2025-01-27,112.0,112.0,121.0,109.30000305175781,117.98999786376953,37655,2025-01-27
2025-02-03,119.54000091552734,119.54000091552734,126.0,106.41000366210938,106.41000366210938,62103,2025-02-03
2025-02-10,116.20999908447266,116.20999908447266,126.30000305175781,114.8499984741211,124.8499984741211,66317,2025-02-10
2025-02-17,116.62000274658203,116.62000274658203,120.0,111.25,116.20999908447266,19079,2025-02-17
2025-02-24,109.19000244140625,109.19000244140625,122.13999938964844,107.08999633789062,116.62000274658203,32070,2025-02-24
2025-03-03,117.80000305175781,117.80000305175781,121.5,103.0,109.19000244140625,49592,2025-03-03
2025-03-10,119.9000015258789,119.9000015258789,123.22000122070312,116.25,118.0,44857,2025-03-10
2025-03-17,119.29000091552734,119.29000091552734,123.25,116.30000305175781,119.9000015258789,57609,2025-03-17
2025-03-24,113.80000305175781,113.80000305175781,123.0,108.31999969482422,123.0,93285,2025-03-24
2025-03-31,115.06999969482422,115.06999969482422,115.98999786376953,108.55000305175781,113.80000305175781,25938,2025-03-31
2025-04-07,113.7699966430664,113.7699966430664,117.88999938964844,107.0,109.31999969482422,12231,2025-04-07
2025-04-14,117.0999984741211,117.0999984741211,121.5,110.0999984741211,110.0999984741211,9323,2025-04-14
2025-04-21,114.47000122070312,114.47000122070312,120.0,112.6500015258789,120.0,19084,2025-04-21
2025-04-28,116.30999755859375,116.30999755859375,117.5,112.1500015258789,114.94000244140625,7689,2025-04-28
2025-05-05,114.4800033569336,114.4800033569336,119.98999786376953,112.0,119.9800033569336,57104,2025-05-05
2025-05-12,114.05999755859375,114.05999755859375,120.55000305175781,110.55000305175781,118.87999725341797,38093,2025-05-12
2025-05-19,114.9800033569336,114.9800033569336,119.80000305175781,112.6500015258789,115.19999694824219,89227,2025-05-19
2025-05-26,107.7699966430664,107.7699966430664,115.0,103.13999938964844,114.94000244140625,122045,2025-05-26
2025-06-02,102.9800033569336,102.9800033569336,112.0,100.0,105.05000305175781,121445,2025-06-02
2025-06-09,100.0,100.0,105.9800033569336,98.26000213623047,105.9800033569336,115727,2025-06-09
2025-06-16,97.19999694824219,97.19999694824219,103.5,96.54000091552734,100.0,80332,2025-06-16
2025-06-23,100.0999984741211,100.0999984741211,100.29000091552734,93.05000305175781,97.19999694824219,172639,2025-06-23
2025-06-30,100.75,100.75,105.0999984741211,96.0,100.0999984741211,74097,2025-06-30
2025-07-07,97.19999694824219,97.19999694824219,105.77999877929688,96.30999755859375,96.30999755859375,222724,2025-07-07
2025-07-14,104.23999786376953,104.23999786376953,104.23999786376953,97.0,97.20999908447266,38355,2025-07-14
