Date,Adj Close_LIKHITHA.NS,Close_LIKHITHA.NS,High_LIKHITHA.NS,Low_LIKHITHA.NS,Open_LIKHITHA.NS,Volume_LIKHITHA.NS,Date
2024-08-26,439.6852722167969,441.29998779296875,452.0,421.1499938964844,423.8999938964844,1161863,2024-08-26
2024-09-02,427.5797424316406,429.1499938964844,448.70001220703125,415.6499938964844,442.5,587158,2024-09-02
2024-09-09,409.8448791503906,411.3500061035156,429.0,403.3500061035156,424.0,440918,2024-09-09
2024-09-16,386.3312072753906,387.75,415.75,375.6000061035156,415.75,559946,2024-09-16
2024-09-23,387.20001220703125,387.20001220703125,401.79998779296875,379.0,389.0,409379,2024-09-23
2024-09-30,384.5,384.5,397.0,364.79998779296875,387.8999938964844,526304,2024-09-30
2024-10-07,376.95001220703125,376.95001220703125,390.20001220703125,365.0,382.0,409748,2024-10-07
2024-10-14,370.8500061035156,370.8500061035156,391.79998779296875,363.95001220703125,380.70001220703125,366946,2024-10-14
2024-10-21,341.79998779296875,341.79998779296875,375.95001220703125,340.04998779296875,372.6499938964844,330433,2024-10-21
2024-10-28,374.3500061035156,374.3500061035156,375.0,338.0,341.0,248958,2024-10-28
2024-11-04,367.45001220703125,367.45001220703125,381.75,359.0,375.0,208750,2024-11-04
2024-11-11,338.25,338.25,370.20001220703125,336.20001220703125,365.0,222287,2024-11-11
2024-11-18,343.1499938964844,343.1499938964844,354.3500061035156,331.04998779296875,339.95001220703125,234460,2024-11-18
2024-11-25,361.1499938964844,361.1499938964844,367.45001220703125,345.0,350.0,250573,2024-11-25
2024-12-02,400.70001220703125,400.70001220703125,404.29998779296875,352.0,360.0,1494011,2024-12-02
2024-12-09,388.6499938964844,388.6499938964844,403.0,382.04998779296875,399.04998779296875,584801,2024-12-09
2024-12-16,352.54998779296875,352.54998779296875,395.3999938964844,351.1000061035156,389.45001220703125,359284,2024-12-16
2024-12-23,355.20001220703125,355.20001220703125,359.5,346.04998779296875,353.5,170462,2024-12-23
2024-12-30,358.6000061035156,358.6000061035156,371.6499938964844,345.04998779296875,356.1000061035156,181418,2024-12-30
2025-01-06,339.0,339.0,362.45001220703125,321.8500061035156,362.3999938964844,300535,2025-01-06
2025-01-13,339.95001220703125,339.95001220703125,352.70001220703125,315.0,333.8999938964844,359888,2025-01-13
2025-01-20,318.1499938964844,318.1499938964844,343.3500061035156,316.45001220703125,343.3500061035156,188979,2025-01-20
2025-01-27,310.70001220703125,310.70001220703125,326.79998779296875,294.0,315.95001220703125,483657,2025-01-27
2025-02-03,308.1000061035156,308.1000061035156,324.29998779296875,299.0,308.6499938964844,217409,2025-02-03
2025-02-10,268.54998779296875,268.54998779296875,308.1000061035156,265.1000061035156,304.0,362869,2025-02-10
2025-02-17,269.45001220703125,269.45001220703125,282.95001220703125,247.0,265.1000061035156,306926,2025-02-17
2025-02-24,252.5,252.5,269.3999938964844,250.0,265.1000061035156,233252,2025-02-24
2025-03-03,282.3500061035156,282.3500061035156,286.95001220703125,243.8000030517578,253.6999969482422,468273,2025-03-03
2025-03-10,257.25,257.25,289.0,255.10000610351562,283.0,231010,2025-03-10
