Date,Adj Close_GUJAPOLLO.NS,Close_GUJAPOLLO.NS,High_GUJAPOLLO.NS,Low_GUJAPOLLO.NS,Open_GUJAPOLLO.NS,Volume_GUJAPOLLO.NS,Date
2021-07-05,221.4062957763672,228.85000610351562,238.39999389648438,218.0,221.5,209746,2021-07-05
2021-07-12,230.54891967773438,238.3000030517578,244.1999969482422,222.89999389648438,235.0,247735,2021-07-12
2021-07-19,232.24200439453125,240.0500030517578,245.0,226.14999389648438,235.3000030517578,130039,2021-07-19
2021-07-26,222.51889038085938,230.0,241.89999389648438,226.39999389648438,241.85000610351562,83054,2021-07-26
2021-08-02,227.45301818847656,235.10000610351562,241.89999389648438,226.10000610351562,226.5,87675,2021-08-02
2021-08-09,217.14939880371094,224.4499969482422,239.9499969482422,211.0500030517578,236.4499969482422,102353,2021-08-09
2021-08-16,202.39541625976562,209.1999969482422,227.60000610351562,207.1999969482422,226.9499969482422,58491,2021-08-16
2021-08-23,208.00680541992188,215.0,239.89999389648438,208.0,214.0,34349,2021-08-23
2021-08-30,212.263671875,219.39999389648438,227.9499969482422,212.5,218.8000030517578,37513,2021-08-30
2021-09-06,213.2311248779297,220.39999389648438,238.0,215.0,224.35000610351562,75700,2021-09-06
2021-09-13,212.45716857910156,219.60000610351562,225.39999389648438,218.0,218.25,40750,2021-09-13
2021-09-20,208.20028686523438,215.1999969482422,220.9499969482422,212.75,220.9499969482422,34227,2021-09-20
2021-09-27,207.7495880126953,212.75,217.25,208.6999969482422,217.0,47971,2021-09-27
2021-10-04,206.72425842285156,211.6999969482422,217.60000610351562,210.9499969482422,216.8000030517578,24720,2021-10-04
2021-10-11,207.9448699951172,212.9499969482422,220.0,211.0,211.75,40543,2021-10-11
2021-10-18,226.20535278320312,231.64999389648438,240.3000030517578,207.0500030517578,217.4499969482422,204815,2021-10-18
2021-10-25,213.26678466796875,218.39999389648438,237.0,215.0500030517578,237.0,60794,2021-10-25
2021-11-01,220.63934326171875,225.9499969482422,231.0,220.0,224.75,17618,2021-11-01
2021-11-08,218.9792938232422,224.25,239.89999389648438,218.5,225.0,33101,2021-11-08
2021-11-15,217.4168701171875,222.64999389648438,235.0,219.0500030517578,230.0,27702,2021-11-15
2021-11-22,207.1148681640625,212.10000610351562,226.3000030517578,209.39999389648438,220.0500030517578,17213,2021-11-22
2021-11-29,207.8472442626953,212.85000610351562,223.0,202.39999389648438,210.0,33017,2021-11-29
2021-12-06,207.5542755126953,212.5500030517578,222.0,210.3000030517578,219.8000030517578,18384,2021-12-06
2021-12-13,203.40419006347656,208.3000030517578,216.14999389648438,208.0,216.14999389648438,19280,2021-12-13
2021-12-20,198.81463623046875,203.60000610351562,211.5,201.10000610351562,211.14999389648438,20213,2021-12-20
2021-12-27,197.59402465820312,202.35000610351562,207.1999969482422,197.25,202.10000610351562,28636,2021-12-27
2022-01-03,212.68087768554688,217.8000030517578,224.6999969482422,201.9499969482422,205.0,57912,2022-01-03
2022-01-10,219.0769500732422,224.35000610351562,236.0,219.0,219.0,76413,2022-01-10
2022-01-17,216.53805541992188,221.75,230.0,215.39999389648438,230.0,34311,2022-01-17
2022-01-24,218.78399658203125,224.0500030517578,228.9499969482422,204.35000610351562,228.9499969482422,26320,2022-01-24
2022-01-31,220.63934326171875,225.9499969482422,244.0500030517578,217.60000610351562,222.0500030517578,78306,2022-01-31
2022-02-07,221.4693603515625,226.8000030517578,237.0,217.64999389648438,226.0,41964,2022-02-07
2022-02-14,218.4422149658203,223.6999969482422,233.9499969482422,208.14999389648438,220.10000610351562,43149,2022-02-14
2022-02-21,205.16188049316406,210.10000610351562,224.9499969482422,201.14999389648438,224.60000610351562,18735,2022-02-21
2022-02-28,200.27940368652344,205.10000610351562,217.0,202.60000610351562,208.10000610351562,12589,2022-02-28
2022-03-07,209.8490447998047,214.89999389648438,221.8000030517578,200.10000610351562,208.6999969482422,25777,2022-03-07
2022-03-14,208.87254333496094,213.89999389648438,222.75,209.1999969482422,220.8000030517578,22342,2022-03-14
2022-03-21,211.50909423828125,216.60000610351562,217.25,198.6999969482422,214.85000610351562,124837,2022-03-21
2022-03-28,205.01539611816406,209.9499969482422,222.0,205.1999969482422,221.0,96374,2022-03-28
2022-04-04,206.77308654785156,211.75,215.10000610351562,206.1999969482422,207.4499969482422,26865,2022-04-04
2022-04-11,205.50363159179688,210.4499969482422,217.89999389648438,210.0,214.3000030517578,10596,2022-04-11
2022-04-18,218.2957305908203,223.5500030517578,245.0,203.0,210.4499969482422,157266,2022-04-18
2022-04-25,228.0118865966797,233.5,239.89999389648438,213.39999389648438,223.0,47541,2022-04-25
2022-05-02,214.7315216064453,219.89999389648438,238.39999389648438,211.39999389648438,234.0,33039,2022-05-02
2022-05-09,209.80023193359375,214.85000610351562,234.0,204.64999389648438,219.0,26316,2022-05-09
2022-05-16,215.65921020507812,220.85000610351562,226.89999389648438,211.75,218.5,18668,2022-05-16
2022-05-23,209.60491943359375,214.64999389648438,224.14999389648438,206.3000030517578,224.14999389648438,6473,2022-05-23
2022-05-30,201.35354614257812,206.1999969482422,221.5500030517578,203.14999389648438,217.85000610351562,19420,2022-05-30
2022-06-06,200.23056030273438,205.0500030517578,218.0,202.10000610351562,206.9499969482422,9471,2022-06-06
2022-06-13,195.1527862548828,199.85000610351562,208.75,195.0,205.0500030517578,10566,2022-06-13
2022-06-20,192.6138916015625,197.25,209.0,195.0,209.0,10748,2022-06-20
2022-06-27,193.3950958251953,198.0500030517578,215.0,192.0,210.0,45011,2022-06-27
2022-07-04,192.32095336914062,196.9499969482422,201.5500030517578,195.0,198.5,4804,2022-07-04
2022-07-11,192.2233123779297,196.85000610351562,205.14999389648438,188.8000030517578,199.0,9858,2022-07-11
2022-07-18,193.49273681640625,198.14999389648438,203.4499969482422,194.0500030517578,196.8000030517578,9275,2022-07-18
2022-07-25,197.2522430419922,202.0,203.9499969482422,195.3000030517578,199.0,7353,2022-07-25
2022-08-01,199.1075897216797,203.89999389648438,209.89999389648438,196.9499969482422,198.0,11558,2022-08-01
2022-08-08,193.05331420898438,197.6999969482422,206.0,196.1999969482422,198.1999969482422,7612,2022-08-08
2022-08-15,188.12200927734375,192.64999389648438,200.64999389648438,188.60000610351562,197.6999969482422,17904,2022-08-15
2022-08-22,189.53793334960938,194.10000610351562,197.75,185.35000610351562,195.4499969482422,24353,2022-08-22
2022-08-29,184.6066131591797,189.0500030517578,195.0500030517578,187.5,191.0500030517578,18742,2022-08-29
2022-09-05,187.2431640625,191.75,195.0,187.1999969482422,187.85000610351562,16064,2022-09-05
2022-09-12,216.19627380371094,221.39999389648438,276.8999938964844,191.25,194.39999389648438,1428325,2022-09-12
2022-09-19,195.98280334472656,200.6999969482422,227.8000030517578,199.10000610351562,224.64999389648438,144573,2022-09-19
2022-09-26,209.649169921875,212.6999969482422,229.89999389648438,190.0500030517578,200.85000610351562,258298,2022-09-26
2022-10-03,209.0577850341797,212.10000610351562,223.3000030517578,198.5,210.5500030517578,128921,2022-10-03
2022-10-10,205.1151580810547,208.10000610351562,251.75,204.75,211.4499969482422,66621,2022-10-10
2022-10-17,199.6940460205078,202.60000610351562,214.75,201.35000610351562,210.9499969482422,24798,2022-10-17
2022-10-24,194.27293395996094,197.10000610351562,206.10000610351562,193.5500030517578,205.5500030517578,26491,2022-10-24
2022-10-31,197.62416076660156,200.5,206.89999389648438,195.1999969482422,200.0500030517578,25291,2022-10-31
2022-11-07,197.91986083984375,200.8000030517578,204.9499969482422,195.0,204.4499969482422,30949,2022-11-07
