Date,Adj Close_AVONMORE.NS,Close_AVONMORE.NS,High_AVONMORE.NS,Low_AVONMORE.NS,Open_AVONMORE.NS,Volume_AVONMORE.NS,Date
2023-06-12,6.775000095367432,6.775000095367432,6.934999942779541,6.590000152587891,6.75,2184670,2023-06-12
2023-06-19,7.309999942779541,7.309999942779541,7.679999828338623,6.699999809265137,6.989999771118164,4261680,2023-06-19
2023-06-26,7.989999771118164,7.989999771118164,8.25,7.355000019073486,7.485000133514404,2871510,2023-06-26
2023-07-03,8.154999732971191,8.154999732971191,8.760000228881836,7.804999828338623,8.069999694824219,3531040,2023-07-03
2023-07-10,7.710000038146973,7.710000038146973,8.289999961853027,7.559999942779541,8.289999961853027,1745780,2023-07-10
2023-07-17,7.900000095367432,7.900000095367432,8.234999656677246,7.675000190734863,7.675000190734863,2006730,2023-07-17
2023-07-24,8.529999732971191,8.529999732971191,8.699999809265137,7.900000095367432,8.369999885559082,1866780,2023-07-24
2023-07-31,8.8100004196167,8.8100004196167,10.369999885559082,8.699999809265137,8.84000015258789,9267270,2023-07-31
2023-08-07,8.975000381469727,8.975000381469727,9.475000381469727,8.404999732971191,9.1899995803833,1172560,2023-08-07
2023-08-14,8.015000343322754,8.015000343322754,9.300000190734863,7.849999904632568,8.899999618530273,1042060,2023-08-14
2023-08-21,7.675000190734863,7.675000190734863,8.1899995803833,7.550000190734863,7.690000057220459,893820,2023-08-21
2023-08-28,7.934999942779541,7.934999942779541,8.279999732971191,7.610000133514404,7.699999809265137,553950,2023-08-28
2023-09-04,7.639999866485596,7.639999866485596,8.1899995803833,7.559999942779541,8.135000228881836,724320,2023-09-04
2023-09-11,7.449999809265137,7.449999809265137,7.800000190734863,7.199999809265137,7.800000190734863,876470,2023-09-11
2023-09-18,7.639999866485596,7.639999866485596,7.980000019073486,7.445000171661377,7.445000171661377,413390,2023-09-18
2023-09-25,7.099999904632568,7.099999904632568,7.800000190734863,6.940000057220459,7.679999828338623,1231440,2023-09-25
2023-10-02,7.190000057220459,7.190000057220459,7.295000076293945,6.945000171661377,7.099999904632568,342950,2023-10-02
2023-10-09,7.199999809265137,7.199999809265137,7.489999771118164,6.949999809265137,7.135000228881836,440480,2023-10-09
2023-10-16,7.15500020980835,7.15500020980835,7.494999885559082,6.940000057220459,7.494999885559082,505420,2023-10-16
2023-10-23,6.849999904632568,6.849999904632568,7.199999809265137,6.449999809265137,7.15500020980835,471940,2023-10-23
2023-10-30,7.425000190734863,7.425000190734863,7.429999828338623,6.724999904632568,6.849999904632568,618180,2023-10-30
2023-11-06,7.744999885559082,7.744999885559082,9.795000076293945,7.5,8.005000114440918,11969220,2023-11-06
2023-11-13,8.109999656677246,8.109999656677246,8.369999885559082,7.724999904632568,7.769999980926514,2033950,2023-11-13
2023-11-20,7.635000228881836,7.635000228881836,8.274999618530273,7.510000228881836,8.274999618530273,1321080,2023-11-20
2023-11-27,7.949999809265137,7.949999809265137,8.199999809265137,7.599999904632568,7.635000228881836,898380,2023-11-27
2023-12-04,8.055000305175781,8.055000305175781,8.479999542236328,7.900000095367432,8.130000114440918,2293640,2023-12-04
2023-12-11,7.960000038146973,7.960000038146973,8.25,7.909999847412109,8.234999656677246,1157770,2023-12-11
2023-12-18,7.900000095367432,7.900000095367432,8.489999771118164,7.710000038146973,8.100000381469727,2540700,2023-12-18
2023-12-25,8.130000114440918,8.130000114440918,8.270000457763672,7.900000095367432,7.900000095367432,1850390,2023-12-25
2024-01-01,9.239999771118164,9.239999771118164,9.300000190734863,8.015000343322754,8.25,6070510,2024-01-01
2024-01-08,8.994999885559082,8.994999885559082,10.25,8.9350004196167,9.800000190734863,6086930,2024-01-08
2024-01-15,9.664999961853027,9.664999961853027,10.055000305175781,8.96500015258789,8.994999885559082,3532620,2024-01-15
2024-01-22,12.425000190734863,12.425000190734863,13.104999542236328,9.664999961853027,9.664999961853027,31983640,2024-01-22
2024-01-29,11.65999984741211,11.65999984741211,12.8100004196167,11.329999923706055,12.425000190734863,6129870,2024-01-29
2024-02-05,11.0649995803833,11.0649995803833,12.180000305175781,10.824999809265137,11.734999656677246,3445620,2024-02-05
2024-02-12,11.569999694824219,11.569999694824219,12.100000381469727,10.25,11.079999923706055,4092510,2024-02-12
2024-02-19,11.125,11.125,11.739999771118164,10.854999542236328,11.680000305175781,2486360,2024-02-19
2024-02-26,10.65999984741211,10.65999984741211,11.399999618530273,10.055000305175781,11.125,1926460,2024-02-26
2024-03-04,10.5,10.5,11.350000381469727,9.800000190734863,10.654999732971191,2511450,2024-03-04
2024-03-11,9.100000381469727,9.100000381469727,10.899999618530273,8.510000228881836,10.5,3033020,2024-03-11
2024-03-18,9.395000457763672,9.395000457763672,9.675000190734863,8.800000190734863,8.800000190734863,1474750,2024-03-18
2024-03-25,8.734999656677246,8.734999656677246,9.5,8.614999771118164,9.395000457763672,1221750,2024-03-25
2024-04-01,10.4399995803833,10.4399995803833,10.5,8.96500015258789,9.270000457763672,1399660,2024-04-01
2024-04-08,9.904999732971191,9.904999732971191,10.75,9.8149995803833,10.680000305175781,816350,2024-04-08
2024-04-15,9.625,9.625,10.180000305175781,9.229999542236328,9.71500015258789,1180960,2024-04-15
2024-04-22,11.095000267028809,11.095000267028809,11.729999542236328,9.604999542236328,9.984999656677246,9457530,2024-04-22
2024-04-29,11.954999923706055,11.954999923706055,12.279999732971191,10.930000305175781,11.220000267028809,15596170,2024-04-29
2024-05-06,11.854999542236328,11.854999542236328,12.425000190734863,11.505000114440918,12.03499984741211,4000670,2024-05-06
2024-05-13,13.760000228881836,13.760000228881836,13.875,11.5,12.0,10185220,2024-05-13
2024-05-20,12.550000190734863,12.550000190734863,14.095000267028809,12.4399995803833,13.21500015258789,3654920,2024-05-20
2024-05-27,12.0649995803833,12.0649995803833,12.789999961853027,11.204999923706055,12.375,2782450,2024-05-27
2024-06-03,12.024999618530273,12.024999618530273,12.84000015258789,10.494999885559082,12.600000381469727,2379190,2024-06-03
2024-06-10,12.876999855041504,12.876999855041504,13.800000190734863,11.854999542236328,12.100000381469727,5441770,2024-06-10
2024-06-17,13.300000190734863,13.300000190734863,13.460000038146973,12.550999641418457,12.876999855041504,2580640,2024-06-17
2024-06-24,13.630000114440918,13.630000114440918,13.789999961853027,12.914999961853027,13.600000381469727,3023867,2024-06-24
2024-07-01,13.619999885559082,13.619999885559082,13.779999732971191,11.8100004196167,13.779999732971191,2290674,2024-07-01
2024-07-08,13.699999809265137,13.699999809265137,14.0,12.819999694824219,13.890000343322754,1357431,2024-07-08
2024-07-15,14.180000305175781,14.180000305175781,14.930000305175781,13.449999809265137,13.899999618530273,1960726,2024-07-15
2024-07-22,14.609999656677246,14.609999656677246,14.670000076293945,13.40999984741211,13.949999809265137,1469945,2024-07-22
2024-07-29,15.5600004196167,15.5600004196167,16.700000762939453,14.800000190734863,14.850000381469727,2277117,2024-07-29
2024-08-05,14.600000381469727,14.600000381469727,15.239999771118164,14.329999923706055,15.239999771118164,455844,2024-08-05
2024-08-12,13.550000190734863,13.550000190734863,14.300000190734863,13.4399995803833,14.300000190734863,368230,2024-08-12
2024-08-19,13.319999694824219,13.319999694824219,13.489999771118164,12.75,13.270000457763672,394525,2024-08-19
2024-08-26,14.0,14.0,14.0,13.579999923706055,13.579999923706055,557200,2024-08-26
2024-09-02,15.0,15.0,15.0,14.0600004196167,14.149999618530273,1117317,2024-09-02
2024-09-09,15.930000305175781,15.930000305175781,16.15999984741211,14.199999809265137,15.25,1476419,2024-09-09
2024-09-16,16.899999618530273,16.899999618530273,18.09000015258789,15.619999885559082,16.25,2537954,2024-09-16
2024-09-23,15.5,15.5,16.559999465942383,15.279999732971191,16.559999465942383,423611,2024-09-23
2024-09-30,15.25,15.25,15.25,14.880000114440918,15.1899995803833,297603,2024-09-30
2024-10-07,15.510000228881836,15.510000228881836,15.510000228881836,14.619999885559082,14.9399995803833,418600,2024-10-07
2024-10-14,16.59000015258789,16.59000015258789,16.600000381469727,15.5,15.819999694824219,689852,2024-10-14
2024-10-21,16.200000762939453,16.200000762939453,16.90999984741211,15.6899995803833,16.700000762939453,599302,2024-10-21
2024-10-28,15.109999656677246,15.109999656677246,16.739999771118164,14.430000305175781,16.0,525761,2024-10-28
2024-11-04,16.40999984741211,16.40999984741211,16.75,14.600000381469727,15.199999809265137,780467,2024-11-04
2024-11-11,13.8100004196167,13.8100004196167,17.100000381469727,13.350000381469727,17.040000915527344,1047272,2024-11-11
2024-11-18,14.460000038146973,14.460000038146973,15.550000190734863,13.050000190734863,14.550000190734863,817093,2024-11-18
2024-11-25,17.649999618530273,17.649999618530273,19.889999389648438,14.649999618530273,15.100000381469727,5043602,2024-11-25
2024-12-02,16.65489959716797,16.65489959716797,18.00150489807129,15.81326961517334,17.65999984741211,8192742,2024-12-02
2024-12-09,15.050000190734863,15.050000190734863,16.926090240478516,14.1899995803833,16.832576751708984,10686698,2024-12-09
2024-12-16,15.75,15.75,16.479999542236328,15.050000190734863,15.050000190734863,5198451,2024-12-16
2024-12-23,16.75,16.75,17.950000762939453,14.180000305175781,15.869999885559082,8071729,2024-12-23
2024-12-30,23.40999984741211,23.40999984741211,23.420000076293945,16.31999969482422,16.969999313354492,34497718,2024-12-30
2025-01-06,25.8700008392334,25.8700008392334,29.950000762939453,21.549999237060547,23.899999618530273,29183743,2025-01-06
2025-01-13,24.420000076293945,24.420000076293945,24.56999969482422,21.059999465942383,24.56999969482422,4719891,2025-01-13
2025-01-20,23.459999084472656,23.459999084472656,26.90999984741211,22.010000228881836,24.700000762939453,5888278,2025-01-20
2025-01-27,25.100000381469727,25.100000381469727,25.93000030517578,20.850000381469727,23.0,4559459,2025-01-27
2025-02-03,25.520000457763672,25.520000457763672,25.8799991607666,23.399999618530273,24.600000381469727,3566775,2025-02-03
2025-02-10,22.700000762939453,22.700000762939453,26.5,22.700000762939453,26.229999542236328,3033403,2025-02-10
2025-02-17,19.420000076293945,19.420000076293945,21.559999465942383,18.469999313354492,21.559999465942383,2139446,2025-02-17
2025-02-24,17.540000915527344,17.540000915527344,19.489999771118164,17.540000915527344,19.010000228881836,976481,2025-02-24
2025-03-03,18.229999542236328,18.229999542236328,18.329999923706055,15.890000343322754,17.549999237060547,3614460,2025-03-03
2025-03-10,17.350000381469727,17.350000381469727,18.600000381469727,16.5,17.920000076293945,1672759,2025-03-10
2025-03-17,19.670000076293945,19.670000076293945,19.799999237060547,17.049999237060547,17.350000381469727,1490006,2025-03-17
2025-03-24,17.010000228881836,17.010000228881836,20.399999618530273,15.75,19.309999465942383,3042528,2025-03-24
2025-03-31,20.65999984741211,20.65999984741211,20.65999984741211,16.799999237060547,17.010000228881836,2636426,2025-03-31
2025-04-07,21.270000457763672,21.270000457763672,21.270000457763672,19.6200008392334,19.6200008392334,1550920,2025-04-07
2025-04-14,22.0,22.0,22.1200008392334,21.690000534057617,21.690000534057617,325452,2025-04-14
2025-04-21,21.700000762939453,21.700000762939453,22.440000534057617,21.299999237060547,22.440000534057617,919501,2025-04-21
2025-04-28,21.239999771118164,21.239999771118164,21.68000030517578,20.829999923706055,21.260000228881836,808703,2025-04-28
2025-05-05,19.18000030517578,19.18000030517578,21.139999389648438,19.18000030517578,20.809999465942383,367802,2025-05-05
2025-05-12,23.049999237060547,23.049999237060547,23.5,19.100000381469727,19.350000381469727,2611598,2025-05-12
2025-05-19,22.0,22.0,24.190000534057617,21.5,23.049999237060547,1438422,2025-05-19
2025-05-26,21.5,21.5,22.329999923706055,21.1200008392334,21.559999465942383,764463,2025-05-26
2025-06-02,19.40999984741211,19.40999984741211,21.229999542236328,19.40999984741211,21.06999969482422,403511,2025-06-02
2025-06-09,18.3700008392334,18.3700008392334,19.450000762939453,18.3700008392334,19.450000762939453,439074,2025-06-09
2025-06-16,17.690000534057617,17.690000534057617,18.360000610351562,17.690000534057617,18.0,457445,2025-06-16
2025-06-23,18.739999771118164,18.739999771118164,18.739999771118164,17.329999923706055,17.329999923706055,657922,2025-06-23
2025-06-30,18.399999618530273,18.399999618530273,20.649999618530273,18.260000228881836,18.850000381469727,2402602,2025-06-30
2025-07-07,18.739999771118164,18.739999771118164,19.479999542236328,18.0,18.399999618530273,363680,2025-07-07
2025-07-14,19.649999618530273,19.649999618530273,21.700000762939453,18.5,19.15999984741211,1841665,2025-07-14
