Date,Adj Close_OLAELEC.NS,Close_OLAELEC.NS,High_OLAELEC.NS,Low_OLAELEC.NS,Open_OLAELEC.NS,Volume_OLAELEC.NS,Date
2025-05-05,46.66999816894531,46.66999816894531,49.84000015258789,45.88999938964844,48.88999938964844,83349117,2025-05-05
2025-05-12,52.119998931884766,52.119998931884766,53.66999816894531,48.5,49.0,112272432,2025-05-12
2025-05-19,52.90999984741211,52.90999984741211,55.279998779296875,50.75,52.209999084472656,137235325,2025-05-19
2025-05-26,50.959999084472656,50.959999084472656,53.68000030517578,48.060001373291016,52.900001525878906,147186052,2025-05-26
2025-06-02,48.66999816894531,48.66999816894531,54.400001525878906,48.56999969482422,50.5,454483599,2025-06-02
2025-06-09,46.970001220703125,46.970001220703125,50.06999969482422,46.31999969482422,48.91999816894531,99589497,2025-06-09
2025-06-16,46.08000183105469,46.08000183105469,47.560001373291016,45.04999923706055,47.06999969482422,76976869,2025-06-16
2025-06-23,43.09000015258789,43.09000015258789,45.849998474121094,43.0,45.849998474121094,214827171,2025-06-23
2025-06-30,41.72999954223633,41.72999954223633,44.099998474121094,40.400001525878906,43.29999923706055,242067551,2025-06-30
2025-07-07,39.79999923706055,39.79999923706055,41.959999084472656,39.619998931884766,41.86000061035156,121363418,2025-07-07
2025-07-14,44.099998474121094,44.099998474121094,48.900001525878906,39.599998474121094,39.91999816894531,1016186975,2025-07-14
