Date,Adj Close_OMAXAUTO.NS,Close_OMAXAUTO.NS,High_OMAXAUTO.NS,Low_OMAXAUTO.NS,Open_OMAXAUTO.NS,Volume_OMAXAUTO.NS,Date
2021-09-06,45.61189270019531,46.29999923706055,47.900001525878906,45.0,46.25,46486,2021-09-06
2021-09-13,47.72993850708008,48.45000076293945,51.70000076293945,45.29999923706055,48.400001525878906,86545,2021-09-13
2021-09-20,44.380470275878906,45.04999923706055,49.400001525878906,44.0,48.04999923706055,96385,2021-09-20
2021-09-27,44.23270034790039,44.900001525878906,46.900001525878906,42.599998474121094,46.5,98794,2021-09-27
2021-10-04,45.51337814331055,46.20000076293945,47.0,44.900001525878906,44.900001525878906,67938,2021-10-04
2021-10-11,47.92696762084961,48.650001525878906,50.099998474121094,44.400001525878906,46.5,228346,2021-10-11
2021-10-18,43.54310607910156,44.20000076293945,49.849998474121094,43.5,48.650001525878906,280702,2021-10-18
2021-10-25,42.50870895385742,43.150001525878906,45.20000076293945,42.25,43.75,91333,2021-10-25
2021-11-01,43.39533233642578,44.04999923706055,45.29999923706055,42.70000076293945,43.29999923706055,46315,2021-11-01
2021-11-08,43.39533233642578,44.04999923706055,46.400001525878906,43.5,44.099998474121094,74314,2021-11-08
2021-11-15,43.740135192871094,44.400001525878906,45.45000076293945,41.849998474121094,42.150001525878906,216768,2021-11-15
2021-11-22,43.54310607910156,44.20000076293945,45.79999923706055,42.349998474121094,44.900001525878906,118101,2021-11-22
2021-11-29,44.429725646972656,45.099998474121094,47.75,42.849998474121094,44.95000076293945,240075,2021-11-29
2021-12-06,49.65095901489258,50.400001525878906,52.70000076293945,44.79999923706055,45.5,369992,2021-12-06
2021-12-13,48.86284637451172,49.599998474121094,54.79999923706055,49.099998474121094,49.650001525878906,346836,2021-12-13
2021-12-20,49.30615997314453,50.04999923706055,52.75,45.20000076293945,49.0,140291,2021-12-20
2021-12-27,49.15839385986328,49.900001525878906,51.849998474121094,48.150001525878906,50.849998474121094,78261,2021-12-27
2022-01-03,49.5031852722168,50.25,52.150001525878906,48.29999923706055,49.20000076293945,117256,2022-01-03
2022-01-10,56.30064010620117,57.150001525878906,58.5,48.099998474121094,52.5,516067,2022-01-10
2022-01-17,56.69469451904297,57.54999923706055,61.400001525878906,55.099998474121094,58.95000076293945,602796,2022-01-17
2022-01-24,54.8721923828125,55.70000076293945,58.75,51.5,57.54999923706055,114268,2022-01-24
2022-01-31,53.690025329589844,54.5,58.349998474121094,54.0,56.20000076293945,103068,2022-01-31
2022-02-07,50.78386688232422,51.54999923706055,56.25,50.75,56.25,119818,2022-02-07
2022-02-14,50.38981628417969,51.150001525878906,55.349998474121094,48.20000076293945,49.04999923706055,443726,2022-02-14
2022-02-21,49.05987548828125,49.79999923706055,50.70000076293945,45.04999923706055,50.45000076293945,143820,2022-02-21
2022-02-28,46.005950927734375,46.70000076293945,50.0,46.099998474121094,49.25,50008,2022-02-28
2022-03-07,46.6955451965332,47.400001525878906,49.099998474121094,45.0,45.650001525878906,84221,2022-03-07
2022-03-14,46.74480438232422,47.45000076293945,49.25,45.54999923706055,47.04999923706055,92142,2022-03-14
2022-03-21,44.57749938964844,45.25,48.29999923706055,44.900001525878906,47.75,98612,2022-03-21
2022-03-28,44.82378387451172,45.5,46.650001525878906,42.150001525878906,45.70000076293945,133460,2022-03-28
2022-04-04,48.86284637451172,49.599998474121094,51.0,44.900001525878906,46.0,245680,2022-04-04
2022-04-11,47.138858795166016,47.849998474121094,50.79999923706055,47.099998474121094,49.95000076293945,43603,2022-04-11
2022-04-18,57.53206253051758,58.400001525878906,62.849998474121094,46.20000076293945,47.95000076293945,1522275,2022-04-18
2022-04-25,52.901912689208984,53.70000076293945,63.0,53.099998474121094,58.400001525878906,551594,2022-04-25
2022-05-02,52.40934753417969,53.20000076293945,59.349998474121094,50.0,53.150001525878906,160083,2022-05-02
2022-05-09,46.49851608276367,47.20000076293945,54.45000076293945,41.650001525878906,53.20000076293945,280178,2022-05-09
2022-05-16,47.58216857910156,48.29999923706055,53.0,46.29999923706055,47.150001525878906,142932,2022-05-16
2022-05-23,47.43439865112305,48.150001525878906,52.400001525878906,46.400001525878906,48.29999923706055,113138,2022-05-23
2022-05-30,53.19745635986328,54.0,57.0,49.04999923706055,50.29999923706055,327927,2022-05-30
2022-06-06,53.591514587402344,54.400001525878906,56.5,51.349998474121094,53.150001525878906,145403,2022-06-06
2022-06-13,47.18811798095703,47.900001525878906,53.5,47.0,53.5,54962,2022-06-13
2022-06-20,52.65563201904297,53.45000076293945,53.900001525878906,46.5,48.099998474121094,83340,2022-06-20
2022-06-27,50.192787170410156,50.95000076293945,57.20000076293945,43.95000076293945,54.849998474121094,292266,2022-06-27
2022-07-04,50.83312225341797,51.599998474121094,52.349998474121094,49.400001525878906,50.54999923706055,63077,2022-07-04
2022-07-11,49.0106201171875,49.75,52.150001525878906,48.54999923706055,52.150001525878906,55409,2022-07-11
2022-07-18,51.621238708496094,52.400001525878906,53.5,49.70000076293945,52.0,78102,2022-07-18
2022-07-25,51.57197952270508,52.349998474121094,55.400001525878906,51.5,52.400001525878906,111698,2022-07-25
2022-08-01,53.0496826171875,53.849998474121094,54.900001525878906,51.099998474121094,51.650001525878906,135651,2022-08-01
2022-08-08,49.109130859375,49.849998474121094,55.900001525878906,49.20000076293945,55.900001525878906,147238,2022-08-08
2022-08-15,49.15839385986328,49.900001525878906,51.25,49.0,49.849998474121094,119419,2022-08-15
2022-08-22,50.53758239746094,51.29999923706055,52.900001525878906,48.70000076293945,50.75,187163,2022-08-22
2022-08-29,57.630577087402344,58.5,63.599998474121094,48.900001525878906,50.0,1601036,2022-08-29
2022-09-05,64.96985626220703,65.94999694824219,69.0,57.150001525878906,60.04999923706055,1941710,2022-09-05
2022-09-12,66.44755554199219,67.44999694824219,76.4000015258789,65.9000015258789,69.25,2542074,2022-09-12
2022-09-19,70.83142852783203,71.9000015258789,76.9000015258789,61.849998474121094,71.0,1943820,2022-09-19
2022-09-26,67.23567199707031,68.25,72.3499984741211,62.150001525878906,70.5,1355925,2022-09-26
2022-10-03,68.41783142089844,69.44999694824219,72.9000015258789,67.75,68.80000305175781,555069,2022-10-03
2022-10-10,76.54522705078125,77.69999694824219,87.9000015258789,67.69999694824219,67.69999694824219,4071429,2022-10-10
2022-10-17,76.98854064941406,78.1500015258789,82.80000305175781,74.0,78.19999694824219,1024908,2022-10-17
2022-10-24,74.72271728515625,75.8499984741211,80.9000015258789,75.5,78.69999694824219,334470,2022-10-24
2022-10-31,72.94947814941406,74.05000305175781,77.25,69.6500015258789,77.19999694824219,555539,2022-10-31
2022-11-07,62.70404052734375,63.650001525878906,76.30000305175781,62.79999923706055,74.80000305175781,680182,2022-11-07
2022-11-14,57.630577087402344,58.5,64.19999694824219,58.04999923706055,64.0,550347,2022-11-14
2022-11-21,58.27091979980469,59.150001525878906,59.849998474121094,56.25,58.5,200395,2022-11-21
2022-11-28,59.05902862548828,59.95000076293945,64.80000305175781,57.5,59.79999923706055,566072,2022-11-28
2022-12-05,55.611045837402344,56.45000076293945,60.599998474121094,55.25,60.599998474121094,336272,2022-12-05
2022-12-12,56.743953704833984,57.599998474121094,59.400001525878906,55.79999923706055,56.900001525878906,351750,2022-12-12
2022-12-19,49.70021438598633,50.45000076293945,61.900001525878906,48.79999923706055,58.650001525878906,683764,2022-12-19
2022-12-26,54.773677825927734,55.599998474121094,57.599998474121094,50.54999923706055,51.5,204251,2022-12-26
2023-01-02,66.39830780029297,67.4000015258789,71.5,55.900001525878906,56.650001525878906,3227822,2023-01-02
2023-01-09,60.24119567871094,61.150001525878906,70.6500015258789,60.29999923706055,67.80000305175781,455586,2023-01-09
2023-01-16,58.17240524291992,59.04999923706055,62.5,58.099998474121094,62.5,108913,2023-01-16
2023-01-23,56.152870178222656,57.0,59.95000076293945,55.75,59.0,68698,2023-01-23
2023-01-30,52.261573791503906,53.04999923706055,58.0,52.20000076293945,56.54999923706055,187681,2023-01-30
2023-02-06,53.0496826171875,53.849998474121094,54.599998474121094,51.20000076293945,53.29999923706055,108536,2023-02-06
2023-02-13,51.818260192871094,52.599998474121094,53.95000076293945,51.04999923706055,53.95000076293945,50869,2023-02-13
2023-02-20,49.749473571777344,50.5,53.75,50.20000076293945,53.75,54787,2023-02-20
2023-02-27,49.5031852722168,50.25,53.349998474121094,47.5,50.04999923706055,84920,2023-02-27
2023-03-06,49.798728942871094,50.54999923706055,52.5,49.349998474121094,50.25,76590,2023-03-06
2023-03-13,45.267093658447266,45.95000076293945,51.95000076293945,44.849998474121094,51.95000076293945,204669,2023-03-13
2023-03-20,42.75499725341797,43.400001525878906,47.04999923706055,42.45000076293945,45.79999923706055,86108,2023-03-20
2023-03-27,39.01146697998047,39.599998474121094,43.650001525878906,38.75,43.599998474121094,197943,2023-03-27
2023-04-03,39.79957962036133,40.400001525878906,43.25,39.900001525878906,39.900001525878906,213160,2023-04-03
2023-04-10,41.080257415771484,41.70000076293945,42.849998474121094,38.400001525878906,41.79999923706055,304486,2023-04-10
2023-04-17,41.129512786865234,41.75,42.849998474121094,40.54999923706055,41.70000076293945,125205,2023-04-17
2023-04-24,45.119319915771484,45.79999923706055,46.79999923706055,41.0,42.0,207222,2023-04-24
2023-05-01,45.858177185058594,46.54999923706055,49.29999923706055,45.25,45.79999923706055,226146,2023-05-01
2023-05-08,55.51252746582031,56.349998474121094,59.20000076293945,47.04999923706055,47.5,1141792,2023-05-08
2023-05-15,54.281105041503906,55.099998474121094,58.349998474121094,54.20000076293945,56.400001525878906,232558,2023-05-15
2023-05-22,52.163063049316406,52.95000076293945,56.20000076293945,51.0,54.45000076293945,87417,2023-05-22
2023-05-29,52.40934753417969,53.20000076293945,53.25,50.0,52.95000076293945,96162,2023-05-29
2023-06-05,51.966033935546875,52.75,53.70000076293945,50.25,53.20000076293945,81317,2023-06-05
2023-06-12,54.37962341308594,55.20000076293945,57.5,51.099998474121094,52.54999923706055,131665,2023-06-12
2023-06-19,53.640769958496094,54.45000076293945,56.5,54.0,54.650001525878906,60718,2023-06-19
2023-06-26,52.65563201904297,53.45000076293945,55.95000076293945,52.20000076293945,55.95000076293945,63802,2023-06-26
2023-07-03,52.951171875,53.75,55.349998474121094,52.650001525878906,54.0,85214,2023-07-03
2023-07-10,51.86751937866211,52.650001525878906,54.849998474121094,52.0,54.849998474121094,79484,2023-07-10
2023-07-17,52.212318420410156,53.0,53.900001525878906,51.0,53.45000076293945,89393,2023-07-17
2023-07-24,49.5031852722168,50.25,57.599998474121094,49.650001525878906,54.79999923706055,318622,2023-07-24
2023-07-31,49.40467834472656,50.150001525878906,52.599998474121094,49.0,50.0,148765,2023-07-31
2023-08-07,48.96136474609375,49.70000076293945,52.0,49.29999923706055,50.0,114280,2023-08-07
2023-08-14,52.951171875,53.75,54.95000076293945,49.349998474121094,50.79999923706055,180746,2023-08-14
2023-08-21,52.310829162597656,53.099998474121094,56.0,52.20000076293945,55.70000076293945,197170,2023-08-21
2023-08-28,54.62590789794922,55.45000076293945,55.45000076293945,51.54999923706055,53.150001525878906,274371,2023-08-28
2023-09-04,62.99958038330078,63.95000076293945,64.5999984741211,55.099998474121094,57.099998474121094,770487,2023-09-04
2023-09-11,59.896392822265625,60.79999923706055,66.8499984741211,58.29999923706055,64.69999694824219,387717,2023-09-11
2023-09-18,56.202125549316406,57.04999923706055,61.79999923706055,56.099998474121094,61.79999923706055,172116,2023-09-18
2023-09-25,58.024635314941406,58.900001525878906,60.0,57.0,57.45000076293945,181164,2023-09-25
2023-10-02,60.093421936035156,61.0,62.349998474121094,56.20000076293945,58.900001525878906,316896,2023-10-02
2023-10-09,59.50233840942383,60.400001525878906,61.599998474121094,56.95000076293945,60.900001525878906,197876,2023-10-09
2023-10-16,59.797882080078125,60.70000076293945,64.0,59.0,61.099998474121094,332312,2023-10-16
2023-10-23,55.51252746582031,56.349998474121094,61.29999923706055,52.650001525878906,60.70000076293945,181853,2023-10-23
2023-10-30,56.39915466308594,57.25,59.849998474121094,55.70000076293945,56.0,198896,2023-10-30
2023-11-06,56.39915466308594,57.25,60.849998474121094,56.099998474121094,57.25,252491,2023-11-06
2023-11-13,56.793212890625,57.650001525878906,60.0,57.099998474121094,59.25,129019,2023-11-13
2023-11-20,60.142677307128906,61.04999923706055,61.849998474121094,57.400001525878906,58.29999923706055,354545,2023-11-20
2023-11-27,62.753299713134766,63.70000076293945,66.25,60.04999923706055,61.04999923706055,453338,2023-11-27
2023-12-04,63.78769302368164,64.75,68.0,61.04999923706055,66.0,537633,2023-12-04
2023-12-11,64.92060089111328,65.9000015258789,68.44999694824219,62.5,65.0,369527,2023-12-11
2023-12-18,63.68918228149414,64.6500015258789,69.1500015258789,61.25,65.55000305175781,763643,2023-12-18
2023-12-25,63.88620376586914,64.8499984741211,67.6500015258789,64.05000305175781,64.6500015258789,194214,2023-12-25
2024-01-01,75.75711822509766,76.9000015258789,80.25,64.5,64.8499984741211,955152,2024-01-01
2024-01-08,76.20043182373047,77.3499984741211,80.0,73.0999984741211,76.44999694824219,901883,2024-01-08
2024-01-15,74.96900177001953,76.0999984741211,78.0,69.25,76.5999984741211,536426,2024-01-15
2024-01-22,83.19490814208984,84.44999694824219,84.69999694824219,76.0999984741211,76.0999984741211,882405,2024-01-22
2024-01-29,100.68111419677734,102.19999694824219,102.19999694824219,83.25,85.9000015258789,1028580,2024-01-29
2024-02-05,111.1728286743164,112.8499984741211,122.8499984741211,106.75,107.30000305175781,1089339,2024-02-05
2024-02-12,116.54183959960938,118.30000305175781,120.0,106.8499984741211,115.94999694824219,519567,2024-02-12
2024-02-19,117.87177276611328,119.6500015258789,136.89999389648438,119.05000305175781,119.05000305175781,458669,2024-02-19
2024-02-26,110.87728881835938,112.55000305175781,117.25,110.3499984741211,117.25,82733,2024-02-26
2024-03-04,103.43949127197266,105.0,113.0,105.0,110.75,57081,2024-03-04
2024-03-11,93.58811950683594,95.0,104.80000305175781,95.0,102.9000015258789,6996,2024-03-11
2024-03-18,95.3121109008789,96.75,96.75,89.44999694824219,93.0999984741211,195468,2024-03-18
2024-03-25,101.07516479492188,102.5999984741211,102.5999984741211,96.75,96.75,58889,2024-03-25
2024-04-01,117.08365631103516,118.8499984741211,123.0,97.5999984741211,99.0,248198,2024-04-01
2024-04-08,111.02505493164062,112.69999694824219,120.94999694824219,112.69999694824219,118.1500015258789,95052,2024-04-08
2024-04-15,110.82803344726562,112.5,114.9000015258789,108.25,110.44999694824219,53255,2024-04-15
2024-04-22,122.20638275146484,124.05000305175781,124.05000305175781,112.55000305175781,114.75,57147,2024-04-22
2024-04-29,132.0084991455078,134.0,134.14999389648438,126.5,126.5,232546,2024-04-29
2024-05-06,128.16647338867188,130.10000610351562,132.0,128.0,131.35000610351562,181289,2024-05-06
2024-05-13,143.04205322265625,145.1999969482422,145.1999969482422,127.5,132.6999969482422,74367,2024-05-13
2024-05-20,136.9813232421875,138.0,145.1999969482422,136.6999969482422,142.39999389648438,122199,2024-05-20
2024-05-27,139.61175537109375,140.64999389648438,140.64999389648438,129.89999389648438,135.25,129794,2024-05-27
2024-06-03,135.4923858642578,136.5,143.0,134.5,142.0,41870,2024-06-03
2024-06-10,153.84591674804688,154.99000549316406,154.99000549316406,133.30999755859375,139.5,254848,2024-06-10
2024-06-17,156.83367919921875,158.0,168.0,148.39999389648438,154.99000549316406,409756,2024-06-17
2024-06-24,147.60232543945312,148.6999969482422,161.16000366210938,148.6999969482422,161.16000366210938,71225,2024-06-24
2024-07-01,150.51071166992188,151.6300048828125,151.6300048828125,142.8000030517578,145.72000122070312,61218,2024-07-01
2024-07-08,152.8632049560547,154.0,157.75,151.49000549316406,154.66000366210938,58903,2024-07-08
2024-07-15,145.90496826171875,146.99000549316406,154.0,142.0399932861328,154.0,21578,2024-07-15
2024-07-22,151.82095336914062,152.9499969482422,153.0,145.0399932861328,148.0,63316,2024-07-22
2024-07-29,133.0902557373047,134.0800018310547,165.0,134.0800018310547,160.58999633789062,315939,2024-07-29
2024-08-05,139.89962768554688,140.94000244140625,148.80999755859375,127.2699966430664,130.10000610351562,165098,2024-08-05
2024-08-12,143.67156982421875,144.74000549316406,144.8800048828125,131.25,140.0,100903,2024-08-12
2024-08-19,131.9884490966797,132.97000122070312,148.0,132.60000610351562,148.0,110743,2024-08-19
2024-08-26,134.36000061035156,134.36000061035156,145.0,129.99000549316406,136.39999389648438,263560,2024-08-26
2024-09-02,133.75999450683594,133.75999450683594,138.7899932861328,131.10000610351562,133.0,84649,2024-09-02
2024-09-09,130.8000030517578,130.8000030517578,139.1999969482422,127.80999755859375,136.0,276938,2024-09-09
2024-09-16,127.0199966430664,127.0199966430664,133.0,118.61000061035156,131.9499969482422,130828,2024-09-16
2024-09-23,127.06999969482422,127.06999969482422,133.3699951171875,119.19999694824219,128.0,199433,2024-09-23
2024-09-30,121.51000213623047,121.51000213623047,133.77000427246094,118.51000213623047,129.89999389648438,168659,2024-09-30
2024-10-07,122.6500015258789,122.6500015258789,127.62999725341797,108.01000213623047,121.5199966430664,137022,2024-10-07
2024-10-14,124.01000213623047,124.01000213623047,138.60000610351562,111.80000305175781,124.5,260690,2024-10-14
2024-10-21,114.95999908447266,114.95999908447266,125.0,106.20999908447266,124.01000213623047,201322,2024-10-21
2024-10-28,123.27999877929688,123.27999877929688,128.3000030517578,110.0,111.5,213805,2024-10-28
2024-11-04,120.08000183105469,120.08000183105469,128.97999572753906,115.30999755859375,125.0,219688,2024-11-04
2024-11-11,112.44999694824219,112.44999694824219,123.0,109.19999694824219,122.98999786376953,62279,2024-11-11
2024-11-18,111.94999694824219,111.94999694824219,116.0,104.8499984741211,116.0,90976,2024-11-18
2024-11-25,118.72000122070312,118.72000122070312,122.9000015258789,105.8499984741211,113.5,288435,2024-11-25
2024-12-02,124.52999877929688,124.52999877929688,126.5,112.04000091552734,120.0,344128,2024-12-02
2024-12-09,120.5999984741211,120.5999984741211,134.27999877929688,118.20999908447266,124.0,468631,2024-12-09
2024-12-16,113.08000183105469,113.08000183105469,124.44999694824219,112.20999908447266,121.3499984741211,185207,2024-12-16
2024-12-23,115.81999969482422,115.81999969482422,127.0,110.5,114.80000305175781,226866,2024-12-23
2024-12-30,121.30000305175781,121.30000305175781,123.0,112.61000061035156,115.81999969482422,130501,2024-12-30
2025-01-06,108.48999786376953,108.48999786376953,122.4000015258789,105.45999908447266,122.37000274658203,71226,2025-01-06
2025-01-13,113.86000061035156,113.86000061035156,122.80000305175781,99.30000305175781,108.48999786376953,363279,2025-01-13
2025-01-20,113.12999725341797,113.12999725341797,118.0,106.01000213623047,112.5,115713,2025-01-20
2025-01-27,102.61000061035156,102.61000061035156,111.44999694824219,92.81999969482422,111.44999694824219,241726,2025-01-27
2025-02-03,101.69000244140625,101.69000244140625,104.0,95.62000274658203,102.62000274658203,41616,2025-02-03
2025-02-10,82.77999877929688,82.77999877929688,103.5999984741211,81.19999694824219,101.16000366210938,250589,2025-02-10
2025-02-17,96.20999908447266,96.20999908447266,109.18000030517578,81.0,86.9800033569336,382487,2025-02-17
2025-02-24,85.68000030517578,85.68000030517578,99.2300033569336,82.01000213623047,94.55000305175781,159000,2025-02-24
2025-03-03,92.18000030517578,92.18000030517578,98.23999786376953,80.98999786376953,88.9000015258789,226143,2025-03-03
2025-03-10,88.02999877929688,88.02999877929688,96.80000305175781,85.19000244140625,96.80000305175781,73719,2025-03-10
2025-03-17,86.0199966430664,86.0199966430664,92.81999969482422,85.01000213623047,88.02999877929688,250748,2025-03-17
2025-03-24,85.55000305175781,85.55000305175781,91.0199966430664,84.05000305175781,87.69000244140625,176584,2025-03-24
2025-03-31,85.86000061035156,85.86000061035156,90.5999984741211,85.4000015258789,85.55000305175781,33894,2025-03-31
2025-04-07,84.22000122070312,84.22000122070312,88.97000122070312,77.55000305175781,80.4000015258789,71489,2025-04-07
2025-04-14,90.77999877929688,90.77999877929688,93.98999786376953,84.58000183105469,84.58000183105469,61344,2025-04-14
2025-04-21,87.62999725341797,87.62999725341797,92.87000274658203,86.01000213623047,90.8499984741211,66675,2025-04-21
2025-04-28,83.25,83.25,92.0,80.0,87.05000305175781,63456,2025-04-28
2025-05-05,81.93000030517578,81.93000030517578,91.01000213623047,80.02999877929688,88.80000305175781,143115,2025-05-05
2025-05-12,86.9000015258789,86.9000015258789,90.01000213623047,83.25,84.98999786376953,105905,2025-05-12
2025-05-19,89.9000015258789,89.9000015258789,95.5,86.30999755859375,87.9000015258789,228952,2025-05-19
2025-05-26,85.23999786376953,85.23999786376953,92.0,82.91000366210938,92.0,327344,2025-05-26
2025-06-02,91.66000366210938,91.66000366210938,94.9000015258789,84.62000274658203,86.0,198371,2025-06-02
2025-06-09,85.19000244140625,85.19000244140625,94.69999694824219,83.6500015258789,91.66999816894531,217430,2025-06-09
2025-06-16,86.79000091552734,86.79000091552734,88.88999938964844,84.98999786376953,86.0,97002,2025-06-16
2025-06-23,87.68000030517578,87.68000030517578,94.48999786376953,84.05000305175781,85.25,159500,2025-06-23
2025-06-30,90.26000213623047,90.26000213623047,93.0,85.41000366210938,88.08000183105469,162729,2025-06-30
