Date,Adj Close_WEL.NS,Close_WEL.NS,High_WEL.NS,Low_WEL.NS,Open_WEL.NS,Volume_WEL.NS,Date
2022-01-24,18.055479049682617,18.065000534057617,18.065000534057617,14.854999542236328,15.609999656677246,438310,2022-01-24
2022-01-31,20.844009399414062,20.854999542236328,23.045000076293945,17.299999237060547,18.96500015258789,867910,2022-01-31
2022-02-07,19.684619903564453,19.69499969482422,20.645000457763672,17.55500030517578,19.815000534057617,231200,2022-02-07
2022-02-14,17.495773315429688,17.5049991607666,20.674999237060547,17.5049991607666,20.600000381469727,111350,2022-02-14
2022-02-21,17.975522994995117,17.985000610351562,19.049999237060547,16.610000610351562,17.5049991607666,49580,2022-02-21
2022-02-28,17.59072494506836,17.600000381469727,18.700000762939453,16.40999984741211,18.5,41900,2022-02-28
2022-03-07,16.99104118347168,17.0,18.7450008392334,16.549999237060547,17.0,25230,2022-03-07
2022-03-14,16.03154754638672,16.040000915527344,17.5,15.345000267028809,17.5,47220,2022-03-14
2022-03-21,14.837176322937012,14.845000267028809,17.045000076293945,14.505000114440918,16.795000076293945,40270,2022-03-21
2022-03-28,16.186464309692383,16.19499969482422,16.200000762939453,14.220000267028809,14.805000305175781,20860,2022-03-28
2022-04-04,17.155954360961914,17.165000915527344,18.190000534057617,15.40999984741211,15.40999984741211,16560,2022-04-04
2022-04-11,16.781152725219727,16.790000915527344,17.989999771118164,16.0049991607666,17.989999771118164,25550,2022-04-11
2022-04-18,17.66568374633789,17.674999237060547,18.594999313354492,16.700000762939453,17.625,39990,2022-04-18
2022-04-25,16.491304397583008,16.5,18.5,16.2549991607666,18.0,19630,2022-04-25
2022-05-02,17.31587028503418,17.325000762939453,18.385000228881836,15.765000343322754,16.399999618530273,54090,2022-05-02
2022-05-09,17.495773315429688,17.5049991607666,19.53499984741211,17.100000381469727,18.0,121670,2022-05-09
2022-05-16,17.250904083251953,17.260000228881836,18.19499969482422,16.600000381469727,16.6299991607666,49520,2022-05-16
2022-05-23,16.976049423217773,16.985000610351562,18.274999618530273,15.864999771118164,17.780000686645508,18030,2022-05-23
2022-05-30,15.866633415222168,15.875,17.5,15.484999656677246,16.795000076293945,49280,2022-05-30
2022-06-06,15.087044715881348,15.095000267028809,16.825000762939453,14.510000228881836,15.204999923706055,89900,2022-06-06
2022-06-13,14.482362747192383,14.489999771118164,16.690000534057617,13.6899995803833,14.5,31040,2022-06-13
2022-06-20,13.49288558959961,13.5,15.704999923706055,12.600000381469727,13.699999809265137,39430,2022-06-20
2022-06-27,14.38741397857666,14.395000457763672,15.505000114440918,12.795000076293945,13.100000381469727,28590,2022-06-27
2022-07-04,16.05153465270996,16.059999465942383,18.18000030517578,13.774999618530273,15.0,89740,2022-07-04
2022-07-11,14.672263145446777,14.680000305175781,17.299999237060547,14.274999618530273,14.795000076293945,125210,2022-07-11
2022-07-18,14.527339935302734,14.53499984741211,15.694999694824219,13.5,14.550000190734863,26860,2022-07-18
2022-07-25,13.832706451416016,13.84000015258789,15.800000190734863,13.520000457763672,15.395000457763672,58120,2022-07-25
2022-08-01,14.147540092468262,14.154999732971191,14.604999542236328,13.199999809265137,14.604999542236328,105270,2022-08-01
2022-08-08,13.962637901306152,13.970000267028809,16.5,12.545000076293945,14.5,111690,2022-08-08
2022-08-15,13.87768268585205,13.885000228881836,15.399999618530273,12.795000076293945,13.970000267028809,590840,2022-08-15
2022-08-22,13.962637901306152,13.970000267028809,15.0,13.319999694824219,14.854999542236328,74980,2022-08-22
2022-08-29,13.697776794433594,13.704999923706055,14.875,13.460000038146973,14.875,78790,2022-08-29
2022-09-05,18.04548454284668,18.05500030517578,18.059999465942383,13.524999618530273,13.5600004196167,461520,2022-09-05
2022-09-12,19.209869384765625,19.219999313354492,22.5,18.5,18.899999618530273,2844950,2022-09-12
2022-09-19,17.780624389648438,17.790000915527344,20.190000534057617,16.9950008392334,19.899999618530273,352970,2022-09-19
2022-09-26,17.25589942932129,17.264999389648438,18.459999084472656,16.655000686645508,17.600000381469727,195060,2022-09-26
2022-10-03,17.64569664001465,17.655000686645508,17.850000381469727,16.260000228881836,17.5,86200,2022-10-03
2022-10-10,16.611242294311523,16.6200008392334,17.780000686645508,14.479999542236328,17.399999618530273,134140,2022-10-10
2022-10-17,23.132802963256836,23.145000457763672,25.565000534057617,16.655000686645508,18.0,4721310,2022-10-17
2022-10-24,23.167783737182617,23.18000030517578,25.399999618530273,22.799999237060547,23.045000076293945,340760,2022-10-24
2022-10-31,21.62859535217285,21.639999389648438,24.395000457763672,21.0,23.600000381469727,292910,2022-10-31
2022-11-07,22.2332763671875,22.2450008392334,24.0,20.799999237060547,22.344999313354492,115110,2022-11-07
2022-11-14,19.14490509033203,19.155000686645508,23.19499969482422,18.530000686645508,21.5,128300,2022-11-14
2022-11-21,19.51970863342285,19.530000686645508,20.78499984741211,18.5,18.799999237060547,58010,2022-11-21
2022-11-28,19.704608917236328,19.71500015258789,20.475000381469727,18.725000381469727,19.299999237060547,69710,2022-11-28
2022-12-05,21.408710479736328,21.420000076293945,22.604999542236328,19.100000381469727,20.68000030517578,164810,2022-12-05
2022-12-12,22.932907104492188,22.94499969482422,22.94499969482422,20.299999237060547,22.0,249660,2022-12-12
2022-12-19,21.753528594970703,21.764999389648438,24.09000015258789,20.524999618530273,23.985000610351562,261010,2022-12-19
