Date,Adj Close_EPACK.NS,Close_EPACK.NS,High_EPACK.NS,Low_EPACK.NS,Open_EPACK.NS,Volume_EPACK.NS,Date
2024-06-03,176.5,176.5,183.0,157.89999389648438,183.0,2656751,2024-06-03
2024-06-10,212.1199951171875,212.1199951171875,220.5,176.35000610351562,178.0,14188154,2024-06-10
2024-06-17,225.57000732421875,225.57000732421875,238.60000610351562,212.1199951171875,212.1199951171875,11458255,2024-06-17
2024-06-24,243.74000549316406,243.74000549316406,255.30999755859375,224.41000366210938,226.44000244140625,13609406,2024-06-24
2024-07-01,247.08999633789062,247.08999633789062,269.2799987792969,245.0,247.39999389648438,9061892,2024-07-01
2024-07-08,257.3599853515625,257.3599853515625,266.5,239.0,247.99000549316406,3426118,2024-07-08
2024-07-15,260.2099914550781,260.2099914550781,267.3999938964844,250.0,259.2900085449219,3202442,2024-07-15
2024-07-22,262.2799987792969,262.2799987792969,286.0,242.5,261.0,8643627,2024-07-22
2024-07-29,253.5500030517578,253.5500030517578,274.3500061035156,252.0,272.0,4208260,2024-07-29
2024-08-05,241.4499969482422,241.4499969482422,253.5500030517578,238.3000030517578,250.0,3151529,2024-08-05
2024-08-12,233.0,233.0,253.85000610351562,231.60000610351562,241.0,2317936,2024-08-12
2024-08-19,261.3999938964844,261.3999938964844,264.8999938964844,236.0,236.89999389648438,4321422,2024-08-19
2024-08-26,252.89999389648438,252.89999389648438,274.8999938964844,251.1999969482422,268.95001220703125,6688319,2024-08-26
2024-09-02,265.20001220703125,265.20001220703125,274.8999938964844,246.8000030517578,254.1999969482422,5509391,2024-09-02
2024-09-09,345.79998779296875,345.79998779296875,356.5,259.0,267.5,31354779,2024-09-09
2024-09-16,398.79998779296875,398.79998779296875,403.6499938964844,346.25,350.0,27895068,2024-09-16
2024-09-23,382.70001220703125,382.70001220703125,409.70001220703125,376.0,400.0,8114782,2024-09-23
2024-09-30,390.04998779296875,390.04998779296875,434.1000061035156,370.1000061035156,380.0,9691382,2024-09-30
2024-10-07,365.5,365.5,401.3500061035156,352.20001220703125,395.5,3469654,2024-10-07
2024-10-14,398.6000061035156,398.6000061035156,421.0,368.0,375.0,1734715,2024-10-14
2024-10-21,435.1000061035156,435.1000061035156,469.0,385.04998779296875,404.79998779296875,4095314,2024-10-21
2024-10-28,428.45001220703125,428.45001220703125,456.8500061035156,401.0,456.8500061035156,1632343,2024-10-28
2024-11-04,497.54998779296875,497.54998779296875,515.0,433.0,445.0,2865365,2024-11-04
2024-11-11,439.3999938964844,439.3999938964844,505.45001220703125,439.3999938964844,505.45001220703125,890659,2024-11-11
2024-11-18,391.95001220703125,391.95001220703125,438.0,387.1000061035156,417.45001220703125,3172836,2024-11-18
2024-11-25,409.79998779296875,409.79998779296875,409.79998779296875,361.20001220703125,403.75,2238160,2024-11-25
2024-12-02,429.3999938964844,429.3999938964844,451.75,416.0,416.0,1841930,2024-12-02
2024-12-09,460.70001220703125,460.70001220703125,460.70001220703125,418.0,434.45001220703125,1316640,2024-12-09
2024-12-16,462.25,462.25,509.0,462.25,468.8999938964844,1952182,2024-12-16
2024-12-23,505.1499938964844,505.1499938964844,512.0,445.0,462.25,2725994,2024-12-23
2024-12-30,625.0999755859375,625.0999755859375,625.0999755859375,505.3500061035156,515.9500122070312,5755515,2024-12-30
2025-01-06,568.4500122070312,568.4500122070312,669.9500122070312,568.4500122070312,647.0,7201785,2025-01-06
2025-01-13,527.2000122070312,527.2000122070312,559.7999877929688,508.5,541.1500244140625,5563745,2025-01-13
2025-01-20,487.1499938964844,487.1499938964844,536.9500122070312,454.54998779296875,527.9500122070312,3364265,2025-01-20
2025-01-27,440.20001220703125,440.20001220703125,484.0,428.3500061035156,467.0,4679384,2025-01-27
2025-02-03,415.5,415.5,450.79998779296875,413.1000061035156,421.1000061035156,3126021,2025-02-03
2025-02-10,369.8999938964844,369.8999938964844,419.8500061035156,356.29998779296875,415.54998779296875,4019759,2025-02-10
2025-02-17,389.79998779296875,389.79998779296875,405.0,336.8500061035156,370.0,3148261,2025-02-17
2025-02-24,369.54998779296875,369.54998779296875,406.95001220703125,353.1000061035156,379.1000061035156,1855979,2025-02-24
2025-03-03,368.1000061035156,368.1000061035156,387.3500061035156,351.1000061035156,380.95001220703125,3090536,2025-03-03
2025-03-10,344.04998779296875,344.04998779296875,373.0,341.0,368.1000061035156,1362002,2025-03-10
2025-03-17,358.3999938964844,358.3999938964844,378.29998779296875,326.8500061035156,346.79998779296875,4175118,2025-03-17
2025-03-24,368.75,368.75,376.29998779296875,330.0,371.0,5972393,2025-03-24
2025-03-31,366.79998779296875,366.79998779296875,393.70001220703125,362.25,368.75,2919139,2025-03-31
2025-04-07,374.45001220703125,374.45001220703125,374.45001220703125,340.95001220703125,348.5,1530448,2025-04-07
2025-04-14,403.3500061035156,403.3500061035156,412.79998779296875,374.45001220703125,374.45001220703125,2891884,2025-04-14
2025-04-21,358.3999938964844,358.3999938964844,421.3500061035156,357.0,410.0,3248527,2025-04-21
2025-04-28,355.5,355.5,375.0,351.95001220703125,360.04998779296875,1644352,2025-04-28
2025-05-05,323.8500061035156,323.8500061035156,364.45001220703125,316.0,356.0,2595785,2025-05-05
2025-05-12,362.95001220703125,362.95001220703125,374.0,340.0,340.0,2828207,2025-05-12
2025-05-19,385.70001220703125,385.70001220703125,392.70001220703125,362.95001220703125,365.6499938964844,3532648,2025-05-19
2025-05-26,371.3999938964844,371.3999938964844,409.0,370.0,388.0,5841458,2025-05-26
2025-06-02,364.45001220703125,364.45001220703125,378.0,362.0,370.0,1902769,2025-06-02
2025-06-09,344.04998779296875,344.04998779296875,367.0,339.0,360.5,3459313,2025-06-09
2025-06-16,335.3999938964844,335.3999938964844,347.3999938964844,329.1000061035156,344.04998779296875,1645225,2025-06-16
2025-06-23,343.79998779296875,343.79998779296875,356.8999938964844,331.0,331.0,2072378,2025-06-23
2025-06-30,347.1499938964844,347.1499938964844,363.70001220703125,343.6000061035156,348.8999938964844,1857268,2025-06-30
2025-07-07,367.29998779296875,367.29998779296875,374.8999938964844,337.79998779296875,346.95001220703125,3128357,2025-07-07
2025-07-14,367.70001220703125,367.70001220703125,372.45001220703125,360.0,367.29998779296875,903141,2025-07-14
