Date,Adj Close_XCHANGING.NS,Close_XCHANGING.NS,High_XCHANGING.NS,Low_XCHANGING.NS,Open_XCHANGING.NS,Volume_XCHANGING.NS,Date
2021-04-26,52.66244888305664,67.44999694824219,68.9000015258789,62.25,62.79999923706055,622506,2021-04-26
2021-05-03,54.887630462646484,70.30000305175781,75.4000015258789,64.5999984741211,66.94999694824219,2388850,2021-05-03
2021-05-10,53.599369049072266,68.6500015258789,73.75,67.9000015258789,71.3499984741211,932953,2021-05-10
2021-05-17,57.581260681152344,73.75,76.19999694824219,67.9000015258789,69.0,1418033,2021-05-17
2021-05-24,59.806434631347656,76.5999984741211,78.25,71.8499984741211,74.75,1999356,2021-05-24
2021-05-31,58.8695182800293,75.4000015258789,79.69999694824219,68.80000305175781,77.1500015258789,2262615,2021-05-31
2021-06-07,64.13966369628906,82.1500015258789,87.0999984741211,72.4000015258789,76.44999694824219,5939121,2021-06-07
2021-06-14,62.92947769165039,80.5999984741211,88.75,76.05000305175781,83.05000305175781,5008212,2021-06-14
2021-06-21,62.69525909423828,80.30000305175781,83.55000305175781,77.0999984741211,77.5,2518102,2021-06-21
2021-06-28,63.08563232421875,80.80000305175781,85.5,79.3499984741211,79.69999694824219,2386426,2021-06-28
2021-07-05,63.67121505737305,81.55000305175781,86.80000305175781,80.69999694824219,81.4000015258789,3183570,2021-07-05
2021-07-12,75.22649383544922,96.3499984741211,99.0,82.0,82.94999694824219,9627402,2021-07-12
2021-07-19,101.9285888671875,130.5500030517578,141.0,96.44999694824219,96.44999694824219,47201268,2021-07-19
2021-07-26,91.9738540649414,117.80000305175781,137.85000610351562,111.6500015258789,132.0,8303089,2021-07-26
2021-08-02,95.01882934570312,121.69999694824219,123.8499984741211,106.80000305175781,122.0999984741211,6795973,2021-08-02
2021-08-09,92.52039337158203,118.5,124.69999694824219,102.30000305175781,123.44999694824219,4818083,2021-08-09
2021-08-16,79.79396057128906,102.19999694824219,116.4000015258789,100.0999984741211,114.94999694824219,2441749,2021-08-16
2021-08-23,86.04005432128906,110.19999694824219,116.4000015258789,93.9000015258789,106.55000305175781,4326134,2021-08-23
2021-08-30,85.7277603149414,109.80000305175781,114.8499984741211,105.5999984741211,111.4000015258789,2142533,2021-08-30
2021-09-06,83.38546752929688,106.80000305175781,111.9000015258789,105.80000305175781,110.6500015258789,1292397,2021-09-06
2021-09-13,87.17217254638672,111.6500015258789,122.5,106.80000305175781,106.80000305175781,4238227,2021-09-13
2021-09-20,86.35236358642578,110.5999984741211,114.9000015258789,105.0,110.0,2503103,2021-09-20
2021-09-27,84.4785385131836,108.19999694824219,113.75,107.0999984741211,111.5,1371189,2021-09-27
2021-10-04,97.86861419677734,125.3499984741211,126.69999694824219,108.69999694824219,108.75,5959308,2021-10-04
2021-10-11,90.52944946289062,115.94999694824219,132.0,115.0999984741211,127.0,3750772,2021-10-11
2021-10-18,85.1031494140625,109.0,119.9000015258789,108.19999694824219,116.80000305175781,2530807,2021-10-18
2021-10-25,79.28646850585938,101.55000305175781,108.0,98.5,104.0,1999600,2021-10-25
2021-11-01,84.24430084228516,107.9000015258789,108.9000015258789,102.0999984741211,102.80000305175781,967102,2021-11-01
2021-11-08,82.7608642578125,106.0,112.0,104.0999984741211,109.75,1910881,2021-11-08
2021-11-15,79.09127807617188,101.30000305175781,107.6500015258789,100.94999694824219,106.69999694824219,1086862,2021-11-15
2021-11-22,77.92013549804688,99.80000305175781,106.5,95.69999694824219,102.05000305175781,1575899,2021-11-22
2021-11-29,77.60781860351562,99.4000015258789,102.55000305175781,94.5,99.4000015258789,1061316,2021-11-29
2021-12-06,85.57160186767578,109.5999984741211,114.80000305175781,96.9000015258789,99.5,3420250,2021-12-06
2021-12-13,77.72493743896484,99.55000305175781,111.3499984741211,99.0,110.5,1775190,2021-12-13
2021-12-20,80.02819061279297,102.5,107.80000305175781,94.0,98.0,2135569,2021-12-20
2021-12-27,85.29833221435547,109.25,114.25,99.75,102.5,4360082,2021-12-27
2022-01-03,82.7999038696289,106.05000305175781,111.9000015258789,103.0,109.8499984741211,2166392,2022-01-03
2022-01-10,90.21714782714844,115.55000305175781,124.80000305175781,107.0,107.0,9451087,2022-01-10
2022-01-17,89.24119567871094,114.30000305175781,120.9000015258789,109.0,115.05000305175781,4328816,2022-01-17
2022-01-24,81.23837280273438,104.05000305175781,114.8499984741211,98.19999694824219,113.80000305175781,2566830,2022-01-24
2022-01-31,83.89295959472656,107.44999694824219,110.0,102.19999694824219,106.4000015258789,1767795,2022-01-31
2022-02-07,78.07628631591797,100.0,108.3499984741211,99.69999694824219,106.8499984741211,2069497,2022-02-07
2022-02-14,73.7820816040039,94.5,101.0,92.55000305175781,98.75,1788631,2022-02-14
2022-02-21,66.20869445800781,84.80000305175781,93.75,79.0,93.5999984741211,1605261,2022-02-21
2022-02-28,65.97445678710938,84.5,88.5,82.0,83.4000015258789,713982,2022-02-28
2022-03-07,69.0584716796875,88.44999694824219,90.9000015258789,81.0,82.94999694824219,1062458,2022-03-07
2022-03-14,68.16059875488281,87.30000305175781,89.5,84.6500015258789,87.75,761035,2022-03-14
2022-03-21,66.83329772949219,85.5999984741211,92.6500015258789,85.0999984741211,88.9000015258789,1409004,2022-03-21
2022-03-28,67.6530990600586,86.6500015258789,87.30000305175781,80.05000305175781,85.94999694824219,1887344,2022-03-28
2022-04-04,72.8061294555664,93.25,94.9000015258789,87.0,87.19999694824219,1784624,2022-04-04
2022-04-11,70.73710632324219,90.5999984741211,94.9000015258789,89.25,93.0,586915,2022-04-11
2022-04-18,69.21463012695312,88.6500015258789,91.69999694824219,85.8499984741211,88.25,964320,2022-04-18
2022-04-25,65.70118713378906,84.1500015258789,88.44999694824219,83.80000305175781,87.94999694824219,592076,2022-04-25
2022-05-02,61.524112701416016,78.80000305175781,83.80000305175781,76.8499984741211,82.5999984741211,719485,2022-05-02
2022-05-09,55.90261459350586,71.5999984741211,78.80000305175781,68.6500015258789,78.80000305175781,952145,2022-05-09
2022-05-16,56.68337631225586,72.5999984741211,74.75,70.05000305175781,71.75,557893,2022-05-16
2022-05-23,52.974754333496094,67.8499984741211,73.5,62.599998474121094,72.94999694824219,643930,2022-05-23
2022-05-30,55.31704330444336,70.8499984741211,73.5999984741211,68.25,68.44999694824219,601789,2022-05-30
2022-06-06,53.01380157470703,67.9000015258789,70.44999694824219,67.5,69.55000305175781,317690,2022-06-06
2022-06-13,47.782684326171875,61.20000076293945,67.94999694824219,60.04999923706055,67.5,359216,2022-06-13
2022-06-20,46.72865295410156,59.849998474121094,65.0,55.79999923706055,61.900001525878906,677631,2022-06-20
2022-06-27,46.416351318359375,59.45000076293945,63.849998474121094,58.25,61.54999923706055,695871,2022-06-27
2022-07-04,46.767696380615234,59.900001525878906,61.650001525878906,58.400001525878906,59.45000076293945,474691,2022-07-04
2022-07-11,53.950706481933594,69.0999984741211,80.69999694824219,58.849998474121094,59.5,4839472,2022-07-11
2022-07-18,56.488189697265625,72.3499984741211,78.4000015258789,69.0999984741211,69.0999984741211,1811066,2022-07-18
2022-07-25,55.668392181396484,71.30000305175781,75.4000015258789,68.8499984741211,71.5,749737,2022-07-25
2022-08-01,56.87856674194336,72.8499984741211,76.5,70.5,72.69999694824219,780530,2022-08-01
2022-08-08,55.70742416381836,71.3499984741211,74.9000015258789,69.69999694824219,74.9000015258789,590653,2022-08-08
2022-08-15,57.93259811401367,74.19999694824219,77.5999984741211,71.3499984741211,71.3499984741211,1075161,2022-08-15
2022-08-22,59.10374450683594,75.69999694824219,80.0999984741211,71.1500015258789,73.4000015258789,1638515,2022-08-22
2022-08-29,59.76739501953125,76.55000305175781,81.6500015258789,72.80000305175781,73.94999694824219,1615887,2022-08-29
2022-09-05,60.001617431640625,76.8499984741211,79.80000305175781,75.30000305175781,76.30000305175781,1073421,2022-09-05
2022-09-12,64.21774291992188,82.25,91.0,77.05000305175781,77.30000305175781,5804125,2022-09-12
2022-09-19,60.392005920410156,77.3499984741211,84.0,76.75,82.4000015258789,964859,2022-09-19
2022-09-26,58.71336364746094,75.19999694824219,76.80000305175781,72.5,74.0999984741211,707459,2022-09-26
2022-10-03,62.81236267089844,80.44999694824219,82.0,73.4000015258789,74.5,838081,2022-10-03
2022-10-10,64.60812377929688,82.75,85.94999694824219,76.5999984741211,79.80000305175781,1459620,2022-10-10
2022-10-17,61.44603729248047,78.69999694824219,83.3499984741211,77.5999984741211,82.75,610485,2022-10-17
2022-10-24,60.19680404663086,77.0999984741211,83.4000015258789,76.5,79.5,418807,2022-10-24
2022-10-31,61.01660919189453,78.1500015258789,79.94999694824219,76.5,77.69999694824219,537687,2022-10-31
2022-11-07,58.71336364746094,75.19999694824219,79.4000015258789,73.0,78.5,789175,2022-11-07
2022-11-14,55.47319793701172,71.05000305175781,75.94999694824219,70.19999694824219,75.19999694824219,627613,2022-11-14
2022-11-21,56.95664596557617,72.94999694824219,73.80000305175781,69.30000305175781,71.05000305175781,594030,2022-11-21
2022-11-28,58.596256256103516,75.05000305175781,76.8499984741211,72.05000305175781,72.94999694824219,863292,2022-11-28
2022-12-05,56.3320426940918,72.1500015258789,77.6500015258789,71.1500015258789,75.05000305175781,604714,2022-12-05
2022-12-12,55.47319793701172,71.05000305175781,74.0,70.5,72.3499984741211,487345,2022-12-12
2022-12-19,47.89979553222656,61.349998474121094,72.0,60.54999923706055,71.80000305175781,710441,2022-12-19
2022-12-26,52.38918685913086,67.0999984741211,68.69999694824219,61.5,61.5,493334,2022-12-26
