Date,Adj Close_KRSNAA.NS,Close_KRSNAA.NS,High_KRSNAA.NS,Low_KRSNAA.NS,Open_KRSNAA.NS,Volume_KRSNAA.NS,Date
2022-06-27,522.6083374023438,529.0499877929688,557.9000244140625,522.8499755859375,525.0,113471,2022-06-27
2022-07-04,538.6604614257812,545.2999877929688,554.4000244140625,525.0,532.1500244140625,170087,2022-07-04
2022-07-11,565.4799194335938,572.4500122070312,604.0999755859375,540.5,549.5,247774,2022-07-11
2022-07-18,546.019775390625,552.75,591.1500244140625,535.5499877929688,568.1500244140625,396763,2022-07-18
2022-07-25,547.0570068359375,553.7999877929688,580.0,550.0999755859375,555.0,305370,2022-07-25
2022-08-01,490.4052734375,496.45001220703125,552.3499755859375,493.8999938964844,550.0499877929688,690266,2022-08-01
2022-08-08,455.3869323730469,461.0,493.29998779296875,456.8999938964844,490.25,278720,2022-08-08
2022-08-15,457.1156311035156,462.75,489.3999938964844,457.0,461.0,338608,2022-08-15
2022-08-22,471.834228515625,477.6499938964844,502.8999938964844,459.25,464.0,329646,2022-08-22
2022-08-29,477.810546875,483.70001220703125,495.75,468.3500061035156,472.0,215014,2022-08-29
2022-09-05,505.3214111328125,511.54998779296875,526.0,484.0,494.0,490479,2022-09-05
2022-09-12,489.269287109375,495.29998779296875,520.0,492.0,518.5499877929688,385689,2022-09-12
2022-09-19,487.5383605957031,491.1499938964844,504.95001220703125,445.5,495.0,147981,2022-09-19
2022-09-26,495.5291748046875,499.20001220703125,509.1000061035156,467.54998779296875,491.1499938964844,274564,2022-09-26
2022-10-03,503.22216796875,506.95001220703125,508.95001220703125,492.5,500.0,112143,2022-10-03
2022-10-10,478.0089416503906,481.54998779296875,505.3999938964844,479.0,505.0,82425,2022-10-10
2022-10-17,472.1523132324219,475.6499938964844,492.79998779296875,469.75,480.1000061035156,171393,2022-10-17
2022-10-24,470.4151916503906,473.8999938964844,494.6000061035156,470.1000061035156,471.1000061035156,74962,2022-10-24
2022-10-31,479.8453369140625,483.3999938964844,494.45001220703125,465.29998779296875,486.0,227235,2022-10-31
2022-11-07,463.66522216796875,467.1000061035156,507.29998779296875,463.04998779296875,485.0,259069,2022-11-07
2022-11-14,467.3379821777344,470.79998779296875,473.0,461.5,467.1000061035156,165284,2022-11-14
2022-11-21,481.0861511230469,484.6499938964844,494.45001220703125,460.1499938964844,475.0,306205,2022-11-21
2022-11-28,476.9666748046875,480.5,490.54998779296875,473.1000061035156,486.0,238361,2022-11-28
2022-12-05,469.62109375,473.1000061035156,489.8999938964844,468.54998779296875,483.29998779296875,228522,2022-12-05
2022-12-12,470.6137390136719,474.1000061035156,482.0,457.70001220703125,471.0,622016,2022-12-12
2022-12-19,448.4776916503906,451.79998779296875,500.0,449.5,475.0,584283,2022-12-19
2022-12-26,457.51080322265625,460.8999938964844,465.0,449.8999938964844,459.70001220703125,131617,2022-12-26
2023-01-02,439.9906005859375,443.25,464.3999938964844,441.1000061035156,461.0,142878,2023-01-02
2023-01-09,426.3913269042969,429.54998779296875,455.0,428.8500061035156,447.0,120110,2023-01-09
2023-01-16,413.04022216796875,416.1000061035156,433.54998779296875,407.1000061035156,430.20001220703125,202553,2023-01-16
2023-01-23,415.3729553222656,418.45001220703125,433.29998779296875,410.0,422.3500061035156,207136,2023-01-23
2023-01-30,422.66888427734375,425.79998779296875,445.0,416.6000061035156,445.0,286836,2023-01-30
2023-02-06,422.867431640625,426.0,449.8999938964844,421.1499938964844,425.25,236935,2023-02-06
2023-02-13,372.34173583984375,375.1000061035156,429.0,372.1000061035156,419.6000061035156,337833,2023-02-13
2023-02-20,382.2185363769531,385.04998779296875,393.6499938964844,372.3999938964844,376.04998779296875,315744,2023-02-20
2023-02-27,359.18914794921875,361.8500061035156,386.3500061035156,353.1000061035156,382.0,277335,2023-02-27
2023-03-06,394.179931640625,397.1000061035156,422.3999938964844,362.29998779296875,366.0,906273,2023-03-06
2023-03-13,392.8894958496094,395.79998779296875,415.54998779296875,371.04998779296875,399.8999938964844,997981,2023-03-13
2023-03-20,447.03839111328125,450.3500061035156,462.0,386.54998779296875,395.79998779296875,1814446,2023-03-20
2023-03-27,456.8159484863281,460.20001220703125,473.8999938964844,435.04998779296875,450.3500061035156,470896,2023-03-27
2023-04-03,490.8637390136719,494.5,498.0,462.0,469.3999938964844,354243,2023-04-03
2023-04-10,493.19647216796875,496.8500061035156,517.0,487.0,495.0,458004,2023-04-10
2023-04-17,529.6265258789062,533.5499877929688,542.7000122070312,487.95001220703125,491.8999938964844,670225,2023-04-17
2023-04-24,502.2791442871094,506.0,539.7000122070312,497.0,537.0999755859375,353556,2023-04-24
2023-05-01,501.98138427734375,505.70001220703125,533.0,502.0,506.0,221492,2023-05-01
2023-05-08,504.61187744140625,508.3500061035156,518.0,495.25,505.95001220703125,1108010,2023-05-08
2023-05-15,553.6982421875,557.7999877929688,563.1500244140625,504.04998779296875,514.1500244140625,487031,2023-05-15
2023-05-22,500.39312744140625,504.1000061035156,563.0,495.8500061035156,557.7999877929688,481884,2023-05-22
2023-05-29,561.5401611328125,565.7000122070312,598.9500122070312,510.29998779296875,526.0,991490,2023-05-29
2023-06-05,562.3342895507812,566.5,609.0,551.9500122070312,574.0999755859375,387316,2023-06-05
2023-06-12,574.6431274414062,578.9000244140625,609.0,559.5,565.7000122070312,442373,2023-06-12
2023-06-19,562.3839111328125,566.5499877929688,604.9000244140625,558.25,591.75,370706,2023-06-19
2023-06-26,580.7478637695312,585.0499877929688,589.9500122070312,565.0499877929688,568.0,168531,2023-06-26
2023-07-03,576.2809448242188,580.5499877929688,601.9500122070312,575.4500122070312,585.6500244140625,247103,2023-07-03
2023-07-10,547.0474853515625,551.0999755859375,595.1500244140625,548.2999877929688,585.0,312251,2023-07-10
2023-07-17,446.7405700683594,450.04998779296875,569.25,448.6000061035156,555.0,1908608,2023-07-17
2023-07-24,481.9795227050781,485.54998779296875,490.0,449.1499938964844,453.70001220703125,836535,2023-07-24
2023-07-31,519.6504516601562,523.5,542.0,483.25,489.95001220703125,960293,2023-07-31
2023-08-07,508.5328369140625,512.2999877929688,535.0,507.20001220703125,530.0,236924,2023-08-07
2023-08-14,523.77001953125,527.6500244140625,533.5499877929688,482.1000061035156,511.0,852982,2023-08-14
2023-08-21,568.4390258789062,572.6500244140625,606.5,530.8499755859375,530.8499755859375,1453591,2023-08-21
2023-08-28,640.406005859375,645.1500244140625,648.9500122070312,575.2999877929688,578.7000122070312,1244783,2023-08-28
2023-09-04,676.9849853515625,682.0,699.7000122070312,631.0999755859375,643.5999755859375,623820,2023-09-04
2023-09-11,647.9004516601562,652.7000122070312,698.0,615.0,682.0,653206,2023-09-11
2023-09-18,648.1693115234375,650.25,669.7999877929688,638.2000122070312,658.9500122070312,403678,2023-09-18
2023-09-25,679.2196655273438,681.4000244140625,685.0,628.5499877929688,657.0,513148,2023-09-25
2023-10-02,682.3595581054688,684.5499877929688,698.0499877929688,652.0,681.4000244140625,504128,2023-10-02
2023-10-09,683.5059204101562,685.7000122070312,727.0,661.0,661.0,758405,2023-10-09
2023-10-16,704.1895141601562,706.4500122070312,722.0,678.0,685.0,575837,2023-10-16
2023-10-23,694.470703125,696.7000122070312,717.75,651.0999755859375,706.4500122070312,338917,2023-10-23
2023-10-30,716.0513916015625,718.3499755859375,724.0,690.0499877929688,696.7000122070312,208935,2023-10-30
2023-11-06,639.4971313476562,641.5499877929688,708.0,626.5499877929688,699.9000244140625,936275,2023-11-06
2023-11-13,626.8876342773438,628.9000244140625,655.9000244140625,611.0,655.9000244140625,368909,2023-11-13
2023-11-20,628.2831420898438,630.2999877929688,640.5,621.5,630.0,180340,2023-11-20
2023-11-27,659.2337646484375,661.3499755859375,667.1500244140625,628.0999755859375,630.2999877929688,205788,2023-11-27
2023-12-04,663.2210083007812,665.3499755859375,690.7000122070312,650.0,674.0,414429,2023-12-04
2023-12-11,706.3325805664062,708.5999755859375,724.5,652.0999755859375,669.8499755859375,586605,2023-12-11
2023-12-18,724.8731079101562,727.2000122070312,767.9000244140625,705.5499877929688,715.0,891717,2023-12-18
2023-12-25,703.7409057617188,706.0,754.0,702.2000122070312,727.2000122070312,688503,2023-12-25
2024-01-01,710.718505859375,713.0,734.8499755859375,695.5499877929688,712.0,837280,2024-01-01
2024-01-08,707.3792724609375,709.6500244140625,727.9500122070312,702.0,706.0499877929688,506342,2024-01-08
2024-01-15,684.0541381835938,686.25,714.9500122070312,675.75,709.6500244140625,293904,2024-01-15
2024-01-22,679.5186767578125,681.7000122070312,713.0,654.5999755859375,686.25,255569,2024-01-22
2024-01-29,726.0692749023438,728.4000244140625,740.1500244140625,693.2999877929688,709.9000244140625,1111963,2024-01-29
2024-02-05,705.3856811523438,707.6500244140625,737.0,702.0,737.0,682613,2024-02-05
2024-02-12,688.5895385742188,690.7999877929688,723.2000122070312,665.0,711.2000122070312,352323,2024-02-12
2024-02-19,665.0152587890625,667.1500244140625,719.9500122070312,665.4500122070312,690.9000244140625,455442,2024-02-19
2024-02-26,663.6197509765625,665.75,681.0,644.9000244140625,681.0,287545,2024-02-26
2024-03-04,627.0869750976562,629.0999755859375,672.0499877929688,620.0999755859375,665.0999755859375,265642,2024-03-04
2024-03-11,571.7147216796875,573.5499877929688,638.9000244140625,555.4000244140625,638.9000244140625,531210,2024-03-11
2024-03-18,627.63525390625,629.6500244140625,659.0,560.0,573.5,613843,2024-03-18
2024-03-25,612.6333618164062,614.5999755859375,637.6500244140625,602.2000122070312,629.6500244140625,217317,2024-03-25
2024-04-01,625.591796875,627.5999755859375,642.0,614.5999755859375,614.5999755859375,234149,2024-04-01
2024-04-08,596.236083984375,598.1500244140625,634.4500122070312,596.4000244140625,625.5,327029,2024-04-08
2024-04-15,587.1152954101562,589.0,600.0,572.5999755859375,595.0,262698,2024-04-15
2024-04-22,563.6904907226562,565.5,597.5499877929688,559.0,597.4500122070312,676291,2024-04-22
2024-04-29,581.6827392578125,583.5499877929688,598.0,572.9000244140625,585.0,476320,2024-04-29
2024-05-06,573.558837890625,575.4000244140625,605.0,553.2000122070312,586.0,381492,2024-05-06
2024-05-13,596.285888671875,598.2000122070312,614.4000244140625,568.0499877929688,585.0,270739,2024-05-13
2024-05-20,590.105712890625,592.0,617.0,580.5999755859375,601.0,293491,2024-05-20
2024-05-27,570.4188842773438,572.25,593.7000122070312,563.25,590.2000122070312,252830,2024-05-27
2024-06-03,588.012451171875,589.9000244140625,591.3499755859375,528.0499877929688,577.0,383022,2024-06-03
2024-06-10,664.2177734375,666.3499755859375,684.0,586.0,589.9000244140625,1335680,2024-06-10
2024-06-17,621.3553466796875,623.3499755859375,666.0,620.0,663.25,369242,2024-06-17
2024-06-24,604.8583374023438,606.7999877929688,643.0,599.9500122070312,638.1500244140625,404955,2024-06-24
2024-07-01,675.4317626953125,677.5999755859375,705.9500122070312,604.7999877929688,609.0,2481731,2024-07-01
2024-07-08,660.1309204101562,662.25,695.9000244140625,660.0,676.2999877929688,416227,2024-07-08
2024-07-15,652.7047729492188,654.7999877929688,681.4000244140625,647.7000122070312,666.0,285098,2024-07-15
2024-07-22,693.9224853515625,696.1500244140625,700.5,630.4500122070312,643.0499877929688,565817,2024-07-22
2024-07-29,678.1729736328125,680.3499755859375,703.0,665.0499877929688,699.9500122070312,258111,2024-07-29
2024-08-05,693.3243408203125,695.5499877929688,717.9000244140625,636.0999755859375,650.0999755859375,910673,2024-08-05
2024-08-12,656.0938720703125,658.2000122070312,699.9500122070312,639.0499877929688,695.7999877929688,303347,2024-08-12
2024-08-19,721.4341430664062,723.75,745.2000122070312,658.2000122070312,658.2000122070312,815099,2024-08-19
2024-08-26,719.98876953125,722.2999877929688,753.9500122070312,706.0499877929688,729.0,406359,2024-08-26
2024-09-02,747.201416015625,749.5999755859375,787.5,701.0499877929688,727.2999877929688,710233,2024-09-02
2024-09-09,802.0753173828125,804.6500244140625,823.9000244140625,730.7999877929688,754.9000244140625,895007,2024-09-09
2024-09-16,871.0499877929688,871.0499877929688,880.5999755859375,789.2999877929688,810.0,887238,2024-09-16
2024-09-23,829.0499877929688,829.0499877929688,878.0,821.5999755859375,878.0,741402,2024-09-23
2024-09-30,850.75,850.75,875.0,820.25,822.0499877929688,430890,2024-09-30
2024-10-07,844.8499755859375,844.8499755859375,902.4000244140625,771.6500244140625,859.2999877929688,779529,2024-10-07
2024-10-14,827.6500244140625,827.6500244140625,856.9500122070312,812.3499755859375,851.5999755859375,343244,2024-10-14
2024-10-21,784.0999755859375,784.0999755859375,837.2000122070312,768.5,835.0,358448,2024-10-21
2024-10-28,945.25,945.25,960.0,800.2999877929688,835.0,1554591,2024-10-28
2024-11-04,939.6500244140625,939.6500244140625,951.25,896.5999755859375,944.0,523835,2024-11-04
2024-11-11,911.5499877929688,911.5499877929688,973.4500122070312,882.25,949.7000122070312,397484,2024-11-11
2024-11-18,972.25,972.25,981.7999877929688,915.25,919.0,734606,2024-11-18
2024-11-25,995.5499877929688,995.5499877929688,1044.0,976.2999877929688,985.0,1168343,2024-11-25
2024-12-02,980.4500122070312,980.4500122070312,1033.5,973.25,1011.7999877929688,546292,2024-12-02
2024-12-09,925.7000122070312,925.7000122070312,992.7999877929688,911.0,980.5999755859375,576776,2024-12-09
2024-12-16,887.1500244140625,887.1500244140625,952.9500122070312,879.6500244140625,934.4500122070312,316010,2024-12-16
2024-12-23,868.2000122070312,868.2000122070312,893.75,857.25,877.1500244140625,225498,2024-12-23
2024-12-30,905.2000122070312,905.2000122070312,917.25,854.75,859.5,277967,2024-12-30
2025-01-06,858.75,858.75,970.0,853.0,905.2000122070312,948944,2025-01-06
2025-01-13,871.25,871.25,922.0,820.0,858.75,289675,2025-01-13
2025-01-20,823.75,823.75,875.5,816.5499877929688,865.0499877929688,247034,2025-01-20
2025-01-27,868.25,868.25,887.9000244140625,756.9500122070312,811.4000244140625,459860,2025-01-27
2025-02-03,880.5,880.5,905.0,824.5499877929688,864.0,209496,2025-02-03
2025-02-10,741.9500122070312,741.9500122070312,888.0,731.25,881.0,330882,2025-02-10
2025-02-17,727.7999877929688,727.7999877929688,761.0,690.1500244140625,730.7999877929688,449909,2025-02-17
2025-02-24,710.2000122070312,710.2000122070312,754.75,684.0,719.0,246127,2025-02-24
2025-03-03,738.5499877929688,738.5499877929688,759.4000244140625,673.0499877929688,717.0,311039,2025-03-03
2025-03-10,706.7999877929688,706.7999877929688,739.0,702.0,738.5999755859375,198573,2025-03-10
2025-03-17,829.6500244140625,829.6500244140625,836.0,706.0999755859375,706.7999877929688,237502,2025-03-17
2025-03-24,787.9000244140625,787.9000244140625,838.7000122070312,766.0,833.0,318688,2025-03-24
2025-03-31,751.5999755859375,751.5999755859375,825.2000122070312,748.3499755859375,787.9000244140625,180922,2025-03-31
2025-04-07,749.8499755859375,749.8499755859375,772.0,705.0,711.0,288741,2025-04-07
2025-04-14,800.9000244140625,800.9000244140625,826.4500122070312,749.8499755859375,749.8499755859375,216039,2025-04-14
2025-04-21,765.1500244140625,765.1500244140625,820.0,731.5499877929688,809.9500122070312,461848,2025-04-21
2025-04-28,716.6500244140625,716.6500244140625,783.9000244140625,690.0,762.0,345731,2025-04-28
2025-05-05,705.5499877929688,705.5499877929688,729.0,683.75,722.7000122070312,257395,2025-05-05
2025-05-12,646.7999877929688,646.7999877929688,744.9000244140625,640.0499877929688,731.0,1415652,2025-05-12
2025-05-19,641.4000244140625,641.4000244140625,663.0,632.0499877929688,652.9500122070312,595221,2025-05-19
2025-05-26,640.1500244140625,640.1500244140625,655.0,625.75,649.4000244140625,397885,2025-05-26
2025-06-02,675.4500122070312,675.4500122070312,679.4500122070312,641.5499877929688,650.0,509185,2025-06-02
2025-06-09,677.5999755859375,677.5999755859375,698.4000244140625,650.0999755859375,682.0,487716,2025-06-09
2025-06-16,707.25,707.25,720.0499877929688,664.2000122070312,677.0,532827,2025-06-16
2025-06-23,697.9000244140625,697.9000244140625,715.0,688.75,708.0,313363,2025-06-23
2025-06-30,709.2999877929688,709.2999877929688,722.2000122070312,693.7999877929688,699.0499877929688,408012,2025-06-30
2025-07-07,812.6500244140625,812.6500244140625,820.0,710.0,712.0,1524379,2025-07-07
2025-07-14,811.7999877929688,811.7999877929688,833.4500122070312,802.5,809.0,183710,2025-07-14
