Date,Adj Close_NINSYS.NS,Close_NINSYS.NS,High_NINSYS.NS,Low_NINSYS.NS,Open_NINSYS.NS,Volume_NINSYS.NS,Date
2023-10-23,359.6499938964844,359.6499938964844,364.79998779296875,308.0,338.29998779296875,28867,2023-10-23
2023-10-30,341.75,341.75,364.95001220703125,335.0,364.95001220703125,15407,2023-10-30
2023-11-06,415.29998779296875,415.29998779296875,421.0,336.29998779296875,361.0,117147,2023-11-06
2023-11-13,478.3999938964844,478.3999938964844,489.3999938964844,433.95001220703125,474.95001220703125,61135,2023-11-13
2023-11-20,465.75,465.75,493.95001220703125,437.54998779296875,493.95001220703125,33197,2023-11-20
2023-11-27,441.04998779296875,441.04998779296875,473.04998779296875,435.8500061035156,465.75,21218,2023-11-27
2023-12-04,446.95001220703125,446.95001220703125,460.95001220703125,435.1499938964844,455.0,18489,2023-12-04
2023-12-11,449.25,449.25,476.6499938964844,415.20001220703125,454.0,31538,2023-12-11
2023-12-18,589.4500122070312,589.4500122070312,589.4500122070312,460.0,465.0,98521,2023-12-18
2023-12-25,569.1500244140625,569.1500244140625,649.1500244140625,565.5999755859375,589.4500122070312,66952,2023-12-25
2024-01-01,569.7999877929688,569.7999877929688,612.2999877929688,564.0,584.0,37579,2024-01-01
2024-01-08,561.3499755859375,561.3499755859375,592.4000244140625,545.0499877929688,572.5999755859375,22291,2024-01-08
2024-01-15,542.7999877929688,542.7999877929688,574.4000244140625,531.0,561.3499755859375,16532,2024-01-15
2024-01-22,505.25,505.25,544.7999877929688,499.54998779296875,542.7999877929688,16386,2024-01-22
2024-01-29,503.54998779296875,503.54998779296875,564.0,496.0,527.7999877929688,34270,2024-01-29
2024-02-05,539.2000122070312,539.2000122070312,554.5499877929688,478.3999938964844,506.1000061035156,44807,2024-02-05
2024-02-12,542.25,542.25,570.75,499.95001220703125,547.0,36624,2024-02-12
2024-02-19,509.8500061035156,509.8500061035156,564.9500122070312,504.0,560.0,15875,2024-02-19
2024-02-26,515.7000122070312,515.7000122070312,544.0,478.1000061035156,509.8500061035156,23776,2024-02-26
2024-03-04,501.1000061035156,501.1000061035156,540.0,458.8500061035156,521.2000122070312,20191,2024-03-04
2024-03-11,489.0,489.0,539.7999877929688,419.95001220703125,503.5,95633,2024-03-11
2024-03-18,493.95001220703125,493.95001220703125,500.0,451.04998779296875,489.95001220703125,15124,2024-03-18
2024-03-25,489.20001220703125,489.20001220703125,522.0,469.1000061035156,493.95001220703125,13380,2024-03-25
2024-04-01,490.04998779296875,490.04998779296875,558.7999877929688,479.79998779296875,496.0,26495,2024-04-01
2024-04-08,475.8500061035156,475.8500061035156,491.95001220703125,472.0,485.29998779296875,8614,2024-04-08
2024-04-15,457.3500061035156,457.3500061035156,480.0,432.0,474.0,15786,2024-04-15
2024-04-22,433.3999938964844,433.3999938964844,476.8500061035156,420.6499938964844,460.0,22838,2024-04-22
2024-04-29,476.6499938964844,476.6499938964844,480.0,434.54998779296875,438.70001220703125,22134,2024-04-29
2024-05-06,428.54998779296875,428.54998779296875,490.45001220703125,420.54998779296875,490.45001220703125,16497,2024-05-06
2024-05-13,469.3999938964844,469.3999938964844,494.70001220703125,426.8999938964844,430.0,25198,2024-05-13
2024-05-20,468.8500061035156,468.8500061035156,506.6000061035156,462.54998779296875,471.3999938964844,28455,2024-05-20
2024-05-27,501.5,501.5,554.9000244140625,452.04998779296875,479.79998779296875,98609,2024-05-27
2024-06-03,486.29998779296875,486.29998779296875,550.0,455.0,550.0,52513,2024-06-03
2024-06-10,507.1499938964844,507.1499938964844,558.0,481.54998779296875,487.5,49033,2024-06-10
2024-06-17,497.75,497.75,525.4500122070312,481.0,507.1499938964844,39704,2024-06-17
2024-06-24,488.1000061035156,488.1000061035156,508.20001220703125,458.0,507.75,37860,2024-06-24
2024-07-01,478.25,478.25,507.0,474.1499938964844,507.0,28565,2024-07-01
2024-07-08,469.8500061035156,469.8500061035156,491.6000061035156,465.0,489.95001220703125,18317,2024-07-08
2024-07-15,463.29998779296875,463.29998779296875,485.6000061035156,457.1000061035156,466.04998779296875,15058,2024-07-15
2024-07-22,483.6000061035156,483.6000061035156,492.0,453.95001220703125,474.95001220703125,19445,2024-07-22
2024-07-29,486.29998779296875,486.29998779296875,487.95001220703125,455.5,476.1000061035156,18858,2024-07-29
2024-08-05,481.70001220703125,481.70001220703125,490.0,450.3500061035156,455.79998779296875,27330,2024-08-05
2024-08-12,479.75,479.75,540.0,461.0,461.0,59549,2024-08-12
2024-08-19,485.04998779296875,485.04998779296875,507.95001220703125,471.04998779296875,471.04998779296875,30018,2024-08-19
2024-08-26,498.5,498.5,540.0,476.75,481.1000061035156,102334,2024-08-26
2024-09-02,493.54998779296875,493.54998779296875,518.7000122070312,491.1000061035156,518.7000122070312,33366,2024-09-02
2024-09-09,588.0499877929688,588.0499877929688,610.0,475.0,501.29998779296875,492180,2024-09-09
2024-09-16,600.9500122070312,600.9500122070312,690.9000244140625,582.0,629.0,392570,2024-09-16
2024-09-23,593.75,593.75,657.7000122070312,580.0,601.9500122070312,259434,2024-09-23
2024-09-30,561.0,561.0,617.0,558.0499877929688,585.0999755859375,62027,2024-09-30
2024-10-07,575.7000122070312,575.7000122070312,630.0,524.5,551.0,239158,2024-10-07
2024-10-14,590.8499755859375,590.8499755859375,638.0,557.0,573.4000244140625,291233,2024-10-14
2024-10-21,541.4000244140625,541.4000244140625,606.9000244140625,509.75,606.9000244140625,89216,2024-10-21
2024-10-28,608.7000122070312,608.7000122070312,615.0499877929688,521.5499877929688,546.4000244140625,58575,2024-10-28
2024-11-04,590.2999877929688,590.2999877929688,619.0,573.8499755859375,613.0,42389,2024-11-04
2024-11-11,562.3499755859375,562.3499755859375,604.7999877929688,546.0,604.7999877929688,52028,2024-11-11
2024-11-18,544.2999877929688,544.2999877929688,576.2000122070312,528.0999755859375,562.0,30452,2024-11-18
2024-11-25,579.5999755859375,579.5999755859375,614.2000122070312,545.0,545.0,73830,2024-11-25
2024-12-02,591.8499755859375,591.8499755859375,635.4500122070312,562.5499877929688,590.0,74173,2024-12-02
2024-12-09,604.0499877929688,604.0499877929688,630.0,575.0,585.1500244140625,120947,2024-12-09
2024-12-16,558.1500244140625,558.1500244140625,642.25,542.4000244140625,597.0,152229,2024-12-16
2024-12-23,537.0499877929688,537.0499877929688,569.0,535.0,569.0,34880,2024-12-23
2024-12-30,543.75,543.75,575.0,521.3499755859375,539.8499755859375,48610,2024-12-30
2025-01-06,498.54998779296875,498.54998779296875,551.9500122070312,493.54998779296875,546.5999755859375,30202,2025-01-06
2025-01-13,492.95001220703125,492.95001220703125,519.7999877929688,467.0,498.0,31972,2025-01-13
2025-01-20,470.6499938964844,470.6499938964844,510.0,465.29998779296875,485.54998779296875,16907,2025-01-20
2025-01-27,447.6000061035156,447.6000061035156,474.29998779296875,425.0,469.70001220703125,40006,2025-01-27
2025-02-03,469.45001220703125,469.45001220703125,511.95001220703125,425.95001220703125,447.6000061035156,43562,2025-02-03
2025-02-10,477.25,477.25,529.5,435.0,487.0,80283,2025-02-10
2025-02-17,480.6000061035156,480.6000061035156,500.0,430.5,500.0,37086,2025-02-17
2025-02-24,459.20001220703125,459.20001220703125,499.5,447.20001220703125,482.75,19083,2025-02-24
2025-03-03,490.54998779296875,490.54998779296875,494.5,425.1499938964844,474.0,23548,2025-03-03
2025-03-10,503.8500061035156,503.8500061035156,513.0,477.70001220703125,508.95001220703125,12813,2025-03-10
2025-03-17,502.6499938964844,502.6499938964844,528.9500122070312,487.3500061035156,507.95001220703125,202791,2025-03-17
2025-03-24,450.1000061035156,450.1000061035156,502.6499938964844,442.25,500.1000061035156,246606,2025-03-24
2025-03-31,453.8999938964844,453.8999938964844,495.0,444.5,450.1000061035156,34315,2025-03-31
2025-04-07,443.5,443.5,459.95001220703125,425.04998779296875,430.1499938964844,13298,2025-04-07
2025-04-14,459.25,459.25,472.45001220703125,448.0,450.1499938964844,5785,2025-04-14
2025-04-21,459.3999938964844,459.3999938964844,482.45001220703125,445.25,456.0,18240,2025-04-21
2025-04-28,442.8999938964844,442.8999938964844,464.0,430.0,459.3999938964844,12694,2025-04-28
2025-05-05,437.3500061035156,437.3500061035156,452.3500061035156,422.04998779296875,451.8999938964844,9872,2025-05-05
2025-05-12,444.95001220703125,444.95001220703125,469.0,435.1000061035156,443.8999938964844,15737,2025-05-12
2025-05-19,430.79998779296875,430.79998779296875,450.75,426.54998779296875,443.95001220703125,24118,2025-05-19
2025-05-26,470.70001220703125,470.70001220703125,490.0,426.70001220703125,427.0,53425,2025-05-26
2025-06-02,447.1000061035156,447.1000061035156,484.1499938964844,433.3999938964844,470.70001220703125,75002,2025-06-02
2025-06-09,463.6499938964844,463.6499938964844,526.9000244140625,444.6499938964844,453.0,230119,2025-06-09
2025-06-16,450.6499938964844,450.6499938964844,489.79998779296875,440.45001220703125,456.0,42253,2025-06-16
2025-06-23,471.1000061035156,471.1000061035156,485.04998779296875,440.3500061035156,440.3500061035156,23211,2025-06-23
2025-06-30,450.45001220703125,450.45001220703125,484.95001220703125,445.0,471.1000061035156,43940,2025-06-30
2025-07-07,448.20001220703125,448.20001220703125,467.75,444.0,453.79998779296875,11712,2025-07-07
2025-07-14,450.1000061035156,450.1000061035156,460.0,441.0,455.70001220703125,6571,2025-07-14
