Date,Adj Close_HONDAPOWER.NS,Close_HONDAPOWER.NS,High_HONDAPOWER.NS,Low_HONDAPOWER.NS,Open_HONDAPOWER.NS,Volume_HONDAPOWER.NS,Date
2021-05-10,984.7554321289062,1020.0499877929688,1029.0,980.0,986.6500244140625,30822,2021-05-10
2021-05-17,1004.69091796875,1040.699951171875,1058.800048828125,1020.0,1025.199951171875,46199,2021-05-17
2021-05-24,1003.0980834960938,1039.050048828125,1111.0,1031.0,1045.949951171875,74595,2021-05-24
2021-05-31,1047.0238037109375,1084.550048828125,1090.0,1039.0999755859375,1059.949951171875,48832,2021-05-31
2021-06-07,1038.3350830078125,1075.550048828125,1090.0,1050.0,1090.0,37025,2021-06-07
2021-06-14,1147.4735107421875,1188.5999755859375,1243.9000244140625,1051.0,1075.25,248071,2021-06-14
2021-06-21,1188.696044921875,1231.300048828125,1388.300048828125,1150.0,1169.800048828125,486794,2021-06-21
2021-06-28,1154.9071044921875,1196.300048828125,1248.0,1186.949951171875,1237.5,55514,2021-06-28
2021-07-05,1173.9736328125,1216.050048828125,1260.0,1196.300048828125,1196.300048828125,35887,2021-07-05
2021-07-12,1187.7789306640625,1230.3499755859375,1250.0,1200.199951171875,1222.1500244140625,55754,2021-07-12
2021-07-19,1212.4930419921875,1255.949951171875,1370.0,1211.0999755859375,1213.25,143156,2021-07-19
2021-07-26,1167.2159423828125,1209.050048828125,1288.9000244140625,1200.199951171875,1264.0,50621,2021-07-26
2021-08-02,1129.8067626953125,1170.300048828125,1237.0,1150.3499755859375,1230.0,58064,2021-08-02
2021-08-09,1203.3701171875,1246.5,1295.0,1121.5,1176.199951171875,140164,2021-08-09
2021-08-16,1173.539306640625,1215.5999755859375,1322.0,1208.0,1246.5,76750,2021-08-16
2021-08-23,1187.3927001953125,1229.949951171875,1272.5,1181.75,1269.8499755859375,57915,2021-08-23
2021-08-30,1174.890869140625,1217.0,1259.800048828125,1212.699951171875,1259.800048828125,43826,2021-08-30
2021-09-06,1161.6165771484375,1203.25,1228.1500244140625,1190.0,1217.0,27225,2021-09-06
2021-09-13,1155.582763671875,1197.0,1245.0,1190.0,1199.0,31900,2021-09-13
2021-09-20,1145.79736328125,1177.0,1208.550048828125,1165.199951171875,1196.0,24194,2021-09-20
2021-09-27,1188.1929931640625,1220.550048828125,1307.949951171875,1165.050048828125,1190.0,190377,2021-09-27
2021-10-04,1175.099365234375,1207.0999755859375,1264.0,1200.0999755859375,1234.0,41854,2021-10-04
2021-10-11,1361.279296875,1398.3499755859375,1444.0,1214.300048828125,1230.0,484584,2021-10-11
2021-10-18,1313.2862548828125,1349.050048828125,1440.0,1310.0,1440.0,80997,2021-10-18
2021-10-25,1280.576904296875,1315.449951171875,1351.1500244140625,1270.0,1349.050048828125,37492,2021-10-25
2021-11-01,1285.8338623046875,1320.8499755859375,1359.699951171875,1297.300048828125,1322.050048828125,21007,2021-11-01
