Date,Adj Close_WIPL.NS,Close_WIPL.NS,High_WIPL.NS,Low_WIPL.NS,Open_WIPL.NS,Volume_WIPL.NS,Date
2022-04-04,56.634395599365234,58.0,60.25,55.54999923706055,56.900001525878906,6075,2022-04-04
2022-04-11,56.43910217285156,57.79999923706055,61.45000076293945,56.04999923706055,56.25,7348,2022-04-11
2022-04-18,56.43910217285156,57.79999923706055,59.150001525878906,55.0,57.79999923706055,7653,2022-04-18
2022-04-25,55.65794372558594,57.0,57.79999923706055,52.54999923706055,57.79999923706055,1998,2022-04-25
2022-05-02,55.16971206665039,56.5,57.0,53.5,55.900001525878906,625,2022-05-02
2022-05-09,50.67802429199219,51.900001525878906,56.099998474121094,51.0,56.0,1550,2022-05-09
2022-05-16,51.75212097167969,53.0,55.0,50.0,51.900001525878906,2212,2022-05-16
2022-05-23,51.65447998046875,52.900001525878906,55.0,49.0,50.54999923706055,7950,2022-05-23
2022-05-30,53.60738754272461,54.900001525878906,55.45000076293945,50.29999923706055,52.900001525878906,6837,2022-05-30
2022-06-06,53.60738754272461,54.900001525878906,57.0,53.0,54.900001525878906,6446,2022-06-06
2022-06-13,52.63093185424805,53.900001525878906,55.0,53.0,54.900001525878906,1616,2022-06-13
2022-06-20,50.38508224487305,51.599998474121094,55.0,51.599998474121094,55.0,963,2022-06-20
2022-06-27,51.75212097167969,53.0,56.099998474121094,50.54999923706055,51.599998474121094,8339,2022-06-27
2022-07-04,53.65620803833008,54.95000076293945,55.650001525878906,51.400001525878906,51.400001525878906,375,2022-07-04
2022-07-11,54.97442626953125,56.29999923706055,56.5,54.0,56.5,2289,2022-07-11
2022-07-18,52.72857666015625,54.0,57.95000076293945,51.400001525878906,53.54999923706055,9272,2022-07-18
2022-07-25,52.240352630615234,53.5,56.0,51.04999923706055,54.0,14437,2022-07-25
2022-08-01,53.1679801940918,54.45000076293945,56.0,51.54999923706055,53.5,1160,2022-08-01
2022-08-08,51.75212097167969,53.0,56.0,50.0,54.45000076293945,31302,2022-08-08
2022-08-15,52.435638427734375,53.70000076293945,54.849998474121094,50.0,53.0,47332,2022-08-15
2022-08-22,53.21680450439453,54.5,54.849998474121094,50.0,53.70000076293945,23347,2022-08-22
2022-08-29,55.16971206665039,56.5,57.70000076293945,53.0,54.5,3208,2022-08-29
2022-09-05,62.981353759765625,64.5,64.5,55.0,56.5,10883,2022-09-05
2022-09-12,71.76945495605469,73.5,78.75,64.5,65.0,19009,2022-09-12
2022-09-19,79.58109283447266,81.5,81.5,72.5,73.5,18764,2022-09-19
2022-09-26,89.88896942138672,91.0999984741211,95.0,77.75,84.0,47627,2022-09-26
2022-10-03,93.63845825195312,94.9000015258789,97.0,87.0,91.0999984741211,32920,2022-10-03
2022-10-10,117.12207794189453,118.69999694824219,118.69999694824219,93.0,93.0999984741211,57452,2022-10-10
2022-10-17,126.24910736083984,127.94999694824219,135.0,117.0,124.55000305175781,172125,2022-10-17
2022-10-24,124.22636413574219,125.9000015258789,130.9499969482422,122.0,127.94999694824219,59528,2022-10-24
2022-10-31,117.12207794189453,118.69999694824219,131.0,112.5,131.0,33953,2022-10-31
