Date,Adj Close_INOXINDIA.NS,Close_INOXINDIA.NS,High_INOXINDIA.NS,Low_INOXINDIA.NS,Open_INOXINDIA.NS,Volume_INOXINDIA.NS,Date
2024-10-28,1145.1781005859375,1147.050048828125,1160.5,1071.5,1090.0,271803,2024-10-28
2024-11-04,1181.26904296875,1183.199951171875,1213.5999755859375,1103.4000244140625,1146.0,1361253,2024-11-04
2024-11-11,1174.9793701171875,1176.9000244140625,1247.0,1159.449951171875,1190.0,1162514,2024-11-11
2024-11-18,1117.4234619140625,1119.25,1218.949951171875,1115.0,1165.4000244140625,481885,2024-11-18
2024-11-25,1133.596923828125,1135.449951171875,1166.449951171875,1125.550048828125,1129.0,373928,2024-11-25
2024-12-02,1195.8951416015625,1197.8499755859375,1208.1500244140625,1122.4000244140625,1135.449951171875,513828,2024-12-02
2024-12-09,1163.64794921875,1165.550048828125,1225.0,1139.9000244140625,1201.9000244140625,415738,2024-12-09
2024-12-16,1090.6173095703125,1092.4000244140625,1179.5,1085.5999755859375,1179.5,395227,2024-12-16
2024-12-23,1123.3138427734375,1125.1500244140625,1133.5,1068.5,1095.0,235280,2024-12-23
2024-12-30,1101.49951171875,1103.300048828125,1125.0,1081.0,1120.0999755859375,439911,2024-12-30
2025-01-06,1081.1328125,1082.9000244140625,1109.9000244140625,1065.0,1109.9000244140625,439154,2025-01-06
2025-01-13,1040.24951171875,1041.949951171875,1075.0,1005.0,1075.0,529130,2025-01-13
2025-01-20,957.6346435546875,959.2000122070312,1047.050048828125,953.0,1041.0,704252,2025-01-20
2025-01-27,915.2039794921875,916.7000122070312,966.4000244140625,884.2000122070312,954.0,1211687,2025-01-27
2025-02-03,970.3139038085938,971.9000244140625,986.2000122070312,901.0,918.9000244140625,431178,2025-02-03
2025-02-10,901.5762329101562,903.0499877929688,988.9500122070312,896.3499755859375,945.6500244140625,642420,2025-02-10
2025-02-17,914.4052734375,915.9000244140625,949.0,885.0999755859375,903.0,631724,2025-02-17
2025-02-24,957.4349365234375,959.0,1043.4000244140625,896.7999877929688,915.9000244140625,18803721,2025-02-24
2025-03-03,999.7657470703125,1001.4000244140625,1042.0,907.5499877929688,987.9500122070312,5080091,2025-03-03
2025-03-10,978.2508544921875,979.8499755859375,1029.9000244140625,946.75,1001.3499755859375,1115205,2025-03-10
2025-03-17,1048.5360107421875,1050.25,1055.0,960.0999755859375,984.9000244140625,761968,2025-03-17
2025-03-24,998.9171142578125,1000.5499877929688,1078.0,997.0,1059.9000244140625,948211,2025-03-24
2025-03-31,978.800048828125,980.4000244140625,1029.800048828125,967.0,1000.5499877929688,307243,2025-03-31
2025-04-07,996.1217041015625,997.75,1001.3499755859375,892.25,912.0,411007,2025-04-07
2025-04-14,1015.240478515625,1016.9000244140625,1034.9000244140625,997.75,997.75,236241,2025-04-14
2025-04-21,1013.2437133789062,1014.9000244140625,1051.4000244140625,985.0,1018.0,423962,2025-04-21
2025-04-28,990.381103515625,992.0,1022.0,968.7999877929688,1009.7999877929688,321915,2025-04-28
2025-05-05,977.8016967773438,979.4000244140625,1020.0,951.5499877929688,989.9000244140625,453911,2025-05-05
2025-05-12,1158.656005859375,1160.550048828125,1174.0,994.5499877929688,1019.9000244140625,943859,2025-05-12
2025-05-19,1190.0047607421875,1191.949951171875,1216.9000244140625,1154.5999755859375,1170.0,577601,2025-05-19
2025-05-26,1192.00146484375,1193.949951171875,1233.9000244140625,1163.550048828125,1191.949951171875,597564,2025-05-26
2025-06-02,1218.2086181640625,1220.199951171875,1254.0,1200.0,1210.0,568779,2025-06-02
2025-06-09,1183.699951171875,1183.699951171875,1239.4000244140625,1155.699951171875,1234.0,274085,2025-06-09
2025-06-16,1183.0999755859375,1183.0999755859375,1214.5,1146.0999755859375,1185.699951171875,465932,2025-06-16
2025-06-23,1244.4000244140625,1244.4000244140625,1263.0,1163.0,1163.0,586096,2025-06-23
2025-06-30,1257.699951171875,1257.699951171875,1288.0,1219.199951171875,1249.5999755859375,631349,2025-06-30
2025-07-07,1232.5,1232.5,1265.0,1220.0999755859375,1259.9000244140625,226854,2025-07-07
2025-07-14,1264.199951171875,1264.199951171875,1275.0,1212.0,1229.300048828125,195189,2025-07-14
