Date,Adj Close_SANSTAR.NS,Close_SANSTAR.NS,High_SANSTAR.NS,Low_SANSTAR.NS,Open_SANSTAR.NS,Volume_SANSTAR.NS,Date
2025-01-06,113.91999816894531,113.91999816894531,131.4499969482422,113.55000305175781,131.0,2190023,2025-01-06
2025-01-13,116.01000213623047,116.01000213623047,117.69000244140625,106.38999938964844,113.69000244140625,2201590,2025-01-13
2025-01-20,108.04000091552734,108.04000091552734,118.0,106.80999755859375,116.0,1369383,2025-01-20
2025-01-27,109.95999908447266,109.95999908447266,113.77999877929688,98.20999908447266,108.04000091552734,2833893,2025-01-27
2025-02-03,111.08000183105469,111.08000183105469,115.01000213623047,107.98999786376953,109.5,1231768,2025-02-03
2025-02-10,99.51000213623047,99.51000213623047,112.19999694824219,98.25,112.19999694824219,1706957,2025-02-10
2025-02-17,95.37999725341797,95.37999725341797,99.51000213623047,91.20999908447266,99.51000213623047,2512277,2025-02-17
2025-02-24,93.97000122070312,93.97000122070312,96.62999725341797,86.51000213623047,94.0999984741211,2447904,2025-02-24
2025-03-03,95.7300033569336,95.7300033569336,96.44000244140625,83.38999938964844,94.0999984741211,3743928,2025-03-03
2025-03-10,86.41999816894531,86.41999816894531,96.98999786376953,85.5999984741211,95.31999969482422,1633821,2025-03-10
2025-03-17,92.62999725341797,92.62999725341797,94.0999984741211,82.91000366210938,87.44000244140625,2550161,2025-03-17
2025-03-24,87.36000061035156,87.36000061035156,95.25,86.86000061035156,93.8499984741211,3679790,2025-03-24
2025-03-31,89.95999908447266,89.95999908447266,95.55000305175781,87.36000061035156,87.36000061035156,1205073,2025-03-31
2025-04-07,90.29000091552734,90.29000091552734,91.69999694824219,80.0,80.0,1199861,2025-04-07
2025-04-14,99.4000015258789,99.4000015258789,102.5,90.29000091552734,90.29000091552734,1707778,2025-04-14
2025-04-21,94.26000213623047,94.26000213623047,101.11000061035156,93.1500015258789,99.0,1452788,2025-04-21
2025-04-28,91.77999877929688,91.77999877929688,96.58000183105469,91.30000305175781,94.26000213623047,856709,2025-04-28
2025-05-05,84.05000305175781,84.05000305175781,93.37000274658203,83.55000305175781,92.0,1278729,2025-05-05
2025-05-12,93.29000091552734,93.29000091552734,94.0,86.91000366210938,87.0,2130045,2025-05-12
2025-05-19,93.38999938964844,93.38999938964844,96.30000305175781,91.05000305175781,94.88999938964844,2107400,2025-05-19
2025-05-26,98.44000244140625,98.44000244140625,103.0,92.55000305175781,93.4000015258789,2704979,2025-05-26
2025-06-02,89.48999786376953,89.48999786376953,94.77999877929688,89.0999984741211,94.0,2376191,2025-06-02
2025-06-09,92.05000305175781,92.05000305175781,95.4000015258789,89.5,89.51000213623047,2509730,2025-06-09
2025-06-16,91.02999877929688,91.02999877929688,92.79000091552734,87.3499984741211,91.80000305175781,1313630,2025-06-16
2025-06-23,100.5199966430664,100.5199966430664,105.66000366210938,87.6500015258789,90.06999969482422,11324697,2025-06-23
2025-06-30,98.98999786376953,98.98999786376953,107.29000091552734,98.23999786376953,101.9800033569336,6919239,2025-06-30
2025-07-07,94.22000122070312,94.22000122070312,100.12999725341797,93.20999908447266,98.5,2071499,2025-07-07
2025-07-14,94.06999969482422,94.06999969482422,95.33000183105469,92.72000122070312,95.0,432249,2025-07-14
