Date,Adj Close_POWERMECH.NS,Close_POWERMECH.NS,High_POWERMECH.NS,Low_POWERMECH.NS,Open_POWERMECH.NS,Volume_POWERMECH.NS,Date
2020-11-30,218.125,218.125,219.875,208.5,212.6999969482422,681034,2020-11-30
2020-12-07,210.6999969482422,210.6999969482422,227.0,209.5,220.89999389648438,690452,2020-12-07
2020-12-14,213.75,213.75,223.0,208.14999389648438,211.75,522724,2020-12-14
2020-12-21,211.97500610351562,211.97500610351562,215.0,193.5,215.0,384302,2020-12-21
2020-12-28,215.3000030517578,215.3000030517578,219.625,211.5,214.5,397408,2020-12-28
2021-01-04,215.875,215.875,219.47500610351562,210.5,218.0,311808,2021-01-04
2021-01-11,212.4250030517578,212.4250030517578,217.5,212.0,217.47500610351562,213284,2021-01-11
2021-01-18,208.0500030517578,208.0500030517578,215.0,207.25,212.0,246140,2021-01-18
2021-01-25,223.02499389648438,223.02499389648438,230.0,205.77499389648438,209.4499969482422,839400,2021-01-25
2021-02-01,248.8249969482422,248.8249969482422,254.5,216.14999389648438,223.5,1088432,2021-02-01
2021-02-08,266.57501220703125,266.57501220703125,283.45001220703125,250.0500030517578,250.0500030517578,1511768,2021-02-08
2021-02-15,269.6499938964844,269.6499938964844,283.7250061035156,232.375,260.04998779296875,1395132,2021-02-15
2021-02-22,272.5,272.5,292.2250061035156,265.0249938964844,269.5,656044,2021-02-22
2021-03-01,268.2749938964844,268.2749938964844,287.5,266.75,275.42498779296875,896702,2021-03-01
2021-03-08,260.7250061035156,260.7250061035156,278.0,259.20001220703125,272.5,274324,2021-03-08
2021-03-15,265.32501220703125,265.32501220703125,282.5,250.6750030517578,262.95001220703125,617290,2021-03-15
2021-03-22,274.2250061035156,274.2250061035156,277.0,258.07501220703125,269.0,377748,2021-03-22
2021-03-29,288.125,288.125,298.0,274.2250061035156,274.2250061035156,534650,2021-03-29
2021-04-05,290.7749938964844,290.7749938964844,294.5,273.7749938964844,289.0,426718,2021-04-05
2021-04-12,287.5,287.5,299.0,270.7749938964844,285.5,531382,2021-04-12
2021-04-19,280.17498779296875,280.17498779296875,287.5,272.5,280.82501220703125,295764,2021-04-19
2021-04-26,288.04998779296875,288.04998779296875,291.5,278.2749938964844,280.17498779296875,456518,2021-04-26
2021-05-03,283.6499938964844,283.6499938964844,291.375,279.54998779296875,281.0,152990,2021-05-03
2021-05-10,296.8500061035156,296.8500061035156,312.0,282.7250061035156,284.29998779296875,654956,2021-05-10
2021-05-17,298.75,298.75,306.1499938964844,290.4750061035156,302.5,190584,2021-05-17
2021-05-24,305.70001220703125,305.70001220703125,321.0,297.2749938964844,304.5,550648,2021-05-24
2021-05-31,345.3999938964844,345.3999938964844,362.5,297.75,305.70001220703125,2346274,2021-05-31
2021-06-07,353.0,353.0,360.0,337.625,349.0,799474,2021-06-07
2021-06-14,343.79998779296875,343.79998779296875,371.5,341.07501220703125,353.0,1352496,2021-06-14
2021-06-21,334.54998779296875,334.54998779296875,359.8500061035156,332.2749938964844,338.79998779296875,572244,2021-06-21
2021-06-28,420.75,420.75,461.0,336.0,336.0,7959330,2021-06-28
2021-07-05,409.0249938964844,409.0249938964844,446.45001220703125,407.5,423.8500061035156,1723386,2021-07-05
2021-07-12,409.29998779296875,409.29998779296875,425.0,406.1000061035156,414.3500061035156,587276,2021-07-12
2021-07-19,401.375,401.375,409.4750061035156,390.5,405.5,468338,2021-07-19
2021-07-26,408.0,408.0,414.0,388.9750061035156,404.20001220703125,287528,2021-07-26
2021-08-02,414.7749938964844,414.7749938964844,430.0,401.0,411.75,521504,2021-08-02
2021-08-09,403.29998779296875,403.29998779296875,436.79998779296875,384.0,422.5,880646,2021-08-09
2021-08-16,423.8500061035156,423.8500061035156,436.5,403.0,403.0,630102,2021-08-16
2021-08-23,413.4750061035156,413.4750061035156,433.95001220703125,408.95001220703125,433.95001220703125,495160,2021-08-23
2021-08-30,423.0249938964844,423.0249938964844,442.75,396.95001220703125,413.75,1120990,2021-08-30
2021-09-06,416.04998779296875,416.04998779296875,429.0,408.5,426.5,246896,2021-09-06
2021-09-13,432.25,432.25,457.5,410.8999938964844,421.5,1544688,2021-09-13
2021-09-20,453.07501220703125,453.07501220703125,473.95001220703125,423.0,425.54998779296875,1062232,2021-09-20
2021-09-27,484.375,484.375,490.0,436.0249938964844,456.5,1073580,2021-09-27
2021-10-04,503.7749938964844,503.7749938964844,515.0,487.5,499.5,835048,2021-10-04
2021-10-11,519.0250244140625,519.0250244140625,543.9249877929688,507.25,507.25,588536,2021-10-11
2021-10-18,504.625,504.625,547.5,495.54998779296875,523.9500122070312,493054,2021-10-18
2021-10-25,492.25,492.25,516.125,487.04998779296875,504.375,299608,2021-10-25
2021-11-01,505.1499938964844,505.1499938964844,509.45001220703125,485.54998779296875,485.54998779296875,55984,2021-11-01
2021-11-08,495.8999938964844,495.8999938964844,522.0,488.04998779296875,495.25,276550,2021-11-08
2021-11-15,482.375,482.375,514.0,475.54998779296875,495.5,267894,2021-11-15
2021-11-22,462.82501220703125,462.82501220703125,491.5,454.54998779296875,491.5,223768,2021-11-22
2021-11-29,487.42498779296875,487.42498779296875,489.20001220703125,442.07501220703125,460.0,220734,2021-11-29
2021-12-06,499.79998779296875,499.79998779296875,517.4249877929688,481.57501220703125,489.95001220703125,472560,2021-12-06
2021-12-13,475.82501220703125,475.82501220703125,514.0,470.1000061035156,508.4750061035156,129296,2021-12-13
2021-12-20,470.9750061035156,470.9750061035156,484.95001220703125,454.0,475.5,97312,2021-12-20
2021-12-27,469.2749938964844,469.2749938964844,478.0249938964844,457.95001220703125,462.5,61762,2021-12-27
2022-01-03,471.07501220703125,471.07501220703125,489.75,459.45001220703125,470.79998779296875,100096,2022-01-03
2022-01-10,498.625,498.625,513.9000244140625,466.92498779296875,474.92498779296875,205044,2022-01-10
2022-01-17,483.1499938964844,483.1499938964844,513.5,481.875,495.0,359070,2022-01-17
2022-01-24,480.29998779296875,480.29998779296875,503.5,447.5,491.5,349490,2022-01-24
2022-01-31,468.75,468.75,488.82501220703125,456.625,484.1499938964844,220394,2022-01-31
2022-02-07,462.17498779296875,462.17498779296875,478.0,457.4750061035156,478.0,132408,2022-02-07
2022-02-14,453.0249938964844,453.0249938964844,480.5,440.5,460.0,407518,2022-02-14
2022-02-21,429.8999938964844,429.8999938964844,453.29998779296875,407.95001220703125,446.0,290500,2022-02-21
2022-02-28,434.2749938964844,434.2749938964844,448.95001220703125,419.70001220703125,420.0,116888,2022-02-28
2022-03-07,440.20001220703125,440.20001220703125,449.9750061035156,417.20001220703125,424.2749938964844,91398,2022-03-07
2022-03-14,439.6000061035156,439.6000061035156,460.0,435.8500061035156,437.5,612884,2022-03-14
2022-03-21,434.25,434.25,449.95001220703125,432.5,445.42498779296875,245680,2022-03-21
2022-03-28,435.7749938964844,435.7749938964844,439.8999938964844,402.42498779296875,434.5249938964844,235076,2022-03-28
2022-04-04,435.17498779296875,435.17498779296875,462.3999938964844,431.5,439.25,422378,2022-04-04
2022-04-11,445.25,445.25,451.0,436.17498779296875,443.25,207030,2022-04-11
2022-04-18,450.0,450.0,452.5,429.0249938964844,444.5,462802,2022-04-18
2022-04-25,464.57501220703125,464.57501220703125,474.0,445.0,451.0,494676,2022-04-25
2022-05-02,476.29998779296875,476.29998779296875,484.8999938964844,449.82501220703125,462.75,424472,2022-05-02
2022-05-09,443.42498779296875,443.42498779296875,501.6499938964844,440.04998779296875,477.4750061035156,605558,2022-05-09
2022-05-16,472.54998779296875,472.54998779296875,479.0249938964844,437.5,445.6499938964844,356200,2022-05-16
2022-05-23,487.75,487.75,534.0750122070312,485.0,509.92498779296875,1311980,2022-05-23
2022-05-30,482.07501220703125,482.07501220703125,510.1000061035156,477.5,490.17498779296875,284092,2022-05-30
2022-06-06,480.79998779296875,480.79998779296875,499.0,476.125,484.5,312026,2022-06-06
2022-06-13,445.32501220703125,445.32501220703125,475.0249938964844,426.29998779296875,475.0249938964844,272448,2022-06-13
2022-06-20,425.625,425.625,444.17498779296875,415.0249938964844,443.9750061035156,320132,2022-06-20
2022-06-27,452.04998779296875,452.04998779296875,465.0,426.1000061035156,429.9750061035156,120000,2022-06-27
2022-07-04,456.4750061035156,456.4750061035156,461.25,437.5,450.0249938964844,80758,2022-07-04
2022-07-11,418.70001220703125,418.70001220703125,461.5249938964844,414.57501220703125,456.5,174542,2022-07-11
2022-07-18,440.6499938964844,440.6499938964844,444.0,402.75,419.0,215096,2022-07-18
2022-07-25,457.82501220703125,457.82501220703125,461.0,431.125,442.75,250416,2022-07-25
2022-08-01,495.82501220703125,495.82501220703125,498.04998779296875,456.25,464.45001220703125,445806,2022-08-01
2022-08-08,554.0499877929688,554.0499877929688,567.9749755859375,496.25,496.25,879306,2022-08-08
2022-08-15,638.75,638.75,649.0,542.0,554.0499877929688,2232232,2022-08-15
2022-08-22,696.9749755859375,696.9749755859375,719.4000244140625,625.0250244140625,644.5,1730500,2022-08-22
2022-08-29,681.875,681.875,739.5,675.0,676.9749755859375,590074,2022-08-29
2022-09-05,675.2750244140625,675.2750244140625,699.5,663.3499755859375,685.0,350562,2022-09-05
2022-09-12,778.9500122070312,778.9500122070312,811.0,670.7249755859375,679.9500122070312,957876,2022-09-12
2022-09-19,866.4500122070312,866.4500122070312,959.9500122070312,767.5,784.5,1774410,2022-09-19
2022-09-26,901.8499755859375,901.8499755859375,947.0,847.5250244140625,862.625,533116,2022-09-26
2022-10-03,1046.0999755859375,1046.0999755859375,1049.3499755859375,890.0250244140625,899.5,848734,2022-10-03
2022-10-10,918.0750122070312,918.0750122070312,1040.4000244140625,904.0250244140625,1040.0,589268,2022-10-10
2022-10-17,902.8250122070312,902.8250122070312,940.0,875.0,917.5,430800,2022-10-17
2022-10-24,886.0,886.0,934.5,868.7000122070312,905.0,112008,2022-10-24
2022-10-31,879.625,879.625,914.875,850.0,893.625,444506,2022-10-31
2022-11-07,890.4500122070312,890.4500122070312,923.8499755859375,861.3250122070312,881.0,348194,2022-11-07
2022-11-14,977.8250122070312,977.8250122070312,1010.0,866.2999877929688,907.5,602362,2022-11-14
2022-11-21,1068.25,1068.25,1074.449951171875,952.5,971.0250244140625,491188,2022-11-21
2022-11-28,1153.625,1153.625,1177.0,1074.949951171875,1074.9749755859375,559522,2022-11-28
2022-12-05,1157.3499755859375,1157.3499755859375,1206.5,1100.0999755859375,1162.5,337898,2022-12-05
2022-12-12,1107.2750244140625,1107.2750244140625,1187.5,1085.5,1167.0,164028,2022-12-12
2022-12-19,920.5499877929688,920.5499877929688,1125.0,904.25,1107.7249755859375,268888,2022-12-19
2022-12-26,990.5250244140625,990.5250244140625,1032.5,903.5250244140625,903.5250244140625,394090,2022-12-26
2023-01-02,1042.0,1042.0,1087.5,990.5499877929688,997.9500122070312,313806,2023-01-02
2023-01-09,1113.449951171875,1113.449951171875,1123.9749755859375,1028.800048828125,1047.125,336458,2023-01-09
2023-01-16,1089.9000244140625,1089.9000244140625,1139.199951171875,1057.5,1100.0,184126,2023-01-16
2023-01-23,907.2750244140625,907.2750244140625,1102.625,896.0750122070312,1099.125,333568,2023-01-23
2023-01-30,842.125,842.125,975.0,785.2999877929688,901.0,912096,2023-01-30
2023-02-06,938.4749755859375,938.4749755859375,974.4500122070312,810.5,842.4749755859375,1649024,2023-02-06
2023-02-13,1069.0250244140625,1069.0250244140625,1074.5,885.2999877929688,943.125,1370302,2023-02-13
2023-02-20,1023.625,1023.625,1095.0,1015.0,1075.125,745662,2023-02-20
2023-02-27,1098.550048828125,1098.550048828125,1112.425048828125,1002.5,1027.5,627654,2023-02-27
2023-03-06,1191.375,1191.375,1230.0,1107.5999755859375,1118.8499755859375,1010892,2023-03-06
2023-03-13,1124.949951171875,1124.949951171875,1199.5,1058.0,1199.5,675004,2023-03-13
2023-03-20,1164.5,1164.5,1189.925048828125,1096.050048828125,1125.449951171875,290882,2023-03-20
2023-03-27,1234.949951171875,1234.949951171875,1242.5,1125.0,1164.5,414306,2023-03-27
2023-04-03,1258.675048828125,1258.675048828125,1272.925048828125,1225.800048828125,1245.2249755859375,259210,2023-04-03
2023-04-10,1240.175048828125,1240.175048828125,1269.5,1210.0,1269.5,298342,2023-04-10
2023-04-17,1232.25,1232.25,1255.0,1223.800048828125,1234.9749755859375,307886,2023-04-17
2023-04-24,1308.699951171875,1308.699951171875,1392.5,1222.625,1243.0,975414,2023-04-24
2023-05-01,1428.6500244140625,1428.6500244140625,1432.5,1288.2249755859375,1308.699951171875,903992,2023-05-01
2023-05-08,1578.550048828125,1578.550048828125,1607.5,1396.5,1435.7249755859375,1301860,2023-05-08
2023-05-15,1568.375,1568.375,1594.5,1510.0,1568.0,475190,2023-05-15
2023-05-22,1601.074951171875,1601.074951171875,1646.949951171875,1550.0,1551.0,594734,2023-05-22
2023-05-29,1637.675048828125,1637.675048828125,1649.5,1500.9749755859375,1624.75,737266,2023-05-29
2023-06-05,1607.050048828125,1607.050048828125,1651.550048828125,1561.175048828125,1639.949951171875,244042,2023-06-05
2023-06-12,1634.9000244140625,1634.9000244140625,1674.5,1590.0250244140625,1622.5,354850,2023-06-12
2023-06-19,1591.8499755859375,1591.8499755859375,1725.0,1576.0,1638.949951171875,418528,2023-06-19
2023-06-26,1682.824951171875,1682.824951171875,1694.4000244140625,1572.0250244140625,1602.5,221236,2023-06-26
2023-07-03,1808.324951171875,1808.324951171875,1850.0,1645.0,1692.4000244140625,481660,2023-07-03
2023-07-10,1953.699951171875,1953.699951171875,1975.0,1787.5,1805.0,337228,2023-07-10
2023-07-17,1934.074951171875,1934.074951171875,1971.4749755859375,1887.75,1952.5,204062,2023-07-17
2023-07-24,2112.27490234375,2112.27490234375,2122.5,1931.1500244140625,1952.5,396516,2023-07-24
2023-07-31,2169.949951171875,2169.949951171875,2534.72509765625,2126.27490234375,2499.89990234375,1345378,2023-07-31
2023-08-07,1996.324951171875,1996.324951171875,2150.0,1928.0,2130.0,671754,2023-08-07
2023-08-14,1959.425048828125,1959.425048828125,2021.4000244140625,1898.5,1996.324951171875,438478,2023-08-14
2023-08-21,1973.425048828125,1973.425048828125,2046.9749755859375,1927.5,1950.050048828125,400268,2023-08-21
2023-08-28,2117.675048828125,2117.675048828125,2140.0,1962.0,1988.5,400050,2023-08-28
2023-09-04,2124.77490234375,2124.77490234375,2140.0,2000.0,2126.5,474368,2023-09-04
2023-09-11,2148.5,2148.5,2337.5,2043.5,2149.0,490944,2023-09-11
2023-09-18,2109.925048828125,2109.925048828125,2160.0,2078.60009765625,2160.0,121826,2023-09-18
2023-09-25,2099.02490234375,2099.02490234375,2153.5,2012.5250244140625,2090.02490234375,198950,2023-09-25
2023-10-02,2095.949951171875,2095.949951171875,2102.5,2025.0,2099.02490234375,94820,2023-10-02
2023-10-09,2037.574951171875,2037.574951171875,2099.5,1986.0,2045.0,174254,2023-10-09
2023-10-16,2017.074951171875,2017.074951171875,2049.0,1985.0,2034.074951171875,168752,2023-10-16
2023-10-23,1817.8499755859375,1817.8499755859375,2033.5999755859375,1725.0,1990.0,212182,2023-10-23
2023-10-30,1717.425048828125,1717.425048828125,1867.5,1687.7750244140625,1814.5,356720,2023-10-30
2023-11-06,1916.425048828125,1916.425048828125,1937.5,1682.4749755859375,1682.5,393544,2023-11-06
2023-11-13,1975.550048828125,1975.550048828125,2000.425048828125,1911.2750244140625,1975.0,329444,2023-11-13
2023-11-20,1995.6500244140625,1995.6500244140625,2115.02490234375,1979.7249755859375,1998.0,375140,2023-11-20
2023-11-27,2155.074951171875,2155.074951171875,2167.050048828125,1995.6500244140625,1995.6500244140625,257470,2023-11-27
2023-12-04,2079.175048828125,2079.175048828125,2220.0,2069.97509765625,2198.175048828125,255986,2023-12-04
2023-12-11,2113.10009765625,2113.10009765625,2167.5,2050.77490234375,2069.949951171875,241152,2023-12-11
2023-12-18,2045.1500244140625,2045.1500244140625,2190.0,1957.550048828125,2115.0,324834,2023-12-18
2023-12-25,2142.77490234375,2142.77490234375,2234.39990234375,2035.75,2045.1500244140625,430500,2023-12-25
2024-01-01,2170.449951171875,2170.449951171875,2282.5,2140.02490234375,2169.0,567252,2024-01-01
2024-01-08,2367.125,2367.125,2469.199951171875,2130.5,2212.5,764726,2024-01-08
2024-01-15,2393.800048828125,2393.800048828125,2513.85009765625,2350.0,2389.175048828125,453310,2024-01-15
2024-01-22,2467.22509765625,2467.22509765625,2520.0,2355.5,2393.800048828125,351726,2024-01-22
2024-01-29,2658.47509765625,2658.47509765625,2720.675048828125,2496.449951171875,2529.97509765625,816542,2024-01-29
2024-02-05,2664.72509765625,2664.72509765625,2775.0,2552.5,2685.0,310502,2024-02-05
2024-02-12,2655.5,2655.5,2765.0,2490.02490234375,2670.0,591104,2024-02-12
2024-02-19,2577.675048828125,2577.675048828125,2712.5,2483.925048828125,2662.5,395026,2024-02-19
2024-02-26,2562.27490234375,2562.27490234375,2738.925048828125,2490.550048828125,2599.97509765625,826954,2024-02-26
2024-03-04,2483.125,2483.125,2624.949951171875,2421.5,2588.125,438090,2024-03-04
2024-03-11,2367.60009765625,2367.60009765625,2512.5,2242.35009765625,2500.5,512828,2024-03-11
2024-03-18,2382.22509765625,2382.22509765625,2396.074951171875,2202.5,2367.5,256746,2024-03-18
2024-03-25,2505.25,2505.25,2532.5,2339.97509765625,2382.22509765625,164590,2024-03-25
2024-04-01,2601.35009765625,2601.35009765625,2706.60009765625,2512.925048828125,2529.5,310980,2024-04-01
2024-04-08,2561.97509765625,2561.97509765625,2630.199951171875,2515.0,2625.0,151286,2024-04-08
2024-04-15,2510.800048828125,2510.800048828125,2555.5,2464.25,2500.0,225202,2024-04-15
2024-04-22,2639.699951171875,2639.699951171875,2741.39990234375,2526.949951171875,2526.949951171875,383200,2024-04-22
2024-04-29,2476.550048828125,2476.550048828125,2672.5,2465.550048828125,2667.47509765625,297558,2024-04-29
2024-05-06,2381.074951171875,2381.074951171875,2518.77490234375,2330.199951171875,2481.800048828125,324658,2024-05-06
2024-05-13,2558.925048828125,2558.925048828125,2621.425048828125,2331.77490234375,2390.5,225364,2024-05-13
2024-05-20,2477.85009765625,2477.85009765625,2572.5,2398.574951171875,2517.47509765625,325712,2024-05-20
2024-05-27,2317.02490234375,2317.02490234375,2527.85009765625,2300.5,2480.0,369548,2024-05-27
2024-06-03,2520.39990234375,2520.39990234375,2546.0,2173.875,2502.47509765625,446566,2024-06-03
2024-06-10,2525.22509765625,2525.22509765625,2690.0,2365.02490234375,2525.0,1514212,2024-06-10
2024-06-17,2493.625,2493.625,2576.0,2480.0,2525.22509765625,298832,2024-06-17
2024-06-24,2472.22509765625,2472.22509765625,2594.375,2454.60009765625,2487.0,260670,2024-06-24
2024-07-01,2465.175048828125,2465.175048828125,2542.175048828125,2436.0,2460.5,323128,2024-07-01
2024-07-08,2892.52490234375,2892.52490234375,2912.5,2415.0,2462.5,1888798,2024-07-08
2024-07-15,3023.699951171875,3023.699951171875,3059.0,2825.0,2925.425048828125,1056902,2024-07-15
2024-07-22,3137.550048828125,3137.550048828125,3250.5,2918.25,3017.800048828125,784392,2024-07-22
2024-07-29,3025.574951171875,3025.574951171875,3240.0,2973.300048828125,3162.47509765625,320200,2024-07-29
2024-08-05,2803.89990234375,2803.89990234375,3024.5,2690.27490234375,2994.97509765625,950702,2024-08-05
2024-08-12,2952.574951171875,2952.574951171875,3000.0,2680.0,2803.89990234375,1024424,2024-08-12
2024-08-19,3444.14990234375,3444.14990234375,3725.0,2980.0,2980.0,2592912,2024-08-19
2024-08-26,3389.39990234375,3389.39990234375,3635.0,3248.550048828125,3524.47509765625,1609046,2024-08-26
2024-09-02,3145.52490234375,3145.52490234375,3424.97509765625,3102.5,3424.97509765625,557170,2024-09-02
2024-09-09,3307.125,3307.125,3330.0,3068.0,3145.5,531566,2024-09-09
2024-09-16,3270.824951171875,3270.824951171875,3349.5,3147.77490234375,3329.5,383894,2024-09-16
2024-09-23,3350.050048828125,3350.050048828125,3417.47509765625,3284.375,3314.5,546806,2024-09-23
2024-09-30,3121.75,3121.75,3385.97509765625,3086.625,3373.449951171875,423336,2024-09-30
2024-10-07,3108.39990234375,3108.39990234375,3248.925048828125,3024.35009765625,3168.625,529399,2024-10-07
2024-10-14,3178.85009765625,3178.85009765625,3398.0,3082.199951171875,3139.35009765625,313899,2024-10-14
2024-10-21,2761.949951171875,2761.949951171875,3167.449951171875,2724.949951171875,3150.0,383304,2024-10-21
2024-10-28,3046.800048828125,3046.800048828125,3147.949951171875,2704.10009765625,2791.949951171875,210056,2024-10-28
2024-11-04,2803.85009765625,2803.85009765625,3061.0,2783.449951171875,3060.0,178147,2024-11-04
2024-11-11,2614.39990234375,2614.39990234375,2830.699951171875,2544.0,2780.0,302178,2024-11-11
2024-11-18,2525.199951171875,2525.199951171875,2640.0,2451.050048828125,2620.0,205959,2024-11-18
2024-11-25,2835.0,2835.0,2864.89990234375,2539.0,2580.0,379810,2024-11-25
2024-12-02,2744.35009765625,2744.35009765625,2844.949951171875,2710.0,2838.0,222786,2024-12-02
2024-12-09,2706.449951171875,2706.449951171875,2838.85009765625,2651.10009765625,2725.050048828125,242814,2024-12-09
2024-12-16,2561.39990234375,2561.39990234375,2748.89990234375,2500.10009765625,2736.5,264665,2024-12-16
2024-12-23,2557.10009765625,2557.10009765625,2600.0,2489.60009765625,2511.0,225880,2024-12-23
2024-12-30,2862.35009765625,2862.35009765625,2892.0,2500.0,2557.10009765625,424495,2024-12-30
2025-01-06,2605.39990234375,2605.39990234375,2897.0,2590.0,2897.0,316336,2025-01-06
2025-01-13,2430.800048828125,2430.800048828125,2660.0,2407.75,2595.050048828125,233258,2025-01-13
2025-01-20,2299.85009765625,2299.85009765625,2485.449951171875,2222.0,2460.0,296121,2025-01-20
2025-01-27,2157.14990234375,2157.14990234375,2360.0,1745.0,2256.89990234375,1342085,2025-01-27
2025-02-03,1991.6500244140625,1991.6500244140625,2099.0,1935.949951171875,2065.0,584373,2025-02-03
2025-02-10,1905.1500244140625,1905.1500244140625,2093.60009765625,1804.0,2032.0,616294,2025-02-10
2025-02-17,1939.8499755859375,1939.8499755859375,2019.0,1827.550048828125,1910.6500244140625,354365,2025-02-17
2025-02-24,1802.25,1802.25,1973.4000244140625,1760.0,1939.8499755859375,228773,2025-02-24
2025-03-03,2047.699951171875,2047.699951171875,2070.0,1700.0,1802.0,588724,2025-03-03
2025-03-10,2044.050048828125,2044.050048828125,2088.0,1957.199951171875,2088.0,291987,2025-03-10
2025-03-17,2170.10009765625,2170.10009765625,2180.75,2005.1500244140625,2068.050048828125,334246,2025-03-17
2025-03-24,2717.64990234375,2717.64990234375,2775.0,2245.14990234375,2299.0,2005320,2025-03-24
2025-03-31,2655.85009765625,2655.85009765625,2768.0,2605.550048828125,2717.64990234375,678457,2025-03-31
2025-04-07,2599.300048828125,2599.300048828125,2647.0,2325.050048828125,2400.0,400930,2025-04-07
2025-04-14,2800.800048828125,2800.800048828125,2879.0,2637.699951171875,2650.0,391863,2025-04-14
2025-04-21,2749.60009765625,2749.60009765625,2942.0,2669.10009765625,2800.89990234375,529494,2025-04-21
2025-04-28,2595.10009765625,2595.10009765625,2791.89990234375,2573.0,2712.60009765625,284522,2025-04-28
2025-05-05,2504.10009765625,2504.10009765625,2696.89990234375,2450.0,2623.5,244481,2025-05-05
2025-05-12,2963.300048828125,2963.300048828125,3025.0,2620.0,2680.0,558187,2025-05-12
2025-05-19,3157.300048828125,3157.300048828125,3398.89990234375,2850.0,2949.5,1330452,2025-05-19
2025-05-26,3107.199951171875,3107.199951171875,3250.0,3080.0,3193.800048828125,446629,2025-05-26
2025-06-02,3036.800048828125,3036.800048828125,3232.0,3010.0,3107.39990234375,294223,2025-06-02
2025-06-09,3073.300048828125,3073.300048828125,3240.0,2984.0,3067.199951171875,301568,2025-06-09
2025-06-16,3043.89990234375,3043.89990234375,3160.800048828125,2999.300048828125,3072.10009765625,268721,2025-06-16
2025-06-23,3245.300048828125,3245.300048828125,3314.89990234375,2985.0,3034.89990234375,522030,2025-06-23
2025-06-30,3220.199951171875,3220.199951171875,3385.0,3199.89990234375,3281.0,428470,2025-06-30
2025-07-07,3306.89990234375,3306.89990234375,3415.0,3181.0,3235.0,435354,2025-07-07
2025-07-14,3261.39990234375,3261.39990234375,3397.0,3189.300048828125,3261.5,296934,2025-07-14
