Date,Adj Close_MEDPLUS.NS,Close_MEDPLUS.NS,High_MEDPLUS.NS,Low_MEDPLUS.NS,Open_MEDPLUS.NS,Volume_MEDPLUS.NS,Date
2022-08-29,737.6500244140625,737.6500244140625,747.9000244140625,728.4500122070312,740.0,253300,2022-08-29
2022-09-05,735.9000244140625,735.9000244140625,754.0,730.0999755859375,743.0,386104,2022-09-05
2022-09-12,675.5999755859375,675.5999755859375,777.0,657.0,764.6500244140625,1577001,2022-09-12
2022-09-19,640.1500244140625,640.1500244140625,692.5,638.0,680.0,510835,2022-09-19
2022-09-26,617.9500122070312,617.9500122070312,644.7000122070312,600.0,644.7000122070312,843182,2022-09-26
2022-10-03,617.1500244140625,617.1500244140625,627.4500122070312,607.25,620.0,410014,2022-10-03
2022-10-10,593.4500122070312,593.4500122070312,623.0,583.2999877929688,623.0,483136,2022-10-10
2022-10-17,595.5,595.5,598.8499755859375,581.4000244140625,594.9500122070312,90452,2022-10-17
2022-10-24,605.5499877929688,605.5499877929688,610.0,590.0,601.0,41198,2022-10-24
2022-10-31,590.0999755859375,590.0999755859375,609.7999877929688,585.0999755859375,609.7999877929688,122209,2022-10-31
2022-11-07,582.2000122070312,582.2000122070312,600.5499877929688,570.0,590.0999755859375,516929,2022-11-07
2022-11-14,615.1500244140625,615.1500244140625,689.0,585.0999755859375,594.0,2099866,2022-11-14
2022-11-21,675.9000244140625,675.9000244140625,690.0,602.5499877929688,621.2999877929688,1177432,2022-11-21
2022-11-28,674.0999755859375,674.0999755859375,696.5499877929688,548.25,675.0,262468,2022-11-28
2022-12-05,715.4500122070312,715.4500122070312,748.9500122070312,657.4000244140625,678.0,1899809,2022-12-05
2022-12-12,649.5999755859375,649.5999755859375,758.0,640.0,723.0,1572071,2022-12-12
2022-12-19,634.75,634.75,675.0,625.0,659.0,585242,2022-12-19
2022-12-26,613.5999755859375,613.5999755859375,655.0,610.0,643.7999877929688,695414,2022-12-26
2023-01-02,603.9500122070312,603.9500122070312,625.0,598.1500244140625,613.5999755859375,443103,2023-01-02
2023-01-09,627.2999877929688,627.2999877929688,631.75,597.75,613.0,225605,2023-01-09
2023-01-16,625.25,625.25,631.9500122070312,621.0499877929688,629.7999877929688,155988,2023-01-16
2023-01-23,632.25,632.25,649.0,597.7000122070312,634.6500244140625,445643,2023-01-23
2023-01-30,640.8499755859375,640.8499755859375,649.0499877929688,615.0499877929688,616.0,434335,2023-01-30
2023-02-06,664.9000244140625,664.9000244140625,700.1500244140625,626.0999755859375,626.0999755859375,598986,2023-02-06
2023-02-13,638.5999755859375,638.5999755859375,666.5499877929688,630.0,664.9000244140625,190647,2023-02-13
2023-02-20,646.2999877929688,646.2999877929688,650.5,605.0,644.0,337214,2023-02-20
2023-02-27,698.75,698.75,709.0,636.8499755859375,646.2999877929688,777332,2023-02-27
2023-03-06,692.4500122070312,692.4500122070312,714.0,677.0,691.0,591927,2023-03-06
2023-03-13,772.4500122070312,772.4500122070312,793.0,632.4500122070312,686.3499755859375,1586042,2023-03-13
2023-03-20,669.5,669.5,780.0,665.0,770.0499877929688,1058702,2023-03-20
2023-03-27,649.7000122070312,649.7000122070312,674.6500244140625,612.0499877929688,665.0,541951,2023-03-27
2023-04-03,655.1500244140625,655.1500244140625,673.1500244140625,627.0,654.9500122070312,215562,2023-04-03
2023-04-10,715.9000244140625,715.9000244140625,749.0,654.0999755859375,657.4000244140625,916239,2023-04-10
2023-04-17,744.5499877929688,744.5499877929688,756.3499755859375,706.0499877929688,715.0,254273,2023-04-17
2023-04-24,739.5499877929688,739.5499877929688,745.5,722.4000244140625,740.0,121648,2023-04-24
2023-05-01,719.1500244140625,719.1500244140625,745.9000244140625,711.7000122070312,739.5499877929688,170686,2023-05-01
2023-05-08,721.6500244140625,721.6500244140625,776.9500122070312,719.0999755859375,724.9500122070312,451029,2023-05-08
2023-05-15,687.0,687.0,735.2000122070312,675.0499877929688,723.0499877929688,206784,2023-05-15
2023-05-22,813.0999755859375,813.0999755859375,827.7000122070312,673.5,687.0,4254966,2023-05-22
2023-05-29,812.6500244140625,812.6500244140625,865.0,778.0499877929688,800.0,3430879,2023-05-29
2023-06-05,776.8499755859375,776.8499755859375,847.3499755859375,775.25,812.6500244140625,971058,2023-06-05
2023-06-12,798.9000244140625,798.9000244140625,806.5999755859375,766.8499755859375,788.7999877929688,469916,2023-06-12
2023-06-19,782.9500122070312,782.9500122070312,835.25,778.9500122070312,799.0,710358,2023-06-19
2023-06-26,774.9000244140625,774.9000244140625,799.0,760.0499877929688,789.9000244140625,1004056,2023-06-26
2023-07-03,820.5499877929688,820.5499877929688,847.0,771.2000122070312,789.0,1102725,2023-07-03
2023-07-10,870.2999877929688,870.2999877929688,889.9000244140625,804.9500122070312,825.0,1062587,2023-07-10
2023-07-17,941.25,941.25,975.0,862.5,876.9000244140625,1772189,2023-07-17
2023-07-24,952.25,952.25,969.0,911.7000122070312,936.5,868398,2023-07-24
2023-07-31,938.2999877929688,938.2999877929688,978.0,932.7999877929688,960.4000244140625,459138,2023-07-31
2023-08-07,867.4500122070312,867.4500122070312,960.0,835.0,952.9500122070312,1088843,2023-08-07
2023-08-14,883.5,883.5,915.0499877929688,869.0499877929688,876.9000244140625,353226,2023-08-14
2023-08-21,895.6500244140625,895.6500244140625,912.0,869.0499877929688,883.0,371557,2023-08-21
2023-08-28,833.0999755859375,833.0999755859375,920.0,804.5,890.3499755859375,19917034,2023-08-28
2023-09-04,809.3499755859375,809.3499755859375,836.8499755859375,799.0,836.0,1270413,2023-09-04
2023-09-11,808.25,808.25,826.0,786.5999755859375,808.0,1723848,2023-09-11
2023-09-18,783.5499877929688,783.5499877929688,811.75,773.0,808.0,377374,2023-09-18
2023-09-25,768.8499755859375,768.8499755859375,788.9500122070312,752.0,778.0999755859375,764475,2023-09-25
2023-10-02,760.75,760.75,783.75,751.4000244140625,768.8499755859375,416528,2023-10-02
2023-10-09,761.25,761.25,784.0,747.7000122070312,760.5,560549,2023-10-09
2023-10-16,784.9000244140625,784.9000244140625,794.0,758.75,761.0,402234,2023-10-16
2023-10-23,814.25,814.25,825.4000244140625,772.0,788.9000244140625,1218152,2023-10-23
2023-10-30,790.0,790.0,818.9000244140625,782.0,815.7999877929688,316251,2023-10-30
2023-11-06,806.5999755859375,806.5999755859375,837.5,777.8499755859375,780.0,890355,2023-11-06
2023-11-13,818.4500122070312,818.4500122070312,824.4500122070312,802.0,803.3499755859375,338567,2023-11-13
2023-11-20,807.25,807.25,849.0,803.0999755859375,820.2999877929688,541776,2023-11-20
2023-11-27,792.7999877929688,792.7999877929688,817.9000244140625,784.5999755859375,807.25,234740,2023-11-27
2023-12-04,727.1500244140625,727.1500244140625,802.7999877929688,717.4000244140625,802.7999877929688,900696,2023-12-04
2023-12-11,752.4500122070312,752.4500122070312,753.9500122070312,727.1500244140625,730.0,624060,2023-12-11
2023-12-18,726.5499877929688,726.5499877929688,769.5999755859375,717.2999877929688,745.0499877929688,671396,2023-12-18
2023-12-25,750.75,750.75,756.6500244140625,721.5,726.5499877929688,806400,2023-12-25
2024-01-01,750.5,750.5,756.5999755859375,734.9500122070312,750.75,367916,2024-01-01
2024-01-08,740.9000244140625,740.9000244140625,755.0,734.0499877929688,755.0,348116,2024-01-08
2024-01-15,737.0999755859375,737.0999755859375,747.4500122070312,720.4500122070312,740.9000244140625,827285,2024-01-15
2024-01-22,723.0,723.0,741.7000122070312,719.4000244140625,737.0999755859375,199711,2024-01-22
2024-01-29,686.5,686.5,738.5,671.9500122070312,729.7000122070312,462269,2024-01-29
2024-02-05,627.2999877929688,627.2999877929688,699.2000122070312,606.0,696.75,2159106,2024-02-05
2024-02-12,680.7999877929688,680.7999877929688,689.0,598.5999755859375,628.25,2472696,2024-02-12
2024-02-19,688.9000244140625,688.9000244140625,727.0,680.7999877929688,688.0,1834008,2024-02-19
2024-02-26,696.25,696.25,716.4500122070312,689.0,694.9000244140625,572681,2024-02-26
2024-03-04,696.25,696.25,710.0,676.8499755859375,699.6500244140625,463209,2024-03-04
2024-03-11,665.5499877929688,665.5499877929688,696.9500122070312,653.9000244140625,696.0,681766,2024-03-11
2024-03-18,687.2000122070312,687.2000122070312,696.8499755859375,650.0999755859375,650.0999755859375,407502,2024-03-18
2024-03-25,687.8499755859375,687.8499755859375,700.0,661.0,685.25,607389,2024-03-25
2024-04-01,691.5,691.5,704.9500122070312,683.75,687.8499755859375,459251,2024-04-01
2024-04-08,693.4000244140625,693.4000244140625,702.3499755859375,670.0,693.75,416929,2024-04-08
2024-04-15,694.4000244140625,694.4000244140625,715.9000244140625,672.0499877929688,690.0,484050,2024-04-15
2024-04-22,675.2999877929688,675.2999877929688,695.75,672.0,695.75,255965,2024-04-22
2024-04-29,666.8499755859375,666.8499755859375,707.7999877929688,663.2000122070312,680.0,429475,2024-04-29
2024-05-06,703.4500122070312,703.4500122070312,707.3499755859375,656.0,671.0999755859375,267922,2024-05-06
2024-05-13,688.9000244140625,688.9000244140625,728.2000122070312,686.0999755859375,705.7999877929688,420401,2024-05-13
2024-05-20,701.5999755859375,701.5999755859375,719.9500122070312,689.0499877929688,696.0,292376,2024-05-20
2024-05-27,731.2999877929688,731.2999877929688,738.7999877929688,680.2000122070312,698.0499877929688,1099280,2024-05-27
2024-06-03,703.6500244140625,703.6500244140625,755.0,660.0,745.0999755859375,522122,2024-06-03
2024-06-10,697.25,697.25,711.9000244140625,691.25,711.9000244140625,400344,2024-06-10
2024-06-17,684.5499877929688,684.5499877929688,709.9500122070312,682.0,697.25,427365,2024-06-17
2024-06-24,682.4500122070312,682.4500122070312,696.9000244140625,672.3499755859375,684.9500122070312,529650,2024-06-24
2024-07-01,669.2999877929688,669.2999877929688,697.0,663.0999755859375,685.9000244140625,3898731,2024-07-01
2024-07-08,673.5,673.5,681.0,654.5999755859375,674.0,573306,2024-07-08
2024-07-15,671.8499755859375,671.8499755859375,681.0,668.0,680.0,208097,2024-07-15
2024-07-22,668.4000244140625,668.4000244140625,684.75,663.5,668.5999755859375,384551,2024-07-22
2024-07-29,673.4000244140625,673.4000244140625,689.5999755859375,671.0,671.9000244140625,523861,2024-07-29
2024-08-05,644.25,644.25,710.9500122070312,641.0,677.0,1318245,2024-08-05
2024-08-12,642.2000122070312,642.2000122070312,649.2999877929688,635.5,649.2999877929688,273087,2024-08-12
2024-08-19,635.0,635.0,645.5,630.7999877929688,644.8499755859375,1251874,2024-08-19
2024-08-26,679.4000244140625,679.4000244140625,684.7000122070312,616.0,635.0,29868618,2024-08-26
2024-09-02,730.8499755859375,730.8499755859375,739.9000244140625,675.0,681.2999877929688,4159245,2024-09-02
2024-09-09,707.6500244140625,707.6500244140625,745.0,699.0,732.4000244140625,1498061,2024-09-09
2024-09-16,667.5999755859375,667.5999755859375,712.0,651.5999755859375,710.9000244140625,1996024,2024-09-16
2024-09-23,669.0999755859375,669.0999755859375,704.4500122070312,660.0,670.9000244140625,1662537,2024-09-23
2024-09-30,654.7000122070312,654.7000122070312,675.5499877929688,637.5,670.7000122070312,1259254,2024-09-30
2024-10-07,666.9000244140625,666.9000244140625,690.0,634.7999877929688,660.0,1568036,2024-10-07
2024-10-14,681.8499755859375,681.8499755859375,692.1500244140625,658.3499755859375,669.9500122070312,1190150,2024-10-14
2024-10-21,657.8499755859375,657.8499755859375,699.0,654.0,683.25,1226722,2024-10-21
2024-10-28,679.25,679.25,680.75,636.0999755859375,661.0,539533,2024-10-28
2024-11-04,680.0,680.0,685.9500122070312,651.0,681.9000244140625,1260486,2024-11-04
2024-11-11,704.25,704.25,724.9500122070312,669.0,683.6500244140625,3584749,2024-11-11
2024-11-18,741.7999877929688,741.7999877929688,751.9000244140625,702.7000122070312,711.0,5472452,2024-11-18
2024-11-25,782.7000122070312,782.7000122070312,786.0,738.1500244140625,752.0,3815574,2024-11-25
2024-12-02,850.7999877929688,850.7999877929688,875.6500244140625,777.25,789.7999877929688,4107344,2024-12-02
2024-12-09,855.0,855.0,871.0,828.5,853.2000122070312,2026585,2024-12-09
2024-12-16,848.0499877929688,848.0499877929688,871.9500122070312,840.0999755859375,853.7999877929688,1319791,2024-12-16
2024-12-23,841.0999755859375,841.0999755859375,858.9000244140625,825.0499877929688,852.0,741345,2024-12-23
2024-12-30,832.0,832.0,856.9500122070312,811.0499877929688,841.1500244140625,1207205,2024-12-30
2025-01-06,834.2999877929688,834.2999877929688,854.4000244140625,805.2000122070312,832.0,704878,2025-01-06
2025-01-13,785.0,785.0,830.0499877929688,771.0,826.7000122070312,759017,2025-01-13
2025-01-20,718.5999755859375,718.5999755859375,782.1500244140625,710.0,776.3499755859375,1284970,2025-01-20
2025-01-27,787.0999755859375,787.0999755859375,794.0,642.0,658.9500122070312,1885915,2025-01-27
2025-02-03,796.25,796.25,823.5,755.8499755859375,775.2999877929688,1207728,2025-02-03
2025-02-10,724.7000122070312,724.7000122070312,800.9500122070312,702.6500244140625,794.75,1218725,2025-02-10
2025-02-17,722.7999877929688,722.7999877929688,769.7999877929688,708.25,718.0999755859375,902526,2025-02-17
2025-02-24,714.5999755859375,714.5999755859375,736.9000244140625,708.5499877929688,715.0,803725,2025-02-24
2025-03-03,708.75,708.75,741.6500244140625,698.9000244140625,712.5999755859375,769663,2025-03-03
2025-03-10,709.0999755859375,709.0999755859375,719.9500122070312,683.0499877929688,708.75,460248,2025-03-10
2025-03-17,730.4000244140625,730.4000244140625,735.0,692.25,702.0,525572,2025-03-17
2025-03-24,760.0,760.0,769.0,718.7000122070312,730.0499877929688,886370,2025-03-24
2025-03-31,730.1500244140625,730.1500244140625,778.2999877929688,708.0999755859375,760.0,412434,2025-03-31
2025-04-07,789.2000122070312,789.2000122070312,796.1500244140625,678.0499877929688,693.9500122070312,718013,2025-04-07
2025-04-14,795.2999877929688,795.2999877929688,825.0,786.1500244140625,805.0,529630,2025-04-14
2025-04-21,793.0999755859375,793.0999755859375,828.9500122070312,787.2999877929688,795.0,514927,2025-04-21
2025-04-28,799.2999877929688,799.2999877929688,838.75,785.5,790.0,435644,2025-04-28
2025-05-05,795.25,795.25,845.0,788.2999877929688,803.0,587936,2025-05-05
2025-05-12,885.5499877929688,885.5499877929688,894.7999877929688,811.2999877929688,814.9500122070312,956436,2025-05-12
2025-05-19,952.4500122070312,952.4500122070312,980.0,868.0,891.5,1329488,2025-05-19
2025-05-26,966.4000244140625,966.4000244140625,1045.300048828125,935.0999755859375,955.0,2335956,2025-05-26
2025-06-02,915.1500244140625,915.1500244140625,968.3499755859375,904.4000244140625,966.4000244140625,1059581,2025-06-02
2025-06-09,880.5999755859375,880.5999755859375,920.9500122070312,870.4500122070312,915.0999755859375,834382,2025-06-09
2025-06-16,870.9000244140625,870.9000244140625,895.1500244140625,862.0,884.0,779259,2025-06-16
2025-06-23,911.7999877929688,911.7999877929688,918.0,849.7999877929688,863.0,771290,2025-06-23
2025-06-30,869.2999877929688,869.2999877929688,912.7999877929688,859.4000244140625,910.0,507175,2025-06-30
2025-07-07,874.3499755859375,874.3499755859375,879.2999877929688,843.7999877929688,869.2999877929688,734680,2025-07-07
2025-07-14,910.9000244140625,910.9000244140625,915.4000244140625,860.4000244140625,867.3499755859375,213428,2025-07-14
