Date,Adj Close_VENUSPIPES.NS,Close_VENUSPIPES.NS,High_VENUSPIPES.NS,Low_VENUSPIPES.NS,Open_VENUSPIPES.NS,Volume_VENUSPIPES.NS,Date
2023-07-24,1239.6151123046875,1241.0999755859375,1289.699951171875,1202.0,1202.0,829846,2023-07-24
2023-07-31,1280.416015625,1281.949951171875,1320.0,1237.6500244140625,1260.0,523774,2023-07-31
2023-08-07,1370.2086181640625,1371.8499755859375,1400.0,1293.25,1302.0,935260,2023-08-07
2023-08-14,1430.9359130859375,1432.6500244140625,1440.0,1368.0,1380.0,302573,2023-08-14
2023-08-21,1501.251708984375,1503.050048828125,1510.0,1420.0,1430.0,622653,2023-08-21
2023-08-28,1533.4130859375,1535.25,1560.800048828125,1503.050048828125,1515.0,481023,2023-08-28
2023-09-04,1563.227294921875,1565.0999755859375,1578.0,1538.0,1538.0,412397,2023-09-04
2023-09-11,1535.860107421875,1537.699951171875,1578.9000244140625,1291.449951171875,1578.9000244140625,1232933,2023-09-11
2023-09-18,1494.1102294921875,1495.9000244140625,1552.699951171875,1494.0,1539.9000244140625,1583023,2023-09-18
2023-09-25,1308.9083251953125,1310.050048828125,1489.699951171875,1220.0,1489.699951171875,2680577,2023-09-25
2023-10-02,1304.4122314453125,1305.550048828125,1324.949951171875,1203.0,1310.050048828125,1588305,2023-10-02
2023-10-09,1259.7509765625,1260.8499755859375,1306.699951171875,1230.0,1299.9000244140625,1384231,2023-10-09
2023-10-16,1309.9073486328125,1311.050048828125,1358.9000244140625,1247.0999755859375,1262.8499755859375,567665,2023-10-16
2023-10-23,1394.1337890625,1395.3499755859375,1419.0,1235.050048828125,1344.949951171875,1677808,2023-10-23
2023-10-30,1403.7755126953125,1405.0,1417.1500244140625,1341.0,1410.0,1054719,2023-10-30
2023-11-06,1450.784423828125,1452.050048828125,1469.4000244140625,1403.0,1410.0,410088,2023-11-06
2023-11-13,1410.6650390625,1411.4000244140625,1477.0,1405.5,1466.0,285552,2023-11-13
2023-11-20,1387.3770751953125,1388.0999755859375,1430.050048828125,1381.050048828125,1420.9000244140625,262496,2023-11-20
2023-11-27,1308.4681396484375,1309.1500244140625,1390.699951171875,1291.949951171875,1388.0999755859375,411442,2023-11-27
2023-12-04,1332.4556884765625,1333.1500244140625,1348.0,1290.199951171875,1335.0,401523,2023-12-04
2023-12-11,1345.1990966796875,1345.9000244140625,1395.449951171875,1325.050048828125,1335.050048828125,317871,2023-12-11
2023-12-18,1372.6846923828125,1373.4000244140625,1405.800048828125,1293.050048828125,1357.9000244140625,487786,2023-12-18
2023-12-25,1399.8206787109375,1400.550048828125,1464.5,1349.0,1373.4000244140625,1176973,2023-12-25
2024-01-01,1409.5155029296875,1410.25,1435.050048828125,1364.0999755859375,1421.0,492723,2024-01-01
2024-01-08,1393.5738525390625,1394.300048828125,1414.0,1375.0999755859375,1412.0,266314,2024-01-08
2024-01-15,1394.2734375,1395.0,1410.0,1328.0,1394.300048828125,342745,2024-01-15
2024-01-22,1425.6070556640625,1426.3499755859375,1437.0,1359.449951171875,1395.0,343339,2024-01-22
2024-01-29,1434.7022705078125,1435.449951171875,1582.0,1430.050048828125,1442.0999755859375,1570685,2024-01-29
2024-02-05,1494.1214599609375,1494.9000244140625,1525.0,1420.050048828125,1433.050048828125,586782,2024-02-05
2024-02-12,1682.8731689453125,1683.75,1716.949951171875,1404.0999755859375,1516.699951171875,1053983,2024-02-12
2024-02-19,1671.3291015625,1672.199951171875,1774.9000244140625,1625.0,1740.0,772101,2024-02-19
2024-02-26,1903.1082763671875,1904.0999755859375,1929.699951171875,1628.0,1688.0,2357437,2024-02-26
2024-03-04,1729.648681640625,1730.550048828125,1914.699951171875,1719.0,1895.0,588563,2024-03-04
2024-03-11,1668.380615234375,1669.25,1753.449951171875,1480.0,1753.449951171875,644257,2024-03-11
2024-03-18,1790.56689453125,1791.5,1823.199951171875,1653.699951171875,1690.0,530212,2024-03-18
2024-03-25,1891.5142822265625,1892.5,1913.0,1758.050048828125,1791.5,330617,2024-03-25
2024-04-01,2021.6964111328125,2022.75,2043.5,1820.0,1892.050048828125,886793,2024-04-01
2024-04-08,1922.248291015625,1923.25,2049.0,1912.3499755859375,2043.0,269207,2024-04-08
2024-04-15,1950.8333740234375,1951.8499755859375,1978.0,1862.0,1900.0,308990,2024-04-15
2024-04-22,2077.767333984375,2078.85009765625,2189.89990234375,2001.75,2037.699951171875,908902,2024-04-22
2024-04-29,2105.5029296875,2106.60009765625,2160.0,2064.0,2088.75,278722,2024-04-29
2024-05-06,2079.96630859375,2081.050048828125,2179.89990234375,2016.5,2145.89990234375,587900,2024-05-06
2024-05-13,2138.785400390625,2139.89990234375,2227.949951171875,2002.6500244140625,2080.0,600176,2024-05-13
2024-05-20,2127.9912109375,2129.10009765625,2175.0,2053.0,2128.800048828125,243825,2024-05-20
2024-05-27,2124.842529296875,2125.949951171875,2172.0,2080.050048828125,2138.800048828125,269789,2024-05-27
2024-06-03,2140.134765625,2141.25,2214.85009765625,1869.0999755859375,2186.0,596819,2024-06-03
2024-06-10,2097.207275390625,2098.300048828125,2254.449951171875,2089.449951171875,2182.949951171875,657252,2024-06-10
2024-06-17,2176.466064453125,2177.60009765625,2198.699951171875,2042.0,2098.300048828125,349608,2024-06-17
2024-06-24,2050.381591796875,2051.449951171875,2275.0,2044.949951171875,2182.050048828125,493582,2024-06-24
2024-07-01,2089.161376953125,2090.25,2114.85009765625,1990.050048828125,2046.0,465354,2024-07-01
2024-07-08,2198.3544921875,2199.5,2220.0,2030.050048828125,2120.0,609459,2024-07-08
2024-07-15,2090.460693359375,2091.550048828125,2224.300048828125,2083.85009765625,2208.699951171875,166314,2024-07-15
2024-07-22,2272.1162109375,2273.300048828125,2381.0,2050.5,2080.0,731053,2024-07-22
2024-07-29,2176.06591796875,2177.199951171875,2280.0,2081.14990234375,2271.85009765625,312006,2024-07-29
2024-08-05,2079.8662109375,2080.949951171875,2178.0,2065.0,2100.0,227801,2024-08-05
2024-08-12,2035.8392333984375,2036.9000244140625,2129.949951171875,1999.0,2080.89990234375,178081,2024-08-12
2024-08-19,2283.360107421875,2284.550048828125,2349.0,2045.0,2060.0,563223,2024-08-19
2024-08-26,2428.63427734375,2429.89990234375,2450.35009765625,2222.449951171875,2284.550048828125,576651,2024-08-26
2024-09-02,2243.930908203125,2245.10009765625,2446.60009765625,2155.550048828125,2435.0,416200,2024-09-02
2024-09-09,2330.58544921875,2331.800048828125,2382.0,2112.89990234375,2195.89990234375,443143,2024-09-09
2024-09-16,2228.738525390625,2229.89990234375,2358.60009765625,2142.25,2332.0,188395,2024-09-16
2024-09-23,2218.12060546875,2218.800048828125,2273.949951171875,2151.25,2273.949951171875,163840,2024-09-23
2024-09-30,2129.94775390625,2130.60009765625,2230.0,2060.89990234375,2230.0,159630,2024-09-30
2024-10-07,2012.083740234375,2012.699951171875,2159.949951171875,1970.1500244140625,2159.949951171875,263066,2024-10-07
2024-10-14,1835.8377685546875,1836.4000244140625,2027.0,1821.75,2027.0,319993,2024-10-14
2024-10-21,1832.5887451171875,1833.1500244140625,1894.75,1729.0,1894.75,358694,2024-10-21
2024-10-28,1928.4593505859375,1929.050048828125,1945.0,1830.0,1830.0,103046,2024-10-28
2024-11-04,1882.723388671875,1883.300048828125,1965.0,1858.8499755859375,1935.0,109542,2024-11-04
2024-11-11,1674.037353515625,1674.550048828125,1909.0,1660.949951171875,1831.050048828125,366288,2024-11-11
2024-11-18,1623.9027099609375,1624.4000244140625,1721.949951171875,1565.800048828125,1699.0,533875,2024-11-18
2024-11-25,1632.3499755859375,1632.8499755859375,1708.0,1627.050048828125,1708.0,261179,2024-11-25
2024-12-02,1659.25,1659.25,1671.8499755859375,1603.25,1632.8499755859375,450864,2024-12-02
2024-12-09,1638.0999755859375,1638.0999755859375,1681.0,1581.0,1659.0,580964,2024-12-09
2024-12-16,1590.4000244140625,1590.4000244140625,1659.9000244140625,1583.6500244140625,1637.0999755859375,309971,2024-12-16
2024-12-23,1519.050048828125,1519.050048828125,1613.6500244140625,1511.050048828125,1613.5999755859375,215575,2024-12-23
2024-12-30,1598.1500244140625,1598.1500244140625,1609.0,1499.449951171875,1537.949951171875,303051,2024-12-30
2025-01-06,1516.449951171875,1516.449951171875,1640.550048828125,1508.050048828125,1627.949951171875,405702,2025-01-06
2025-01-13,1414.5,1414.5,1524.949951171875,1395.050048828125,1524.949951171875,363984,2025-01-13
2025-01-20,1275.5999755859375,1275.5999755859375,1443.25,1269.800048828125,1414.5,392415,2025-01-20
2025-01-27,1322.699951171875,1322.699951171875,1365.0,1170.4000244140625,1270.0,702071,2025-01-27
2025-02-03,1422.5,1422.5,1455.0,1255.0,1300.0,373669,2025-02-03
2025-02-10,1271.300048828125,1271.300048828125,1454.949951171875,1239.050048828125,1422.5,421383,2025-02-10
2025-02-17,1339.550048828125,1339.550048828125,1356.800048828125,1175.3499755859375,1271.0,356301,2025-02-17
2025-02-24,1291.699951171875,1291.699951171875,1384.0,1276.5999755859375,1306.050048828125,376281,2025-02-24
2025-03-03,1495.9000244140625,1495.9000244140625,1500.0,1184.0,1260.449951171875,336452,2025-03-03
2025-03-10,1278.25,1278.25,1508.5999755859375,1258.5999755859375,1498.0,245180,2025-03-10
2025-03-17,1364.3499755859375,1364.3499755859375,1443.9000244140625,1217.0,1282.050048828125,521521,2025-03-17
2025-03-24,1207.25,1207.25,1402.5,1200.199951171875,1368.0,824384,2025-03-24
2025-03-31,1225.8499755859375,1225.8499755859375,1363.5999755859375,1164.0,1207.25,491946,2025-03-31
2025-04-07,1197.3499755859375,1197.3499755859375,1220.699951171875,1005.2999877929688,1005.2999877929688,251750,2025-04-07
2025-04-14,1303.0,1303.0,1352.0,1231.300048828125,1249.699951171875,198778,2025-04-14
2025-04-21,1196.4000244140625,1196.4000244140625,1358.199951171875,1178.5,1307.4000244140625,305949,2025-04-21
2025-04-28,1201.4000244140625,1201.4000244140625,1234.5999755859375,1186.0,1197.0,178350,2025-04-28
2025-05-05,1163.9000244140625,1163.9000244140625,1240.4000244140625,1147.0,1200.4000244140625,209433,2025-05-05
2025-05-12,1311.699951171875,1311.699951171875,1352.5,1211.199951171875,1220.0,345870,2025-05-12
2025-05-19,1452.0,1452.0,1479.0,1280.0,1322.199951171875,860799,2025-05-19
2025-05-26,1423.199951171875,1423.199951171875,1545.0,1379.9000244140625,1448.0,784910,2025-05-26
2025-06-02,1429.300048828125,1429.300048828125,1460.0,1391.699951171875,1437.4000244140625,322275,2025-06-02
2025-06-09,1395.4000244140625,1395.4000244140625,1489.0,1373.0999755859375,1429.4000244140625,315240,2025-06-09
2025-06-16,1345.0,1345.0,1418.800048828125,1330.699951171875,1388.4000244140625,164355,2025-06-16
2025-06-23,1360.199951171875,1360.199951171875,1417.800048828125,1327.800048828125,1336.5,216793,2025-06-23
2025-06-30,1457.5,1457.5,1486.0,1344.5999755859375,1360.199951171875,1430084,2025-06-30
2025-07-07,1599.699951171875,1599.699951171875,1647.0,1453.9000244140625,1457.5,1679276,2025-07-07
2025-07-14,1635.9000244140625,1635.9000244140625,1645.0,1560.0999755859375,1599.699951171875,206550,2025-07-14
