Date,Adj Close_LAOPALA.NS,Close_LAOPALA.NS,High_LAOPALA.NS,Low_LAOPALA.NS,Open_LAOPALA.NS,Volume_LAOPALA.NS,Date
2022-02-14,347.45751953125,352.45001220703125,373.79998779296875,342.6499938964844,355.1000061035156,746777,2022-02-14
2022-02-21,328.0858154296875,332.79998779296875,357.5,315.0,352.20001220703125,627511,2022-02-21
2022-02-28,355.5413513183594,360.6499938964844,372.0,310.29998779296875,328.0,1226679,2022-02-28
2022-03-07,366.7798767089844,372.04998779296875,392.0,314.8500061035156,346.5,2752145,2022-03-07
2022-03-14,360.7662658691406,365.95001220703125,381.0,352.3500061035156,368.0,625979,2022-03-14
2022-03-21,358.1538391113281,363.29998779296875,387.45001220703125,353.79998779296875,371.0,1186895,2022-03-21
2022-03-28,348.1475830078125,353.1499938964844,366.8500061035156,340.25,365.95001220703125,738275,2022-03-28
2022-04-04,375.84954833984375,381.25,386.3500061035156,354.95001220703125,354.95001220703125,1493144,2022-04-04
2022-04-11,373.92718505859375,379.29998779296875,399.54998779296875,374.5,383.20001220703125,908159,2022-04-11
2022-04-18,357.8580627441406,363.0,393.95001220703125,361.25,380.8999938964844,1167900,2022-04-18
2022-04-25,300.67962646484375,305.0,364.5,300.25,364.0,3081647,2022-04-25
2022-05-02,281.1108093261719,285.1499938964844,316.0,282.6499938964844,298.04998779296875,2338073,2022-05-02
2022-05-09,270.365234375,274.25,295.1499938964844,261.25,286.0,1760916,2022-05-09
2022-05-16,286.9765625,291.1000061035156,296.70001220703125,267.6000061035156,274.95001220703125,995975,2022-05-16
2022-05-23,259.8660583496094,263.6000061035156,292.45001220703125,239.85000610351562,290.0,1100711,2022-05-23
2022-05-30,260.6547546386719,264.3999938964844,282.70001220703125,261.6499938964844,266.95001220703125,1317062,2022-05-30
2022-06-06,255.82415771484375,259.5,269.0,253.5,260.3500061035156,1893008,2022-06-06
2022-06-13,248.8740234375,252.4499969482422,261.95001220703125,243.0,255.0,1041099,2022-06-13
2022-06-20,258.04229736328125,261.75,274.0,243.25,253.5,773974,2022-06-20
2022-06-27,267.40771484375,271.25,274.1000061035156,259.1499938964844,264.0,537938,2022-06-27
2022-07-04,279.9278259277344,283.95001220703125,285.70001220703125,267.04998779296875,275.0,1070863,2022-07-04
2022-07-11,265.14031982421875,268.95001220703125,290.54998779296875,267.0,281.5,938163,2022-07-11
2022-07-18,284.7091064453125,288.79998779296875,303.5,268.5,279.70001220703125,2587500,2022-07-18
2022-07-25,286.6315002441406,290.75,305.95001220703125,282.20001220703125,287.0,1633745,2022-07-25
2022-08-01,305.2144775390625,309.6000061035156,318.0,291.6499938964844,292.79998779296875,1724140,2022-08-01
2022-08-08,308.862060546875,313.29998779296875,322.25,306.20001220703125,309.54998779296875,881309,2022-08-08
2022-08-15,320.5442199707031,325.1499938964844,337.95001220703125,299.04998779296875,313.29998779296875,1578410,2022-08-15
2022-08-22,347.06317138671875,352.04998779296875,358.0,314.54998779296875,325.0,1116963,2022-08-22
2022-08-29,337.3526916503906,342.20001220703125,362.0,337.1000061035156,340.0,714547,2022-08-29
2022-09-05,335.6767883300781,340.5,346.20001220703125,327.8500061035156,343.8999938964844,820001,2022-09-05
2022-09-12,348.09832763671875,353.1000061035156,374.3500061035156,342.0,342.5,1895376,2022-09-12
2022-09-19,350.5135803222656,355.54998779296875,377.8500061035156,345.54998779296875,354.70001220703125,794988,2022-09-19
2022-09-26,332.961669921875,337.0,354.54998779296875,325.70001220703125,350.54998779296875,695953,2022-09-26
2022-10-03,365.4180603027344,369.8500061035156,383.5,336.3500061035156,337.54998779296875,1965638,2022-10-03
2022-10-10,387.54962158203125,392.25,409.25,353.1000061035156,368.8999938964844,2827047,2022-10-10
2022-10-17,391.4522705078125,396.20001220703125,414.95001220703125,383.70001220703125,390.79998779296875,1772477,2022-10-17
2022-10-24,393.28009033203125,398.04998779296875,411.45001220703125,390.1000061035156,404.8999938964844,882106,2022-10-24
2022-10-31,405.63031005859375,410.54998779296875,414.3500061035156,385.0,398.0,1167400,2022-10-31
2022-11-07,409.1871643066406,414.1499938964844,424.8999938964844,394.54998779296875,412.0,1782120,2022-11-07
2022-11-14,403.2096862792969,408.1000061035156,433.8500061035156,405.0,416.25,2154988,2022-11-14
2022-11-21,397.33221435546875,400.20001220703125,416.6000061035156,395.1000061035156,405.20001220703125,750070,2022-11-21
2022-11-28,412.6218566894531,415.6000061035156,417.70001220703125,375.04998779296875,400.8999938964844,2186384,2022-11-28
2022-12-05,417.1392517089844,420.1499938964844,433.1499938964844,400.1000061035156,417.3999938964844,1076015,2022-12-05
2022-12-12,398.5235900878906,401.3999938964844,431.8999938964844,397.3500061035156,418.95001220703125,844342,2022-12-12
2022-12-19,359.5052185058594,362.1000061035156,413.5,360.0,403.45001220703125,945146,2022-12-19
2022-12-26,379.2129821777344,381.95001220703125,390.70001220703125,357.0,360.1000061035156,445958,2022-12-26
2023-01-02,390.7795104980469,393.6000061035156,406.0,381.29998779296875,383.3999938964844,772054,2023-01-02
2023-01-09,390.6305847167969,393.45001220703125,403.0,385.04998779296875,395.04998779296875,386962,2023-01-09
2023-01-16,373.9013366699219,376.6000061035156,396.70001220703125,375.3500061035156,393.3999938964844,280156,2023-01-16
2023-01-23,355.3849792480469,357.95001220703125,380.25,351.0,378.3999938964844,480048,2023-01-23
2023-01-30,371.1213684082031,373.79998779296875,384.0,354.25,357.6000061035156,438951,2023-01-30
2023-02-06,375.09271240234375,377.79998779296875,380.0,368.0,375.29998779296875,236869,2023-02-06
2023-02-13,352.8532409667969,355.3999938964844,382.0,340.25,380.0,884115,2023-02-13
2023-02-20,352.7043151855469,355.25,371.1499938964844,349.45001220703125,356.79998779296875,364981,2023-02-20
2023-02-27,349.8747253417969,352.3999938964844,361.95001220703125,337.25,355.25,485593,2023-02-27
2023-03-06,353.3992919921875,355.95001220703125,378.79998779296875,350.95001220703125,352.45001220703125,309130,2023-03-06
2023-03-13,330.21661376953125,332.6000061035156,357.3999938964844,330.70001220703125,357.3500061035156,294382,2023-03-13
2023-03-20,331.70587158203125,334.1000061035156,341.45001220703125,330.3999938964844,332.70001220703125,220573,2023-03-20
2023-03-27,337.0671691894531,339.5,346.75,327.0,333.0,326605,2023-03-27
2023-04-03,354.7395935058594,357.29998779296875,363.29998779296875,330.29998779296875,342.8500061035156,284961,2023-04-03
