Date,Adj Close_BLSE.NS,Close_BLSE.NS,High_BLSE.NS,Low_BLSE.NS,Open_BLSE.NS,Volume_BLSE.NS,Date
2024-10-07,222.5500030517578,222.5500030517578,227.6999969482422,207.89999389648438,219.02000427246094,2424456,2024-10-07
2024-10-14,214.94000244140625,214.94000244140625,227.33999633789062,205.5500030517578,224.3000030517578,1608358,2024-10-14
2024-10-21,199.77999877929688,199.77999877929688,216.0,197.82000732421875,214.0,1268066,2024-10-21
2024-10-28,218.7100067138672,218.7100067138672,219.32000732421875,199.10000610351562,203.64999389648438,599133,2024-10-28
2024-11-04,220.36000061035156,220.36000061035156,230.94000244140625,211.55999755859375,219.89999389648438,1067795,2024-11-04
2024-11-11,208.94000244140625,208.94000244140625,249.0,208.0,221.25,2453561,2024-11-11
2024-11-18,207.27000427246094,207.27000427246094,214.9499969482422,205.0,210.3300018310547,590682,2024-11-18
2024-11-25,221.4499969482422,221.4499969482422,227.4499969482422,203.5500030517578,210.39999389648438,1654704,2024-11-25
2024-12-02,216.94000244140625,216.94000244140625,227.9499969482422,216.2100067138672,219.91000366210938,1332150,2024-12-02
2024-12-09,215.08999633789062,215.08999633789062,223.8699951171875,212.0500030517578,217.94000244140625,1338679,2024-12-09
2024-12-16,205.50999450683594,205.50999450683594,220.72999572753906,205.0,215.0,936856,2024-12-16
2024-12-23,201.61000061035156,201.61000061035156,209.9499969482422,199.80999755859375,207.85000610351562,715405,2024-12-23
2024-12-30,208.14999389648438,208.14999389648438,211.7899932861328,197.91000366210938,202.5800018310547,1486596,2024-12-30
2025-01-06,201.32000732421875,201.32000732421875,218.39999389648438,195.91000366210938,208.14999389648438,2939193,2025-01-06
2025-01-13,200.83999633789062,200.83999633789062,206.99000549316406,186.0,201.10000610351562,1446691,2025-01-13
2025-01-20,186.25,186.25,202.6999969482422,185.0500030517578,202.6999969482422,804580,2025-01-20
2025-01-27,184.63999938964844,184.63999938964844,189.32000732421875,166.66000366210938,182.16000366210938,1230249,2025-01-27
2025-02-03,179.1300048828125,179.1300048828125,184.42999267578125,175.35000610351562,183.99000549316406,519273,2025-02-03
2025-02-10,169.07000732421875,169.07000732421875,192.0,164.27000427246094,178.11000061035156,2252151,2025-02-10
2025-02-17,171.91000366210938,171.91000366210938,179.0,162.72000122070312,168.38999938964844,903176,2025-02-17
2025-02-24,153.33999633789062,153.33999633789062,171.49000549316406,151.5500030517578,170.99000549316406,579946,2025-02-24
2025-03-03,157.42999267578125,157.42999267578125,159.6699981689453,145.00999450683594,153.5,1743306,2025-03-03
2025-03-10,151.05999755859375,151.05999755859375,162.0,146.52000427246094,159.89999389648438,961295,2025-03-10
2025-03-17,163.89999389648438,163.89999389648438,164.8000030517578,148.30999755859375,154.0500030517578,1528348,2025-03-17
2025-03-24,149.05999755859375,149.05999755859375,169.35000610351562,148.10000610351562,165.85000610351562,1822285,2025-03-24
2025-03-31,145.22000122070312,145.22000122070312,156.41000366210938,143.14999389648438,149.05999755859375,1759805,2025-03-31
2025-04-07,143.66000366210938,143.66000366210938,145.75999450683594,131.30999755859375,137.97999572753906,786153,2025-04-07
2025-04-14,149.02999877929688,149.02999877929688,149.9499969482422,144.24000549316406,145.74000549316406,1480627,2025-04-14
2025-04-21,151.5800018310547,151.5800018310547,161.5399932861328,149.10000610351562,149.9600067138672,1531204,2025-04-21
2025-04-28,146.13999938964844,146.13999938964844,153.6699981689453,145.5,150.0500030517578,437829,2025-04-28
2025-05-05,137.85000610351562,137.85000610351562,149.19000244140625,135.22000122070312,148.0,648564,2025-05-05
2025-05-12,179.41000366210938,179.41000366210938,185.0,143.39999389648438,144.0,6165640,2025-05-12
2025-05-19,212.0399932861328,212.0399932861328,228.0,176.52999877929688,180.2100067138672,9441253,2025-05-19
2025-05-26,212.72000122070312,212.72000122070312,224.0,205.80999755859375,214.6999969482422,1937902,2025-05-26
2025-06-02,211.1300048828125,211.1300048828125,217.39999389648438,202.5,217.39999389648438,1503818,2025-06-02
2025-06-09,207.85000610351562,207.85000610351562,232.5,202.60000610351562,214.0,3761170,2025-06-09
2025-06-16,189.60000610351562,189.60000610351562,212.0,182.0,205.5500030517578,743047,2025-06-16
2025-06-23,201.50999450683594,201.50999450683594,209.0,183.60000610351562,188.66000366210938,445184,2025-06-23
2025-06-30,194.4600067138672,194.4600067138672,204.0,191.0,202.0,211405,2025-06-30
2025-07-07,186.3800048828125,186.3800048828125,195.0,184.8000030517578,192.0,231198,2025-07-07
2025-07-14,187.52999877929688,187.52999877929688,195.0,186.0,187.60000610351562,94046,2025-07-14
