Date,Adj Close_GLOBUSSPR.NS,Close_GLOBUSSPR.NS,High_GLOBUSSPR.NS,Low_GLOBUSSPR.NS,Open_GLOBUSSPR.NS,Volume_GLOBUSSPR.NS,Date
2020-11-09,324.32366943359375,328.75,345.04998779296875,307.1000061035156,309.45001220703125,1478362,2020-11-09
2020-11-16,308.68707275390625,312.8999938964844,331.8999938964844,305.04998779296875,323.79998779296875,543298,2020-11-16
2020-11-23,306.76336669921875,310.95001220703125,319.0,308.5,316.0,421605,2020-11-23
2020-11-30,335.7181701660156,340.29998779296875,350.0,303.29998779296875,310.95001220703125,1327029,2020-11-30
2020-12-07,324.7182922363281,329.1499938964844,344.79998779296875,300.79998779296875,339.0,649867,2020-12-07
2020-12-14,318.3058166503906,322.6499938964844,339.75,310.1000061035156,333.70001220703125,457267,2020-12-14
2020-12-21,307.4045715332031,311.6000061035156,327.1000061035156,275.0,324.0,455807,2020-12-21
2020-12-28,316.332763671875,320.6499938964844,330.0,305.0,313.8500061035156,548500,2020-12-28
2021-01-04,369.1617431640625,374.20001220703125,412.95001220703125,313.3999938964844,325.70001220703125,3611297,2021-01-04
2021-01-11,372.76263427734375,377.8500061035156,396.0,359.29998779296875,373.79998779296875,1956790,2021-01-11
2021-01-18,366.0541687011719,371.04998779296875,398.8999938964844,365.0,376.0,1164227,2021-01-18
2021-01-25,362.1573486328125,367.1000061035156,381.45001220703125,353.0,371.04998779296875,483912,2021-01-25
2021-02-01,381.6907653808594,386.8999938964844,406.79998779296875,363.1000061035156,366.8999938964844,1106178,2021-02-01
2021-02-08,382.4306640625,387.6499938964844,422.25,386.1000061035156,390.3999938964844,1776964,2021-02-08
2021-02-15,361.2695007324219,366.20001220703125,397.29998779296875,362.0,388.45001220703125,683262,2021-02-15
2021-02-22,346.3727722167969,351.1000061035156,373.0,350.04998779296875,365.0,567857,2021-02-22
2021-03-01,329.8976135253906,334.3999938964844,356.0,323.25,352.0,1102986,2021-03-01
2021-03-08,317.86187744140625,322.20001220703125,341.29998779296875,320.0,336.79998779296875,367129,2021-03-08
2021-03-15,319.19366455078125,323.54998779296875,341.95001220703125,293.8500061035156,324.79998779296875,610788,2021-03-15
2021-03-22,314.3596496582031,318.6499938964844,345.0,312.3999938964844,320.0,758174,2021-03-22
2021-03-29,326.59271240234375,331.04998779296875,340.45001220703125,311.20001220703125,318.6499938964844,329315,2021-03-29
2021-04-05,329.7003173828125,334.20001220703125,344.95001220703125,318.04998779296875,332.6499938964844,808087,2021-04-05
2021-04-12,311.1040954589844,315.3500061035156,330.1000061035156,304.54998779296875,330.0,285448,2021-04-12
2021-04-19,305.57952880859375,309.75,319.0,300.0,310.0,215334,2021-04-19
2021-04-26,316.332763671875,320.6499938964844,335.0,309.75,318.0,436124,2021-04-26
2021-05-03,312.92919921875,317.20001220703125,337.3999938964844,310.04998779296875,319.20001220703125,793684,2021-05-03
2021-05-10,306.5660400390625,310.75,320.5,306.25,320.0,435395,2021-05-10
2021-05-17,318.9470520019531,323.29998779296875,331.0,312.0,316.95001220703125,624199,2021-05-17
2021-05-24,333.44915771484375,338.0,354.6499938964844,323.25,325.6000061035156,3472207,2021-05-24
2021-05-31,346.9646911621094,351.70001220703125,359.95001220703125,319.0,339.5,2936886,2021-05-31
2021-06-07,384.45306396484375,389.70001220703125,393.75,352.0,358.70001220703125,4554111,2021-06-07
2021-06-14,575.7916870117188,583.6500244140625,583.6500244140625,378.29998779296875,391.95001220703125,19160978,2021-06-14
2021-06-21,577.962158203125,585.8499755859375,633.9000244140625,531.25,575.0,5683614,2021-06-21
2021-06-28,736.7943115234375,746.8499755859375,747.5999755859375,591.0,591.0,1322714,2021-06-28
2021-07-05,690.2791748046875,699.7000122070312,774.9500122070312,684.4000244140625,774.9500122070312,639429,2021-07-05
2021-07-12,666.2077026367188,675.2999877929688,715.0,665.0,699.7000122070312,324847,2021-07-12
2021-07-19,695.7544555664062,705.25,705.25,650.0,675.2999877929688,285822,2021-07-19
2021-07-26,721.6017456054688,731.4500122070312,760.0,705.0,740.5,526671,2021-07-26
2021-08-02,729.148681640625,739.0999755859375,767.0,687.0499877929688,720.0,450486,2021-08-02
2021-08-09,928.330322265625,941.0,941.0,774.0999755859375,776.0499877929688,1650824,2021-08-09
2021-08-16,908.1556396484375,920.5499877929688,988.0,893.9500122070312,988.0,629417,2021-08-16
2021-08-23,900.460693359375,912.75,949.0,855.0,928.0,372253,2021-08-23
2021-08-30,1035.71484375,1049.8499755859375,1100.0,930.0,931.0499877929688,599930,2021-08-30
2021-09-06,1139.4490966796875,1155.0,1155.0,1010.0,1051.0,307482,2021-09-06
2021-09-13,1293.1512451171875,1310.800048828125,1354.0,1162.8499755859375,1200.0,777703,2021-09-13
2021-09-20,1372.401123046875,1389.050048828125,1450.1500244140625,1215.0,1325.0,692470,2021-09-20
2021-09-27,1320.3822021484375,1336.4000244140625,1391.4000244140625,1265.0,1389.0,435889,2021-09-27
2021-10-04,1436.8690185546875,1454.300048828125,1458.449951171875,1336.5,1375.0,429644,2021-10-04
2021-10-11,1437.363037109375,1454.800048828125,1513.800048828125,1414.8499755859375,1449.0,459279,2021-10-11
2021-10-18,1179.8370361328125,1194.1500244140625,1481.8499755859375,1187.5,1454.800048828125,1249457,2021-10-18
2021-10-25,1236.252685546875,1251.25,1313.199951171875,1120.0,1194.0,837365,2021-10-25
2021-11-01,1255.469482421875,1270.699951171875,1304.4000244140625,1211.75,1260.0999755859375,258235,2021-11-01
2021-11-08,1196.6827392578125,1211.199951171875,1285.0,1147.5,1277.0,700010,2021-11-08
2021-11-15,1203.8458251953125,1218.449951171875,1290.0,1115.0,1190.0,1192636,2021-11-15
2021-11-22,1138.982666015625,1152.800048828125,1265.25,1103.199951171875,1210.0,1042887,2021-11-22
2021-11-29,1182.2083740234375,1196.550048828125,1196.550048828125,1066.25,1140.0,483838,2021-11-29
2021-12-06,1311.737060546875,1327.6500244140625,1412.550048828125,1155.6500244140625,1256.3499755859375,2477554,2021-12-06
2021-12-13,1231.26318359375,1246.199951171875,1395.0,1226.9000244140625,1395.0,662072,2021-12-13
2021-12-20,1227.409912109375,1242.300048828125,1299.9000244140625,1147.0,1185.0,807204,2021-12-20
2021-12-27,1266.73291015625,1282.0999755859375,1299.0,1206.0,1242.75,505794,2021-12-27
2022-01-03,1467.942138671875,1485.75,1584.9000244140625,1282.0999755859375,1285.0,2622679,2022-01-03
2022-01-10,1698.890380859375,1719.5,1759.5,1481.0,1505.0,1883651,2022-01-10
2022-01-17,1595.297119140625,1614.6500244140625,1747.1500244140625,1578.0,1735.0,1014931,2022-01-17
2022-01-24,1498.372802734375,1516.550048828125,1614.6500244140625,1395.0,1614.6500244140625,845357,2022-01-24
2022-01-31,1486.71435546875,1504.75,1587.699951171875,1478.0,1547.699951171875,449614,2022-01-31
2022-02-07,1343.15576171875,1359.449951171875,1519.8499755859375,1320.25,1504.75,958222,2022-02-07
2022-02-14,1239.364990234375,1254.4000244140625,1319.0,1087.5999755859375,1111.0,1876367,2022-02-14
2022-02-21,1346.5150146484375,1362.8499755859375,1385.0,1164.0,1250.0,1631522,2022-02-21
2022-02-28,1364.3980712890625,1380.949951171875,1455.0,1313.75,1344.0,952961,2022-02-28
2022-03-07,1347.9970703125,1364.3499755859375,1466.199951171875,1266.0,1360.0,862484,2022-03-07
2022-03-14,1340.9327392578125,1357.199951171875,1415.050048828125,1335.1500244140625,1377.300048828125,509490,2022-03-14
2022-03-21,1466.855224609375,1484.6500244140625,1544.0,1379.1500244140625,1379.1500244140625,1664336,2022-03-21
2022-03-28,1552.713623046875,1571.550048828125,1616.25,1490.0,1494.0,980234,2022-03-28
2022-04-04,1517.2933349609375,1535.699951171875,1641.4000244140625,1506.0,1584.800048828125,780180,2022-04-04
2022-04-11,1446.45263671875,1464.0,1564.0,1450.0,1540.0,410141,2022-04-11
2022-04-18,1388.7525634765625,1405.5999755859375,1469.0,1359.3499755859375,1445.0,670398,2022-04-18
2022-04-25,1314.50341796875,1330.449951171875,1397.0,1300.0999755859375,1397.0,521686,2022-04-25
2022-05-02,1293.2611083984375,1308.949951171875,1445.0,1285.199951171875,1310.0,751147,2022-05-02
2022-05-09,1195.3984375,1209.9000244140625,1334.6500244140625,1132.25,1300.0,741638,2022-05-09
2022-05-16,1284.0726318359375,1299.6500244140625,1308.0,1185.0999755859375,1232.300048828125,506374,2022-05-16
2022-05-23,942.5654907226562,954.0,1324.0,838.8499755859375,1310.050048828125,3246984,2022-05-23
2022-05-30,979.0726318359375,990.9500122070312,1066.949951171875,980.0,988.0,600576,2022-05-30
2022-06-06,1002.4391479492188,1014.5999755859375,1034.0,945.0,991.0,556374,2022-06-06
2022-06-13,915.64208984375,926.75,1020.0,921.0,998.0,603631,2022-06-13
2022-06-20,912.0853271484375,923.1500244140625,930.0,849.7999877929688,926.0,478811,2022-06-20
2022-06-27,918.062744140625,929.2000122070312,975.0,909.0999755859375,936.0,409078,2022-06-27
2022-07-04,953.97705078125,965.5499877929688,999.9000244140625,923.2999877929688,939.0,401883,2022-07-04
2022-07-11,994.880859375,1006.9500122070312,1050.0,957.0499877929688,964.4000244140625,532318,2022-07-11
2022-07-18,1045.26953125,1057.949951171875,1084.25,1000.5499877929688,1018.0,430249,2022-07-18
2022-07-25,1043.0465087890625,1055.699951171875,1079.0,1025.25,1059.75,434357,2022-07-25
2022-08-01,1022.1007080078125,1034.5,1094.0,1030.0,1068.9000244140625,490754,2022-08-01
2022-08-08,897.7590942382812,908.6500244140625,1051.0,895.0,1034.5,905792,2022-08-08
2022-08-15,896.7216186523438,907.5999755859375,926.0,890.0,908.6500244140625,451318,2022-08-15
2022-08-22,883.9762573242188,894.7000122070312,920.7999877929688,876.9500122070312,900.0,573645,2022-08-22
2022-08-29,863.6231689453125,874.0999755859375,905.9000244140625,848.1500244140625,890.0,489705,2022-08-29
2022-09-05,875.6275024414062,886.25,924.0,854.9000244140625,888.0,989182,2022-09-05
2022-09-12,857.2998657226562,867.7000122070312,910.0,856.0999755859375,894.25,614958,2022-09-12
2022-09-19,863.2967529296875,870.7999877929688,918.2000122070312,838.2000122070312,867.9000244140625,1105255,2022-09-19
2022-09-26,847.6824340820312,855.0499877929688,874.9000244140625,825.3499755859375,865.0,442989,2022-09-26
2022-10-03,846.0467529296875,853.4000244140625,869.0,833.0499877929688,854.0,238682,2022-10-03
2022-10-10,824.9797973632812,832.1500244140625,854.0,823.7999877929688,846.0,287765,2022-10-10
2022-10-17,801.037841796875,808.0,843.9500122070312,805.0,830.0,258268,2022-10-17
2022-10-24,765.4472045898438,772.0999755859375,815.0,770.0,811.4000244140625,319369,2022-10-24
2022-10-31,781.507568359375,788.2999877929688,830.25,771.4000244140625,777.7000122070312,468216,2022-10-31
2022-11-07,770.8502197265625,777.5499877929688,803.0,770.8499755859375,793.7999877929688,175993,2022-11-07
2022-11-14,733.425537109375,739.7999877929688,819.0,721.5,775.0,1005004,2022-11-14
2022-11-21,790.6283569335938,797.5,839.75,739.7999877929688,746.9000244140625,1043494,2022-11-21
2022-11-28,881.2408447265625,888.9000244140625,896.0,780.0,797.0,981321,2022-11-28
2022-12-05,896.6072998046875,904.4000244140625,913.5999755859375,873.0,892.7000122070312,653724,2022-12-05
2022-12-12,893.2861328125,901.0499877929688,949.0,890.0,906.0,612082,2022-12-12
2022-12-19,782.7964477539062,789.5999755859375,923.4500122070312,783.0,896.2999877929688,472172,2022-12-19
2022-12-26,832.8612670898438,840.0999755859375,863.9500122070312,782.5,792.2000122070312,336291,2022-12-26
2023-01-02,825.5250854492188,832.7000122070312,860.0,819.0999755859375,840.0999755859375,310460,2023-01-02
2023-01-09,821.5595092773438,828.7000122070312,846.0,812.0,833.0999755859375,174799,2023-01-09
2023-01-16,795.9321899414062,802.8499755859375,834.6500244140625,795.0,828.7000122070312,226813,2023-01-16
2023-01-23,798.4107055664062,805.3499755859375,854.5999755859375,797.7999877929688,807.0,306046,2023-01-23
2023-01-30,766.4385986328125,773.0999755859375,825.0,762.0499877929688,785.0,644574,2023-01-30
2023-02-06,790.7274780273438,797.5999755859375,817.0499877929688,764.0,772.9500122070312,405515,2023-02-06
2023-02-13,765.0506591796875,771.7000122070312,804.25,739.0,804.25,357787,2023-02-13
2023-02-20,853.8290405273438,861.25,872.1500244140625,761.2000122070312,771.7000122070312,655947,2023-02-20
2023-02-27,826.16943359375,833.3499755859375,896.0,821.1500244140625,868.0,703439,2023-02-27
2023-03-06,816.7512817382812,823.8499755859375,865.5,817.0999755859375,839.25,268849,2023-03-06
2023-03-13,789.0917358398438,795.9500122070312,844.2000122070312,789.0,821.0,537514,2023-03-13
2023-03-20,759.2015380859375,765.7999877929688,803.0,760.0,792.0,354439,2023-03-20
2023-03-27,769.9083862304688,776.5999755859375,804.9000244140625,755.0499877929688,767.0,525313,2023-03-27
2023-04-03,848.1781616210938,855.5499877929688,862.4500122070312,779.75,781.9500122070312,295738,2023-04-03
2023-04-10,870.5338745117188,878.0999755859375,886.9500122070312,842.4500122070312,855.5999755859375,336777,2023-04-10
2023-04-17,845.5014038085938,852.8499755859375,902.0,850.0,869.5999755859375,248130,2023-04-17
2023-04-24,875.7386474609375,883.3499755859375,899.3499755859375,852.8499755859375,853.0,265749,2023-04-24
2023-05-01,853.1846313476562,860.5999755859375,887.9500122070312,856.0,883.3499755859375,195836,2023-05-01
2023-05-08,880.1502685546875,887.7999877929688,900.3499755859375,844.0499877929688,860.9500122070312,282591,2023-05-08
2023-05-15,1009.8232421875,1018.5999755859375,1033.449951171875,876.5999755859375,895.0,2400843,2023-05-15
2023-05-22,1017.2091064453125,1026.050048828125,1055.0,961.5499877929688,1020.0,920307,2023-05-22
2023-05-29,1096.27197265625,1105.800048828125,1115.75,1000.0,1035.0,1126357,2023-05-29
2023-06-05,1206.464111328125,1216.949951171875,1243.4000244140625,1083.800048828125,1120.050048828125,1477394,2023-06-05
2023-06-12,1229.01806640625,1239.699951171875,1283.699951171875,1202.300048828125,1225.050048828125,986287,2023-06-12
2023-06-19,1261.0894775390625,1272.050048828125,1305.0,1220.0,1239.699951171875,1598628,2023-06-19
2023-06-26,1249.0440673828125,1259.9000244140625,1313.9000244140625,1255.0,1269.949951171875,695640,2023-06-26
2023-07-03,1239.2293701171875,1250.0,1327.699951171875,1241.0999755859375,1260.0,849881,2023-07-03
2023-07-10,1237.7423095703125,1248.5,1284.0,1224.1500244140625,1249.0,488010,2023-07-10
2023-07-17,1187.30810546875,1191.8499755859375,1270.050048828125,1172.9000244140625,1250.0,624769,2023-07-17
2023-07-24,971.2346801757812,974.9500122070312,1203.6500244140625,972.0499877929688,1195.0,1641525,2023-07-24
2023-07-31,957.736328125,961.4000244140625,1004.9500122070312,948.5499877929688,976.8499755859375,1333779,2023-07-31
2023-08-07,1052.8724365234375,1056.9000244140625,1090.0,990.0,990.0,1390369,2023-08-07
2023-08-14,922.22216796875,925.75,1064.0,915.0,1064.0,2046120,2023-08-14
2023-08-21,918.2374267578125,921.75,969.3499755859375,899.4000244140625,934.9500122070312,999402,2023-08-21
2023-08-28,888.9993286132812,892.4000244140625,929.8499755859375,880.3499755859375,926.0,874636,2023-08-28
2023-09-04,897.0684204101562,900.5,954.9500122070312,895.0999755859375,902.0,1275016,2023-09-04
2023-09-11,929.2453002929688,932.7999877929688,949.5499877929688,892.5,912.0,1135148,2023-09-11
2023-09-18,868.2785034179688,871.5999755859375,935.9500122070312,867.5999755859375,927.0,823237,2023-09-18
2023-09-25,874.3552856445312,877.7000122070312,893.6500244140625,864.0,881.9000244140625,624388,2023-09-25
2023-10-02,847.6076049804688,850.8499755859375,894.0,848.0999755859375,877.7000122070312,689615,2023-10-02
2023-10-09,847.0596923828125,850.2999877929688,876.5,836.75,854.4000244140625,659290,2023-10-09
2023-10-16,824.5458374023438,827.7000122070312,860.7000122070312,824.0,853.0,438046,2023-10-16
2023-10-23,803.8251342773438,806.9000244140625,834.1500244140625,759.5,830.0,423955,2023-10-23
2023-10-30,827.932861328125,831.0999755859375,838.7999877929688,799.8499755859375,808.5999755859375,324565,2023-10-30
2023-11-06,806.7638549804688,809.8499755859375,866.0,800.0,850.9500122070312,677963,2023-11-06
2023-11-13,817.622314453125,820.75,835.7999877929688,810.0,815.0,217452,2023-11-13
2023-11-20,839.6380615234375,842.8499755859375,863.7000122070312,819.0,820.75,439014,2023-11-20
2023-11-27,834.6571044921875,837.8499755859375,850.0,828.7000122070312,842.8499755859375,176238,2023-11-27
2023-12-04,880.7308959960938,884.0999755859375,935.0,832.0499877929688,849.5,2450217,2023-12-04
2023-12-11,845.4658203125,848.7000122070312,912.0,846.5,892.0,723068,2023-12-11
2023-12-18,849.6498413085938,852.9000244140625,878.0,830.0499877929688,854.0,669050,2023-12-18
2023-12-25,870.0717163085938,873.4000244140625,886.5499877929688,852.9000244140625,852.9000244140625,570331,2023-12-25
2024-01-01,877.2940673828125,880.6500244140625,911.5,862.4500122070312,875.0,1072076,2024-01-01
2024-01-08,817.8215942382812,820.9500122070312,884.9500122070312,814.75,883.0,967813,2024-01-08
2024-01-15,822.902099609375,826.0499877929688,838.9500122070312,810.0,825.0,395022,2024-01-15
2024-01-22,808.0090942382812,811.0999755859375,828.9500122070312,794.5499877929688,826.0499877929688,269578,2024-01-22
2024-01-29,801.5338134765625,804.5999755859375,819.6500244140625,797.6500244140625,811.9000244140625,415714,2024-01-29
2024-02-05,853.7341918945312,857.0,883.9500122070312,786.0,800.0499877929688,2107020,2024-02-05
2024-02-12,805.5186157226562,808.5999755859375,869.0,790.0,869.0,882940,2024-02-12
2024-02-19,792.119873046875,795.1500244140625,813.5,786.2000122070312,813.0,472202,2024-02-19
2024-02-26,783.5526123046875,786.5499877929688,802.6500244140625,775.0,800.0,314106,2024-02-26
2024-03-04,764.8242797851562,767.75,790.0,760.3499755859375,786.0,295945,2024-03-04
2024-03-11,729.9576416015625,732.75,772.5,711.75,765.0999755859375,663479,2024-03-11
2024-03-18,711.5779418945312,714.2999877929688,739.9500122070312,701.0,736.0,538117,2024-03-18
2024-03-25,662.9639282226562,665.5,716.9500122070312,661.2999877929688,714.2999877929688,1251182,2024-03-25
2024-04-01,802.8787231445312,805.9500122070312,815.5999755859375,683.1500244140625,688.0,1647650,2024-04-01
2024-04-08,792.7673950195312,795.7999877929688,819.0,782.0999755859375,814.0,362829,2024-04-08
2024-04-15,766.1193237304688,769.0499877929688,780.4500122070312,736.0499877929688,770.0,359575,2024-04-15
2024-04-22,791.920654296875,794.9500122070312,808.7000122070312,774.6500244140625,775.0,348216,2024-04-22
2024-04-29,776.0812377929688,779.0499877929688,801.2999877929688,774.0999755859375,800.0,190326,2024-04-29
2024-05-06,764.2763671875,767.2000122070312,789.0,763.2000122070312,776.0,264713,2024-05-06
2024-05-13,764.6748046875,767.5999755859375,771.2000122070312,737.5999755859375,763.2000122070312,238203,2024-05-13
2024-05-20,779.9663696289062,782.9500122070312,800.0,763.7999877929688,763.7999877929688,270857,2024-05-20
2024-05-27,699.6734619140625,702.3499755859375,791.25,685.0,787.25,475725,2024-05-27
2024-06-03,739.5709228515625,742.4000244140625,745.0,670.0,711.0999755859375,496047,2024-06-03
2024-06-10,795.3574829101562,798.4000244140625,849.0,750.0499877929688,757.0,1398944,2024-06-10
2024-06-17,782.2078247070312,785.2000122070312,815.0,771.9000244140625,798.4000244140625,490310,2024-06-17
2024-06-24,763.4794311523438,766.4000244140625,798.0,762.5499877929688,789.0,357650,2024-06-24
2024-07-01,815.9287719726562,819.0499877929688,863.9500122070312,769.0499877929688,774.0,1799232,2024-07-01
2024-07-08,844.2205810546875,847.4500122070312,879.0,814.8499755859375,816.0,1200562,2024-07-08
2024-07-15,831.8677978515625,835.0499877929688,869.0,833.2999877929688,847.5,429368,2024-07-15
2024-07-22,876.248046875,879.5999755859375,926.7000122070312,803.0,820.0,1587107,2024-07-22
2024-07-29,976.3650512695312,980.0999755859375,999.0,872.1500244140625,884.4500122070312,1998867,2024-07-29
2024-08-05,941.3988037109375,945.0,962.4500122070312,897.0,958.0499877929688,1090518,2024-08-05
2024-08-12,851.2935180664062,854.5499877929688,955.0,841.9500122070312,945.0,1069244,2024-08-12
2024-08-19,902.9459228515625,906.4000244140625,926.9500122070312,855.9500122070312,859.0,503075,2024-08-19
2024-08-26,1072.199951171875,1072.199951171875,1080.0999755859375,879.5999755859375,906.4000244140625,5832120,2024-08-26
2024-09-02,1087.449951171875,1087.449951171875,1164.0,1003.2999877929688,1050.0,5150713,2024-09-02
2024-09-09,1217.199951171875,1217.199951171875,1288.4000244140625,1065.050048828125,1087.449951171875,3579908,2024-09-09
2024-09-16,1289.300048828125,1289.300048828125,1369.75,1212.0999755859375,1212.0999755859375,3878833,2024-09-16
2024-09-23,1255.949951171875,1255.949951171875,1349.9000244140625,1199.800048828125,1301.3499755859375,1684881,2024-09-23
2024-09-30,1174.6500244140625,1174.6500244140625,1280.0,1148.5,1230.1500244140625,802860,2024-09-30
2024-10-07,1109.5999755859375,1109.5999755859375,1195.800048828125,1092.0,1179.0,779469,2024-10-07
2024-10-14,1089.1500244140625,1089.1500244140625,1134.800048828125,1061.5999755859375,1106.0,461095,2024-10-14
2024-10-21,993.2000122070312,993.2000122070312,1125.0,977.1500244140625,1096.0,702619,2024-10-21
2024-10-28,1072.8499755859375,1072.8499755859375,1089.800048828125,980.0,980.0,464019,2024-10-28
2024-11-04,1092.4000244140625,1092.4000244140625,1129.0,1016.2999877929688,1085.0,914067,2024-11-04
2024-11-11,837.9000244140625,837.9000244140625,1105.1500244140625,831.5,1082.0,1687813,2024-11-11
2024-11-18,814.5499877929688,814.5499877929688,850.1500244140625,804.6500244140625,837.9000244140625,896806,2024-11-18
2024-11-25,883.7000122070312,883.7000122070312,888.7999877929688,810.0,818.0,709643,2024-11-25
2024-12-02,907.25,907.25,928.9500122070312,868.5499877929688,883.9500122070312,681817,2024-12-02
2024-12-09,875.9000244140625,875.9000244140625,925.0,859.0,901.0999755859375,653920,2024-12-09
2024-12-16,879.0999755859375,879.0999755859375,929.7000122070312,867.7000122070312,884.8499755859375,686818,2024-12-16
2024-12-23,879.5999755859375,879.5999755859375,910.0999755859375,862.7999877929688,897.0,299497,2024-12-23
2024-12-30,888.9000244140625,888.9000244140625,909.0,865.0999755859375,879.5999755859375,237494,2024-12-30
2025-01-06,799.25,799.25,895.0,795.0,895.0,371698,2025-01-06
2025-01-13,796.1500244140625,796.1500244140625,811.4000244140625,751.0,790.2999877929688,335229,2025-01-13
2025-01-20,852.4500122070312,852.4500122070312,955.3499755859375,843.2999877929688,910.0,3782505,2025-01-20
2025-01-27,931.7000122070312,931.7000122070312,950.0,783.7000122070312,845.5,995232,2025-01-27
2025-02-03,946.3499755859375,946.3499755859375,980.0,913.0499877929688,934.9000244140625,633078,2025-02-03
2025-02-10,857.4500122070312,857.4500122070312,976.7999877929688,819.5999755859375,953.25,779739,2025-02-10
2025-02-17,857.2999877929688,857.2999877929688,890.0,800.0,860.0,432214,2025-02-17
2025-02-24,865.5499877929688,865.5499877929688,877.5499877929688,831.5499877929688,857.0,256730,2025-02-24
2025-03-03,980.8499755859375,980.8499755859375,989.7999877929688,842.7999877929688,870.0,573650,2025-03-03
2025-03-10,881.2000122070312,881.2000122070312,1019.9000244140625,866.9000244140625,1019.9000244140625,390649,2025-03-10
2025-03-17,1009.0,1009.0,1019.7999877929688,871.9000244140625,875.25,476906,2025-03-17
2025-03-24,1052.0999755859375,1052.0999755859375,1096.3499755859375,1020.0,1020.0,549218,2025-03-24
2025-03-31,1055.699951171875,1055.699951171875,1114.449951171875,1033.1500244140625,1052.0999755859375,378557,2025-03-31
2025-04-07,1013.5,1013.5,1034.0,900.0499877929688,900.0499877929688,319097,2025-04-07
2025-04-14,1068.4000244140625,1068.4000244140625,1105.0,1026.199951171875,1030.9000244140625,252752,2025-04-14
2025-04-21,1063.300048828125,1063.300048828125,1110.9000244140625,1025.9000244140625,1068.9000244140625,651299,2025-04-21
2025-04-28,1030.300048828125,1030.300048828125,1070.300048828125,1026.0,1049.5,220273,2025-04-28
2025-05-05,944.2000122070312,944.2000122070312,1049.9000244140625,924.0,1020.0,307327,2025-05-05
2025-05-12,1086.800048828125,1086.800048828125,1122.800048828125,984.7000122070312,990.0,385548,2025-05-12
2025-05-19,1017.7999877929688,1017.7999877929688,1140.0,1008.0999755859375,1087.0999755859375,806100,2025-05-19
2025-05-26,949.0,949.0,1028.5,942.0,1020.0,499114,2025-05-26
2025-06-02,995.9000244140625,995.9000244140625,1023.8499755859375,945.0,949.9000244140625,465217,2025-06-02
2025-06-09,961.8499755859375,961.8499755859375,1031.0,944.0999755859375,1000.0,411886,2025-06-09
2025-06-16,944.1500244140625,944.1500244140625,986.4000244140625,920.5499877929688,958.0,374869,2025-06-16
2025-06-23,953.3499755859375,953.3499755859375,975.5,930.5,930.5,233352,2025-06-23
2025-06-30,953.5,953.5,988.0,938.0,961.0,404711,2025-06-30
2025-07-07,1008.0,1008.0,1026.0,938.3499755859375,957.9000244140625,745539,2025-07-07
2025-07-14,1031.0,1031.0,1054.800048828125,1006.3499755859375,1008.9500122070312,254437,2025-07-14
