Date,Adj Close_YATRA.NS,Close_YATRA.NS,High_YATRA.NS,Low_YATRA.NS,Open_YATRA.NS,Volume_YATRA.NS,Date
2025-01-20,104.0199966430664,104.0199966430664,108.5999984741211,101.1500015258789,106.97000122070312,689099,2025-01-20
2025-01-27,95.37000274658203,95.37000274658203,103.58999633789062,92.20999908447266,102.55000305175781,906672,2025-01-27
2025-02-03,93.20999908447266,93.20999908447266,97.48999786376953,92.25,95.73999786376953,689696,2025-02-03
2025-02-10,84.79000091552734,84.79000091552734,99.19999694824219,79.0,94.69000244140625,2892627,2025-02-10
2025-02-17,77.80000305175781,77.80000305175781,84.0,75.66000366210938,83.5,2190268,2025-02-17
2025-02-24,70.19999694824219,70.19999694824219,78.38999938964844,69.0,78.19000244140625,898224,2025-02-24
2025-03-03,71.55999755859375,71.55999755859375,74.83000183105469,66.61000061035156,71.30000305175781,1521896,2025-03-03
2025-03-10,70.11000061035156,70.11000061035156,73.26000213623047,65.51000213623047,73.26000213623047,1644444,2025-03-10
2025-03-17,79.06999969482422,79.06999969482422,81.77999877929688,68.68000030517578,70.0999984741211,1488837,2025-03-17
2025-03-24,85.4800033569336,85.4800033569336,87.72000122070312,77.05000305175781,79.1500015258789,3443446,2025-03-24
2025-03-31,85.55999755859375,85.55999755859375,91.0,83.5,85.4800033569336,1609504,2025-03-31
2025-04-07,78.58999633789062,78.58999633789062,82.80000305175781,75.0,75.0,1101128,2025-04-07
2025-04-14,85.54000091552734,85.54000091552734,87.83000183105469,79.4000015258789,79.4000015258789,969940,2025-04-14
2025-04-21,86.11000061035156,86.11000061035156,91.62999725341797,83.01000213623047,87.25,1425042,2025-04-21
2025-04-28,83.02999877929688,83.02999877929688,87.83999633789062,82.0999984741211,85.01000213623047,467245,2025-04-28
2025-05-05,78.4000015258789,78.4000015258789,84.48999786376953,76.5999984741211,84.48999786376953,480407,2025-05-05
2025-05-12,94.56999969482422,94.56999969482422,101.5,79.98999786376953,79.98999786376953,2439515,2025-05-12
2025-05-19,101.30000305175781,101.30000305175781,107.19000244140625,94.0,94.0,1849864,2025-05-19
2025-05-26,99.91000366210938,99.91000366210938,109.0,94.30000305175781,101.30000305175781,4681255,2025-05-26
2025-06-02,95.70999908447266,95.70999908447266,103.58999633789062,94.1500015258789,100.9000015258789,1614418,2025-06-02
2025-06-09,92.75,92.75,98.41999816894531,92.30000305175781,97.62000274658203,846757,2025-06-09
2025-06-16,87.2300033569336,87.2300033569336,94.13999938964844,86.0,91.91000366210938,847646,2025-06-16
2025-06-23,86.13999938964844,86.13999938964844,89.98999786376953,84.75,87.0,1521896,2025-06-23
2025-06-30,83.91000366210938,83.91000366210938,88.94000244140625,82.4800033569336,86.19999694824219,1286552,2025-06-30
2025-07-07,84.37000274658203,84.37000274658203,87.0,81.80000305175781,84.44999694824219,899179,2025-07-07
2025-07-14,85.30999755859375,85.30999755859375,86.47000122070312,83.94000244140625,84.37000274658203,267198,2025-07-14
