Date,Adj Close_PAVNAIND.NS,Close_PAVNAIND.NS,High_PAVNAIND.NS,Low_PAVNAIND.NS,Open_PAVNAIND.NS,Volume_PAVNAIND.NS,Date
2021-09-13,94.4446029663086,95.0,98.5,95.0,98.5,4800,2021-09-13
2021-09-20,106.02649688720703,106.6500015258789,106.6500015258789,96.0,96.0,233600,2021-09-20
2021-09-27,99.41537475585938,100.0,102.5,100.0,102.5,6400,2021-09-27
2021-10-04,104.06304931640625,104.67500305175781,107.5,97.5,97.5,16000,2021-10-04
2021-10-11,108.48703002929688,109.125,112.5,104.0,104.67500305175781,14400,2021-10-11
2021-10-18,103.3919906616211,104.0,107.0,104.0,107.0,8000,2021-10-18
2021-10-25,103.88906860351562,104.5,104.5,103.5,104.0,3200,2021-10-25
2021-11-01,102.39783477783203,103.0,103.0,103.0,103.0,1600,2021-11-01
2021-11-08,102.39783477783203,103.0,103.0,102.5,103.0,3200,2021-11-08
2021-11-15,104.38613891601562,105.0,105.0,102.0,102.0,4800,2021-11-15
2021-11-22,107.86567687988281,108.5,108.5,105.0,105.0,8000,2021-11-22
2021-11-29,107.84082794189453,108.4749984741211,108.5,108.4749984741211,108.5,3200,2021-11-29
2021-12-06,114.32768249511719,115.0,115.0,105.0,108.4749984741211,12800,2021-12-06
2021-12-13,106.87152862548828,107.5,115.0,107.5,115.0,4800,2021-12-13
2021-12-20,104.38613891601562,105.0,107.5,105.0,107.5,1600,2021-12-20
2021-12-27,104.38613891601562,105.0,105.0,105.0,105.0,1600,2021-12-27
2022-01-03,106.87152862548828,107.5,107.5,103.57499694824219,103.57499694824219,3200,2022-01-03
2022-01-10,126.75460052490234,127.5,127.5,107.5,107.5,12800,2022-01-10
2022-01-17,156.08213806152344,157.0,157.0,136.5,136.5,43200,2022-01-17
2022-01-24,139.43006896972656,140.25,149.64999389648438,140.25,149.64999389648438,4800,2022-01-24
2022-01-31,139.13180541992188,139.9499969482422,139.9499969482422,138.0,138.0,4800,2022-01-31
2022-02-07,139.13180541992188,139.9499969482422,139.9499969482422,139.9499969482422,139.9499969482422,0,2022-02-07
2022-02-14,151.6084442138672,152.5,155.0,139.9499969482422,139.9499969482422,6400,2022-02-14
2022-02-21,136.9695281982422,137.77499389648438,152.5,137.77499389648438,152.5,3200,2022-02-21
2022-02-28,136.9695281982422,137.77499389648438,137.77499389648438,137.77499389648438,137.77499389648438,0,2022-02-28
2022-03-07,136.9695281982422,137.77499389648438,137.77499389648438,137.77499389648438,137.77499389648438,1600,2022-03-07
2022-03-14,136.9695281982422,137.77499389648438,137.77499389648438,137.77499389648438,137.77499389648438,0,2022-03-14
2022-03-21,136.9695281982422,137.77499389648438,137.77499389648438,137.77499389648438,137.77499389648438,4800,2022-03-21
2022-03-28,149.12306213378906,150.0,155.0,137.77499389648438,137.77499389648438,4800,2022-03-28
2022-04-04,165.27806091308594,166.25,167.5,150.0,150.0,8000,2022-04-04
