Date,Adj Close_INSECTICID.NS,Close_INSECTICID.NS,High_INSECTICID.NS,Low_INSECTICID.NS,Open_INSECTICID.NS,Volume_INSECTICID.NS,Date
2022-04-04,419.52850341796875,426.6000061035156,428.9333190917969,415.3333435058594,421.0333251953125,137154,2022-04-04
2022-04-11,428.60882568359375,435.8333435058594,462.26666259765625,423.6333312988281,428.73333740234375,371414,2022-04-11
2022-04-18,488.8598937988281,497.1000061035156,504.8999938964844,428.0333251953125,430.0,653275,2022-04-18
2022-04-25,471.84661865234375,479.79998779296875,499.5,462.9666748046875,498.6666564941406,286220,2022-04-25
2022-05-02,475.22308349609375,483.23333740234375,493.1333312988281,466.6666564941406,481.20001220703125,190839,2022-05-02
2022-05-09,475.3214111328125,483.3333435058594,492.3666687011719,458.23333740234375,483.0666809082031,616392,2022-05-09
2022-05-16,515.2811889648438,523.9666748046875,532.4666748046875,473.3333435058594,480.6666564941406,920993,2022-05-16
2022-05-23,504.7257995605469,513.2333374023438,539.3333129882812,480.8333435058594,525.2666625976562,448325,2022-05-23
2022-05-30,509.7739562988281,518.3666381835938,542.9666748046875,508.8333435058594,515.7999877929688,192444,2022-05-30
2022-06-06,532.0977172851562,541.066650390625,550.0333251953125,504.3666687011719,520.0,255674,2022-06-06
2022-06-13,504.3651428222656,512.8666381835938,553.3333129882812,507.6666564941406,534.6666870117188,357502,2022-06-13
2022-06-20,548.0291748046875,557.2666625976562,582.6666870117188,500.0,522.0,713271,2022-06-20
2022-06-27,577.826904296875,587.566650390625,596.6666870117188,550.1333618164062,562.6666870117188,507902,2022-06-27
2022-07-04,571.3363037109375,580.9666748046875,614.0,559.3333129882812,593.3333129882812,454406,2022-07-04
2022-07-11,611.3616943359375,621.6666870117188,629.1333618164062,581.3333129882812,581.3333129882812,539099,2022-07-11
2022-07-18,651.845947265625,662.8333129882812,666.0,614.6333618164062,623.3333129882812,534867,2022-07-18
2022-07-25,676.8904418945312,688.2999877929688,699.3333129882812,642.4000244140625,667.3333129882812,684604,2022-07-25
2022-08-01,667.97412109375,679.2333374023438,696.6333618164062,650.3333129882812,691.7666625976562,235957,2022-08-01
2022-08-08,667.6790771484375,678.933349609375,711.933349609375,663.6333618164062,682.6333618164062,218483,2022-08-08
2022-08-15,664.6304321289062,675.8333129882812,710.0,665.3333129882812,678.933349609375,209245,2022-08-15
2022-08-22,668.3675537109375,679.6333618164062,698.933349609375,660.0,683.3333129882812,362706,2022-08-22
2022-08-29,652.5999145507812,663.5999755859375,683.3666381835938,661.4666748046875,670.0,136469,2022-08-29
2022-09-05,648.7318115234375,659.6666870117188,670.3666381835938,645.2666625976562,666.6666870117188,189439,2022-09-05
2022-09-12,646.5682373046875,657.4666748046875,680.6666870117188,654.066650390625,664.6666870117188,226281,2022-09-12
2022-09-19,655.9423828125,665.0,688.0,663.2333374023438,688.0,228320,2022-09-19
2022-09-26,708.6150512695312,718.4000244140625,769.7999877929688,540.066650390625,664.6666870117188,537240,2022-09-26
2022-10-03,710.3412475585938,720.1500244140625,733.0,695.0499877929688,718.4000244140625,117430,2022-10-03
2022-10-10,725.5314331054688,735.5499877929688,750.0,718.0,726.0,170691,2022-10-10
2022-10-17,715.9635620117188,725.8499755859375,753.8499755859375,710.2999877929688,737.0,232348,2022-10-17
2022-10-24,701.4638061523438,711.1500244140625,741.9500122070312,698.0,739.75,103353,2022-10-24
2022-10-31,725.186279296875,735.2000122070312,744.4000244140625,714.75,714.75,92107,2022-10-31
2022-11-07,721.43798828125,731.4000244140625,760.75,715.7000122070312,735.0,191961,2022-11-07
2022-11-14,738.6996459960938,748.9000244140625,768.5499877929688,725.0,737.0,159240,2022-11-14
2022-11-21,744.3712768554688,754.6500244140625,775.0,737.0,748.0,133089,2022-11-21
2022-11-28,736.9734497070312,747.1500244140625,792.0,740.5,766.0,233284,2022-11-28
2022-12-05,736.7268676757812,746.9000244140625,760.25,742.0,748.0,104094,2022-12-05
2022-12-12,737.5159301757812,747.7000122070312,761.0,736.0,745.0,73936,2022-12-12
2022-12-19,708.417724609375,718.2000122070312,768.0,715.0,747.0,103492,2022-12-19
2022-12-26,734.8034057617188,744.9500122070312,761.0,716.8499755859375,720.0,103960,2022-12-26
2023-01-02,717.5418090820312,727.4500122070312,743.9500122070312,709.25,738.25,94555,2023-01-02
2023-01-09,669.899658203125,679.1500244140625,744.9500122070312,671.0,731.0999755859375,56191,2023-01-09
