Date,Adj Close_ARE&M.NS,Close_ARE&M.NS,High_ARE&M.NS,Low_ARE&M.NS,Open_ARE&M.NS,Volume_ARE&M.NS,Date
2024-07-22,1673.30419921875,1680.449951171875,1690.0,1404.0,1550.0,5707874,2024-07-22
2024-07-29,1605.493896484375,1612.3499755859375,1696.75,1575.449951171875,1696.699951171875,3670113,2024-07-29
2024-08-05,1499.39697265625,1505.800048828125,1604.949951171875,1458.550048828125,1580.0,5525885,2024-08-05
2024-08-12,1554.3621826171875,1561.0,1638.949951171875,1516.199951171875,1538.0,4103722,2024-08-12
2024-08-19,1520.8553466796875,1527.3499755859375,1583.800048828125,1524.0999755859375,1574.25,1862793,2024-08-19
2024-08-26,1514.78125,1521.25,1576.800048828125,1510.050048828125,1536.800048828125,1616137,2024-08-26
2024-09-02,1411.621826171875,1417.6500244140625,1530.0,1412.5999755859375,1528.25,3468215,2024-09-02
2024-09-09,1404.552001953125,1410.550048828125,1453.0,1383.25,1417.6500244140625,2016997,2024-09-09
2024-09-16,1375.2271728515625,1381.0999755859375,1434.0,1340.0,1430.0999755859375,1887798,2024-09-16
2024-09-23,1386.230224609375,1392.1500244140625,1413.0999755859375,1317.199951171875,1401.0,3264508,2024-09-23
2024-09-30,1373.7335205078125,1379.5999755859375,1444.0,1335.0,1398.0,3797000,2024-09-30
2024-10-07,1400.91748046875,1406.9000244140625,1422.550048828125,1297.0,1382.0,3740994,2024-10-07
2024-10-14,1336.6419677734375,1342.3499755859375,1414.9000244140625,1338.699951171875,1407.0,1801399,2024-10-14
2024-10-21,1236.5196533203125,1241.800048828125,1358.0,1218.8499755859375,1356.0,2806184,2024-10-21
2024-10-28,1399.3243408203125,1405.300048828125,1422.0,1260.0,1266.6500244140625,4656008,2024-10-28
2024-11-04,1297.9073486328125,1303.449951171875,1409.0,1294.0,1409.0,2162530,2024-11-04
2024-11-11,1250.2608642578125,1255.5999755859375,1305.0,1238.0,1300.0,1716228,2024-11-11
2024-11-18,1228.25,1228.25,1278.3499755859375,1209.050048828125,1259.25,1689190,2024-11-18
2024-11-25,1280.699951171875,1280.699951171875,1285.0,1224.050048828125,1260.0,2508789,2024-11-25
2024-12-02,1330.6500244140625,1330.6500244140625,1344.949951171875,1263.0,1290.0,2210989,2024-12-02
2024-12-09,1293.699951171875,1293.699951171875,1360.0,1272.550048828125,1333.0,1861750,2024-12-09
2024-12-16,1197.3499755859375,1197.3499755859375,1310.5,1185.0,1293.5,3180280,2024-12-16
2024-12-23,1219.3499755859375,1219.3499755859375,1242.0,1157.0,1217.949951171875,2606961,2024-12-23
2024-12-30,1189.9000244140625,1189.9000244140625,1231.199951171875,1177.0,1219.0,2112079,2024-12-30
2025-01-06,1079.3499755859375,1079.3499755859375,1196.949951171875,1061.5,1189.9000244140625,2704829,2025-01-06
2025-01-13,1077.699951171875,1077.699951171875,1097.8499755859375,1027.050048828125,1075.0,2807390,2025-01-13
2025-01-20,1058.25,1058.25,1118.949951171875,1053.0,1087.5,2333524,2025-01-20
2025-01-27,1077.4000244140625,1077.4000244140625,1093.949951171875,990.0,1045.0999755859375,4406498,2025-01-27
2025-02-03,1069.1500244140625,1069.1500244140625,1108.0,1049.050048828125,1080.0,2519201,2025-02-03
2025-02-10,953.8499755859375,953.8499755859375,1064.449951171875,950.0,1064.050048828125,2957879,2025-02-10
2025-02-17,1015.2000122070312,1015.2000122070312,1069.0,931.0499877929688,952.9500122070312,8763257,2025-02-17
2025-02-24,979.1500244140625,979.1500244140625,1060.0,972.7999877929688,1016.4000244140625,3879626,2025-02-24
2025-03-03,998.6500244140625,998.6500244140625,1031.0999755859375,927.0,983.0999755859375,3445829,2025-03-03
2025-03-10,961.5999755859375,961.5999755859375,1031.0,957.5999755859375,1000.1500244140625,1792414,2025-03-10
2025-03-17,1063.9000244140625,1063.9000244140625,1076.0999755859375,961.0999755859375,969.0,3617959,2025-03-17
2025-03-24,1003.2999877929688,1003.2999877929688,1109.0,1000.0499877929688,1065.0,5842592,2025-03-24
2025-03-31,991.2999877929688,991.2999877929688,1033.300048828125,978.7000122070312,1000.0,2192184,2025-03-31
2025-04-07,975.5499877929688,975.5499877929688,1005.0,832.2999877929688,832.2999877929688,2166718,2025-04-07
2025-04-14,1019.4000244140625,1019.4000244140625,1033.0,988.0,1005.0,1934277,2025-04-14
2025-04-21,989.2000122070312,989.2000122070312,1041.0,969.2000122070312,1030.0,2911354,2025-04-21
2025-04-28,964.2999877929688,964.2999877929688,1007.7000122070312,961.5,978.0,1970100,2025-04-28
2025-05-05,953.7999877929688,953.7999877929688,1004.5,908.9000244140625,974.0499877929688,4335570,2025-05-05
2025-05-12,1035.75,1035.75,1055.800048828125,981.0,984.9500122070312,3301364,2025-05-12
2025-05-19,1023.3499755859375,1023.3499755859375,1061.9000244140625,1003.4000244140625,1050.0,1981422,2025-05-19
2025-05-26,1030.75,1030.75,1094.0,1019.1500244140625,1024.0,4872243,2025-05-26
2025-06-02,1000.0999755859375,1000.0999755859375,1037.0,994.0,1035.9000244140625,2759731,2025-06-02
2025-06-09,1002.9000244140625,1002.9000244140625,1032.0,985.2000122070312,1005.0,2366189,2025-06-09
2025-06-16,970.5,970.5,1006.0,961.9000244140625,1000.0,2745674,2025-06-16
2025-06-23,962.0,962.0,986.5,959.4000244140625,966.5999755859375,2403394,2025-06-23
2025-06-30,968.25,968.25,984.0,951.5499877929688,968.9000244140625,2734367,2025-06-30
2025-07-07,978.0499877929688,978.0499877929688,996.0,956.0,970.0,3312069,2025-07-07
2025-07-14,986.0499877929688,986.0499877929688,996.8499755859375,970.5499877929688,980.0,541577,2025-07-14
