Date,Adj Close_SABTNL.NS,Close_SABTNL.NS,High_SABTNL.NS,Low_SABTNL.NS,Open_SABTNL.NS,Volume_SABTNL.NS,Date
2023-12-18,240.0,240.0,240.0,200.0,200.0,1029,2023-12-18
2023-12-25,280.0,280.0,280.0,240.0,240.0,750,2023-12-25
2024-01-01,315.0,315.0,315.0,290.0,290.0,305,2024-01-01
2024-01-08,340.0,340.0,340.0,320.0,320.0,126,2024-01-08
2024-01-15,365.0,365.0,365.0,345.0,345.0,461,2024-01-15
2024-01-22,375.0,375.0,375.0,365.0,365.0,89,2024-01-22
2024-01-29,375.0,375.0,375.0,375.0,375.0,0,2024-01-29
2024-02-05,375.0,375.0,375.0,375.0,375.0,0,2024-02-05
2024-02-12,375.0,375.0,375.0,375.0,375.0,0,2024-02-12
2024-02-19,375.0,375.0,375.0,375.0,375.0,0,2024-02-19
2024-02-26,375.0,375.0,375.0,375.0,375.0,0,2024-02-26
2024-03-04,375.0,375.0,375.0,375.0,375.0,0,2024-03-04
2024-03-11,375.0,375.0,375.0,375.0,375.0,0,2024-03-11
2024-03-18,375.0,375.0,375.0,375.0,375.0,0,2024-03-18
2024-03-25,375.0,375.0,375.0,375.0,375.0,0,2024-03-25
2024-04-01,50.04999923706055,50.04999923706055,375.0,41.25,375.0,695,2024-04-01
2024-04-08,60.75,60.75,60.75,52.54999923706055,52.54999923706055,794,2024-04-08
2024-04-15,80.9000015258789,80.9000015258789,80.9000015258789,63.75,63.75,200,2024-04-15
2024-04-22,103.0999984741211,103.0999984741211,103.0999984741211,84.9000015258789,84.9000015258789,267,2024-04-22
2024-04-29,112.5999984741211,112.5999984741211,112.5999984741211,108.25,108.25,103,2024-04-29
2024-05-06,124.1500015258789,124.1500015258789,124.1500015258789,114.8499984741211,114.8499984741211,254,2024-05-06
2024-05-13,139.60000610351562,139.60000610351562,139.60000610351562,126.5999984741211,126.5999984741211,127,2024-05-13
2024-05-20,151.0,151.0,151.0,136.89999389648438,136.89999389648438,214,2024-05-20
2024-05-27,166.60000610351562,166.60000610351562,166.60000610351562,154.0,154.0,59,2024-05-27
2024-06-03,183.8000030517578,183.8000030517578,183.8000030517578,169.89999389648438,169.89999389648438,170,2024-06-03
2024-06-10,202.89999389648438,202.89999389648438,202.89999389648438,187.47000122070312,187.47000122070312,489,2024-06-10
2024-06-17,219.60000610351562,219.60000610351562,219.60000610351562,202.89999389648438,202.89999389648438,139,2024-06-17
