Date,Adj Close_ASAL.NS,Close_ASAL.NS,High_ASAL.NS,Low_ASAL.NS,Open_ASAL.NS,Volume_ASAL.NS,Date
2022-11-28,399.5,399.5,411.95001220703125,385.54998779296875,392.70001220703125,114232,2022-11-28
2022-12-05,387.45001220703125,387.45001220703125,407.0,386.0,407.0,92322,2022-12-05
2022-12-12,381.70001220703125,381.70001220703125,396.1000061035156,346.25,393.25,100778,2022-12-12
2022-12-19,326.3999938964844,326.3999938964844,386.8999938964844,325.0,386.8999938964844,125583,2022-12-19
2022-12-26,366.54998779296875,366.54998779296875,398.3999938964844,326.3999938964844,326.3999938964844,202884,2022-12-26
2023-01-02,359.1000061035156,359.1000061035156,379.29998779296875,355.0,368.8999938964844,56819,2023-01-02
2023-01-09,353.5,353.5,366.0,342.0,364.45001220703125,86873,2023-01-09
2023-01-16,344.20001220703125,344.20001220703125,357.45001220703125,342.0,353.5,64305,2023-01-16
2023-01-23,363.0,363.0,383.0,327.29998779296875,349.8500061035156,208734,2023-01-23
2023-01-30,333.04998779296875,333.04998779296875,365.0,330.0,362.0,129214,2023-01-30
2023-02-06,325.79998779296875,325.79998779296875,337.5,316.0,333.04998779296875,109641,2023-02-06
2023-02-13,312.25,312.25,330.0,308.0,330.0,68704,2023-02-13
2023-02-20,289.3999938964844,289.3999938964844,318.5,273.0,318.29998779296875,68209,2023-02-20
2023-02-27,299.8500061035156,299.8500061035156,325.95001220703125,280.0,289.3999938964844,165721,2023-02-27
2023-03-06,298.95001220703125,298.95001220703125,309.70001220703125,293.95001220703125,309.70001220703125,62369,2023-03-06
2023-03-13,282.20001220703125,282.20001220703125,301.95001220703125,275.0,301.95001220703125,117871,2023-03-13
2023-03-20,269.6499938964844,269.6499938964844,299.3999938964844,266.3500061035156,299.3999938964844,160846,2023-03-20
2023-03-27,293.1000061035156,293.1000061035156,300.0,249.0,273.8999938964844,263348,2023-03-27
2023-04-03,326.1499938964844,326.1499938964844,355.04998779296875,288.25,300.0,837004,2023-04-03
2023-04-10,319.45001220703125,319.45001220703125,338.79998779296875,315.0,335.0,97040,2023-04-10
2023-04-17,307.20001220703125,307.20001220703125,323.0,303.25,321.0,82410,2023-04-17
2023-04-24,344.45001220703125,344.45001220703125,366.79998779296875,301.8500061035156,318.75,614422,2023-04-24
2023-05-01,328.6000061035156,328.6000061035156,345.1499938964844,322.6499938964844,344.45001220703125,129046,2023-05-01
2023-05-08,323.1499938964844,323.1499938964844,334.1000061035156,321.0,331.79998779296875,62864,2023-05-08
2023-05-15,321.79998779296875,321.79998779296875,334.5,318.75,327.6499938964844,74930,2023-05-15
2023-05-22,324.75,324.75,335.8999938964844,314.3500061035156,321.79998779296875,80441,2023-05-22
2023-05-29,318.8999938964844,318.8999938964844,329.45001220703125,313.0,329.3999938964844,83431,2023-05-29
2023-06-05,329.3500061035156,329.3500061035156,348.79998779296875,307.8500061035156,323.0,216069,2023-06-05
2023-06-12,335.8999938964844,335.8999938964844,347.04998779296875,325.8999938964844,337.0,162289,2023-06-12
2023-06-19,329.1000061035156,329.1000061035156,351.0,326.6000061035156,343.5,161565,2023-06-19
2023-06-26,375.54998779296875,375.54998779296875,398.70001220703125,325.0,330.0,1442388,2023-06-26
2023-07-03,377.1000061035156,377.1000061035156,388.79998779296875,361.6000061035156,380.8999938964844,397714,2023-07-03
2023-07-10,409.25,409.25,449.0,379.0,379.0,1330765,2023-07-10
2023-07-17,380.1499938964844,380.1499938964844,419.95001220703125,374.1000061035156,414.0,396176,2023-07-17
2023-07-24,394.8999938964844,394.8999938964844,400.0,375.0,384.54998779296875,315309,2023-07-24
2023-07-31,397.70001220703125,397.70001220703125,428.0,388.20001220703125,398.95001220703125,379799,2023-07-31
2023-08-07,387.3500061035156,387.3500061035156,409.1499938964844,380.29998779296875,398.1000061035156,142799,2023-08-07
2023-08-14,407.95001220703125,407.95001220703125,417.29998779296875,378.0,389.25,184797,2023-08-14
2023-08-21,388.8500061035156,388.8500061035156,412.04998779296875,385.25,412.04998779296875,182449,2023-08-21
2023-08-28,405.3500061035156,405.3500061035156,427.0,386.0,392.0,355528,2023-08-28
2023-09-04,447.6000061035156,447.6000061035156,481.79998779296875,403.29998779296875,408.6499938964844,1682649,2023-09-04
2023-09-11,440.6499938964844,440.6499938964844,479.0,421.6000061035156,450.1000061035156,497031,2023-09-11
2023-09-18,416.75,416.75,453.70001220703125,414.29998779296875,444.0,150460,2023-09-18
2023-09-25,421.6000061035156,421.6000061035156,429.95001220703125,413.1499938964844,421.0,145577,2023-09-25
2023-10-02,415.20001220703125,415.20001220703125,427.25,410.04998779296875,421.6000061035156,75523,2023-10-02
2023-10-09,413.0,413.0,418.95001220703125,394.6499938964844,413.04998779296875,167616,2023-10-09
2023-10-16,404.3999938964844,404.3999938964844,424.04998779296875,400.5,412.95001220703125,135827,2023-10-16
2023-10-23,394.79998779296875,394.79998779296875,420.0,373.0,406.0,146948,2023-10-23
2023-10-30,389.29998779296875,389.29998779296875,398.8999938964844,375.0,397.45001220703125,134394,2023-10-30
2023-11-06,397.25,397.25,413.0,387.0,389.29998779296875,99480,2023-11-06
2023-11-13,394.25,394.25,405.0,392.0,402.8500061035156,82132,2023-11-13
2023-11-20,445.95001220703125,445.95001220703125,469.0,392.3500061035156,394.95001220703125,811147,2023-11-20
2023-11-27,428.6000061035156,428.6000061035156,451.45001220703125,419.95001220703125,445.95001220703125,165036,2023-11-27
2023-12-04,418.25,418.25,439.0,410.0,439.0,208555,2023-12-04
2023-12-11,413.8500061035156,413.8500061035156,426.1000061035156,409.70001220703125,418.25,156327,2023-12-11
2023-12-18,415.54998779296875,415.54998779296875,433.5,396.70001220703125,413.8500061035156,206698,2023-12-18
2023-12-25,419.5,419.5,426.20001220703125,410.0,415.54998779296875,124769,2023-12-25
2024-01-01,409.6499938964844,409.6499938964844,423.1499938964844,402.3500061035156,421.6000061035156,134268,2024-01-01
2024-01-08,448.54998779296875,448.54998779296875,483.5,406.8500061035156,412.8999938964844,937559,2024-01-08
2024-01-15,454.1499938964844,454.1499938964844,463.79998779296875,411.3500061035156,440.6000061035156,350089,2024-01-15
2024-01-22,461.54998779296875,461.54998779296875,518.4500122070312,436.79998779296875,454.1499938964844,1140181,2024-01-22
2024-01-29,450.1000061035156,450.1000061035156,492.0,448.5,479.8999938964844,328459,2024-01-29
2024-02-05,648.4000244140625,648.4000244140625,720.0,440.54998779296875,456.3999938964844,4235210,2024-02-05
2024-02-12,590.5,590.5,652.9000244140625,551.0,652.0,474388,2024-02-12
2024-02-19,628.9500122070312,628.9500122070312,688.0,590.0,590.5,594459,2024-02-19
2024-02-26,632.8499755859375,632.8499755859375,636.6500244140625,560.0999755859375,632.0,299009,2024-02-26
2024-03-04,669.25,669.25,699.5999755859375,597.0,694.0,506262,2024-03-04
2024-03-11,595.7000122070312,595.7000122070312,693.0,533.0,678.0,435035,2024-03-11
2024-03-18,587.9000244140625,587.9000244140625,608.75,566.0,608.75,144787,2024-03-18
2024-03-25,573.9500122070312,573.9500122070312,608.9500122070312,565.0,587.9000244140625,129713,2024-03-25
2024-04-01,717.4000244140625,717.4000244140625,727.0,582.5499877929688,582.9000244140625,1522487,2024-04-01
2024-04-08,768.4000244140625,768.4000244140625,822.7000122070312,706.4000244140625,726.9500122070312,2705726,2024-04-08
2024-04-15,764.0,764.0,793.0,725.0,732.0999755859375,344426,2024-04-15
2024-04-22,822.6500244140625,822.6500244140625,903.7999877929688,777.2000122070312,777.2000122070312,1620432,2024-04-22
2024-04-29,870.7999877929688,870.7999877929688,920.0,802.25,828.9000244140625,566242,2024-04-29
2024-05-06,864.0499877929688,864.0499877929688,924.0,820.0,872.0,827697,2024-05-06
2024-05-13,862.9500122070312,862.9500122070312,895.8499755859375,820.0,869.8499755859375,395980,2024-05-13
2024-05-20,818.0499877929688,818.0499877929688,866.0,814.0,865.8499755859375,231991,2024-05-20
2024-05-27,866.4000244140625,866.4000244140625,956.4000244140625,815.0999755859375,825.75,2315481,2024-05-27
2024-06-03,875.5999755859375,875.5999755859375,920.0,714.0999755859375,894.9000244140625,934536,2024-06-03
2024-06-10,975.5999755859375,975.5999755859375,1008.9000244140625,862.2000122070312,882.9000244140625,1581778,2024-06-10
2024-06-17,1028.8499755859375,1028.8499755859375,1078.949951171875,975.5999755859375,975.5999755859375,691869,2024-06-17
2024-06-24,1025.949951171875,1025.949951171875,1068.0,988.8499755859375,1028.699951171875,401167,2024-06-24
2024-07-01,1037.050048828125,1037.050048828125,1094.550048828125,1013.8499755859375,1032.5999755859375,487832,2024-07-01
2024-07-08,998.75,998.75,1051.9000244140625,971.0499877929688,1051.9000244140625,247867,2024-07-08
2024-07-15,918.7000122070312,918.7000122070312,1002.0,911.0499877929688,995.75,162014,2024-07-15
2024-07-22,1001.0,1001.0,1046.25,863.0999755859375,914.9000244140625,512583,2024-07-22
2024-07-29,1004.0499877929688,1004.0499877929688,1069.9000244140625,964.0,1010.0,395888,2024-07-29
2024-08-05,845.8499755859375,845.8499755859375,1009.8499755859375,840.25,989.4500122070312,579829,2024-08-05
2024-08-12,833.7999877929688,833.7999877929688,880.0,801.0,845.0,211048,2024-08-12
2024-08-19,836.5,836.5,861.7000122070312,818.0,847.2000122070312,188571,2024-08-19
2024-08-26,831.7000122070312,831.7000122070312,907.7000122070312,813.0,843.9000244140625,455385,2024-08-26
2024-09-02,794.9500122070312,794.9500122070312,843.4000244140625,785.75,832.2999877929688,162447,2024-09-02
2024-09-09,809.9500122070312,809.9500122070312,862.2999877929688,776.0499877929688,802.7999877929688,333465,2024-09-09
2024-09-16,785.3499755859375,785.3499755859375,816.9500122070312,778.0,816.9500122070312,114856,2024-09-16
2024-09-23,745.5999755859375,745.5999755859375,798.7999877929688,738.0,791.4500122070312,138146,2024-09-23
2024-09-30,747.1500244140625,747.1500244140625,804.0,736.0499877929688,740.0,206730,2024-09-30
2024-10-07,727.5499877929688,727.5499877929688,758.0,697.0,758.0,112546,2024-10-07
2024-10-14,695.6500244140625,695.6500244140625,744.9000244140625,685.0,730.75,84686,2024-10-14
2024-10-21,700.0499877929688,700.0499877929688,735.0499877929688,675.75,695.6500244140625,172133,2024-10-21
2024-10-28,704.6500244140625,704.6500244140625,728.7000122070312,632.3499755859375,699.0,300297,2024-10-28
2024-11-04,693.0999755859375,693.0999755859375,728.7999877929688,681.7000122070312,697.0499877929688,92469,2024-11-04
2024-11-11,635.4500122070312,635.4500122070312,701.0,626.2999877929688,693.0999755859375,69257,2024-11-11
2024-11-18,632.7999877929688,632.7999877929688,656.4000244140625,618.0,628.4000244140625,49560,2024-11-18
2024-11-25,683.0,683.0,693.5999755859375,639.3499755859375,642.2999877929688,70688,2024-11-25
2024-12-02,738.2999877929688,738.2999877929688,819.5999755859375,670.0,690.0,442333,2024-12-02
2024-12-09,700.0,700.0,752.0,693.3499755859375,751.75,104321,2024-12-09
2024-12-16,666.6500244140625,666.6500244140625,715.5499877929688,665.0,693.4500122070312,80808,2024-12-16
2024-12-23,659.25,659.25,750.0,642.75,666.7000122070312,129355,2024-12-23
2024-12-30,678.3499755859375,678.3499755859375,690.0,646.9500122070312,661.0499877929688,76034,2024-12-30
2025-01-06,618.7999877929688,618.7999877929688,680.75,615.1500244140625,680.4000244140625,102425,2025-01-06
2025-01-13,637.4500122070312,637.4500122070312,674.0,585.0999755859375,617.9000244140625,111709,2025-01-13
2025-01-20,617.25,617.25,649.5499877929688,612.2000122070312,647.0,55973,2025-01-20
2025-01-27,565.1500244140625,565.1500244140625,608.0499877929688,500.75,608.0,152877,2025-01-27
2025-02-03,533.0999755859375,533.0999755859375,565.1500244140625,527.0,565.1500244140625,95386,2025-02-03
2025-02-10,467.95001220703125,467.95001220703125,532.75,465.0,532.75,113476,2025-02-10
2025-02-17,516.2000122070312,516.2000122070312,535.9500122070312,428.1000061035156,469.3500061035156,360918,2025-02-17
2025-02-24,472.1000061035156,472.1000061035156,511.1000061035156,445.1000061035156,511.1000061035156,179589,2025-02-24
2025-03-03,507.95001220703125,507.95001220703125,530.9500122070312,428.0,470.20001220703125,368962,2025-03-03
2025-03-10,446.8999938964844,446.8999938964844,509.20001220703125,442.0,506.0,157738,2025-03-10
2025-03-17,513.9000244140625,513.9000244140625,524.0,447.0,447.0,187982,2025-03-17
2025-03-24,472.8500061035156,472.8500061035156,539.4500122070312,468.20001220703125,514.6500244140625,213531,2025-03-24
2025-03-31,469.29998779296875,469.29998779296875,504.8999938964844,462.0,472.8500061035156,105537,2025-03-31
2025-04-07,469.29998779296875,469.29998779296875,479.0,395.5,395.5,171123,2025-04-07
2025-04-14,492.3999938964844,492.3999938964844,503.95001220703125,474.29998779296875,478.70001220703125,78136,2025-04-14
2025-04-21,526.0,526.0,545.0,468.25,498.8500061035156,268941,2025-04-21
2025-04-28,472.20001220703125,472.20001220703125,519.75,472.04998779296875,515.0,99652,2025-04-28
2025-05-05,458.04998779296875,458.04998779296875,483.45001220703125,437.54998779296875,478.0,80321,2025-05-05
2025-05-12,502.8999938964844,502.8999938964844,514.9500122070312,468.0,468.0,134768,2025-05-12
2025-05-19,497.1499938964844,497.1499938964844,516.7000122070312,487.54998779296875,502.8999938964844,141525,2025-05-19
2025-05-26,484.75,484.75,502.79998779296875,482.0,498.5,104839,2025-05-26
2025-06-02,506.45001220703125,506.45001220703125,511.29998779296875,477.8500061035156,484.0,171315,2025-06-02
2025-06-09,580.5999755859375,580.5999755859375,614.7999877929688,504.1499938964844,504.1499938964844,2651605,2025-06-09
2025-06-16,569.8499755859375,569.8499755859375,597.9000244140625,553.0,580.6500244140625,555319,2025-06-16
2025-06-23,571.9000244140625,571.9000244140625,614.0,560.25,569.5999755859375,635431,2025-06-23
2025-06-30,606.0499877929688,606.0499877929688,642.0,565.0999755859375,576.0,1607252,2025-06-30
2025-07-07,575.5499877929688,575.5499877929688,611.4000244140625,572.5499877929688,605.9000244140625,385186,2025-07-07
2025-07-14,580.3499755859375,580.3499755859375,593.4500122070312,568.3499755859375,575.0,144914,2025-07-14
