Date,Adj Close_MUFTI.NS,Close_MUFTI.NS,High_MUFTI.NS,Low_MUFTI.NS,Open_MUFTI.NS,Volume_MUFTI.NS,Date
2024-07-08,171.73773193359375,172.17999267578125,178.5,164.8300018310547,168.0,1030039,2024-07-08
2024-07-15,162.92044067382812,163.33999633789062,175.8000030517578,162.8000030517578,172.8000030517578,454082,2024-07-15
2024-07-22,159.9281463623047,160.33999633789062,164.9199981689453,156.41000366210938,163.33999633789062,757857,2024-07-22
2024-07-29,159.09030151367188,159.5,162.5399932861328,158.1999969482422,161.89999389648438,946562,2024-07-29
2024-08-05,182.6097412109375,183.0800018310547,192.0,152.49000549316406,155.0500030517578,7669587,2024-08-05
2024-08-12,173.1441192626953,173.58999633789062,182.72000122070312,169.30999755859375,182.5,1038170,2024-08-12
2024-08-19,208.05421447753906,208.58999633789062,213.5800018310547,173.61000061035156,173.61000061035156,5030686,2024-08-19
2024-08-26,207.86000061035156,207.86000061035156,228.0,202.5,208.9499969482422,4019669,2024-08-26
2024-09-02,200.0800018310547,200.0800018310547,211.7899932861328,196.00999450683594,210.0,1053938,2024-09-02
2024-09-09,212.64999389648438,212.64999389648438,217.8000030517578,192.66000366210938,198.27000427246094,1997496,2024-09-09
2024-09-16,198.38999938964844,198.38999938964844,215.89999389648438,194.5,215.89999389648438,813314,2024-09-16
2024-09-23,201.83999633789062,201.83999633789062,217.69000244140625,198.5,199.97999572753906,2452958,2024-09-23
2024-09-30,191.57000732421875,191.57000732421875,205.0,190.4199981689453,201.61000061035156,849837,2024-09-30
2024-10-07,197.82000732421875,197.82000732421875,201.89999389648438,178.82000732421875,191.60000610351562,921971,2024-10-07
2024-10-14,189.6199951171875,189.6199951171875,199.75,184.10000610351562,198.0,796486,2024-10-14
2024-10-21,162.80999755859375,162.80999755859375,189.6199951171875,156.47000122070312,189.6199951171875,1036787,2024-10-21
2024-10-28,190.49000549316406,190.49000549316406,197.6999969482422,163.35000610351562,164.94000244140625,2039815,2024-10-28
2024-11-04,186.6199951171875,186.6199951171875,197.97999572753906,181.80999755859375,191.5,862435,2024-11-04
2024-11-11,170.41000366210938,170.41000366210938,190.0,169.89999389648438,187.0,375547,2024-11-11
2024-11-18,169.77000427246094,169.77000427246094,174.89999389648438,166.0,172.6999969482422,683430,2024-11-18
2024-11-25,179.77999877929688,179.77999877929688,184.89999389648438,167.0,172.0,1833390,2024-11-25
2024-12-02,193.30999755859375,193.30999755859375,201.5399932861328,178.66000366210938,180.49000549316406,1616181,2024-12-02
2024-12-09,201.27000427246094,201.27000427246094,213.83999633789062,191.0,194.0,3383044,2024-12-09
2024-12-16,177.86000061035156,177.86000061035156,208.0800018310547,176.11000061035156,202.1999969482422,1754883,2024-12-16
2024-12-23,175.97000122070312,175.97000122070312,182.8000030517578,170.25,181.5,754611,2024-12-23
2024-12-30,178.5500030517578,178.5500030517578,182.99000549316406,172.5399932861328,174.10000610351562,751867,2024-12-30
2025-01-06,164.52999877929688,164.52999877929688,180.19000244140625,163.32000732421875,179.0,599316,2025-01-06
2025-01-13,158.22000122070312,158.22000122070312,165.97000122070312,155.8000030517578,162.25,740695,2025-01-13
2025-01-20,147.58999633789062,147.58999633789062,164.4499969482422,146.0500030517578,158.22000122070312,622104,2025-01-20
2025-01-27,152.6699981689453,152.6699981689453,156.4499969482422,137.1999969482422,148.35000610351562,1132545,2025-01-27
2025-02-03,140.52999877929688,140.52999877929688,152.0,138.11000061035156,152.0,720618,2025-02-03
2025-02-10,124.20999908447266,124.20999908447266,142.4199981689453,120.0,141.24000549316406,1611283,2025-02-10
2025-02-17,129.22000122070312,129.22000122070312,135.89999389648438,122.31999969482422,124.20999908447266,692592,2025-02-17
2025-02-24,122.05000305175781,122.05000305175781,130.14999389648438,118.0,129.22999572753906,530849,2025-02-24
2025-03-03,131.00999450683594,131.00999450683594,133.1999969482422,117.0,122.69999694824219,1096275,2025-03-03
2025-03-10,130.35000610351562,130.35000610351562,134.6999969482422,122.94000244140625,130.0,1268247,2025-03-10
2025-03-17,134.49000549316406,134.49000549316406,139.07000732421875,130.0,130.5,820619,2025-03-17
2025-03-24,125.19999694824219,125.19999694824219,140.0,123.87000274658203,133.3300018310547,1491904,2025-03-24
2025-03-31,126.7300033569336,126.7300033569336,130.7899932861328,121.80999755859375,125.19999694824219,687653,2025-03-31
2025-04-07,120.3499984741211,120.3499984741211,125.8499984741211,119.12000274658203,120.0,755102,2025-04-07
2025-04-14,131.9499969482422,131.9499969482422,134.85000610351562,120.3499984741211,120.3499984741211,1046973,2025-04-14
2025-04-21,132.13999938964844,132.13999938964844,144.38999938964844,129.0,132.39999389648438,1200778,2025-04-21
2025-04-28,130.5500030517578,130.5500030517578,137.5,129.41000366210938,131.00999450683594,266256,2025-04-28
2025-05-05,125.08999633789062,125.08999633789062,132.16000366210938,122.97000122070312,130.1999969482422,345420,2025-05-05
2025-05-12,137.92999267578125,137.92999267578125,140.0,128.10000610351562,128.10000610351562,358304,2025-05-12
2025-05-19,173.83999633789062,173.83999633789062,173.83999633789062,138.0,138.0,3423051,2025-05-19
2025-05-26,171.89999389648438,171.89999389648438,186.00999450683594,166.8000030517578,175.60000610351562,3572767,2025-05-26
2025-06-02,179.7100067138672,179.7100067138672,189.0,169.1999969482422,171.89999389648438,927924,2025-06-02
2025-06-09,169.77999877929688,169.77999877929688,184.5,165.0,184.35000610351562,744054,2025-06-09
2025-06-16,165.66000366210938,165.66000366210938,172.83999633789062,161.36000061035156,169.0,669874,2025-06-16
2025-06-23,165.91000366210938,165.91000366210938,170.89999389648438,159.0,168.3300018310547,1044699,2025-06-23
2025-06-30,166.7100067138672,166.7100067138672,171.47999572753906,164.25,166.89999389648438,573545,2025-06-30
2025-07-07,169.57000732421875,169.57000732421875,175.5500030517578,163.2100067138672,166.7100067138672,727030,2025-07-07
2025-07-14,167.1199951171875,167.1199951171875,172.0,166.52000427246094,169.5800018310547,342179,2025-07-14
