Date,Adj Close_CARYSIL.NS,Close_CARYSIL.NS,High_CARYSIL.NS,Low_CARYSIL.NS,Open_CARYSIL.NS,Volume_CARYSIL.NS,Date
2022-09-05,680.3724365234375,685.25,715.7999877929688,663.0999755859375,708.75,491786,2022-09-05
2022-09-12,674.8192749023438,678.5,726.0,672.0499877929688,690.6500244140625,705057,2022-09-12
2022-09-19,619.620361328125,623.0,686.3499755859375,615.0999755859375,675.0,655660,2022-09-19
2022-09-26,606.3925170898438,609.7000122070312,620.3499755859375,583.2999877929688,620.0,403163,2022-09-26
2022-10-03,614.5977783203125,617.9500122070312,635.0,598.7999877929688,609.0,481761,2022-10-03
2022-10-10,563.9241333007812,567.0,614.0,565.0,600.0,285370,2022-10-10
2022-10-17,546.8173828125,549.7999877929688,580.2999877929688,535.5,572.0,343568,2022-10-17
2022-10-24,521.60498046875,524.4500122070312,586.0,519.5,557.0,237525,2022-10-24
2022-10-31,553.53076171875,556.5499877929688,575.0,523.0,528.6500244140625,499858,2022-10-31
2022-11-07,489.23150634765625,491.8999938964844,576.0,481.0,561.0,728563,2022-11-07
2022-11-14,493.0108947753906,495.70001220703125,504.25,473.25,492.1000061035156,375335,2022-11-14
2022-11-21,491.22064208984375,493.8999938964844,501.0,485.6000061035156,490.0,142202,2022-11-21
2022-11-28,495.89520263671875,498.6000061035156,519.0,487.04998779296875,493.8999938964844,271753,2022-11-28
2022-12-05,493.4584655761719,496.1499938964844,519.9500122070312,492.0,498.6000061035156,269280,2022-12-05
2022-12-12,495.3979187011719,498.1000061035156,509.8999938964844,489.8999938964844,495.0,169843,2022-12-12
2022-12-19,456.6592102050781,459.1499938964844,512.5499877929688,456.0,498.3999938964844,289346,2022-12-19
2022-12-26,465.8590087890625,468.3999938964844,498.0,445.0,460.1000061035156,358663,2022-12-26
2023-01-02,459.09588623046875,461.6000061035156,482.1000061035156,458.0,474.8999938964844,233181,2023-01-02
2023-01-09,445.47021484375,447.8999938964844,472.6000061035156,441.04998779296875,464.0,245250,2023-01-09
2023-01-16,437.66278076171875,440.04998779296875,451.8999938964844,431.04998779296875,447.0,232417,2023-01-16
2023-01-23,440.4476318359375,442.8500061035156,465.0,433.54998779296875,441.0,154551,2023-01-23
2023-01-30,442.7848815917969,445.20001220703125,455.0,432.20001220703125,446.95001220703125,198376,2023-01-30
2023-02-06,449.99554443359375,452.45001220703125,458.0,436.5,449.8999938964844,127392,2023-02-06
2023-02-13,498.3318786621094,501.04998779296875,507.8999938964844,432.0,460.0,986228,2023-02-13
2023-02-20,540.1040649414062,543.0499877929688,567.0,501.29998779296875,505.0,1324169,2023-02-20
2023-02-27,565.1673583984375,568.25,582.0,506.3999938964844,541.0,1021998,2023-02-27
2023-03-06,548.7071533203125,551.7000122070312,578.9500122070312,546.5999755859375,573.0,382128,2023-03-06
2023-03-13,551.0940551757812,554.0999755859375,569.5499877929688,524.2000122070312,552.0,444435,2023-03-13
2023-03-20,547.4639282226562,550.4500122070312,559.5,535.0,559.4500122070312,297719,2023-03-20
2023-03-27,542.540771484375,545.5,553.5999755859375,515.2000122070312,542.1500244140625,391804,2023-03-27
2023-04-03,597.341796875,600.5999755859375,618.6500244140625,545.5499877929688,547.0,536895,2023-04-03
2023-04-10,594.308349609375,597.5499877929688,614.0,587.4500122070312,609.9500122070312,243218,2023-04-10
