Date,Adj Close_MARINE.NS,Close_MARINE.NS,High_MARINE.NS,Low_MARINE.NS,Open_MARINE.NS,Volume_MARINE.NS,Date
2022-02-07,35.51950454711914,35.54999923706055,40.29999923706055,35.04999923706055,40.29999923706055,1263027,2022-02-07
2022-02-14,33.22147750854492,33.25,35.29999923706055,32.900001525878906,35.0,725059,2022-02-14
2022-02-21,30.773578643798828,30.799999237060547,32.70000076293945,28.899999618530273,32.5,709228,2022-02-21
2022-02-28,30.723621368408203,30.75,32.849998474121094,29.5,30.799999237060547,460601,2022-02-28
2022-03-07,31.472978591918945,31.5,32.900001525878906,29.200000762939453,30.649999618530273,529026,2022-03-07
2022-03-14,30.973407745361328,31.0,32.20000076293945,30.5,30.600000381469727,497760,2022-03-14
2022-03-21,32.62199401855469,32.650001525878906,32.650001525878906,29.049999237060547,30.549999237060547,778342,2022-03-21
2022-03-28,31.42302131652832,31.450000762939453,34.25,29.5,34.25,1700210,2022-03-28
2022-04-04,34.720191955566406,34.75,36.70000076293945,31.450000762939453,32.099998474121094,1893267,2022-04-04
2022-04-11,33.27143478393555,33.29999923706055,34.95000076293945,31.649999618530273,34.79999923706055,686956,2022-04-11
2022-04-18,33.07160568237305,33.099998474121094,33.900001525878906,31.850000381469727,33.849998474121094,1361444,2022-04-18
2022-04-25,32.17237854003906,32.20000076293945,33.45000076293945,29.0,33.20000076293945,1123549,2022-04-25
2022-05-02,28.825252532958984,28.850000381469727,31.600000381469727,27.25,31.350000381469727,763893,2022-05-02
2022-05-09,25.77786636352539,25.799999237060547,29.5,25.0,27.799999237060547,1033766,2022-05-09
2022-05-16,29.3248233795166,29.350000381469727,30.5,25.950000762939453,26.299999237060547,968138,2022-05-16
2022-05-23,27.526365280151367,27.549999237060547,30.600000381469727,26.350000381469727,29.950000762939453,604514,2022-05-23
2022-05-30,28.125852584838867,28.149999618530273,30.899999618530273,26.450000762939453,27.649999618530273,1504424,2022-05-30
2022-06-06,28.425596237182617,28.450000762939453,29.5,27.0,28.200000762939453,444297,2022-06-06
2022-06-13,26.777009963989258,26.799999237060547,28.700000762939453,25.5,28.0,527646,2022-06-13
2022-06-20,26.27743911743164,26.299999237060547,27.149999618530273,25.149999618530273,26.799999237060547,383636,2022-06-20
2022-06-27,27.476409912109375,27.5,29.049999237060547,26.350000381469727,26.850000381469727,688217,2022-06-27
2022-07-04,27.076753616333008,27.100000381469727,28.200000762939453,26.549999237060547,27.5,378759,2022-07-04
2022-07-11,27.126708984375,27.149999618530273,28.75,27.0,27.200000762939453,464187,2022-07-11
2022-07-18,27.526365280151367,27.549999237060547,28.149999618530273,27.100000381469727,27.5,457230,2022-07-18
2022-07-25,28.67538070678711,28.700000762939453,30.0,27.0,27.600000381469727,915020,2022-07-25
2022-08-01,27.376495361328125,27.399999618530273,29.399999618530273,27.25,29.399999618530273,837032,2022-08-01
2022-08-08,28.425596237182617,28.450000762939453,29.0,27.049999237060547,28.0,594651,2022-08-08
2022-08-15,27.876066207885742,27.899999618530273,29.25,27.549999237060547,28.450000762939453,674701,2022-08-15
2022-08-22,33.02164840698242,33.04999923706055,35.900001525878906,27.600000381469727,28.0,5772510,2022-08-22
2022-08-29,32.37220764160156,32.400001525878906,34.349998474121094,31.600000381469727,33.0,1249069,2022-08-29
2022-09-05,33.521217346191406,33.54999923706055,35.349998474121094,32.45000076293945,33.400001525878906,1933182,2022-09-05
2022-09-12,34.220619201660156,34.25,35.25,32.25,33.849998474121094,1404012,2022-09-12
2022-09-19,33.02164840698242,33.04999923706055,37.099998474121094,32.75,34.04999923706055,2090327,2022-09-19
