Date,Adj Close_SKIPPER.NS,Close_SKIPPER.NS,High_SKIPPER.NS,Low_SKIPPER.NS,Open_SKIPPER.NS,Volume_SKIPPER.NS,Date
2023-06-12,140.58546447753906,140.68255615234375,143.41806030273438,131.88990783691406,134.47885131835938,2826697,2023-06-12
2023-06-19,161.23394775390625,161.34530639648438,186.59979248046875,149.91485595703125,156.31394958496094,21781416,2023-06-19
2023-06-26,164.3580780029297,164.47158813476562,173.89927673339844,159.58677673339844,161.98033142089844,1267095,2023-06-26
2023-07-03,158.7444305419922,158.85406494140625,167.01168823242188,151.47799682617188,159.29368591308594,1863504,2023-07-03
2023-07-10,165.62725830078125,165.74163818359375,168.5748291015625,154.0669403076172,158.36558532714844,1173972,2023-07-10
2023-07-17,165.43199157714844,165.54624938964844,177.80712890625,158.121337890625,167.15823364257812,2131327,2023-07-17
2023-07-24,171.1920928955078,171.31033325195312,173.4596405029297,160.27066040039062,165.1066131591797,1497044,2023-07-24
2023-07-31,164.30926513671875,164.42274475097656,180.73800659179688,161.49185180664062,173.5084991455078,1436131,2023-07-31
2023-08-07,165.2367401123047,165.35086059570312,200.27725219726562,161.34530639648438,164.17849731445312,7052010,2023-08-07
2023-08-14,191.0107421875,191.1426544189453,212.19619750976562,168.3794403076172,171.9453582763672,4818167,2023-08-14
2023-08-21,188.08187866210938,188.21177673339844,201.9869384765625,184.15737915039062,193.0477294921875,1611654,2023-08-21
2023-08-28,236.01760864257812,236.1806182861328,249.1253662109375,195.39244079589844,195.39244079589844,8083375,2023-08-28
2023-09-04,219.8112335205078,219.96304321289062,244.1428680419922,214.9316864013672,241.21197509765625,2344077,2023-09-04
2023-09-11,219.0790252685547,219.23033142089844,226.65524291992188,183.22926330566406,220.79345703125,2859980,2023-09-11
2023-09-18,212.53488159179688,212.58697509765625,223.3335723876953,203.25698852539062,220.98886108398438,1102498,2023-09-18
2023-09-25,216.73480224609375,216.7879180908203,219.2791748046875,210.68190002441406,212.92892456054688,832470,2023-09-25
2023-10-02,216.97898864746094,217.03216552734375,222.30775451660156,208.82568359375,216.7879180908203,883068,2023-10-02
2023-10-09,221.667236328125,221.72157287597656,237.3041229248047,197.54176330566406,212.04965209960938,2065290,2023-10-09
2023-10-16,222.54629516601562,222.60084533691406,238.3787841796875,218.39990234375,234.47093200683594,1611738,2023-10-16
2023-10-23,219.32310485839844,219.37686157226562,226.65524291992188,196.5159454345703,225.6782684326172,1316406,2023-10-23
2023-10-30,229.23684692382812,229.29302978515625,246.6341094970703,214.24781799316406,221.7704315185547,2238623,2023-10-30
2023-11-06,228.30897521972656,228.36492919921875,242.28663635253906,217.56948852539062,231.54005432128906,2215940,2023-11-06
2023-11-13,233.1925811767578,233.24974060058594,240.13731384277344,228.60916137695312,234.42208862304688,1108265,2023-11-13
2023-11-20,250.96893310546875,251.0304412841797,269.6415710449219,236.81564331054688,239.35574340820312,4476621,2023-11-20
2023-11-27,243.10630798339844,243.1658935546875,253.96133422851562,240.38156127929688,251.0304412841797,1065724,2023-11-27
