Date,Adj Close_HNDFDS.NS,Close_HNDFDS.NS,High_HNDFDS.NS,Low_HNDFDS.NS,Open_HNDFDS.NS,Volume_HNDFDS.NS,Date
2023-03-27,503.3500061035156,503.3500061035156,535.0,492.70001220703125,535.0,171513,2023-03-27
2023-04-03,564.5999755859375,564.5999755859375,575.0,512.0,518.4500122070312,81850,2023-04-03
2023-04-10,596.2999877929688,596.2999877929688,669.0,560.2999877929688,576.0,283667,2023-04-10
2023-04-17,584.7000122070312,584.7000122070312,615.2000122070312,565.5499877929688,610.0,119545,2023-04-17
2023-04-24,587.2999877929688,587.2999877929688,608.0,575.0999755859375,589.9500122070312,136033,2023-04-24
2023-05-01,578.1500244140625,578.1500244140625,596.4500122070312,570.0,589.9500122070312,109245,2023-05-01
2023-05-08,587.8499755859375,587.8499755859375,602.9500122070312,578.1500244140625,585.0,118131,2023-05-08
2023-05-15,604.2000122070312,604.2000122070312,632.4500122070312,579.0,589.0,211918,2023-05-15
2023-05-22,564.5,564.5,604.2000122070312,560.0,604.2000122070312,225514,2023-05-22
2023-05-29,565.0,565.0,579.5,562.0999755859375,566.0,205089,2023-05-29
2023-06-05,554.5999755859375,554.5999755859375,578.7999877929688,553.0,571.4500122070312,296517,2023-06-05
2023-06-12,544.9000244140625,544.9000244140625,559.7999877929688,544.0,555.8499755859375,248056,2023-06-12
2023-06-19,534.8499755859375,534.8499755859375,559.8499755859375,532.5499877929688,554.0,285250,2023-06-19
2023-06-26,515.8499755859375,515.8499755859375,541.1500244140625,504.0,538.0,324164,2023-06-26
2023-07-03,559.0499877929688,559.0499877929688,569.5,555.0499877929688,569.0999755859375,43321,2023-07-03
2023-07-10,559.9500122070312,559.9500122070312,565.0,545.0,565.0,89726,2023-07-10
2023-07-17,577.0499877929688,577.0499877929688,610.75,561.0,568.4500122070312,364685,2023-07-17
2023-07-24,568.9000244140625,568.9000244140625,589.0,565.0,580.0,130634,2023-07-24
2023-07-31,569.25,569.25,577.0,554.0,558.2000122070312,83533,2023-07-31
2023-08-07,573.5,573.5,580.0,561.0,579.75,142086,2023-08-07
2023-08-14,544.1500244140625,544.1500244140625,587.4000244140625,543.0,581.3499755859375,341974,2023-08-14
2023-08-21,539.8499755859375,539.8499755859375,555.0,531.2999877929688,555.0,319605,2023-08-21
2023-08-28,549.25,549.25,565.0,537.4000244140625,548.0,309032,2023-08-28
2023-09-04,544.7999877929688,544.7999877929688,558.4500122070312,543.0,552.8499755859375,322332,2023-09-04
2023-09-11,548.2000122070312,548.2000122070312,553.5,539.25,545.0,322638,2023-09-11
2023-09-18,618.7999877929688,618.7999877929688,624.0,545.0,548.9000244140625,1231615,2023-09-18
2023-09-25,535.25,535.25,629.9500122070312,524.0,629.9500122070312,1482676,2023-09-25
2023-10-02,540.5999755859375,540.5999755859375,547.0999755859375,535.2999877929688,542.0,286944,2023-10-02
2023-10-09,539.75,539.75,546.9500122070312,531.6500244140625,531.6500244140625,211940,2023-10-09
2023-10-16,538.7000122070312,538.7000122070312,549.7999877929688,535.5499877929688,539.75,209789,2023-10-16
2023-10-23,523.1500244140625,523.1500244140625,539.4500122070312,514.0,539.4500122070312,306963,2023-10-23
2023-10-30,518.2000122070312,518.2000122070312,532.0,512.3499755859375,531.2000122070312,268061,2023-10-30
2023-11-06,539.7000122070312,539.7000122070312,544.4500122070312,520.2000122070312,527.7000122070312,314997,2023-11-06
2023-11-13,538.4000244140625,538.4000244140625,546.9500122070312,533.0,539.75,198926,2023-11-13
2023-11-20,541.3499755859375,541.3499755859375,550.0,529.8499755859375,541.0,237338,2023-11-20
2023-11-27,538.9000244140625,538.9000244140625,545.0,524.0,541.3499755859375,214171,2023-11-27
2023-12-04,546.7000122070312,546.7000122070312,565.8499755859375,535.0,542.0,384861,2023-12-04
2023-12-11,556.4500122070312,556.4500122070312,584.0,544.0,549.9500122070312,553653,2023-12-11
2023-12-18,554.4500122070312,554.4500122070312,569.2999877929688,535.0999755859375,564.0,293940,2023-12-18
2023-12-25,560.4000244140625,560.4000244140625,565.0,546.9500122070312,559.0,252075,2023-12-25
2024-01-01,551.0,551.0,568.5499877929688,546.2999877929688,568.0,258288,2024-01-01
2024-01-08,548.2999877929688,548.2999877929688,559.9500122070312,538.0,559.9500122070312,248984,2024-01-08
2024-01-15,551.7000122070312,551.7000122070312,568.0,538.5999755859375,550.0,609546,2024-01-15
2024-01-22,541.4500122070312,541.4500122070312,563.7000122070312,539.6500244140625,563.7000122070312,200309,2024-01-22
2024-01-29,542.8499755859375,542.8499755859375,552.25,537.0,549.4000244140625,264892,2024-01-29
2024-02-05,542.3499755859375,542.3499755859375,572.4000244140625,530.0,540.2999877929688,669631,2024-02-05
2024-02-12,525.75,525.75,585.0,524.2999877929688,585.0,2342584,2024-02-12
2024-02-19,519.9500122070312,519.9500122070312,533.7000122070312,519.0,527.9500122070312,959595,2024-02-19
2024-02-26,516.5,516.5,529.5999755859375,504.0,520.0,307505,2024-02-26
2024-03-04,507.54998779296875,507.54998779296875,530.0,505.75,517.9500122070312,313149,2024-03-04
2024-03-11,485.3500061035156,485.3500061035156,514.75,470.04998779296875,514.75,707963,2024-03-11
2024-03-18,484.6499938964844,484.6499938964844,495.6499938964844,477.3500061035156,486.0,330002,2024-03-18
2024-03-25,472.5,472.5,488.25,467.0,479.79998779296875,322885,2024-03-25
2024-04-01,521.9000244140625,521.9000244140625,528.75,471.79998779296875,472.5,342337,2024-04-01
2024-04-08,519.9500122070312,519.9500122070312,529.4000244140625,507.70001220703125,524.5999755859375,276653,2024-04-08
2024-04-15,495.8500061035156,495.8500061035156,517.8499755859375,491.0,512.2000122070312,211425,2024-04-15
2024-04-22,502.3999938964844,502.3999938964844,508.3999938964844,496.0,498.3999938964844,335778,2024-04-22
2024-04-29,507.29998779296875,507.29998779296875,517.8499755859375,501.3999938964844,502.0,169478,2024-04-29
2024-05-06,495.3999938964844,495.3999938964844,510.0,479.6000061035156,507.3500061035156,166002,2024-05-06
2024-05-13,498.54998779296875,498.54998779296875,505.6499938964844,488.0,500.0,124590,2024-05-13
2024-05-20,493.75,493.75,500.6499938964844,491.3500061035156,498.0,219636,2024-05-20
2024-05-27,487.8999938964844,487.8999938964844,498.0,485.0,493.75,187684,2024-05-27
2024-06-03,513.75,513.75,532.0,475.04998779296875,493.0,826896,2024-06-03
2024-06-10,504.3500061035156,504.3500061035156,524.0,500.0,513.0,445931,2024-06-10
2024-06-17,501.95001220703125,501.95001220703125,511.54998779296875,494.5,505.1000061035156,286153,2024-06-17
2024-06-24,536.0499877929688,536.0499877929688,582.0,499.1000061035156,501.95001220703125,5633078,2024-06-24
2024-07-01,553.4000244140625,553.4000244140625,565.0,520.1500244140625,537.0499877929688,1189355,2024-07-01
2024-07-08,560.0999755859375,560.0999755859375,574.75,544.2999877929688,554.0,1404326,2024-07-08
2024-07-15,575.5999755859375,575.5999755859375,595.9000244140625,559.0,562.0,1152698,2024-07-15
2024-07-22,591.2999877929688,591.2999877929688,605.0,564.3499755859375,566.0,749814,2024-07-22
2024-07-29,584.1500244140625,584.1500244140625,604.9000244140625,580.0,591.3499755859375,331804,2024-07-29
2024-08-05,561.7999877929688,561.7999877929688,581.2999877929688,545.0,570.0,333737,2024-08-05
2024-08-12,574.9500122070312,574.9500122070312,584.7999877929688,551.0,560.0,377855,2024-08-12
2024-08-19,572.5,572.5,594.0,559.4000244140625,578.0,314724,2024-08-19
2024-08-26,580.1500244140625,580.1500244140625,590.0,565.3499755859375,584.0,264052,2024-08-26
2024-09-02,575.6500244140625,575.6500244140625,592.8499755859375,569.5,569.9000244140625,310242,2024-09-02
2024-09-09,567.9000244140625,567.9000244140625,625.6500244140625,561.5,576.0,958743,2024-09-09
2024-09-16,651.5,651.5,664.7000122070312,579.5499877929688,582.0999755859375,2056350,2024-09-16
2024-09-23,675.4000244140625,675.4000244140625,681.8499755859375,625.0,665.0,1182429,2024-09-23
2024-09-30,634.4000244140625,634.4000244140625,686.4000244140625,615.0499877929688,680.0,524519,2024-09-30
2024-10-07,628.6500244140625,628.6500244140625,639.9500122070312,595.5,638.8499755859375,346478,2024-10-07
2024-10-14,626.75,626.75,651.9000244140625,618.0499877929688,628.6500244140625,482201,2024-10-14
2024-10-21,569.6500244140625,569.6500244140625,633.9500122070312,557.0,633.9500122070312,566088,2024-10-21
2024-10-28,609.0,609.0,619.2999877929688,557.0999755859375,565.0,201141,2024-10-28
2024-11-04,584.9500122070312,584.9500122070312,610.9500122070312,581.0999755859375,607.0,172027,2024-11-04
2024-11-11,542.3499755859375,542.3499755859375,589.7000122070312,534.1500244140625,584.9500122070312,461415,2024-11-11
2024-11-18,546.5999755859375,546.5999755859375,556.1500244140625,523.5499877929688,535.0499877929688,242432,2024-11-18
2024-11-25,554.4000244140625,554.4000244140625,568.9000244140625,532.5,546.5999755859375,286324,2024-11-25
2024-12-02,577.5,577.5,581.9500122070312,545.5499877929688,549.0499877929688,310312,2024-12-02
2024-12-09,552.5999755859375,552.5999755859375,592.7999877929688,545.0499877929688,577.5,757619,2024-12-09
2024-12-16,544.3499755859375,544.3499755859375,559.0,542.0499877929688,548.0499877929688,613819,2024-12-16
2024-12-23,515.0499877929688,515.0499877929688,544.9000244140625,510.25,544.3499755859375,556450,2024-12-23
2024-12-30,519.5499877929688,519.5499877929688,526.0,508.79998779296875,517.7999877929688,470536,2024-12-30
2025-01-06,500.1000061035156,500.1000061035156,527.2999877929688,493.0,525.0,284128,2025-01-06
2025-01-13,493.8500061035156,493.8500061035156,500.45001220703125,482.0,482.0,305276,2025-01-13
2025-01-20,486.54998779296875,486.54998779296875,497.95001220703125,470.8999938964844,493.8500061035156,259152,2025-01-20
2025-01-27,534.9000244140625,534.9000244140625,545.0,464.0,488.95001220703125,456106,2025-01-27
2025-02-03,554.0499877929688,554.0499877929688,579.0,523.0499877929688,540.0,658599,2025-02-03
2025-02-10,525.2999877929688,525.2999877929688,592.9000244140625,508.0,592.9000244140625,543959,2025-02-10
2025-02-17,556.5999755859375,556.5999755859375,587.0,503.04998779296875,521.0999755859375,690880,2025-02-17
2025-02-24,510.3999938964844,510.3999938964844,555.0,505.04998779296875,555.0,265488,2025-02-24
2025-03-03,529.9000244140625,529.9000244140625,554.3499755859375,497.04998779296875,508.0,287743,2025-03-03
2025-03-10,534.6500244140625,534.6500244140625,549.0,505.0,525.25,164400,2025-03-10
2025-03-17,555.5499877929688,555.5499877929688,567.4500122070312,531.9500122070312,534.7000122070312,500201,2025-03-17
2025-03-24,566.3499755859375,566.3499755859375,571.9000244140625,526.9500122070312,554.1500244140625,572691,2025-03-24
2025-03-31,526.8499755859375,526.8499755859375,571.0,510.5,566.3499755859375,156078,2025-03-31
2025-04-07,571.6500244140625,571.6500244140625,586.0999755859375,421.5,421.5,369258,2025-04-07
2025-04-14,586.1500244140625,586.1500244140625,608.0,565.0,583.0,241837,2025-04-14
2025-04-21,546.8499755859375,546.8499755859375,585.5999755859375,541.0,580.7999877929688,632053,2025-04-21
2025-04-28,521.1500244140625,521.1500244140625,568.8499755859375,519.7999877929688,550.0,346945,2025-04-28
2025-05-05,513.2999877929688,513.2999877929688,543.0,493.6000061035156,530.0,561506,2025-05-05
2025-05-12,526.2999877929688,526.2999877929688,533.7000122070312,511.8999938964844,521.0,456908,2025-05-12
2025-05-19,554.2999877929688,554.2999877929688,578.4500122070312,521.0,529.1500244140625,1636408,2025-05-19
2025-05-26,547.5499877929688,547.5499877929688,560.25,534.0,559.8499755859375,397086,2025-05-26
2025-06-02,539.9000244140625,539.9000244140625,548.3499755859375,527.0,545.0,340908,2025-06-02
2025-06-09,536.9000244140625,536.9000244140625,548.0,532.0499877929688,547.9000244140625,265275,2025-06-09
2025-06-16,532.5,532.5,543.25,530.0,532.0499877929688,236503,2025-06-16
2025-06-23,535.4000244140625,535.4000244140625,543.9500122070312,522.4000244140625,532.2999877929688,607132,2025-06-23
2025-06-30,538.4500122070312,538.4500122070312,558.8499755859375,528.8499755859375,535.4000244140625,365272,2025-06-30
2025-07-07,560.5,560.5,584.9000244140625,535.0,541.2999877929688,1606540,2025-07-07
2025-07-14,569.2000122070312,569.2000122070312,574.0,553.9000244140625,556.0499877929688,96614,2025-07-14
