Date,Adj Close_VEEDOL.NS,Close_VEEDOL.NS,High_VEEDOL.NS,Low_VEEDOL.NS,Open_VEEDOL.NS,Volume_VEEDOL.NS,Date
2021-11-01,1490.083740234375,1725.449951171875,1745.0,1650.050048828125,1685.0,25412,2021-11-01
2021-11-08,1486.7586669921875,1721.5999755859375,1780.0999755859375,1700.0,1744.0,38039,2021-11-08
2021-11-15,1441.333984375,1669.0,1739.0,1657.800048828125,1730.0,27945,2021-11-15
2021-11-22,1375.3128662109375,1592.550048828125,1670.0,1583.449951171875,1670.0,47409,2021-11-22
2021-11-29,1438.4493408203125,1645.699951171875,1690.800048828125,1512.949951171875,1595.0,180384,2021-11-29
2021-12-06,1311.0982666015625,1500.0,1664.699951171875,1490.4000244140625,1664.699951171875,200834,2021-12-06
2021-12-13,1266.52099609375,1449.0,1577.4000244140625,1445.0,1503.0,151079,2021-12-13
2021-12-20,1280.63720703125,1465.1500244140625,1555.0,1397.6500244140625,1440.0,99390,2021-12-20
2021-12-27,1294.92822265625,1481.5,1510.949951171875,1445.1500244140625,1465.1500244140625,59405,2021-12-27
2022-01-03,1374.6429443359375,1572.699951171875,1695.300048828125,1475.199951171875,1481.5,355411,2022-01-03
2022-01-10,1359.521484375,1555.4000244140625,1599.0,1490.050048828125,1575.0999755859375,192983,2022-01-10
2022-01-17,1278.5394287109375,1462.75,1569.949951171875,1448.0999755859375,1563.0,153571,2022-01-17
2022-01-24,1239.5997314453125,1418.199951171875,1470.0,1395.0,1470.0,65955,2022-01-24
2022-01-31,1300.34716796875,1487.699951171875,1519.0,1402.4000244140625,1416.0,105405,2022-01-31
2022-02-07,1238.244873046875,1416.6500244140625,1499.949951171875,1410.0,1490.0,63457,2022-02-07
2022-02-14,1220.763427734375,1396.6500244140625,1419.0,1351.1500244140625,1400.9000244140625,59317,2022-02-14
2022-02-21,1111.549072265625,1271.699951171875,1390.0,1201.0999755859375,1382.0,91692,2022-02-21
2022-02-28,1051.7020263671875,1186.0,1270.0,1179.0,1266.1500244140625,87795,2022-02-28
2022-03-07,1063.5848388671875,1199.4000244140625,1246.6500244140625,1147.550048828125,1180.0,135047,2022-03-07
2022-03-14,1061.8553466796875,1197.449951171875,1218.0,1176.4000244140625,1218.0,77290,2022-03-14
2022-03-21,1034.942138671875,1167.0999755859375,1220.0,1163.0,1208.949951171875,89663,2022-03-21
2022-03-28,1022.5274658203125,1153.0999755859375,1180.050048828125,1105.0,1175.0,170993,2022-03-28
2022-04-04,1060.9686279296875,1196.449951171875,1206.699951171875,1157.6500244140625,1160.0,110268,2022-04-04
2022-04-11,1106.8145751953125,1248.1500244140625,1314.0,1181.1500244140625,1199.9000244140625,152714,2022-04-11
2022-04-18,1056.5350341796875,1191.449951171875,1250.050048828125,1178.0,1248.0,98541,2022-04-18
2022-04-25,1019.069091796875,1149.199951171875,1192.0,1145.9000244140625,1185.0,46049,2022-04-25
2022-05-02,960.2322998046875,1082.8499755859375,1157.5,1062.0,1145.0,49635,2022-05-02
2022-05-09,910.9282836914062,1027.25,1092.0,1001.2999877929688,1082.6500244140625,55648,2022-05-09
2022-05-16,955.3995971679688,1077.4000244140625,1130.75,1028.300048828125,1042.0,103559,2022-05-16
2022-05-23,942.630126953125,1063.0,1086.699951171875,1010.0499877929688,1077.4000244140625,49057,2022-05-23
2022-05-30,962.0057373046875,1084.8499755859375,1134.75,1058.1500244140625,1063.0,61028,2022-05-30
2022-06-06,911.1055908203125,1027.449951171875,1090.0,1025.0999755859375,1072.0,38975,2022-06-06
2022-06-13,887.5176391601562,1000.8499755859375,1040.0,990.0,1018.0,41714,2022-06-13
2022-06-20,927.0673217773438,1045.449951171875,1055.0,975.0499877929688,1005.0,39073,2022-06-20
2022-06-27,893.458984375,1007.5499877929688,1074.949951171875,1004.0999755859375,1065.0,36932,2022-06-27
2022-07-04,914.5087890625,1016.25,1039.949951171875,997.0,1019.7000122070312,38570,2022-07-04
2022-07-11,904.2951049804688,1004.9000244140625,1035.0,995.0999755859375,1002.0,30654,2022-07-11
2022-07-18,902.7203369140625,1003.1500244140625,1029.0,989.0,1005.0499877929688,84056,2022-07-18
2022-07-25,911.5391845703125,1012.9500122070312,1025.0,986.0499877929688,1010.0,46966,2022-07-25
2022-08-01,1062.494873046875,1180.699951171875,1242.5,1015.2999877929688,1023.0,614033,2022-08-01
2022-08-08,1053.0911865234375,1170.25,1235.0,1155.4000244140625,1195.0,108243,2022-08-08
2022-08-15,1049.67138671875,1166.449951171875,1199.0,1133.0,1170.25,81160,2022-08-15
2022-08-22,1013.4061279296875,1126.1500244140625,1169.9000244140625,1115.25,1143.0999755859375,70748,2022-08-22
2022-08-29,1055.1846923828125,1167.550048828125,1220.0,1099.0,1108.6500244140625,116284,2022-08-29
2022-09-05,1025.2249755859375,1134.4000244140625,1185.0,1125.449951171875,1177.699951171875,91290,2022-09-05
2022-09-12,982.7030639648438,1087.3499755859375,1153.0,1076.3499755859375,1138.0,101257,2022-09-12
2022-09-19,957.488037109375,1059.449951171875,1110.0,1053.0,1092.0,73445,2022-09-19
2022-09-26,927.4832763671875,1026.25,1060.0,1007.0999755859375,1054.25,42525,2022-09-26
2022-10-03,946.14599609375,1046.9000244140625,1086.699951171875,1009.0499877929688,1022.0,55923,2022-10-03
2022-10-10,919.4850463867188,1017.4000244140625,1059.6500244140625,1011.0,1040.0,37010,2022-10-10
2022-10-17,927.709228515625,1026.5,1040.949951171875,1008.0,1018.9000244140625,33013,2022-10-17
2022-10-24,930.375244140625,1029.449951171875,1051.949951171875,1027.050048828125,1039.25,18093,2022-10-24
2022-10-31,940.4071655273438,1040.550048828125,1066.0,1015.2000122070312,1038.0,74401,2022-10-31
2022-11-07,920.750244140625,1018.7999877929688,1057.0,1018.0,1048.25,88058,2022-11-07
2022-11-14,904.03076171875,1000.2999877929688,1034.25,999.0,1025.0,105585,2022-11-14
2022-11-21,897.9755249023438,993.5999755859375,1008.0,986.0,1005.0,72333,2022-11-21
2022-11-28,976.2947998046875,1067.300048828125,1174.0,995.1500244140625,1002.0,895288,2022-11-28
2022-12-05,949.9046020507812,1038.449951171875,1079.3499755859375,1025.0,1077.25,122936,2022-12-05
2022-12-12,962.2992553710938,1052.0,1115.0,1027.199951171875,1030.0999755859375,242342,2022-12-12
2022-12-19,904.2136840820312,988.5,1063.5999755859375,984.3499755859375,1049.699951171875,108061,2022-12-19
2022-12-26,914.5958862304688,999.8499755859375,1021.0,982.0,982.0,84602,2022-12-26
2023-01-02,913.6353759765625,998.7999877929688,1030.0,995.0,1009.25,143178,2023-01-02
2023-01-09,911.1657104492188,996.0999755859375,1009.5,991.2999877929688,997.2000122070312,80528,2023-01-09
2023-01-16,909.3818969726562,994.1500244140625,1004.4500122070312,985.9000244140625,1004.4500122070312,51452,2023-01-16
2023-01-23,887.0167236328125,969.7000122070312,1000.0,960.0,1000.0,45112,2023-01-23
2023-01-30,883.403564453125,965.75,994.4000244140625,960.0,977.25,44669,2023-01-30
2023-02-06,901.0121459960938,985.0,988.0,962.4500122070312,965.75,39700,2023-02-06
2023-02-13,897.7648315429688,981.4500122070312,995.5,959.25,993.25,51942,2023-02-13
2023-02-20,852.4854736328125,931.9500122070312,991.0,925.0,991.0,70595,2023-02-20
2023-02-27,857.6046142578125,927.7999877929688,940.0999755859375,912.0,931.9500122070312,54593,2023-02-27
2023-03-06,845.865478515625,915.0999755859375,944.6500244140625,911.0,939.9500122070312,85943,2023-03-06
2023-03-13,834.4960327148438,902.7999877929688,917.0499877929688,895.0,911.2000122070312,49098,2023-03-13
2023-03-20,785.2285766601562,849.5,904.9500122070312,844.5499877929688,904.1500244140625,92640,2023-03-20
2023-03-27,767.111572265625,829.9000244140625,855.5999755859375,805.1500244140625,854.0,102043,2023-03-27
2023-04-03,802.28271484375,867.9500122070312,876.5,832.0,832.0,41217,2023-04-03
