Date,Adj Close_SAKAR.NS,Close_SAKAR.NS,High_SAKAR.NS,Low_SAKAR.NS,Open_SAKAR.NS,Volume_SAKAR.NS,Date
2021-02-01,102.44999694824219,102.44999694824219,109.55000305175781,84.5999984741211,102.1500015258789,225168,2021-02-01
2021-02-08,98.80000305175781,98.80000305175781,102.94999694824219,95.25,100.0,121104,2021-02-08
2021-02-15,95.94999694824219,95.94999694824219,104.69999694824219,92.9000015258789,100.05000305175781,192319,2021-02-15
2021-02-22,93.0,93.0,100.69999694824219,90.19999694824219,97.80000305175781,197562,2021-02-22
2021-03-01,91.69999694824219,91.69999694824219,98.5,91.25,95.94999694824219,144325,2021-03-01
2021-03-08,91.1500015258789,91.1500015258789,104.0,89.75,93.44999694824219,104462,2021-03-08
2021-03-15,99.3499984741211,99.3499984741211,105.0,91.05000305175781,94.80000305175781,407834,2021-03-15
2021-03-22,108.30000305175781,108.30000305175781,114.9000015258789,91.1500015258789,98.0999984741211,566250,2021-03-22
2021-03-29,115.5,115.5,120.5,106.1500015258789,108.30000305175781,616953,2021-03-29
2021-04-05,115.30000305175781,115.30000305175781,124.55000305175781,112.80000305175781,116.44999694824219,405120,2021-04-05
2021-04-12,111.5,111.5,115.19999694824219,104.25,115.19999694824219,136658,2021-04-12
2021-04-19,115.69999694824219,115.69999694824219,124.9000015258789,101.5,106.19999694824219,359030,2021-04-19
2021-04-26,116.3499984741211,116.3499984741211,119.5,111.0,119.5,231620,2021-04-26
2021-05-03,147.14999389648438,147.14999389648438,154.89999389648438,115.0,116.30000305175781,1274700,2021-05-03
2021-05-10,133.5500030517578,133.5500030517578,158.8000030517578,122.5,153.5,667439,2021-05-10
2021-05-17,140.89999389648438,140.89999389648438,152.3000030517578,133.60000610351562,139.89999389648438,248778,2021-05-17
2021-05-24,135.14999389648438,135.14999389648438,144.89999389648438,131.10000610351562,144.85000610351562,228335,2021-05-24
2021-05-31,139.35000610351562,139.35000610351562,156.25,135.3000030517578,138.4499969482422,775302,2021-05-31
2021-06-07,145.5500030517578,145.5500030517578,149.0,136.5500030517578,138.3000030517578,479174,2021-06-07
2021-06-14,147.9499969482422,147.9499969482422,156.0,140.39999389648438,145.5500030517578,627271,2021-06-14
2021-06-21,142.75,142.75,151.89999389648438,139.5500030517578,147.9499969482422,240917,2021-06-21
2021-06-28,174.60000610351562,174.60000610351562,191.0,141.0,143.25,2731340,2021-06-28
2021-07-05,176.25,176.25,186.75,167.10000610351562,175.10000610351562,713228,2021-07-05
2021-07-12,175.89999389648438,175.89999389648438,184.0,169.9499969482422,179.8000030517578,309305,2021-07-12
2021-07-19,173.6999969482422,173.6999969482422,178.75,165.60000610351562,175.89999389648438,210757,2021-07-19
