Date,Adj Close_PALASHSECU.NS,Close_PALASHSECU.NS,High_PALASHSECU.NS,Low_PALASHSECU.NS,Open_PALASHSECU.NS,Volume_PALASHSECU.NS,Date
2022-05-02,101.25,101.25,115.9000015258789,100.05000305175781,112.8499984741211,9503,2022-05-02
2022-05-09,97.19999694824219,97.19999694824219,106.0999984741211,93.75,99.8499984741211,11172,2022-05-09
2022-05-16,101.0999984741211,101.0999984741211,105.94999694824219,93.1500015258789,99.1500015258789,7232,2022-05-16
2022-05-23,106.0,106.0,107.5999984741211,99.0,99.0,10095,2022-05-23
2022-05-30,106.75,106.75,113.94999694824219,101.8499984741211,102.0,7593,2022-05-30
2022-06-06,107.0,107.0,107.19999694824219,100.9000015258789,104.25,2498,2022-06-06
2022-06-13,106.5999984741211,106.5999984741211,113.30000305175781,99.30000305175781,102.0,7722,2022-06-13
2022-06-20,92.3499984741211,92.3499984741211,110.94999694824219,91.3499984741211,101.44999694824219,10947,2022-06-20
2022-06-27,89.3499984741211,89.3499984741211,98.3499984741211,89.05000305175781,91.05000305175781,9016,2022-06-27
2022-07-04,91.30000305175781,91.30000305175781,93.05000305175781,87.0,90.0999984741211,2221,2022-07-04
2022-07-11,86.69999694824219,86.69999694824219,94.05000305175781,86.19999694824219,90.05000305175781,15498,2022-07-11
2022-07-18,88.05000305175781,88.05000305175781,91.6500015258789,86.0,86.0,9005,2022-07-18
2022-07-25,90.0999984741211,90.0999984741211,95.5,86.05000305175781,88.9000015258789,11525,2022-07-25
2022-08-01,90.5,90.5,93.6500015258789,86.5999984741211,90.55000305175781,4477,2022-08-01
2022-08-08,90.0999984741211,90.0999984741211,96.0,88.0999984741211,96.0,10230,2022-08-08
2022-08-15,86.94999694824219,86.94999694824219,91.8499984741211,86.0,90.0999984741211,7104,2022-08-15
2022-08-22,89.5,89.5,89.9000015258789,84.55000305175781,86.5999984741211,5738,2022-08-22
2022-08-29,88.3499984741211,88.3499984741211,97.0,87.80000305175781,87.9000015258789,6812,2022-08-29
2022-09-05,87.75,87.75,92.55000305175781,87.3499984741211,92.3499984741211,16247,2022-09-05
2022-09-12,91.5999984741211,91.5999984741211,95.0999984741211,87.0999984741211,88.05000305175781,7501,2022-09-12
2022-09-19,88.19999694824219,88.19999694824219,93.5999984741211,88.1500015258789,90.05000305175781,6358,2022-09-19
2022-09-26,85.19999694824219,85.19999694824219,91.3499984741211,84.30000305175781,87.3499984741211,6254,2022-09-26
2022-10-03,84.0,84.0,90.9000015258789,83.05000305175781,88.0,9058,2022-10-03
2022-10-10,93.1500015258789,93.1500015258789,122.80000305175781,82.5,86.0,275063,2022-10-10
2022-10-17,86.55000305175781,86.55000305175781,93.0,86.25,92.0,20873,2022-10-17
2022-10-24,88.0999984741211,88.0999984741211,90.9000015258789,83.5,90.5,8658,2022-10-24
2022-10-31,102.69999694824219,102.69999694824219,102.69999694824219,82.5999984741211,89.0,22448,2022-10-31
2022-11-07,100.5999984741211,100.5999984741211,120.80000305175781,96.19999694824219,120.80000305175781,175748,2022-11-07
2022-11-14,93.1500015258789,93.1500015258789,104.05000305175781,92.5,100.5999984741211,17449,2022-11-14
2022-11-21,99.25,99.25,110.5999984741211,88.30000305175781,94.0,27504,2022-11-21
2022-11-28,96.4000015258789,96.4000015258789,100.30000305175781,94.0999984741211,100.30000305175781,14678,2022-11-28
2022-12-05,91.19999694824219,91.19999694824219,99.0,88.1500015258789,97.8499984741211,16040,2022-12-05
2022-12-12,144.4499969482422,144.4499969482422,152.8000030517578,91.05000305175781,92.0999984741211,335131,2022-12-12
2022-12-19,130.35000610351562,130.35000610351562,152.5,130.0,142.0,60403,2022-12-19
2022-12-26,139.89999389648438,139.89999389648438,147.0,123.5999984741211,130.35000610351562,32015,2022-12-26
2023-01-02,137.9499969482422,137.9499969482422,146.8000030517578,130.10000610351562,133.60000610351562,8743,2023-01-02
2023-01-09,130.64999389648438,130.64999389648438,143.9499969482422,128.39999389648438,137.85000610351562,7056,2023-01-09
2023-01-16,123.0,123.0,134.0,121.0,130.6999969482422,5283,2023-01-16
2023-01-23,120.0,120.0,125.0,119.5999984741211,123.0,361,2023-01-23
2023-01-30,111.05000305175781,111.05000305175781,124.0999984741211,109.1500015258789,114.0999984741211,2615,2023-01-30
2023-02-06,115.1500015258789,115.1500015258789,122.4000015258789,114.0,116.5,2404,2023-02-06
2023-02-13,109.5,109.5,115.19999694824219,105.55000305175781,115.19999694824219,1509,2023-02-13
2023-02-20,110.25,110.25,110.8499984741211,105.0,105.5999984741211,1911,2023-02-20
2023-02-27,107.75,107.75,115.0,104.0,106.30000305175781,5770,2023-02-27
2023-03-06,110.5,110.5,112.3499984741211,105.0999984741211,107.94999694824219,10115,2023-03-06
