Date,Adj Close_LUMAXTECH.NS,Close_LUMAXTECH.NS,High_LUMAXTECH.NS,Low_LUMAXTECH.NS,Open_LUMAXTECH.NS,Volume_LUMAXTECH.NS,Date
2022-02-14,172.3877410888672,179.10000610351562,189.9499969482422,166.35000610351562,182.0,669496,2022-02-14
2022-02-21,159.15306091308594,165.35000610351562,182.89999389648438,153.6999969482422,176.1999969482422,594435,2022-02-21
2022-02-28,159.1049346923828,165.3000030517578,168.4499969482422,156.85000610351562,162.3000030517578,391919,2022-02-28
2022-03-07,163.4844207763672,169.85000610351562,173.35000610351562,158.6999969482422,165.3000030517578,405717,2022-03-07
2022-03-14,164.63943481445312,171.0500030517578,178.0,164.5,168.0,370645,2022-03-14
2022-03-21,168.53765869140625,175.10000610351562,187.8000030517578,168.8000030517578,174.8000030517578,491237,2022-03-21
2022-03-28,167.28636169433594,173.8000030517578,177.39999389648438,163.0,176.0,396072,2022-03-28
2022-04-04,171.3770751953125,178.0500030517578,184.14999389648438,171.0,172.10000610351562,584808,2022-04-04
2022-04-11,176.23782348632812,183.10000610351562,186.5500030517578,174.0500030517578,182.35000610351562,374581,2022-04-11
2022-04-18,172.9171142578125,179.64999389648438,194.0,174.64999389648438,181.60000610351562,756530,2022-04-18
2022-04-25,177.00782775878906,183.89999389648438,188.5500030517578,166.89999389648438,177.10000610351562,505750,2022-04-25
2022-05-02,159.2974395751953,165.5,183.0,162.4499969482422,180.0,366797,2022-05-02
2022-05-09,139.32508850097656,144.75,167.25,141.9499969482422,167.0,352599,2022-05-09
2022-05-16,157.1798858642578,163.3000030517578,167.5,142.0,145.89999389648438,348307,2022-05-16
2022-05-23,160.21182250976562,166.4499969482422,170.0,158.10000610351562,166.39999389648438,272689,2022-05-23
2022-05-30,169.1151580810547,175.6999969482422,176.89999389648438,167.39999389648438,172.0,191730,2022-05-30
2022-06-06,168.44139099121094,175.0,185.0,173.14999389648438,176.9499969482422,229333,2022-06-06
2022-06-13,157.4686279296875,163.60000610351562,176.85000610351562,158.75,175.9499969482422,235564,2022-06-13
2022-06-20,161.94436645507812,168.25,169.64999389648438,151.10000610351562,163.60000610351562,138680,2022-06-20
2022-06-27,175.37155151367188,182.1999969482422,187.1999969482422,166.0,172.8000030517578,327996,2022-06-27
2022-07-04,201.31153869628906,209.14999389648438,216.85000610351562,182.1999969482422,182.1999969482422,1900980,2022-07-04
2022-07-11,227.4786376953125,232.3000030517578,234.0,198.8000030517578,211.6999969482422,3172584,2022-07-11
2022-07-18,236.6835479736328,241.6999969482422,256.8500061035156,235.39999389648438,239.9499969482422,4880026,2022-07-18
2022-07-25,253.18380737304688,258.54998779296875,262.0,235.0,244.10000610351562,1490514,2022-07-25
2022-08-01,227.4786376953125,232.3000030517578,263.79998779296875,225.3000030517578,260.79998779296875,1722745,2022-08-01
2022-08-08,226.6952362060547,231.5,240.0,221.8000030517578,240.0,955797,2022-08-08
2022-08-15,232.22796630859375,237.14999389648438,248.0,230.0,231.5,742743,2022-08-15
2022-08-22,279.67242431640625,285.6000061035156,288.75,230.10000610351562,240.0,3724048,2022-08-22
2022-08-29,271.69158935546875,277.45001220703125,302.6499938964844,260.0,278.6499938964844,2297089,2022-08-29
2022-09-05,277.22430419921875,283.1000061035156,297.1499938964844,267.0,279.6000061035156,1621363,2022-09-05
2022-09-12,281.09228515625,287.04998779296875,311.3500061035156,280.25,285.5,2353428,2022-09-12
2022-09-19,270.4674987792969,276.20001220703125,296.54998779296875,273.20001220703125,288.0,1000214,2022-09-19
2022-09-26,274.6782531738281,280.5,286.6000061035156,249.60000610351562,267.29998779296875,1480729,2022-09-26
2022-10-03,281.63092041015625,287.6000061035156,292.6000061035156,269.5,278.1000061035156,804589,2022-10-03
2022-10-10,261.1156921386719,266.6499938964844,294.8999938964844,262.1000061035156,284.75,724851,2022-10-10
2022-10-17,256.3663635253906,261.79998779296875,277.75,258.6000061035156,267.75,542963,2022-10-17
2022-10-24,248.53240966796875,253.8000030517578,267.70001220703125,252.85000610351562,260.1000061035156,292449,2022-10-24
2022-10-31,236.09600830078125,241.10000610351562,260.75,237.0,255.0,1125811,2022-10-31
2022-11-07,247.16146850585938,252.39999389648438,258.0,229.39999389648438,241.89999389648438,842347,2022-11-07
2022-11-14,245.5946807861328,250.8000030517578,260.8999938964844,244.0,260.8999938964844,688125,2022-11-14
2022-11-21,258.91241455078125,264.3999938964844,268.5,247.0,250.8000030517578,1017309,2022-11-21
2022-11-28,259.5489196777344,265.04998779296875,274.70001220703125,259.5,264.0,796798,2022-11-28
2022-12-05,253.4286346435547,258.79998779296875,272.0,258.25,269.8999938964844,378672,2022-12-05
2022-12-12,247.0145721435547,252.25,259.6499938964844,243.8000030517578,258.95001220703125,403389,2022-12-12
2022-12-19,206.76760864257812,211.14999389648438,254.0,210.0,254.0,492174,2022-12-19
2022-12-26,234.52920532226562,239.5,243.39999389648438,202.0500030517578,212.0,394543,2022-12-26
2023-01-02,229.38816833496094,234.25,244.5,232.39999389648438,244.25,230529,2023-01-02
2023-01-09,227.77243041992188,232.60000610351562,240.0,225.14999389648438,235.4499969482422,171914,2023-01-09
2023-01-16,228.26205444335938,233.10000610351562,237.25,228.0,232.10000610351562,136636,2023-01-16
2023-01-23,222.48448181152344,227.1999969482422,238.8000030517578,220.5500030517578,237.5,293685,2023-01-23
2023-01-30,224.05128479003906,228.8000030517578,234.9499969482422,218.60000610351562,229.35000610351562,249961,2023-01-30
2023-02-06,237.46693420410156,242.5,244.35000610351562,225.3000030517578,225.3000030517578,349405,2023-02-06
2023-02-13,216.16836547851562,220.75,245.60000610351562,211.10000610351562,242.39999389648438,511880,2023-02-13
2023-02-20,258.42279052734375,263.8999938964844,274.79998779296875,230.0500030517578,230.0500030517578,5736470,2023-02-20
2023-02-27,257.9821472167969,263.45001220703125,272.70001220703125,245.10000610351562,262.0,1465281,2023-02-27
2023-03-06,271.69158935546875,277.45001220703125,283.79998779296875,260.75,265.8500061035156,1496828,2023-03-06
2023-03-13,259.7447814941406,265.25,288.6499938964844,261.3999938964844,286.0,945606,2023-03-13
2023-03-20,267.77459716796875,273.45001220703125,281.04998779296875,256.0,265.1499938964844,914028,2023-03-20
2023-03-27,263.3190002441406,268.8999938964844,278.5,264.04998779296875,275.8999938964844,451930,2023-03-27
2023-04-03,280.9454040527344,286.8999938964844,298.5,267.6000061035156,270.1000061035156,955790,2023-04-03
2023-04-10,279.9661560058594,285.8999938964844,295.70001220703125,270.79998779296875,281.79998779296875,847357,2023-04-10
2023-04-17,313.5542907714844,320.20001220703125,324.0,279.29998779296875,284.3999938964844,2370612,2023-04-17
2023-04-24,305.9161682128906,312.3999938964844,328.79998779296875,305.25,326.04998779296875,1793666,2023-04-24
2023-05-01,291.5702209472656,297.75,312.3999938964844,291.0,312.3999938964844,1350281,2023-05-01
2023-05-08,301.5095520019531,307.8999938964844,315.0,298.0,302.8999938964844,629963,2023-05-08
2023-05-15,314.23974609375,320.8999938964844,324.75,301.0,308.0,1678202,2023-05-15
2023-05-22,308.8539123535156,315.3999938964844,327.6000061035156,306.0,322.3500061035156,1164253,2023-05-22
2023-05-29,340.7283630371094,347.95001220703125,362.0,296.0,315.45001220703125,6368797,2023-05-29
2023-06-05,330.544189453125,337.54998779296875,364.20001220703125,336.04998779296875,351.75,1838109,2023-06-05
2023-06-12,344.0087890625,351.29998779296875,369.70001220703125,337.8500061035156,342.1000061035156,1328421,2023-06-12
2023-06-19,329.22222900390625,336.20001220703125,361.75,333.1499938964844,356.5,541834,2023-06-19
2023-06-26,345.7714538574219,353.1000061035156,364.79998779296875,333.1000061035156,339.0,416427,2023-06-26
2023-07-03,358.4037170410156,366.0,377.54998779296875,344.29998779296875,354.04998779296875,1305165,2023-07-03
2023-07-10,377.7438049316406,385.75,394.0,360.79998779296875,367.6499938964844,869284,2023-07-10
2023-07-17,356.8369445800781,364.3999938964844,387.45001220703125,362.04998779296875,386.0,376276,2023-07-17
2023-07-24,365.0625915527344,372.79998779296875,374.79998779296875,355.29998779296875,363.79998779296875,294335,2023-07-24
2023-07-31,412.3111572265625,421.04998779296875,424.95001220703125,370.8500061035156,374.5,1355712,2023-07-31
2023-08-07,382.93377685546875,391.04998779296875,469.95001220703125,387.04998779296875,423.8500061035156,2170499,2023-08-07
2023-08-14,389.1629943847656,393.3500061035156,421.70001220703125,367.29998779296875,391.20001220703125,1426302,2023-08-14
2023-08-21,374.6689453125,378.70001220703125,396.45001220703125,372.95001220703125,394.0,1258819,2023-08-21
2023-08-28,372.047119140625,376.04998779296875,389.6499938964844,368.1000061035156,380.8999938964844,703132,2023-08-28
2023-09-04,369.72216796875,373.70001220703125,381.45001220703125,363.04998779296875,378.1000061035156,822023,2023-09-04
2023-09-11,371.7997741699219,375.79998779296875,380.5,354.04998779296875,376.5,875686,2023-09-11
2023-09-18,357.206787109375,361.04998779296875,384.3999938964844,355.6499938964844,377.0,828101,2023-09-18
2023-09-25,358.1466979980469,362.0,365.0,353.20001220703125,361.1000061035156,362416,2023-09-25
2023-10-02,373.77850341796875,377.79998779296875,378.95001220703125,356.54998779296875,362.0,419650,2023-10-02
2023-10-09,369.62322998046875,373.6000061035156,385.95001220703125,365.1000061035156,370.04998779296875,416278,2023-10-09
2023-10-16,356.3163757324219,360.1499938964844,377.0,353.1499938964844,374.8500061035156,659024,2023-10-16
2023-10-23,348.3025817871094,352.04998779296875,362.0,332.3500061035156,362.0,414948,2023-10-23
2023-10-30,362.20306396484375,366.1000061035156,374.70001220703125,347.3999938964844,350.1000061035156,389177,2023-10-30
2023-11-06,365.814208984375,369.75,390.0,354.0,363.3999938964844,759575,2023-11-06
2023-11-13,366.4078063964844,370.3500061035156,378.1000061035156,366.0,373.5,284120,2023-11-13
2023-11-20,388.9156494140625,393.1000061035156,412.0,370.8500061035156,370.8500061035156,1535208,2023-11-20
2023-11-27,385.2550354003906,389.3999938964844,397.0,383.0,393.1000061035156,442655,2023-11-27
2023-12-04,378.8736877441406,382.95001220703125,399.0,380.0,394.0,626422,2023-12-04
2023-12-11,380.1103820800781,384.20001220703125,390.8999938964844,368.0,386.5,707055,2023-12-11
2023-12-18,380.15985107421875,384.25,406.75,372.95001220703125,384.79998779296875,1199439,2023-12-18
2023-12-25,381.39654541015625,385.5,395.0,380.8999938964844,384.25,470393,2023-12-25
2024-01-01,385.0076904296875,389.1499938964844,391.6499938964844,382.25,386.45001220703125,407508,2024-01-01
2024-01-08,393.021484375,397.25,403.95001220703125,381.0,394.6499938964844,909748,2024-01-08
2024-01-15,372.6902160644531,376.70001220703125,403.0,375.0,400.5,797316,2024-01-15
2024-01-22,363.48919677734375,367.3999938964844,379.6000061035156,362.5,376.70001220703125,336699,2024-01-22
2024-01-29,389.41033935546875,393.6000061035156,418.0,365.0,367.3999938964844,1464555,2024-01-29
2024-02-05,398.8586730957031,403.1499938964844,431.3999938964844,392.0,392.5,1081700,2024-02-05
2024-02-12,425.07659912109375,429.6499938964844,498.8999938964844,374.54998779296875,405.20001220703125,6207473,2024-02-12
2024-02-19,467.1736755371094,472.20001220703125,490.79998779296875,430.0,430.0,2688465,2024-02-19
2024-02-26,471.131103515625,476.20001220703125,498.8500061035156,445.6000061035156,475.0,8207789,2024-02-26
2024-03-04,446.248779296875,451.04998779296875,487.5,445.8999938964844,480.0,1232566,2024-03-04
2024-03-11,436.8004455566406,441.5,456.1499938964844,398.70001220703125,453.8999938964844,1228406,2024-03-11
2024-03-18,466.92633056640625,471.95001220703125,476.70001220703125,437.70001220703125,437.70001220703125,1093369,2024-03-18
2024-03-25,478.05657958984375,483.20001220703125,489.8500061035156,462.0,471.95001220703125,424470,2024-03-25
2024-04-01,471.9720458984375,477.04998779296875,502.29998779296875,476.0,494.0,780179,2024-04-01
2024-04-08,460.0503234863281,465.0,484.1000061035156,462.75,477.1000061035156,361939,2024-04-08
2024-04-15,458.71466064453125,463.6499938964844,478.45001220703125,442.20001220703125,455.0,510430,2024-04-15
2024-04-22,473.8518371582031,478.95001220703125,515.0,466.8999938964844,470.0,1478127,2024-04-22
2024-04-29,473.0108642578125,478.1000061035156,490.6000061035156,470.5,490.0,382638,2024-04-29
2024-05-06,468.7071838378906,473.75,483.95001220703125,451.79998779296875,482.0,471961,2024-05-06
2024-05-13,476.2757263183594,481.3999938964844,488.3500061035156,450.70001220703125,471.20001220703125,476518,2024-05-13
2024-05-20,477.01776123046875,482.1499938964844,506.70001220703125,472.0,481.3999938964844,749425,2024-05-20
2024-05-27,480.13421630859375,485.29998779296875,509.70001220703125,474.04998779296875,492.0,1358802,2024-05-27
2024-06-03,500.76226806640625,506.1499938964844,520.0,424.04998779296875,492.0,1702934,2024-06-03
2024-06-10,525.9909057617188,531.6500244140625,535.5999755859375,489.3999938964844,508.20001220703125,2048753,2024-06-10
2024-06-17,513.426025390625,518.9500122070312,544.7999877929688,499.8500061035156,531.6500244140625,1292000,2024-06-17
2024-06-24,576.6953735351562,582.9000244140625,595.5999755859375,510.0,510.0,2688252,2024-06-24
2024-07-01,571.7485961914062,577.9000244140625,609.9500122070312,575.2000122070312,582.5499877929688,1193997,2024-07-01
2024-07-08,562.646484375,568.7000122070312,592.0,560.0,582.0,884116,2024-07-08
2024-07-15,538.3082885742188,544.0999755859375,575.0,540.0,565.0,540552,2024-07-15
2024-07-22,569.7698364257812,575.9000244140625,584.9000244140625,525.2999877929688,540.0,718882,2024-07-22
