Date,Adj Close_AARTECH.NS,Close_AARTECH.NS,High_AARTECH.NS,Low_AARTECH.NS,Open_AARTECH.NS,Volume_AARTECH.NS,Date
2024-03-04,56.739315032958984,56.93333435058594,57.06666564941406,49.83333206176758,52.29999923706055,1154376,2024-03-04
2024-03-11,50.97568893432617,51.150001525878906,58.650001525878906,48.33333206176758,58.31666564941406,760191,2024-03-11
2024-03-18,50.211631774902344,50.383331298828125,53.29999923706055,48.78333282470703,51.349998474121094,558771,2024-03-18
2024-03-25,51.20822525024414,51.383331298828125,54.33333206176758,49.86666488647461,50.383331298828125,235953,2024-03-25
2024-04-01,55.39391326904297,55.58333206176758,58.266666412353516,51.71666717529297,52.733333587646484,296709,2024-04-01
2024-04-08,59.496551513671875,59.70000076293945,60.04999923706055,54.016666412353516,57.266666412353516,786027,2024-04-08
2024-04-15,71.67158508300781,71.91666412353516,72.23332977294922,56.883331298828125,59.0,2536620,2024-04-15
2024-04-22,72.63495635986328,72.88333129882812,76.66666412353516,64.66666412353516,74.0,1184673,2024-04-22
2024-04-29,85.77336120605469,86.06666564941406,87.33333587646484,72.0,74.5,904065,2024-04-29
2024-05-06,77.55147552490234,77.81666564941406,84.3499984741211,77.81666564941406,84.3499984741211,12480,2024-05-06
2024-05-13,74.42882537841797,74.68333435058594,76.26666259765625,71.80000305175781,76.26666259765625,40863,2024-05-13
2024-05-20,71.4722671508789,71.71666717529297,76.16666412353516,71.71666717529297,73.23332977294922,50493,2024-05-20
2024-05-27,65.44288635253906,65.66666412353516,71.73332977294922,65.66666412353516,70.28333282470703,42378,2024-05-27
2024-06-03,61.589393615722656,61.79999923706055,64.36666870117188,59.416664123535156,64.36666870117188,82803,2024-06-03
2024-06-10,74.1996078491211,74.45333099365234,75.05999755859375,61.016666412353516,63.33000183105469,225510,2024-06-10
2024-06-17,74.69125366210938,74.94666290283203,78.66666412353516,73.33333587646484,74.45333099365234,116130,2024-06-17
2024-06-24,67.50914764404297,67.73999786376953,73.44666290283203,67.73999786376953,73.44666290283203,22074,2024-06-24
2024-07-01,61.85515213012695,62.06666564941406,66.5,62.06666564941406,66.38333129882812,58131,2024-07-01
2024-07-08,67.9576187133789,68.19000244140625,68.19000244140625,62.099998474121094,63.0,170952,2024-07-08
2024-07-15,62.675682067871094,62.88999938964844,68.19000244140625,62.88999938964844,68.19000244140625,5469,2024-07-15
2024-07-22,68.10710144042969,68.33999633789062,68.33999633789062,61.630001068115234,64.14666748046875,60660,2024-07-22
2024-07-29,72.77115631103516,73.0199966430664,77.0,66.66666412353516,71.75666809082031,742377,2024-07-29
2024-08-05,74.11656188964844,74.37000274658203,80.0,70.66666412353516,73.43333435058594,1002393,2024-08-05
2024-08-12,67.9476547241211,68.18000030517578,79.5,67.83999633789062,75.0,743243,2024-08-12
2024-08-19,73.38904571533203,73.63999938964844,73.63999938964844,66.01000213623047,68.4000015258789,680180,2024-08-19
2024-08-26,72.2529296875,72.5,85.20999908447266,71.05000305175781,75.6500015258789,1871402,2024-08-26
2024-09-02,77.38538360595703,77.6500015258789,83.0,72.5,73.9800033569336,1526600,2024-09-02
2024-09-09,76.50837707519531,76.7699966430664,81.83000183105469,76.0,78.5,717102,2024-09-09
2024-09-16,73.11000061035156,73.36000061035156,82.7699966430664,73.36000061035156,78.80000305175781,977782,2024-09-16
2024-09-23,72.65157318115234,72.9000015258789,78.68000030517578,69.5,71.0999984741211,1899504,2024-09-23
2024-09-30,68.3499984741211,68.3499984741211,77.0,68.3499984741211,73.5,2437634,2024-09-30
2024-10-07,65.69000244140625,65.69000244140625,70.0199966430664,63.20000076293945,67.80000305175781,883167,2024-10-07
2024-10-14,65.05999755859375,65.05999755859375,74.5,63.720001220703125,67.29000091552734,1204574,2024-10-14
2024-10-21,60.880001068115234,60.880001068115234,65.8499984741211,60.45000076293945,65.8499984741211,303677,2024-10-21
2024-10-28,62.95000076293945,62.95000076293945,63.0,59.65999984741211,59.65999984741211,169865,2024-10-28
2024-11-04,61.290000915527344,61.290000915527344,64.87999725341797,60.150001525878906,63.9900016784668,187100,2024-11-04
2024-11-11,59.209999084472656,59.209999084472656,62.59000015258789,58.099998474121094,61.310001373291016,109047,2024-11-11
2024-11-18,73.02999877929688,73.02999877929688,74.80000305175781,60.290000915527344,60.5099983215332,635825,2024-11-18
2024-11-25,80.9800033569336,80.9800033569336,82.88999938964844,71.0,78.0,3423884,2024-11-25
2024-12-02,79.7300033569336,79.7300033569336,87.4000015258789,78.12000274658203,82.0,1870379,2024-12-02
2024-12-09,79.55999755859375,79.55999755859375,83.0,75.5,80.29000091552734,795771,2024-12-09
2024-12-16,82.5199966430664,82.5199966430664,82.83999633789062,73.11000061035156,80.9000015258789,1485750,2024-12-16
2024-12-23,82.26000213623047,82.26000213623047,86.37999725341797,76.5999984741211,85.77999877929688,509582,2024-12-23
2024-12-30,91.05000305175781,91.05000305175781,91.05000305175781,77.91000366210938,82.56999969482422,1370956,2024-12-30
2025-01-06,86.05999755859375,86.05999755859375,105.38999938964844,86.05999755859375,93.94999694824219,4982893,2025-01-06
2025-01-13,72.72000122070312,72.72000122070312,81.75,71.56999969482422,81.75,652491,2025-01-13
2025-01-20,66.9000015258789,66.9000015258789,72.97000122070312,65.11000061035156,72.69000244140625,292494,2025-01-20
2025-01-27,67.80999755859375,67.80999755859375,70.98999786376953,61.06999969482422,66.9800033569336,283799,2025-01-27
2025-02-03,67.47000122070312,67.47000122070312,70.95999908447266,65.19999694824219,67.5,88896,2025-02-03
2025-02-10,66.5199966430664,66.5199966430664,68.80000305175781,61.349998474121094,68.80000305175781,77270,2025-02-10
2025-02-17,63.22999954223633,63.22999954223633,68.68000030517578,61.099998474121094,66.5199966430664,90785,2025-02-17
2025-02-24,58.88999938964844,58.88999938964844,63.22999954223633,58.25,63.22999954223633,53278,2025-02-24
2025-03-03,63.02000045776367,63.02000045776367,63.849998474121094,55.209999084472656,58.88999938964844,93087,2025-03-03
2025-03-10,58.720001220703125,58.720001220703125,64.0999984741211,58.150001525878906,64.0999984741211,194590,2025-03-10
2025-03-17,56.290000915527344,56.290000915527344,61.25,54.5,60.0,429461,2025-03-17
2025-03-24,52.31999969482422,52.31999969482422,57.25,52.099998474121094,57.0,360377,2025-03-24
2025-03-31,54.63999938964844,54.63999938964844,56.79999923706055,49.75,52.31999969482422,102984,2025-03-31
2025-04-07,54.369998931884766,54.369998931884766,55.849998474121094,51.5,51.900001525878906,51152,2025-04-07
2025-04-14,61.25,61.25,62.91999816894531,54.369998931884766,54.369998931884766,252114,2025-04-14
2025-04-21,57.36000061035156,57.36000061035156,64.30999755859375,56.95000076293945,63.0,302109,2025-04-21
2025-04-28,55.349998474121094,55.349998474121094,58.75,55.0099983215332,57.0099983215332,67281,2025-04-28
2025-05-05,52.54999923706055,52.54999923706055,58.08000183105469,51.040000915527344,56.88999938964844,155571,2025-05-05
2025-05-12,59.720001220703125,59.720001220703125,61.400001525878906,53.599998474121094,54.95000076293945,319487,2025-05-12
2025-05-19,58.25,58.25,60.900001525878906,52.810001373291016,60.29999923706055,658056,2025-05-19
2025-05-26,57.720001220703125,57.720001220703125,64.02999877929688,56.20000076293945,60.20000076293945,898957,2025-05-26
2025-06-02,60.9900016784668,60.9900016784668,61.880001068115234,55.599998474121094,57.9900016784668,234833,2025-06-02
2025-06-09,72.12999725341797,72.12999725341797,76.79000091552734,57.099998474121094,61.099998474121094,4658686,2025-06-09
2025-06-16,66.27999877929688,66.27999877929688,72.5,64.36000061035156,71.51000213623047,747059,2025-06-16
2025-06-23,70.91000366210938,70.91000366210938,74.0,64.52999877929688,65.0,1213370,2025-06-23
2025-06-30,68.94000244140625,68.94000244140625,72.0,65.61000061035156,71.29000091552734,697143,2025-06-30
2025-07-07,70.51000213623047,70.51000213623047,76.23999786376953,66.0,68.94999694824219,3158585,2025-07-07
2025-07-14,70.44999694824219,70.44999694824219,72.01000213623047,69.12999725341797,70.93000030517578,301045,2025-07-14
