Date,Adj Close_GUJALKALI.NS,Close_GUJALKALI.NS,High_GUJALKALI.NS,Low_GUJALKALI.NS,Open_GUJALKALI.NS,Volume_GUJALKALI.NS,Date
2022-04-04,874.1143188476562,912.9000244140625,974.4000244140625,870.0,958.0,3868108,2022-04-04
2022-04-11,863.4380493164062,901.75,952.0,884.0,920.0999755859375,1966003,2022-04-11
2022-04-18,920.027099609375,960.8499755859375,1000.0,857.1500244140625,895.0,7633650,2022-04-18
2022-04-25,951.7686767578125,994.0,1039.0,897.75,954.0999755859375,9199731,2022-04-25
2022-05-02,872.1993408203125,910.9000244140625,1044.699951171875,902.4000244140625,980.0,4151981,2022-05-02
2022-05-09,728.8594970703125,761.2000122070312,919.5,753.9500122070312,900.0,4240009,2022-05-09
2022-05-16,867.9862060546875,906.5,918.9000244140625,738.5499877929688,762.0,4316188,2022-05-16
2022-05-23,765.053466796875,799.0,929.2999877929688,758.0,910.0,5467638,2022-05-23
2022-05-30,774.9637451171875,809.3499755859375,833.8499755859375,795.0999755859375,802.0499877929688,2374762,2022-05-30
2022-06-06,732.9767456054688,765.5,817.9000244140625,756.9000244140625,803.75,1139217,2022-06-06
2022-06-13,687.590576171875,718.0999755859375,750.0499877929688,707.25,750.0,1873034,2022-06-13
2022-06-20,644.9812622070312,673.5999755859375,723.8499755859375,639.2000122070312,720.0,1479262,2022-06-20
2022-06-27,659.5354614257812,688.7999877929688,718.7000122070312,664.4000244140625,685.0,1790721,2022-06-27
2022-07-04,682.2285766601562,712.5,717.5999755859375,683.0999755859375,690.9000244140625,1396841,2022-07-04
2022-07-11,654.9873046875,684.0499877929688,730.0,678.0,710.0999755859375,1329993,2022-07-11
2022-07-18,699.080810546875,730.0999755859375,737.0,687.0999755859375,690.7000122070312,1646445,2022-07-18
2022-07-25,720.6248168945312,752.5999755859375,759.5,708.1500244140625,731.4000244140625,1665479,2022-07-25
2022-08-01,722.8271484375,754.9000244140625,827.7000122070312,738.2000122070312,748.0,3829124,2022-08-01
2022-08-08,735.2748413085938,767.9000244140625,793.7999877929688,741.0,757.4000244140625,2008878,2022-08-08
2022-08-15,840.4097900390625,877.7000122070312,923.5,766.8499755859375,767.9000244140625,7482675,2022-08-15
2022-08-22,859.8473510742188,898.0,934.9000244140625,855.5,877.2999877929688,2820362,2022-08-22
2022-08-29,854.2459106445312,892.1500244140625,922.7000122070312,868.8499755859375,876.0,1268727,2022-08-29
2022-09-05,903.0791625976562,943.1500244140625,988.5499877929688,884.0999755859375,895.0,5337072,2022-09-05
2022-09-12,876.3165893554688,915.2000122070312,983.5,893.1500244140625,947.9000244140625,2437470,2022-09-12
2022-09-19,838.9735717773438,876.2000122070312,926.75,869.9000244140625,917.0,1115870,2022-09-19
2022-09-26,821.71875,848.6500244140625,864.9500122070312,816.5999755859375,863.1500244140625,1195663,2022-09-26
2022-10-03,880.201904296875,909.0499877929688,914.9500122070312,826.0,843.9000244140625,992116,2022-10-03
2022-10-10,856.9151611328125,885.0,940.0,880.0499877929688,900.0,1683974,2022-10-10
2022-10-17,868.1470336914062,896.5999755859375,949.6500244140625,859.5,879.9000244140625,3207061,2022-10-17
2022-10-24,845.9253540039062,873.6500244140625,904.9500122070312,866.9000244140625,896.5999755859375,497334,2022-10-24
2022-10-31,864.1287231445312,892.4500122070312,910.0,872.0,878.9000244140625,662678,2022-10-31
2022-11-07,784.585693359375,810.2999877929688,914.7000122070312,803.7999877929688,894.0,1205426,2022-11-07
2022-11-14,745.5161743164062,769.9500122070312,829.0,764.5,810.5999755859375,541348,2022-11-14
2022-11-21,762.2672119140625,787.25,805.0,760.0,768.0,601651,2022-11-21
2022-11-28,768.802978515625,794.0,804.4500122070312,786.0,790.0,326138,2022-11-28
2022-12-05,746.8717041015625,771.3499755859375,810.0999755859375,765.6500244140625,791.25,459627,2022-12-05
2022-12-12,729.878662109375,753.7999877929688,785.0,751.75,769.7999877929688,285613,2022-12-12
2022-12-19,678.17333984375,700.4000244140625,769.25,693.0,757.5999755859375,373588,2022-12-19
2022-12-26,742.756591796875,767.0999755859375,793.5,691.8499755859375,700.4000244140625,789278,2022-12-26
2023-01-02,726.973876953125,750.7999877929688,783.4500122070312,745.3499755859375,767.0999755859375,341163,2023-01-02
2023-01-09,706.7371826171875,729.9000244140625,760.5999755859375,728.5,750.5999755859375,200303,2023-01-09
2023-01-16,697.8775024414062,720.75,738.4000244140625,718.5,730.6500244140625,179254,2023-01-16
2023-01-23,662.1484985351562,683.8499755859375,724.9500122070312,680.1500244140625,721.2999877929688,208792,2023-01-23
2023-01-30,648.88330078125,670.1500244140625,717.25,661.0999755859375,684.8499755859375,314573,2023-01-30
2023-02-06,649.8031005859375,671.0999755859375,695.0,656.0499877929688,670.9500122070312,317015,2023-02-06
2023-02-13,639.1521606445312,660.0999755859375,675.2000122070312,640.0,671.4000244140625,329113,2023-02-13
2023-02-20,618.9154663085938,639.2000122070312,662.9500122070312,630.8499755859375,658.0999755859375,202444,2023-02-20
2023-02-27,615.3328857421875,635.5,650.0,610.1500244140625,639.1500244140625,255268,2023-02-27
2023-03-06,619.0606689453125,639.3499755859375,656.0,632.7999877929688,638.7000122070312,268845,2023-03-06
2023-03-13,585.9944458007812,605.2000122070312,640.5499877929688,596.0499877929688,639.3499755859375,297606,2023-03-13
2023-03-20,566.2901611328125,584.8499755859375,612.25,581.0,608.25,407252,2023-03-20
2023-03-27,566.5806884765625,585.1500244140625,598.4500122070312,556.3499755859375,580.0,455724,2023-03-27
2023-04-03,597.904052734375,617.5,634.3499755859375,585.1500244140625,587.9500122070312,430771,2023-04-03
2023-04-10,627.1456909179688,647.7000122070312,670.0,615.5,620.5,1008934,2023-04-10
2023-04-17,605.45654296875,625.2999877929688,660.9500122070312,623.0,644.9500122070312,424666,2023-04-17
2023-04-24,662.7294921875,684.4500122070312,744.7999877929688,622.0,627.0499877929688,8677523,2023-04-24
2023-05-01,670.2819213867188,692.25,711.75,680.1500244140625,684.4500122070312,1142022,2023-05-01
2023-05-08,670.0882568359375,692.0499877929688,705.5499877929688,675.2999877929688,695.2999877929688,760206,2023-05-08
2023-05-15,668.393798828125,690.2999877929688,711.7000122070312,680.5999755859375,688.8499755859375,752612,2023-05-15
2023-05-22,633.0037231445312,653.75,693.75,645.0,692.0,651823,2023-05-22
2023-05-29,628.7432861328125,649.3499755859375,658.8499755859375,644.4000244140625,657.0,298608,2023-05-29
2023-06-05,651.013427734375,672.3499755859375,680.0,646.0999755859375,656.9500122070312,536099,2023-06-05
2023-06-12,661.3739013671875,683.0499877929688,697.75,665.9000244140625,672.0,695957,2023-06-12
2023-06-19,657.6460571289062,679.2000122070312,695.0,671.3499755859375,683.0,362452,2023-06-19
2023-06-26,656.484130859375,678.0,698.0,670.0,677.9500122070312,394299,2023-06-26
2023-07-03,652.5626831054688,673.9500122070312,684.4000244140625,665.5499877929688,678.0,360187,2023-07-03
2023-07-10,650.674560546875,672.0,693.0,670.2000122070312,677.0499877929688,497619,2023-07-10
2023-07-17,648.6412353515625,669.9000244140625,687.0,664.25,671.8499755859375,274043,2023-07-17
2023-07-24,634.0203857421875,654.7999877929688,672.5,645.0,672.5,348142,2023-07-24
2023-07-31,653.724609375,675.1500244140625,677.0,648.3499755859375,658.0999755859375,411366,2023-07-31
2023-08-07,626.1774291992188,646.7000122070312,680.0,627.7999877929688,677.5,658175,2023-08-07
2023-08-14,614.2677612304688,634.4000244140625,650.0,623.0,650.0,225344,2023-08-14
2023-08-21,631.3092651367188,652.0,669.6500244140625,634.5999755859375,642.0,432126,2023-08-21
2023-08-28,708.7221069335938,731.9500122070312,746.0,653.25,655.0,2412662,2023-08-28
2023-09-04,716.371337890625,739.8499755859375,756.0,735.0499877929688,739.3499755859375,961193,2023-09-04
2023-09-11,718.5499877929688,742.0999755859375,753.0,703.0499877929688,743.5499877929688,1003221,2023-09-11
2023-09-18,675.8978881835938,698.0499877929688,723.5,680.5499877929688,722.0,442399,2023-09-18
2023-09-25,732.6500244140625,732.6500244140625,740.7000122070312,686.0,700.0,775907,2023-09-25
2023-10-02,726.0,726.0,739.0,716.0,732.6500244140625,376109,2023-10-02
2023-10-09,766.25,766.25,770.0,702.2999877929688,716.0,1711765,2023-10-09
2023-10-16,785.5,785.5,809.0,767.0999755859375,777.0,2190122,2023-10-16
2023-10-23,720.0,720.0,790.5999755859375,670.0499877929688,786.0,838638,2023-10-23
2023-10-30,732.2999877929688,732.2999877929688,736.7999877929688,702.0,715.7999877929688,314098,2023-10-30
2023-11-06,724.0499877929688,724.0499877929688,746.0,700.5499877929688,737.5,607202,2023-11-06
2023-11-13,726.1500244140625,726.1500244140625,736.0,720.75,731.0,181564,2023-11-13
2023-11-20,718.2999877929688,718.2999877929688,736.0,711.0,726.1500244140625,289270,2023-11-20
2023-11-27,724.7999877929688,724.7999877929688,733.9500122070312,711.0,718.2999877929688,247639,2023-11-27
2023-12-04,744.5,744.5,767.9500122070312,725.0,733.5,880916,2023-12-04
2023-12-11,756.4500122070312,756.4500122070312,769.9000244140625,715.2999877929688,747.2999877929688,558031,2023-12-11
2023-12-18,751.4500122070312,751.4500122070312,776.7999877929688,715.2000122070312,760.0,585655,2023-12-18
2023-12-25,776.75,776.75,799.0,751.4500122070312,751.4500122070312,1381683,2023-12-25
2024-01-01,805.0,805.0,837.2999877929688,778.0,780.6500244140625,2514531,2024-01-01
2024-01-08,779.0499877929688,779.0499877929688,807.8499755859375,770.0,805.0,538490,2024-01-08
2024-01-15,777.4000244140625,777.4000244140625,787.0,735.5499877929688,782.9500122070312,402764,2024-01-15
2024-01-22,769.5499877929688,769.5499877929688,785.0,749.5,777.4000244140625,235089,2024-01-22
2024-01-29,792.9000244140625,792.9000244140625,804.5,760.0999755859375,771.0,739330,2024-01-29
2024-02-05,801.7000122070312,801.7000122070312,844.2000122070312,740.2999877929688,760.0,2103131,2024-02-05
2024-02-12,812.25,812.25,821.0,753.0,795.0,709520,2024-02-12
2024-02-19,821.5999755859375,821.5999755859375,868.7999877929688,800.2999877929688,812.2000122070312,1648940,2024-02-19
2024-02-26,811.0,811.0,827.9500122070312,795.0999755859375,820.0,527012,2024-02-26
2024-03-04,786.5,786.5,814.7999877929688,778.0,810.0999755859375,290316,2024-03-04
2024-03-11,701.25,701.25,791.0,682.6500244140625,790.4500122070312,451610,2024-03-11
2024-03-18,696.0,696.0,711.3499755859375,674.4000244140625,701.25,283795,2024-03-18
2024-03-25,673.4500122070312,673.4500122070312,709.0,664.0499877929688,696.0,415042,2024-03-25
2024-04-01,779.7999877929688,779.7999877929688,789.0,674.0999755859375,683.0,578442,2024-04-01
2024-04-08,813.5999755859375,813.5999755859375,831.9500122070312,761.4000244140625,784.75,653207,2024-04-08
2024-04-15,796.3499755859375,796.3499755859375,818.0999755859375,770.2999877929688,800.0,321671,2024-04-15
2024-04-22,805.5499877929688,805.5499877929688,814.2000122070312,791.9000244140625,797.0,275369,2024-04-22
2024-04-29,793.3499755859375,793.3499755859375,814.5499877929688,780.0,809.8499755859375,173843,2024-04-29
2024-05-06,774.1500244140625,774.1500244140625,799.2000122070312,763.0,792.0,456419,2024-05-06
2024-05-13,812.9500122070312,812.9500122070312,832.25,738.0,774.1500244140625,490538,2024-05-13
2024-05-20,799.8499755859375,799.8499755859375,819.0,793.0,809.1500244140625,259479,2024-05-20
2024-05-27,762.5,762.5,801.0,734.0,795.5,305722,2024-05-27
2024-06-03,742.5999755859375,742.5999755859375,792.2999877929688,645.0,765.0,552179,2024-06-03
2024-06-10,789.1500244140625,789.1500244140625,793.2000122070312,738.0999755859375,748.7000122070312,350404,2024-06-10
2024-06-17,788.4500122070312,788.4500122070312,819.0,765.4000244140625,789.1500244140625,467382,2024-06-17
2024-06-24,770.2999877929688,770.2999877929688,797.2000122070312,764.9500122070312,785.0,198145,2024-06-24
2024-07-01,779.2999877929688,779.2999877929688,800.0999755859375,772.0,774.2000122070312,309241,2024-07-01
2024-07-08,778.0999755859375,778.0999755859375,807.9000244140625,764.0499877929688,779.0,290123,2024-07-08
2024-07-15,769.4000244140625,769.4000244140625,788.5499877929688,755.0499877929688,778.5,225142,2024-07-15
2024-07-22,785.4500122070312,785.4500122070312,826.0,752.1500244140625,767.0,601124,2024-07-22
2024-07-29,786.1500244140625,786.1500244140625,810.0,770.0,790.0,374636,2024-07-29
2024-08-05,744.75,744.75,775.0,723.25,770.5,384599,2024-08-05
2024-08-12,720.7999877929688,720.7999877929688,751.0,709.4500122070312,744.75,243252,2024-08-12
2024-08-19,772.9000244140625,772.9000244140625,805.2000122070312,724.7999877929688,725.5,289490,2024-08-19
2024-08-26,770.4500122070312,770.4500122070312,799.0,766.0499877929688,769.0499877929688,234014,2024-08-26
2024-09-02,786.25,786.25,798.2000122070312,768.5499877929688,776.0,324750,2024-09-02
2024-09-09,840.6500244140625,840.6500244140625,865.0,768.75,790.2000122070312,2314643,2024-09-09
2024-09-16,815.5,815.5,869.2999877929688,799.7999877929688,849.0999755859375,789474,2024-09-16
2024-09-23,827.0999755859375,827.0999755859375,836.5,797.5,815.0,338249,2024-09-23
2024-09-30,811.0499877929688,811.0499877929688,844.9500122070312,806.0,822.0,258005,2024-09-30
2024-10-07,875.2999877929688,875.2999877929688,900.0,775.0,812.0,2241772,2024-10-07
2024-10-14,821.0,821.0,892.0,797.0,876.9000244140625,941571,2024-10-14
2024-10-21,835.2000122070312,835.2000122070312,844.9000244140625,789.0,825.0,610860,2024-10-21
2024-10-28,849.0499877929688,849.0499877929688,871.9000244140625,812.1500244140625,840.0,387951,2024-10-28
2024-11-04,807.75,807.75,894.2000122070312,800.3499755859375,849.0999755859375,672212,2024-11-04
2024-11-11,783.5499877929688,783.5499877929688,816.4000244140625,760.5,809.0,275247,2024-11-11
2024-11-18,759.9500122070312,759.9500122070312,796.0499877929688,737.2000122070312,782.5,170448,2024-11-18
2024-11-25,786.6500244140625,786.6500244140625,792.0,762.2999877929688,765.8499755859375,139223,2024-11-25
2024-12-02,794.3499755859375,794.3499755859375,807.7000122070312,776.0999755859375,786.6500244140625,182544,2024-12-02
2024-12-09,776.75,776.75,822.5499877929688,763.0,791.5499877929688,490294,2024-12-09
2024-12-16,743.8499755859375,743.8499755859375,788.4500122070312,733.9000244140625,771.0999755859375,211788,2024-12-16
2024-12-23,754.9000244140625,754.9000244140625,759.9500122070312,727.7000122070312,746.0999755859375,119041,2024-12-23
2024-12-30,749.75,749.75,764.4000244140625,735.0,760.0,141133,2024-12-30
2025-01-06,738.2999877929688,738.2999877929688,768.4000244140625,707.5999755859375,755.2000122070312,159369,2025-01-06
2025-01-13,738.9500122070312,738.9500122070312,752.5499877929688,717.0,735.0,159544,2025-01-13
2025-01-20,698.0499877929688,698.0499877929688,751.0,695.0499877929688,740.25,111745,2025-01-20
2025-01-27,675.7000122070312,675.7000122070312,710.0,653.0,695.0,163420,2025-01-27
2025-02-03,662.5,662.5,699.8499755859375,650.25,671.0,98993,2025-02-03
2025-02-10,578.6500244140625,578.6500244140625,676.7000122070312,573.8499755859375,660.0,180743,2025-02-10
2025-02-17,579.2999877929688,579.2999877929688,598.9500122070312,560.2000122070312,582.7999877929688,223282,2025-02-17
2025-02-24,524.1500244140625,524.1500244140625,579.0,516.0499877929688,578.9000244140625,133939,2025-02-24
2025-03-03,542.9500122070312,542.9500122070312,550.0499877929688,483.6000061035156,524.0499877929688,270986,2025-03-03
2025-03-10,516.0999755859375,516.0999755859375,546.2999877929688,506.0,540.0,183809,2025-03-10
2025-03-17,548.0,548.0,553.8499755859375,494.04998779296875,516.0999755859375,248044,2025-03-17
2025-03-24,579.2000122070312,579.2000122070312,631.0,547.9000244140625,552.0,1602956,2025-03-24
2025-03-31,625.75,625.75,698.4000244140625,563.75,579.2000122070312,2753680,2025-03-31
2025-04-07,602.4000244140625,602.4000244140625,633.0,567.9000244140625,576.9000244140625,245023,2025-04-07
2025-04-14,636.2999877929688,636.2999877929688,656.7999877929688,601.9500122070312,602.4000244140625,255587,2025-04-14
2025-04-21,622.9000244140625,622.9000244140625,669.7000122070312,613.5499877929688,641.0,355178,2025-04-21
2025-04-28,608.7000122070312,608.7000122070312,640.1500244140625,595.0499877929688,622.5499877929688,158208,2025-04-28
2025-05-05,609.9000244140625,609.9000244140625,638.0,578.0999755859375,611.7999877929688,318791,2025-05-05
2025-05-12,652.3499755859375,652.3499755859375,658.9000244140625,618.8499755859375,625.0,188895,2025-05-12
2025-05-19,597.9000244140625,597.9000244140625,684.3499755859375,592.2000122070312,667.9500122070312,745356,2025-05-19
2025-05-26,574.0,574.0,612.0,562.5,600.0,681389,2025-05-26
2025-06-02,589.4000244140625,589.4000244140625,599.0499877929688,574.0999755859375,577.0999755859375,283787,2025-06-02
2025-06-09,591.2999877929688,591.2999877929688,605.9000244140625,576.0,594.0999755859375,292467,2025-06-09
2025-06-16,570.2000122070312,570.2000122070312,594.9500122070312,567.8499755859375,594.5,139110,2025-06-16
2025-06-23,606.4500122070312,606.4500122070312,615.0,563.4500122070312,565.0,406538,2025-06-23
2025-06-30,579.7000122070312,579.7000122070312,618.0,577.9000244140625,606.4500122070312,339439,2025-06-30
2025-07-07,591.5,591.5,599.9500122070312,570.5499877929688,583.9000244140625,232644,2025-07-07
2025-07-14,591.5,591.5,594.7999877929688,583.0,590.0,55052,2025-07-14
