Date,Adj Close_KALAMANDIR.NS,Close_KALAMANDIR.NS,High_KALAMANDIR.NS,Low_KALAMANDIR.NS,Open_KALAMANDIR.NS,Volume_KALAMANDIR.NS,Date
2024-01-22,243.73977661132812,245.10000610351562,248.8000030517578,231.89999389648438,244.10000610351562,1183679,2024-01-22
2024-01-29,234.83944702148438,236.14999389648438,255.0,234.3000030517578,245.10000610351562,2316837,2024-01-29
2024-02-05,247.31979370117188,248.6999969482422,253.0,229.5500030517578,238.0,2348800,2024-02-05
2024-02-12,236.48028564453125,237.8000030517578,246.8000030517578,230.0500030517578,234.0,2526895,2024-02-12
2024-02-19,235.1875,236.5,240.5,229.5,238.0500030517578,1493824,2024-02-19
2024-02-26,227.82858276367188,229.10000610351562,243.64999389648438,223.64999389648438,236.5,1696800,2024-02-26
2024-03-04,209.331787109375,210.5,234.9499969482422,203.0500030517578,229.89999389648438,1978581,2024-03-04
2024-03-11,179.05078125,180.0500030517578,214.0,168.39999389648438,214.0,5534478,2024-03-11
2024-03-18,193.91781616210938,195.0,199.0,174.10000610351562,179.10000610351562,3884383,2024-03-18
2024-03-25,199.287841796875,200.39999389648438,204.10000610351562,190.0,195.0,2143634,2024-03-25
2024-04-01,202.1220245361328,203.25,207.9499969482422,198.0,200.39999389648438,990664,2024-04-01
2024-04-08,206.9948272705078,208.14999389648438,217.64999389648438,196.5,204.0,1699386,2024-04-08
2024-04-15,213.25987243652344,214.4499969482422,218.14999389648438,197.6999969482422,203.0500030517578,1452996,2024-04-15
2024-04-22,200.82923889160156,201.9499969482422,217.9499969482422,201.0,217.85000610351562,1153644,2024-04-22
2024-04-29,191.33224487304688,192.39999389648438,206.0,190.10000610351562,202.39999389648438,1250829,2024-04-29
2024-05-06,183.923583984375,184.9499969482422,194.8000030517578,181.10000610351562,194.8000030517578,1023737,2024-05-06
2024-05-13,185.26609802246094,186.3000030517578,188.5,180.10000610351562,185.6999969482422,918814,2024-05-13
2024-05-20,173.13380432128906,174.10000610351562,191.75,170.6999969482422,187.9499969482422,974184,2024-05-20
2024-05-27,173.33270263671875,174.3000030517578,185.0,169.0,179.10000610351562,1500312,2024-05-27
2024-06-03,177.90716552734375,178.89999389648438,184.89999389648438,144.0,177.0,1877854,2024-06-03
2024-06-10,178.34471130371094,179.33999633789062,182.0500030517578,172.47000122070312,178.89999389648438,1001138,2024-06-10
2024-06-17,170.458740234375,171.41000366210938,180.89999389648438,164.00999450683594,179.33999633789062,3361168,2024-06-17
2024-06-24,185.8528289794922,186.88999938964844,190.0,169.97000122070312,172.39999389648438,3035936,2024-06-24
2024-07-01,176.55470275878906,177.5399932861328,203.5,176.89999389648438,187.39999389648438,3272116,2024-07-01
2024-07-08,170.27972412109375,171.22999572753906,180.0,169.89999389648438,178.5500030517578,1325897,2024-07-08
2024-07-15,167.06765747070312,168.0,175.5,166.8699951171875,172.39999389648438,756574,2024-07-15
2024-07-22,171.45318603515625,172.41000366210938,174.0,161.0,168.0,1514124,2024-07-22
2024-07-29,165.99365234375,166.9199981689453,174.9499969482422,165.00999450683594,172.41000366210938,1290080,2024-07-29
2024-08-05,155.0248565673828,155.88999938964844,166.38999938964844,155.32000732421875,164.52000427246094,1479555,2024-08-05
2024-08-12,151.05699157714844,151.89999389648438,160.64999389648438,143.9199981689453,155.0500030517578,1622304,2024-08-12
2024-08-19,174.14813232421875,175.1199951171875,180.4499969482422,152.1999969482422,152.1999969482422,3710003,2024-08-19
2024-08-26,169.64328002929688,170.58999633789062,181.3000030517578,167.75,181.3000030517578,1883507,2024-08-26
2024-09-02,178.4739990234375,179.47000122070312,183.11000061035156,168.30999755859375,171.8000030517578,2165699,2024-09-02
2024-09-09,172.63658142089844,173.60000610351562,181.77999877929688,168.30999755859375,179.47000122070312,3532707,2024-09-09
2024-09-16,180.51263427734375,181.52000427246094,189.99000549316406,174.0,174.0,6357861,2024-09-16
2024-09-23,177.16000366210938,177.16000366210938,194.5,176.10000610351562,183.0,3410935,2024-09-23
2024-09-30,169.5,169.5,179.89999389648438,168.50999450683594,176.60000610351562,1300282,2024-09-30
2024-10-07,175.16000366210938,175.16000366210938,177.50999450683594,164.16000366210938,170.60000610351562,1256280,2024-10-07
2024-10-14,168.3800048828125,168.3800048828125,176.32000732421875,166.2100067138672,176.27999877929688,705477,2024-10-14
2024-10-21,162.5800018310547,162.5800018310547,172.57000732421875,154.99000549316406,172.0,1330250,2024-10-21
2024-10-28,178.8699951171875,178.8699951171875,180.89999389648438,163.91000366210938,163.9199981689453,1019206,2024-10-28
2024-11-04,174.5800018310547,174.5800018310547,184.39999389648438,172.5500030517578,180.38999938964844,1612910,2024-11-04
2024-11-11,157.4600067138672,157.4600067138672,176.11000061035156,156.05999755859375,176.11000061035156,879740,2024-11-11
2024-11-18,160.7100067138672,160.7100067138672,166.38999938964844,157.0399932861328,157.4600067138672,1113523,2024-11-18
2024-11-25,171.61000061035156,171.61000061035156,172.99000549316406,159.5,164.0,1126172,2024-11-25
2024-12-02,192.92999267578125,192.92999267578125,197.0,170.0,172.47999572753906,4250233,2024-12-02
2024-12-09,181.52999877929688,181.52999877929688,194.75,178.11000061035156,192.89999389648438,1421519,2024-12-09
2024-12-16,167.5800018310547,167.5800018310547,182.25999450683594,166.61000061035156,181.33999633789062,1267143,2024-12-16
2024-12-23,166.85000610351562,166.85000610351562,174.0,164.64999389648438,168.25,914316,2024-12-23
2024-12-30,174.61000061035156,174.61000061035156,183.9499969482422,165.4199981689453,166.85000610351562,2280667,2024-12-30
2025-01-06,164.38999938964844,164.38999938964844,175.5,161.50999450683594,174.99000549316406,749542,2025-01-06
2025-01-13,160.6199951171875,160.6199951171875,162.33999633789062,146.64999389648438,162.0,1376468,2025-01-13
2025-01-20,166.41000366210938,166.41000366210938,175.0,157.0,162.9499969482422,995304,2025-01-20
2025-01-27,172.5500030517578,172.5500030517578,181.0,156.39999389648438,160.0,3173927,2025-01-27
2025-02-03,174.02000427246094,174.02000427246094,182.5,167.22000122070312,169.88999938964844,2346827,2025-02-03
2025-02-10,161.27999877929688,161.27999877929688,177.97999572753906,158.25999450683594,173.89999389648438,1355870,2025-02-10
2025-02-17,156.08999633789062,156.08999633789062,163.88999938964844,151.30999755859375,160.25,949608,2025-02-17
2025-02-24,135.72000122070312,135.72000122070312,158.5,133.58999633789062,154.10000610351562,923562,2025-02-24
2025-03-03,145.02000427246094,145.02000427246094,146.0,125.80000305175781,137.75,2010855,2025-03-03
2025-03-10,126.83000183105469,126.83000183105469,147.1999969482422,124.56999969482422,147.0,1487994,2025-03-10
2025-03-17,142.3800048828125,142.3800048828125,143.8000030517578,125.20999908447266,128.10000610351562,1484190,2025-03-17
2025-03-24,131.74000549316406,131.74000549316406,148.69000244140625,130.14999389648438,143.8000030517578,2135735,2025-03-24
2025-03-31,131.9499969482422,131.9499969482422,140.72000122070312,130.64999389648438,131.74000549316406,901064,2025-03-31
2025-04-07,131.3800048828125,131.3800048828125,132.97000122070312,121.26000213623047,122.5999984741211,790099,2025-04-07
2025-04-14,125.37000274658203,125.37000274658203,138.64999389648438,123.9000015258789,131.3800048828125,1570702,2025-04-14
2025-04-21,121.97000122070312,121.97000122070312,132.8800048828125,113.94999694824219,126.48999786376953,6998687,2025-04-21
2025-04-28,116.93000030517578,116.93000030517578,124.0,116.20999908447266,122.01000213623047,1430242,2025-04-28
2025-05-05,113.51000213623047,113.51000213623047,119.58999633789062,113.0,117.66999816894531,1337962,2025-05-05
2025-05-12,126.1500015258789,126.1500015258789,128.44000244140625,116.02999877929688,116.02999877929688,1861063,2025-05-12
2025-05-19,118.3499984741211,118.3499984741211,123.55000305175781,115.0,122.0,2945880,2025-05-19
2025-05-26,127.13999938964844,127.13999938964844,129.16000366210938,116.75,119.54000091552734,4498114,2025-05-26
2025-06-02,135.07000732421875,135.07000732421875,139.8000030517578,125.19999694824219,127.5,5169263,2025-06-02
2025-06-09,138.94000244140625,138.94000244140625,147.4499969482422,134.1999969482422,136.3800048828125,4221265,2025-06-09
2025-06-16,138.89999389648438,138.89999389648438,140.88999938964844,130.69000244140625,137.00999450683594,2416403,2025-06-16
2025-06-23,141.13999938964844,141.13999938964844,147.60000610351562,133.72999572753906,138.5,2275433,2025-06-23
2025-06-30,162.77999877929688,162.77999877929688,174.5,141.47999572753906,141.5,25910187,2025-06-30
2025-07-07,154.60000610351562,154.60000610351562,164.3800048828125,152.14999389648438,162.77999877929688,4258381,2025-07-07
2025-07-14,153.25999450683594,153.25999450683594,155.5500030517578,152.0500030517578,154.4499969482422,589807,2025-07-14
