Date,Adj Close_NBCC.NS,Close_NBCC.NS,High_NBCC.NS,Low_NBCC.NS,Open_NBCC.NS,Volume_NBCC.NS,Date
2020-12-14,19.847339630126953,20.266666412353516,21.600000381469727,19.833332061767578,20.866666793823242,166407259,2020-12-14
2020-12-21,19.422969818115234,19.833332061767578,20.53333282470703,17.066665649414062,20.200000762939453,94478730,2020-12-21
2020-12-28,19.749408721923828,20.16666603088379,20.466665267944336,19.299999237060547,20.0,70381076,2020-12-28
2021-01-04,21.022510528564453,21.466665267944336,22.466665267944336,20.0,20.366666793823242,173761815,2021-01-04
2021-01-11,21.577451705932617,22.03333282470703,22.799999237060547,20.66666603088379,21.633333206176758,148079409,2021-01-11
2021-01-18,20.532855987548828,20.966665267944336,22.133333206176758,20.700000762939453,22.03333282470703,65894918,2021-01-18
2021-01-25,20.36963653564453,20.799999237060547,21.399999618530273,19.733333587646484,21.100000381469727,46196405,2021-01-25
2021-02-01,20.92458152770996,21.366666793823242,22.53333282470703,20.66666603088379,21.266666412353516,88905577,2021-02-01
2021-02-08,21.316303253173828,21.766666412353516,22.933332443237305,21.366666793823242,21.66666603088379,133712541,2021-02-08
2021-02-15,24.580669403076172,25.100000381469727,26.299999237060547,21.200000762939453,21.866666793823242,283120693,2021-02-15
2021-02-22,27.97560691833496,28.566665649414062,29.299999237060547,23.700000762939453,25.200000762939453,241176846,2021-02-22
2021-03-01,33.1985969543457,33.900001525878906,36.03333282470703,29.066665649414062,29.100000381469727,378548698,2021-03-01
2021-03-08,32.251930236816406,32.93333435058594,34.766666412353516,31.600000381469727,34.266666412353516,78426491,2021-03-08
2021-03-15,29.411928176879883,30.03333282470703,33.06666564941406,26.799999237060547,33.0,116476414,2021-03-15
2021-03-22,29.999515533447266,30.633333206176758,32.900001525878906,29.799999237060547,31.133333206176758,102199435,2021-03-22
2021-03-29,31.305259704589844,31.966665267944336,32.53333282470703,30.633333206176758,30.633333206176758,37606872,2021-03-29
2021-04-05,30.456527709960938,31.100000381469727,32.166664123535156,29.766666412353516,31.833332061767578,82902653,2021-04-05
2021-04-12,27.257448196411133,27.833332061767578,30.0,26.53333282470703,29.799999237060547,67018468,2021-04-12
2021-04-19,25.951702117919922,26.5,27.299999237060547,25.466665267944336,26.399999618530273,53649485,2021-04-19
2021-04-26,26.50664520263672,27.066665649414062,28.200000762939453,26.466665267944336,26.66666603088379,50792434,2021-04-26
2021-05-03,28.726411819458008,29.333332061767578,30.299999237060547,26.600000381469727,26.833332061767578,87883425,2021-05-03
2021-05-10,32.02342224121094,32.70000076293945,34.53333282470703,29.399999618530273,29.733333587646484,174642833,2021-05-10
2021-05-17,32.12135314941406,32.79999923706055,33.900001525878906,32.20000076293945,33.0,83889078,2021-05-17
