Date,Adj Close_NIPPOBATRY.NS,Close_NIPPOBATRY.NS,High_NIPPOBATRY.NS,Low_NIPPOBATRY.NS,Open_NIPPOBATRY.NS,Volume_NIPPOBATRY.NS,Date
2023-10-09,500.71051025390625,505.0,509.8999938964844,490.0,490.0,28455,2023-10-09
2023-10-16,552.7645874023438,557.5,557.5,505.5,515.0999755859375,36590,2023-10-16
2023-10-23,574.428955078125,579.3499755859375,580.0,546.1500244140625,568.6500244140625,79305,2023-10-23
2023-10-30,627.57373046875,632.9500122070312,632.9500122070312,574.0,589.9500122070312,39611,2023-10-30
2023-11-06,692.8148193359375,698.75,698.75,645.0,645.5999755859375,14172,2023-11-06
2023-11-13,702.1845703125,708.2000122070312,722.6500244140625,680.9500122070312,694.8499755859375,44156,2023-11-13
2023-11-20,670.4563598632812,676.2000122070312,709.5,672.9500122070312,694.0499877929688,34166,2023-11-20
2023-11-27,697.1774291992188,703.1500244140625,703.4500122070312,676.2000122070312,676.2000122070312,18051,2023-11-27
2023-12-04,714.9749145507812,721.0999755859375,721.0999755859375,700.0,713.5999755859375,22587,2023-12-04
2023-12-11,674.7694091796875,680.5499877929688,732.8499755859375,680.0,721.0999755859375,24179,2023-12-11
2023-12-18,685.6759643554688,691.5499877929688,715.0,657.25,694.2000122070312,24747,2023-12-18
2023-12-25,780.1664428710938,786.8499755859375,857.7999877929688,691.5499877929688,691.5499877929688,322525,2023-12-25
2024-01-01,729.6492919921875,735.9000244140625,782.9500122070312,732.25,778.2000122070312,47369,2024-01-01
2024-01-08,713.4876708984375,719.5999755859375,757.9500122070312,715.0,746.7999877929688,30950,2024-01-08
2024-01-15,683.9407958984375,689.7999877929688,749.2999877929688,687.0,749.2999877929688,30231,2024-01-15
2024-01-22,657.5667724609375,663.2000122070312,710.6500244140625,658.7000122070312,689.7999877929688,30157,2024-01-22
2024-01-29,629.407958984375,634.7999877929688,692.9500122070312,630.2000122070312,663.5,48526,2024-01-29
2024-02-05,692.6165161132812,698.5499877929688,740.0,620.75,649.0,136218,2024-02-05
2024-02-12,636.5468139648438,642.0,727.5499877929688,639.0999755859375,707.0,106425,2024-02-12
2024-02-19,654.542724609375,660.1500244140625,700.0,645.2000122070312,651.6500244140625,55995,2024-02-19
2024-02-26,700.9947509765625,707.0,725.9000244140625,650.0,660.3499755859375,290721,2024-02-26
2024-03-04,634.5638427734375,640.0,725.0,622.1500244140625,725.0,98476,2024-03-04
2024-03-11,569.273193359375,574.1500244140625,652.4500122070312,556.9500122070312,649.25,93973,2024-03-11
2024-03-18,577.1555786132812,582.0999755859375,594.5,535.9000244140625,582.7000122070312,60708,2024-03-18
2024-03-25,546.9146728515625,551.5999755859375,595.0,545.75,595.0,50547,2024-03-25
2024-04-01,622.5170288085938,627.8499755859375,644.0,549.2000122070312,549.2000122070312,54662,2024-04-01
2024-04-08,620.8810424804688,626.2000122070312,692.4500122070312,612.0,637.25,115799,2024-04-08
2024-04-15,603.033935546875,608.2000122070312,655.6500244140625,569.1500244140625,610.0,124014,2024-04-15
2024-04-22,718.2965087890625,724.4500122070312,749.0,611.0499877929688,617.2999877929688,431585,2024-04-22
2024-04-29,615.7252197265625,621.0,775.0,618.0,734.7000122070312,516476,2024-04-29
2024-05-06,563.1258544921875,567.9500122070312,628.9000244140625,549.3499755859375,627.7000122070312,150379,2024-05-06
2024-05-13,613.0481567382812,618.2999877929688,630.0,560.0,570.0,102417,2024-05-13
2024-05-20,592.0778198242188,597.1500244140625,627.0,590.0,611.3499755859375,61248,2024-05-20
2024-05-27,581.9644775390625,586.9500122070312,664.5499877929688,578.5499877929688,599.9000244140625,392122,2024-05-27
2024-06-03,564.2660522460938,569.0999755859375,609.9000244140625,500.0,590.0499877929688,142909,2024-06-03
2024-06-10,572.0989379882812,577.0,595.0,565.0999755859375,569.6500244140625,66598,2024-06-10
2024-06-17,571.7023315429688,576.5999755859375,596.9500122070312,567.0,577.0499877929688,58534,2024-06-17
2024-06-24,583.4021606445312,588.4000244140625,634.7999877929688,569.5,581.0,159999,2024-06-24
2024-07-01,575.4204711914062,580.3499755859375,613.5,576.5,597.25,139041,2024-07-01
2024-07-08,575.6187744140625,580.5499877929688,610.0,575.0,589.0499877929688,174570,2024-07-08
2024-07-15,564.315673828125,569.1500244140625,593.0,564.9000244140625,589.25,47056,2024-07-15
2024-07-22,583.6995849609375,588.7000122070312,603.2000122070312,546.0499877929688,560.5999755859375,69613,2024-07-22
2024-07-29,572.1484985351562,577.0499877929688,599.0,571.5499877929688,580.0,47012,2024-07-29
2024-08-05,567.0422973632812,571.9000244140625,634.4500122070312,552.4000244140625,572.0,122776,2024-08-05
2024-08-12,559.2093505859375,564.0,591.9000244140625,558.0,584.0,57550,2024-08-12
2024-08-19,585.0380859375,590.0499877929688,619.9500122070312,560.2999877929688,563.0,120096,2024-08-19
2024-08-26,591.0863037109375,596.1500244140625,630.0,580.0,598.9000244140625,127809,2024-08-26
2024-09-02,576.5111694335938,581.4500122070312,617.0,575.4000244140625,597.9500122070312,53263,2024-09-02
2024-09-09,575.2717895507812,580.2000122070312,590.1500244140625,565.0,590.1500244140625,40829,2024-09-09
2024-09-16,565.9020385742188,570.75,628.0,560.0,599.25,80824,2024-09-16
2024-09-23,579.2999877929688,579.2999877929688,605.0,556.0,584.0,59905,2024-09-23
2024-09-30,568.0999755859375,568.0999755859375,583.7999877929688,554.4000244140625,579.2999877929688,18845,2024-09-30
2024-10-07,569.6500244140625,569.6500244140625,574.9500122070312,544.75,568.0999755859375,20982,2024-10-07
2024-10-14,558.8499755859375,558.8499755859375,579.9000244140625,550.0,569.5999755859375,22370,2024-10-14
2024-10-21,520.0,520.0,567.2000122070312,505.5,560.0,24298,2024-10-21
2024-10-28,560.5499877929688,560.5499877929688,572.9000244140625,511.25,538.25,35865,2024-10-28
2024-11-04,567.9500122070312,567.9500122070312,576.25,546.0,561.4000244140625,19263,2024-11-04
2024-11-11,516.2000122070312,516.2000122070312,572.5999755859375,510.45001220703125,567.9500122070312,24851,2024-11-11
2024-11-18,510.20001220703125,510.20001220703125,526.9500122070312,500.0,516.1500244140625,18271,2024-11-18
2024-11-25,518.8499755859375,518.8499755859375,529.8499755859375,501.1000061035156,521.0,27314,2024-11-25
2024-12-02,558.9500122070312,558.9500122070312,564.0,511.70001220703125,528.7999877929688,42345,2024-12-02
2024-12-09,581.0499877929688,581.0499877929688,609.0,543.5,567.7999877929688,99794,2024-12-09
2024-12-16,548.4000244140625,548.4000244140625,581.7000122070312,543.0499877929688,577.0,16552,2024-12-16
2024-12-23,573.4000244140625,573.4000244140625,583.3499755859375,543.5,551.2999877929688,20349,2024-12-23
2024-12-30,570.3499755859375,570.3499755859375,580.5499877929688,539.3499755859375,573.4000244140625,30781,2024-12-30
2025-01-06,533.6500244140625,533.6500244140625,573.4000244140625,528.0,573.4000244140625,18664,2025-01-06
2025-01-13,533.6500244140625,533.6500244140625,547.8499755859375,499.95001220703125,516.0,22594,2025-01-13
2025-01-20,533.0499877929688,533.0499877929688,562.75,525.4000244140625,544.4000244140625,12509,2025-01-20
2025-01-27,500.95001220703125,500.95001220703125,534.7000122070312,492.95001220703125,528.2000122070312,37177,2025-01-27
2025-02-03,499.25,499.25,516.9000244140625,485.3500061035156,499.95001220703125,16698,2025-02-03
2025-02-10,437.70001220703125,437.70001220703125,510.0,428.1000061035156,510.0,24303,2025-02-10
2025-02-17,472.3500061035156,472.3500061035156,478.8999938964844,415.0,439.95001220703125,52578,2025-02-17
