Date,Adj Close_PPL.NS,Close_PPL.NS,High_PPL.NS,Low_PPL.NS,Open_PPL.NS,Volume_PPL.NS,Date
2021-07-19,168.4055938720703,172.0,179.5500030517578,168.3000030517578,173.35000610351562,767002,2021-07-19
2021-07-26,172.2240753173828,175.89999389648438,179.5,168.0,172.0,1072904,2021-07-26
2021-08-02,171.48974609375,175.14999389648438,181.0,171.5500030517578,178.5,954029,2021-08-02
2021-08-09,161.0133514404297,164.4499969482422,187.39999389648438,145.10000610351562,176.0,2579222,2021-08-09
2021-08-16,150.39010620117188,153.60000610351562,165.8000030517578,152.0,165.8000030517578,458763,2021-08-16
2021-08-23,158.85934448242188,162.25,164.60000610351562,144.5,154.0,686537,2021-08-23
2021-08-30,167.62229919433594,171.1999969482422,174.0,160.0,164.89999389648438,555555,2021-08-30
2021-09-06,162.8736572265625,166.35000610351562,173.89999389648438,163.25,173.89999389648438,255678,2021-09-06
2021-09-13,160.8665008544922,164.3000030517578,175.5,162.10000610351562,168.8000030517578,529102,2021-09-13
2021-09-20,159.06674194335938,161.3000030517578,170.5,158.1999969482422,164.0,442948,2021-09-20
2021-09-27,155.51657104492188,157.6999969482422,162.89999389648438,155.1999969482422,161.3000030517578,295666,2021-09-27
2021-10-04,157.6861114501953,159.89999389648438,164.8000030517578,157.0,157.0,364585,2021-10-04
2021-10-11,157.14373779296875,159.35000610351562,162.5,155.10000610351562,155.10000610351562,382882,2021-10-11
2021-10-18,149.74755859375,151.85000610351562,163.0,150.0,160.1999969482422,337329,2021-10-18
2021-10-25,153.88941955566406,156.0500030517578,159.6999969482422,145.0,151.85000610351562,346518,2021-10-25
2021-11-01,153.69219970703125,155.85000610351562,160.0,150.0,160.0,185902,2021-11-01
2021-11-08,158.8201904296875,161.0500030517578,169.39999389648438,155.0,159.0,661590,2021-11-08
2021-11-15,156.749267578125,158.9499969482422,164.89999389648438,155.5,161.0500030517578,290224,2021-11-15
2021-11-22,150.78302001953125,152.89999389648438,161.35000610351562,149.0,157.0,379293,2021-11-22
2021-11-29,146.54257202148438,148.60000610351562,155.64999389648438,143.4499969482422,146.1999969482422,326213,2021-11-29
2021-12-06,142.1541748046875,144.14999389648438,149.39999389648438,142.5,145.6999969482422,397365,2021-12-06
2021-12-13,129.18624877929688,131.0,147.39999389648438,128.0,145.35000610351562,472693,2021-12-13
2021-12-20,128.6438446044922,130.4499969482422,135.0,125.0,127.0999984741211,316379,2021-12-20
2021-12-27,127.95354461669922,129.75,135.35000610351562,126.94999694824219,126.94999694824219,308682,2021-12-27
2022-01-03,131.30645751953125,133.14999389648438,137.0,130.1999969482422,132.1999969482422,348861,2022-01-03
2022-01-10,160.3980255126953,162.64999389648438,165.1999969482422,132.10000610351562,134.0,1848330,2022-01-10
2022-01-17,161.6800537109375,163.9499969482422,171.64999389648438,154.35000610351562,165.0,868371,2022-01-17
2022-01-24,159.510498046875,161.75,170.4499969482422,145.4499969482422,165.5,605845,2022-01-24
2022-01-31,158.6229705810547,160.85000610351562,169.64999389648438,157.35000610351562,166.89999389648438,549716,2022-01-31
2022-02-07,155.36865234375,157.5500030517578,175.0,156.14999389648438,165.1999969482422,959599,2022-02-07
2022-02-14,151.9171142578125,154.0500030517578,156.89999389648438,136.25,149.89999389648438,816910,2022-02-14
2022-02-21,151.5719451904297,153.6999969482422,161.75,144.10000610351562,155.0,590466,2022-02-21
2022-02-28,159.3132781982422,161.5500030517578,167.0,150.0,153.3000030517578,421648,2022-02-28
2022-03-07,163.80027770996094,166.10000610351562,168.5,157.4499969482422,159.10000610351562,399793,2022-03-07
2022-03-14,164.5891876220703,166.89999389648438,173.39999389648438,164.25,166.10000610351562,330315,2022-03-14
2022-03-21,154.97418212890625,157.14999389648438,168.10000610351562,156.5,166.0,169840,2022-03-21
2022-03-28,155.7137908935547,157.89999389648438,161.1999969482422,147.3000030517578,156.14999389648438,254388,2022-03-28
2022-04-04,170.3582000732422,172.75,182.3000030517578,155.5,158.0,1140247,2022-04-04
2022-04-11,181.748291015625,184.3000030517578,190.0,177.0,177.10000610351562,1665885,2022-04-11
2022-04-18,177.40919494628906,179.89999389648438,190.0,163.75,188.0,1186414,2022-04-18
2022-04-25,185.6436004638672,188.25,210.0,172.85000610351562,179.0,3601895,2022-04-25
2022-05-02,178.2967529296875,180.8000030517578,196.89999389648438,168.0,188.25,840854,2022-05-02
2022-05-09,170.80197143554688,173.1999969482422,187.0,162.0,180.0,1164336,2022-05-09
2022-05-16,177.85299682617188,180.35000610351562,186.8000030517578,171.8000030517578,175.5,686354,2022-05-16
2022-05-23,160.79249572753906,163.0500030517578,185.0,155.5500030517578,183.0,508010,2022-05-23
2022-05-30,174.84519958496094,177.3000030517578,183.10000610351562,165.0,169.0,589412,2022-05-30
2022-06-06,169.02688598632812,171.39999389648438,181.5,169.8000030517578,181.5,445781,2022-06-06
2022-06-13,158.5243377685547,160.75,178.4499969482422,159.25,163.35000610351562,541513,2022-06-13
2022-06-20,159.70773315429688,161.9499969482422,164.0,148.1999969482422,163.0,353958,2022-06-20
2022-06-27,162.12380981445312,164.39999389648438,169.25,163.0,166.8000030517578,178685,2022-06-27
2022-07-04,167.69558715820312,170.0500030517578,172.5,161.0,166.0,315957,2022-07-04
2022-07-11,167.10389709472656,169.4499969482422,175.0,168.1999969482422,169.6999969482422,280358,2022-07-11
2022-07-18,170.06236267089844,172.4499969482422,174.4499969482422,169.0,173.0,346921,2022-07-18
2022-07-25,165.082275390625,167.39999389648438,172.4499969482422,164.89999389648438,172.4499969482422,277591,2022-07-25
2022-08-01,167.74488830566406,170.10000610351562,178.1999969482422,167.0500030517578,169.89999389648438,568730,2022-08-01
2022-08-08,173.8590545654297,176.3000030517578,198.39999389648438,168.5500030517578,170.3000030517578,844125,2022-08-08
2022-08-15,170.01303100585938,172.39999389648438,179.0,170.25,176.3000030517578,380867,2022-08-15
2022-08-22,178.05020141601562,180.5500030517578,184.3000030517578,171.25,174.89999389648438,554791,2022-08-22
2022-08-29,185.4956817626953,188.10000610351562,196.0,174.9499969482422,177.0,940265,2022-08-29
2022-09-05,182.3399658203125,184.89999389648438,193.0,179.0,189.8000030517578,761259,2022-09-05
2022-09-12,187.46798706054688,190.10000610351562,199.0,183.4499969482422,186.0,1210768,2022-09-12
2022-09-19,176.08349609375,177.39999389648438,191.1999969482422,176.0,190.0500030517578,639288,2022-09-19
2022-09-26,168.5399169921875,169.8000030517578,177.8000030517578,150.64999389648438,177.8000030517578,376166,2022-09-26
2022-10-03,167.64659118652344,168.89999389648438,173.0,165.85000610351562,170.8000030517578,236290,2022-10-03
2022-10-10,168.58953857421875,169.85000610351562,171.5,163.0,171.35000610351562,228339,2022-10-10
2022-10-17,166.4554901123047,167.6999969482422,176.0,166.85000610351562,168.10000610351562,271639,2022-10-17
2022-10-24,167.84512329101562,169.10000610351562,175.0,167.25,168.89999389648438,167209,2022-10-24
2022-10-31,168.73843383789062,170.0,175.25,165.35000610351562,169.75,633591,2022-10-31
2022-11-07,161.74073791503906,162.9499969482422,171.85000610351562,162.10000610351562,171.8000030517578,347548,2022-11-07
2022-11-14,162.18740844726562,163.39999389648438,165.5500030517578,160.25,163.60000610351562,324490,2022-11-14
2022-11-21,162.53482055664062,163.75,165.6999969482422,160.60000610351562,162.10000610351562,267609,2022-11-21
2022-11-28,165.16514587402344,166.39999389648438,167.9499969482422,162.39999389648438,164.4499969482422,312873,2022-11-28
2022-12-05,169.1354522705078,170.39999389648438,175.0,167.0500030517578,168.8000030517578,317648,2022-12-05
2022-12-12,164.1725616455078,165.39999389648438,171.35000610351562,164.5,170.0,254052,2022-12-12
2022-12-19,157.27413940429688,158.4499969482422,166.60000610351562,152.5500030517578,165.35000610351562,487064,2022-12-19
2022-12-26,162.13778686523438,163.35000610351562,164.8000030517578,156.0,156.0,176887,2022-12-26
2023-01-02,161.19482421875,162.39999389648438,167.9499969482422,161.1999969482422,164.39999389648438,181539,2023-01-02
2023-01-09,162.08815002441406,163.3000030517578,165.39999389648438,160.10000610351562,162.0,94536,2023-01-09
2023-01-16,162.08815002441406,163.3000030517578,165.0500030517578,159.39999389648438,163.3000030517578,162881,2023-01-16
2023-01-23,161.3933563232422,162.60000610351562,165.0,161.10000610351562,165.0,167129,2023-01-23
2023-01-30,158.91189575195312,160.10000610351562,167.89999389648438,159.0,161.1999969482422,173853,2023-01-30
2023-02-06,159.30892944335938,160.5,165.0,158.5,165.0,165677,2023-02-06
2023-02-13,157.77041625976562,158.9499969482422,165.89999389648438,155.0,155.0,295243,2023-02-13
2023-02-20,151.51718139648438,152.64999389648438,160.0,151.89999389648438,158.9499969482422,229082,2023-02-20
2023-02-27,150.6238555908203,151.75,154.5,150.8000030517578,154.5,107851,2023-02-27
2023-03-06,153.4527130126953,154.60000610351562,159.6999969482422,152.0,152.0,157205,2023-03-06
2023-03-13,145.2143096923828,146.3000030517578,156.85000610351562,141.1999969482422,152.60000610351562,215181,2023-03-13
2023-03-20,139.7054901123047,140.75,152.64999389648438,137.64999389648438,140.0,265094,2023-03-20
2023-03-27,137.52182006835938,138.5500030517578,142.85000610351562,134.1999969482422,142.85000610351562,261936,2023-03-27
2023-04-03,144.96615600585938,146.0500030517578,147.0500030517578,139.3000030517578,140.5500030517578,76544,2023-04-03
2023-04-10,153.35345458984375,154.5,156.0,146.0,147.0,154383,2023-04-10
2023-04-17,151.02088928222656,152.14999389648438,156.5,151.5500030517578,155.5,132171,2023-04-17
2023-04-24,153.75048828125,154.89999389648438,156.0500030517578,150.0,151.3000030517578,148890,2023-04-24
2023-05-01,154.59417724609375,155.75,158.64999389648438,154.5,154.89999389648438,117954,2023-05-01
2023-05-08,171.0213623046875,172.3000030517578,184.5,155.75,155.75,630507,2023-05-08
2023-05-15,167.99398803710938,169.25,175.0,165.0,171.85000610351562,339142,2023-05-15
2023-05-22,158.81265258789062,160.0,180.9499969482422,156.5500030517578,171.75,996919,2023-05-22
2023-05-29,164.61923217773438,165.85000610351562,167.89999389648438,160.0,161.14999389648438,261094,2023-05-29
2023-06-05,162.88221740722656,164.10000610351562,169.89999389648438,163.6999969482422,169.0,292688,2023-06-05
2023-06-12,162.2866668701172,163.5,169.25,162.3000030517578,165.0,272208,2023-06-12
2023-06-19,161.44296264648438,162.64999389648438,167.89999389648438,162.10000610351562,165.0,272051,2023-06-19
2023-06-26,173.1057586669922,174.39999389648438,177.85000610351562,161.0,162.5,671892,2023-06-26
2023-07-03,179.60716247558594,180.9499969482422,184.0,170.60000610351562,175.39999389648438,863066,2023-07-03
2023-07-10,179.4582977294922,180.8000030517578,189.8000030517578,178.0,182.0,674246,2023-07-10
2023-07-17,182.13824462890625,183.5,192.75,181.14999389648438,182.39999389648438,667694,2023-07-17
2023-07-24,183.57748413085938,184.9499969482422,189.89999389648438,180.0,183.5,381987,2023-07-24
2023-07-31,237.1271209716797,238.89999389648438,249.0,184.0500030517578,186.5,7179594,2023-07-31
2023-08-07,257.8223876953125,259.75,272.0,213.10000610351562,239.89999389648438,2856229,2023-08-07
