Date,Adj Close_SNOWMAN.NS,Close_SNOWMAN.NS,High_SNOWMAN.NS,Low_SNOWMAN.NS,Open_SNOWMAN.NS,Volume_SNOWMAN.NS,Date
2021-12-20,38.0880012512207,40.25,42.45000076293945,36.20000076293945,38.099998474121094,7961856,2021-12-20
2021-12-27,38.3245735168457,40.5,43.099998474121094,39.400001525878906,40.25,5794024,2021-12-27
2022-01-03,38.75040054321289,40.95000076293945,42.099998474121094,40.29999923706055,40.650001525878906,3403388,2022-01-03
2022-01-10,39.79131317138672,42.04999923706055,44.20000076293945,40.900001525878906,41.25,7041622,2022-01-10
2022-01-17,40.21714401245117,42.5,45.900001525878906,41.79999923706055,42.29999923706055,13782215,2022-01-17
2022-01-24,37.4729118347168,39.599998474121094,43.29999923706055,38.849998474121094,42.45000076293945,4547195,2022-01-24
2022-01-31,38.040687561035156,40.20000076293945,41.400001525878906,39.5,40.04999923706055,3466866,2022-01-31
2022-02-07,36.337371826171875,38.400001525878906,40.400001525878906,38.20000076293945,40.349998474121094,1769370,2022-02-07
2022-02-14,34.25554275512695,36.20000076293945,37.95000076293945,34.900001525878906,37.5,2018057,2022-02-14
2022-02-21,31.27474021911621,33.04999923706055,36.29999923706055,31.100000381469727,35.5,3159121,2022-02-21
2022-02-28,31.038169860839844,32.79999923706055,34.45000076293945,32.0,32.0,1776532,2022-02-28
2022-03-07,31.463998794555664,33.25,33.95000076293945,31.5,32.099998474121094,1901471,2022-03-07
2022-03-14,31.55862808227539,33.349998474121094,34.099998474121094,31.450000762939453,33.45000076293945,2219837,2022-03-14
2022-03-21,30.612340927124023,32.349998474121094,34.20000076293945,31.700000762939453,33.70000076293945,3713425,2022-03-21
2022-03-28,30.801597595214844,32.54999923706055,33.20000076293945,30.399999618530273,32.29999923706055,5363747,2022-03-28
2022-04-04,33.78240203857422,35.70000076293945,36.400001525878906,32.70000076293945,32.79999923706055,3697730,2022-04-04
2022-04-11,36.479312896728516,38.54999923706055,38.900001525878906,34.45000076293945,36.45000076293945,4890001,2022-04-11
2022-04-18,36.19542694091797,38.25,38.900001525878906,35.0,37.650001525878906,5648232,2022-04-18
2022-04-25,35.012569427490234,37.0,38.900001525878906,35.29999923706055,38.0,4892401,2022-04-25
2022-05-02,33.119998931884766,35.0,37.150001525878906,34.150001525878906,36.0,2637593,2022-05-02
2022-05-09,29.808000564575195,31.5,36.849998474121094,30.100000381469727,35.54999923706055,1978532,2022-05-09
2022-05-16,30.423086166381836,32.150001525878906,33.20000076293945,31.100000381469727,32.099998474121094,964583,2022-05-16
2022-05-23,29.618743896484375,31.299999237060547,34.0,30.100000381469727,33.79999923706055,1359052,2022-05-23
2022-05-30,30.09188461303711,31.799999237060547,33.400001525878906,31.5,31.700000762939453,883489,2022-05-30
2022-06-06,28.909027099609375,30.549999237060547,32.0,30.399999618530273,32.0,910866,2022-06-06
2022-06-13,25.029258728027344,26.450000762939453,30.200000762939453,26.0,30.100000381469727,1557412,2022-06-13
2022-06-20,24.319543838500977,25.700000762939453,26.799999237060547,24.25,26.5,2729782,2022-06-20
2022-06-27,25.786287307739258,27.25,28.950000762939453,25.600000381469727,26.5,2573353,2022-06-27
2022-07-04,27.300344467163086,28.850000381469727,29.200000762939453,26.649999618530273,27.200000762939453,1018452,2022-07-04
2022-07-11,26.779884338378906,28.299999237060547,29.350000381469727,27.799999237060547,28.200000762939453,721122,2022-07-11
2022-07-18,29.52411460876465,31.200000762939453,31.600000381469727,27.450000762939453,28.450000762939453,1606783,2022-07-18
2022-07-25,28.956342697143555,30.600000381469727,31.350000381469727,29.0,31.200000762939453,843172,2022-07-25
2022-08-01,29.99725914001465,31.700000762939453,35.349998474121094,30.700000762939453,30.850000381469727,5636563,2022-08-01
2022-08-08,30.810638427734375,31.799999237060547,32.5,30.799999237060547,31.850000381469727,1124145,2022-08-08
2022-08-15,32.409305572509766,33.45000076293945,35.0,31.549999237060547,31.799999237060547,2851534,2022-08-15
2022-08-22,33.47508239746094,34.54999923706055,34.900001525878906,32.54999923706055,33.45000076293945,1650710,2022-08-22
2022-08-29,36.866188049316406,38.04999923706055,40.45000076293945,33.150001525878906,33.5,3796831,2022-08-29
2022-09-05,36.33330154418945,37.5,39.29999923706055,36.25,38.349998474121094,2797804,2022-09-05
2022-09-12,39.86974334716797,41.150001525878906,44.099998474121094,37.25,37.75,15564229,2022-09-12
2022-09-19,37.64129638671875,38.849998474121094,42.20000076293945,37.650001525878906,41.45000076293945,6609166,2022-09-19
2022-09-26,35.17063522338867,36.29999923706055,38.5,34.900001525878906,38.0,2209499,2022-09-26
2022-10-03,35.75196838378906,36.900001525878906,37.5,34.75,36.04999923706055,1396998,2022-10-03
2022-10-10,32.603084564208984,33.650001525878906,37.099998474121094,33.349998474121094,36.45000076293945,1177546,2022-10-10
2022-10-17,36.38174819946289,37.54999923706055,38.95000076293945,33.599998474121094,33.599998474121094,2724629,2022-10-17
