Date,Adj Close_BSOFT.NS,Close_BSOFT.NS,High_BSOFT.NS,Low_BSOFT.NS,Open_BSOFT.NS,Volume_BSOFT.NS,Date
2022-08-01,336.36761474609375,345.95001220703125,354.95001220703125,333.5,339.1000061035156,15998543,2022-08-01
2022-08-08,331.11712646484375,340.54998779296875,352.95001220703125,333.75,348.0,8701335,2022-08-08
2022-08-15,322.3178405761719,331.5,344.1499938964844,327.6000061035156,340.54998779296875,9576524,2022-08-15
2022-08-22,312.74066162109375,321.6499938964844,329.45001220703125,314.20001220703125,328.6499938964844,9226621,2022-08-22
2022-08-29,312.0600891113281,320.95001220703125,325.6000061035156,306.1499938964844,311.20001220703125,6592882,2022-08-29
2022-09-05,319.64404296875,328.75,331.3500061035156,317.0,317.0,14347338,2022-09-05
2022-09-12,299.5660095214844,308.1000061035156,342.0,306.0,332.0,14182264,2022-09-12
2022-09-19,290.8638610839844,299.1499938964844,311.3999938964844,297.25,311.20001220703125,10696861,2022-09-19
2022-09-26,274.6264343261719,282.45001220703125,298.45001220703125,277.8500061035156,298.45001220703125,9599004,2022-09-26
2022-10-03,285.5162353515625,293.6499938964844,298.3999938964844,277.1499938964844,283.0,7031146,2022-10-03
2022-10-10,274.96673583984375,282.79998779296875,294.1499938964844,276.5,289.0,11961436,2022-10-10
2022-10-17,272.63323974609375,280.3999938964844,288.1000061035156,268.95001220703125,282.20001220703125,9834968,2022-10-17
2022-10-24,255.76382446289062,263.04998779296875,284.0,262.20001220703125,284.0,7522769,2022-10-24
2022-10-31,266.5077209472656,274.1000061035156,280.6499938964844,265.29998779296875,265.70001220703125,8945715,2022-10-31
2022-11-07,275.7647705078125,282.04998779296875,286.79998779296875,260.54998779296875,260.54998779296875,11000279,2022-11-07
2022-11-14,279.57781982421875,285.95001220703125,287.79998779296875,274.0,283.0,10386042,2022-11-14
2022-11-21,287.3506774902344,293.8999938964844,296.25,273.0,285.5,13437883,2022-11-21
2022-11-28,324.16168212890625,331.54998779296875,333.0,293.70001220703125,294.79998779296875,30628901,2022-11-28
2022-12-05,302.4563903808594,309.3500061035156,334.70001220703125,306.6499938964844,333.20001220703125,14536144,2022-12-05
2022-12-12,295.80792236328125,302.54998779296875,314.8999938964844,297.75,308.95001220703125,11515376,2022-12-12
2022-12-19,273.7115478515625,279.95001220703125,307.70001220703125,278.0,302.0,9618101,2022-12-19
2022-12-26,292.0926208496094,298.75,305.45001220703125,277.75,280.0,9654428,2022-12-26
2023-01-02,277.3291015625,283.6499938964844,300.70001220703125,282.75,300.0,9596544,2023-01-02
2023-01-09,287.1551513671875,293.70001220703125,297.95001220703125,287.29998779296875,287.3999938964844,9558950,2023-01-09
2023-01-16,285.19970703125,291.70001220703125,301.75,290.3999938964844,295.20001220703125,5836274,2023-01-16
2023-01-23,284.4175109863281,290.8999938964844,312.6000061035156,287.54998779296875,294.1499938964844,11281333,2023-01-23
2023-01-30,261.8323059082031,267.79998779296875,305.75,250.25,291.04998779296875,25585085,2023-01-30
2023-02-06,285.9329833984375,292.45001220703125,293.20001220703125,266.3500061035156,268.8500061035156,12104004,2023-02-06
2023-02-13,284.71087646484375,291.20001220703125,299.5,283.1000061035156,290.5,10199331,2023-02-13
2023-02-20,276.64471435546875,282.95001220703125,296.29998779296875,279.45001220703125,290.0,5885635,2023-02-20
2023-02-27,274.24932861328125,280.5,284.8999938964844,272.3500061035156,282.3999938964844,5833204,2023-02-27
2023-03-06,273.07598876953125,279.29998779296875,294.0,274.20001220703125,282.04998779296875,6719993,2023-03-06
2023-03-13,270.3872985839844,276.54998779296875,283.5,263.79998779296875,279.0,6756977,2023-03-13
2023-03-20,258.8014221191406,264.70001220703125,275.79998779296875,263.04998779296875,275.0,7195847,2023-03-20
2023-03-27,255.33050537109375,261.1499938964844,266.5,250.5,266.1000061035156,5583650,2023-03-27
2023-04-03,260.0723876953125,266.0,268.70001220703125,260.6000061035156,264.5,3642250,2023-04-03
2023-04-10,257.237060546875,263.1000061035156,270.75,262.1499938964844,266.0,3411596,2023-04-10
2023-04-17,251.27297973632812,257.0,264.6499938964844,251.89999389648438,257.5,6682323,2023-04-17
2023-04-24,266.8675842285156,272.95001220703125,277.95001220703125,255.4499969482422,257.0,8622623,2023-04-24
2023-05-01,275.3736572265625,281.6499938964844,288.6499938964844,272.95001220703125,272.95001220703125,8454718,2023-05-01
2023-05-08,300.6476135253906,307.5,313.6000061035156,280.6000061035156,284.25,31061856,2023-05-08
2023-05-15,327.1925964355469,334.6499938964844,337.3500061035156,304.0,308.70001220703125,37379279,2023-05-15
2023-05-22,331.9345703125,339.5,345.8999938964844,325.0,334.6499938964844,16079751,2023-05-22
2023-05-29,340.0495300292969,347.79998779296875,355.45001220703125,334.0,342.8500061035156,14855504,2023-05-29
2023-06-05,321.1796569824219,328.5,354.0,327.1000061035156,351.29998779296875,10278823,2023-06-05
2023-06-12,332.1300964355469,339.70001220703125,345.8999938964844,328.5,328.5,10211700,2023-06-12
2023-06-19,336.04095458984375,343.70001220703125,350.0,333.0,340.0,11853356,2023-06-19
2023-06-26,350.9021911621094,358.8999938964844,363.3500061035156,335.04998779296875,342.6499938964844,14529592,2023-06-26
2023-07-03,346.7958068847656,354.70001220703125,364.04998779296875,349.5,360.95001220703125,8498713,2023-07-03
2023-07-10,371.2387390136719,379.70001220703125,381.0,343.6000061035156,355.45001220703125,18819640,2023-07-10
2023-07-17,379.1022644042969,385.6000061035156,397.8999938964844,377.20001220703125,383.25,19867662,2023-07-17
2023-07-24,408.8916931152344,415.8999938964844,424.70001220703125,375.1000061035156,385.5,28125361,2023-07-24
2023-07-31,431.4057922363281,438.79998779296875,442.79998779296875,416.29998779296875,417.0,14892036,2023-07-31
2023-08-07,438.3370056152344,445.8500061035156,455.54998779296875,437.1000061035156,440.0,9218228,2023-08-07
2023-08-14,445.9072570800781,453.54998779296875,472.0,438.6499938964844,444.8500061035156,12202921,2023-08-14
2023-08-21,476.3848876953125,484.54998779296875,487.6499938964844,452.0,455.0,10370126,2023-08-21
2023-08-28,519.4468383789062,528.3499755859375,530.9000244140625,478.3500061035156,485.3999938964844,12510979,2023-08-28
2023-09-04,509.7627868652344,518.5,535.5499877929688,509.75,529.9500122070312,11517801,2023-09-04
2023-09-11,495.50714111328125,504.0,520.75,489.0,520.7000122070312,13298591,2023-09-11
2023-09-18,479.8258972167969,488.04998779296875,501.6499938964844,478.70001220703125,501.0,7812542,2023-09-18
2023-09-25,475.2051086425781,483.3500061035156,496.3999938964844,472.3999938964844,489.79998779296875,7123297,2023-09-25
2023-10-02,504.060546875,512.7000122070312,520.5,480.0,483.3500061035156,14609553,2023-10-02
2023-10-09,534.3414916992188,543.5,548.8499755859375,506.1000061035156,507.0,18148191,2023-10-09
2023-10-16,538.8148193359375,548.0499877929688,560.0,539.25,541.5,9852193,2023-10-16
2023-10-23,533.2601318359375,542.4000244140625,548.25,509.54998779296875,546.9000244140625,6457452,2023-10-23
2023-10-30,577.8458862304688,587.75,593.0,536.5499877929688,544.0,21510733,2023-10-30
2023-11-06,573.5691528320312,583.4000244140625,600.0,579.5499877929688,593.9000244140625,9117744,2023-11-06
2023-11-13,616.3311157226562,622.5999755859375,625.0,581.6500244140625,592.0,9353567,2023-11-13
2023-11-20,607.669189453125,613.8499755859375,638.0,611.5,621.0,7186062,2023-11-20
2023-11-27,628.309326171875,634.7000122070312,642.4000244140625,600.0999755859375,613.8499755859375,8647693,2023-11-27
2023-12-04,651.1272583007812,657.75,667.0,624.0499877929688,645.0,9201023,2023-12-04
2023-12-11,712.3544921875,719.5999755859375,731.0499877929688,657.25,660.75,14474980,2023-12-11
2023-12-18,733.7369995117188,741.2000122070312,746.0,692.9500122070312,718.9000244140625,14268816,2023-12-18
2023-12-25,713.7898559570312,721.0499877929688,746.0,715.2000122070312,741.2000122070312,5795416,2023-12-25
2024-01-01,707.1572875976562,714.3499755859375,722.7000122070312,670.4000244140625,719.0,15264842,2024-01-01
2024-01-08,778.7788696289062,786.7000122070312,789.9000244140625,708.0,720.0,17119120,2024-01-08
2024-01-15,791.103515625,799.1500244140625,808.0,760.4500122070312,798.0,11674372,2024-01-15
2024-01-22,810.01123046875,818.25,841.5499877929688,793.4500122070312,799.1500244140625,8006396,2024-01-22
2024-01-29,837.729248046875,846.25,858.75,818.2999877929688,825.0499877929688,8986375,2024-01-29
2024-02-05,825.0086669921875,833.4000244140625,861.8499755859375,817.0999755859375,846.2999877929688,7136762,2024-02-05
2024-02-12,834.115966796875,842.5999755859375,856.0,801.7000122070312,816.5,6409100,2024-02-12
2024-02-19,801.9927368164062,810.1500244140625,845.0,791.25,845.0,8367018,2024-02-19
2024-02-26,766.94921875,774.75,812.4500122070312,757.4500122070312,809.8499755859375,9399586,2024-02-26
2024-03-04,764.82080078125,772.5999755859375,794.0,738.7000122070312,788.7999877929688,5736110,2024-03-04
2024-03-11,748.0910034179688,755.7000122070312,791.0,715.0,765.0,9817676,2024-03-11
2024-03-18,723.540771484375,730.9000244140625,754.5999755859375,712.4500122070312,751.0,6346691,2024-03-18
2024-03-25,734.5289306640625,742.0,769.0,730.0,730.9000244140625,4078881,2024-03-25
2024-04-01,741.60693359375,749.1500244140625,789.9000244140625,745.0,748.0,6793475,2024-04-01
2024-04-08,724.9265747070312,732.2999877929688,756.0,725.7999877929688,756.0,6088276,2024-04-08
2024-04-15,674.8360595703125,681.7000122070312,729.5,672.1500244140625,725.0,7093440,2024-04-15
2024-04-22,667.3621215820312,674.1500244140625,693.75,651.0999755859375,686.6500244140625,11500025,2024-04-22
2024-04-29,627.8143310546875,634.2000122070312,693.75,627.25,677.0,17627992,2024-04-29
2024-05-06,577.2288818359375,583.0999755859375,640.9500122070312,577.0999755859375,640.0,14035225,2024-05-06
2024-05-13,607.9662475585938,614.1500244140625,623.7999877929688,564.5999755859375,584.0,11984374,2024-05-13
2024-05-20,611.9754638671875,618.2000122070312,628.0,593.8499755859375,610.7000122070312,11425898,2024-05-20
2024-05-27,598.5618896484375,604.6500244140625,641.7000122070312,602.2999877929688,623.4500122070312,11491497,2024-05-27
2024-06-03,671.3218994140625,678.1500244140625,686.4500122070312,565.2999877929688,615.4500122070312,16690915,2024-06-03
2024-06-10,671.1238403320312,677.9500122070312,699.75,663.3499755859375,688.0,15615815,2024-06-10
2024-06-17,674.4895629882812,681.3499755859375,701.4500122070312,666.2000122070312,677.9500122070312,16948346,2024-06-17
2024-06-24,683.3494873046875,690.2999877929688,708.7999877929688,674.25,681.3499755859375,15016028,2024-06-24
2024-07-01,707.5038452148438,714.7000122070312,725.5499877929688,691.0999755859375,692.0,15455014,2024-07-01
2024-07-08,724.97607421875,732.3499755859375,734.7999877929688,683.0499877929688,722.5,17779951,2024-07-08
2024-07-15,720.7534790039062,723.9000244140625,760.4500122070312,720.4000244140625,747.0,20594968,2024-07-15
2024-07-22,724.686279296875,727.8499755859375,730.3499755859375,681.5,711.0999755859375,12834615,2024-07-22
2024-07-29,602.71875,605.3499755859375,733.75,600.9000244140625,733.75,28652877,2024-07-29
2024-08-05,575.18896484375,577.7000122070312,606.2999877929688,550.8499755859375,590.0499877929688,24765205,2024-08-05
2024-08-12,598.0391845703125,600.6500244140625,606.75,553.0,577.5,18312220,2024-08-12
2024-08-19,598.6365356445312,601.25,637.7999877929688,591.2000122070312,607.4500122070312,24006523,2024-08-19
2024-08-26,667.6353149414062,670.5499877929688,689.1500244140625,609.0499877929688,610.4500122070312,39330314,2024-08-26
2024-09-02,650.7589721679688,653.5999755859375,678.9500122070312,637.7999877929688,671.0,14585782,2024-09-02
2024-09-09,658.1268310546875,661.0,665.4000244140625,620.4000244140625,647.0,16142417,2024-09-09
2024-09-16,628.605712890625,631.3499755859375,665.5999755859375,605.0,661.5999755859375,21260758,2024-09-16
2024-09-23,601.4243774414062,604.0499877929688,638.0,602.2000122070312,638.0,16592085,2024-09-23
2024-09-30,578.6239624023438,581.1500244140625,608.75,580.0,604.0,12492163,2024-09-30
2024-10-07,596.4461059570312,599.0499877929688,600.6500244140625,561.8499755859375,588.0499877929688,10705579,2024-10-07
2024-10-14,592.2643432617188,594.8499755859375,608.5999755859375,576.0,604.0,13819057,2024-10-14
2024-10-21,568.6674194335938,571.1500244140625,604.2999877929688,556.0499877929688,595.5,18732902,2024-10-21
2024-10-28,554.5789184570312,557.0,589.4000244140625,547.4500122070312,571.2000122070312,9647298,2024-10-28
2024-11-04,567.2999877929688,567.2999877929688,585.0,536.2999877929688,556.9500122070312,9208333,2024-11-04
2024-11-11,559.25,559.25,576.9000244140625,547.0,565.5999755859375,4112125,2024-11-11
2024-11-18,561.7000122070312,561.7000122070312,564.0,540.0999755859375,562.0499877929688,6791784,2024-11-18
2024-11-25,590.6500244140625,590.6500244140625,604.0,565.25,567.5499877929688,10904352,2024-11-25
2024-12-02,608.0999755859375,608.0999755859375,612.2000122070312,585.0999755859375,590.7999877929688,5868232,2024-12-02
2024-12-09,603.3499755859375,603.3499755859375,624.3499755859375,593.0999755859375,608.9000244140625,7144651,2024-12-09
2024-12-16,577.0,577.0,611.7000122070312,572.0,603.3499755859375,8500586,2024-12-16
2024-12-23,576.0499877929688,576.0499877929688,586.25,568.0999755859375,577.0,4658537,2024-12-23
2024-12-30,552.1500244140625,552.1500244140625,581.0,551.5499877929688,578.9500122070312,6756340,2024-12-30
2025-01-06,551.3499755859375,551.3499755859375,558.4000244140625,530.2000122070312,553.0999755859375,9876530,2025-01-06
2025-01-13,532.5,532.5,564.4000244140625,519.3499755859375,548.5999755859375,8120330,2025-01-13
2025-01-20,545.7000122070312,545.7000122070312,564.25,516.7999877929688,536.9000244140625,8293153,2025-01-20
2025-01-27,535.0499877929688,535.0499877929688,541.75,512.9000244140625,537.9500122070312,6152068,2025-01-27
2025-02-03,534.3499755859375,534.3499755859375,541.4000244140625,521.7999877929688,530.0,4622123,2025-02-03
2025-02-10,488.0,488.0,533.7999877929688,470.0,533.7999877929688,12391723,2025-02-10
2025-02-17,475.29998779296875,475.29998779296875,487.1499938964844,455.0,485.3500061035156,6331962,2025-02-17
2025-02-24,424.04998779296875,424.04998779296875,473.75,422.6499938964844,469.45001220703125,4058637,2025-02-24
2025-03-03,434.45001220703125,434.45001220703125,443.8500061035156,407.54998779296875,425.04998779296875,5670408,2025-03-03
2025-03-10,385.75,385.75,438.3500061035156,384.54998779296875,435.20001220703125,12379852,2025-03-10
2025-03-17,404.3500061035156,404.3500061035156,412.04998779296875,386.1499938964844,386.5,9372896,2025-03-17
2025-03-24,387.70001220703125,387.70001220703125,419.0,385.45001220703125,409.0,12509662,2025-03-24
2025-03-31,366.5,366.5,394.04998779296875,363.8999938964844,387.70001220703125,8952197,2025-03-31
2025-04-07,359.75,359.75,365.8999938964844,331.0,335.0,6857860,2025-04-07
2025-04-14,371.54998779296875,371.54998779296875,374.20001220703125,359.75,359.75,4408070,2025-04-14
2025-04-21,386.04998779296875,386.04998779296875,403.95001220703125,371.3999938964844,371.54998779296875,14815286,2025-04-21
2025-04-28,395.29998779296875,395.29998779296875,405.79998779296875,383.1000061035156,388.8999938964844,5798047,2025-04-28
2025-05-05,384.45001220703125,384.45001220703125,404.29998779296875,376.29998779296875,399.5,4676550,2025-05-05
2025-05-12,429.70001220703125,429.70001220703125,434.75,390.0,395.0,15836021,2025-05-12
2025-05-19,424.79998779296875,424.79998779296875,434.0,417.0,429.8999938964844,5031140,2025-05-19
2025-05-26,400.5,400.5,439.8999938964844,396.04998779296875,425.25,19483528,2025-05-26
2025-06-02,411.1000061035156,411.1000061035156,414.0,392.1499938964844,392.1499938964844,7215504,2025-06-02
2025-06-09,415.70001220703125,415.70001220703125,435.79998779296875,406.04998779296875,415.0,11271869,2025-06-09
2025-06-16,421.3999938964844,421.3999938964844,432.1499938964844,405.1000061035156,415.70001220703125,8585784,2025-06-16
2025-06-23,432.20001220703125,432.20001220703125,452.0,412.54998779296875,415.25,18923508,2025-06-23
2025-06-30,435.25,435.25,446.0,428.8999938964844,434.3999938964844,6829060,2025-06-30
2025-07-07,418.95001220703125,418.95001220703125,438.79998779296875,416.0,436.75,5254081,2025-07-07
2025-07-14,430.04998779296875,430.04998779296875,432.5,413.79998779296875,418.8999938964844,2200940,2025-07-14
