Date,Adj Close_MANAKCOAT.NS,Close_MANAKCOAT.NS,High_MANAKCOAT.NS,Low_MANAKCOAT.NS,Open_MANAKCOAT.NS,Volume_MANAKCOAT.NS,Date
2020-11-23,5.4750657081604,5.5,5.849999904632568,5.099999904632568,5.5,55204,2020-11-23
2020-11-30,5.176425933837891,5.199999809265137,5.550000190734863,5.0,5.5,45554,2020-11-30
2020-12-07,6.271439075469971,6.300000190734863,6.300000190734863,5.199999809265137,5.400000095367432,111376,2020-12-07
2020-12-14,7.316679000854492,7.349999904632568,7.5,6.599999904632568,6.599999904632568,259207,2020-12-14
2020-12-21,6.968265533447266,7.0,7.699999809265137,6.650000095367432,7.5,276766,2020-12-21
2020-12-28,8.262372016906738,8.300000190734863,8.300000190734863,6.75,7.050000190734863,268778,2020-12-28
2021-01-04,7.864185333251953,7.900000095367432,9.100000381469727,7.800000190734863,8.699999809265137,407167,2021-01-04
2021-01-11,8.21259880065918,8.25,8.25,7.0,7.650000095367432,291634,2021-01-11
2021-01-18,9.307611465454102,9.350000381469727,9.600000381469727,8.149999618530273,8.649999618530273,449582,2021-01-18
2021-01-25,8.561012268066406,8.600000381469727,9.800000190734863,8.199999809265137,9.800000190734863,205344,2021-01-25
2021-02-01,10.303078651428223,10.350000381469727,10.5,8.050000190734863,8.25,430974,2021-02-01
2021-02-08,11.846050262451172,11.899999618530273,12.899999618530273,9.75,10.949999809265137,320152,2021-02-08
2021-02-15,11.099452018737793,11.149999618530273,13.0,11.0,13.0,272781,2021-02-15
2021-02-22,12.094918251037598,12.149999618530273,13.0,10.850000381469727,10.850000381469727,1021815,2021-02-22
2021-03-01,10.701265335083008,10.75,12.550000190734863,10.600000381469727,11.850000381469727,785747,2021-03-01
2021-03-08,14.2351713180542,14.300000190734863,14.300000190734863,10.699999809265137,11.100000381469727,567836,2021-03-08
2021-03-15,14.284945487976074,14.350000381469727,16.149999618530273,13.050000190734863,15.399999618530273,1216506,2021-03-15
2021-03-22,12.891291618347168,12.949999809265137,15.399999618530273,12.949999809265137,14.850000381469727,759267,2021-03-22
2021-03-29,12.294012069702148,12.350000381469727,13.300000190734863,11.25,12.949999809265137,366625,2021-03-29
2021-04-05,12.493103981018066,12.550000190734863,13.550000190734863,12.0,12.899999618530273,584167,2021-04-05
2021-04-12,13.090384483337402,13.149999618530273,13.25,11.449999809265137,13.0,859538,2021-04-12
2021-04-19,14.18539810180664,14.25,14.25,12.25,13.149999618530273,576347,2021-04-19
2021-04-26,15.529278755187988,15.600000381469727,16.100000381469727,13.550000190734863,14.800000190734863,867424,2021-04-26
2021-05-03,16.823383331298828,16.899999618530273,17.049999237060547,14.899999618530273,15.5,852967,2021-05-03
2021-05-10,16.823383331298828,16.899999618530273,18.799999237060547,16.200000762939453,17.100000381469727,726341,2021-05-10
2021-05-17,15.728370666503906,15.800000190734863,17.200000762939453,15.199999809265137,17.200000762939453,681242,2021-05-17
2021-05-24,15.081316947937012,15.149999618530273,16.399999618530273,14.699999809265137,16.299999237060547,339381,2021-05-24
2021-05-31,14.931998252868652,15.0,15.649999618530273,14.199999809265137,15.350000381469727,196103,2021-05-31
2021-06-07,15.877690315246582,15.949999809265137,16.299999237060547,14.5,14.5,489901,2021-06-07
2021-06-14,14.78267765045166,14.850000381469727,16.649999618530273,14.699999809265137,16.649999618530273,1292677,2021-06-14
2021-06-21,14.135623931884766,14.199999809265137,16.049999237060547,13.649999618530273,14.449999809265137,1495815,2021-06-21
2021-06-28,14.384490013122559,14.449999809265137,16.100000381469727,14.100000381469727,14.399999618530273,2270257,2021-06-28
2021-07-05,14.135623931884766,14.199999809265137,15.0,13.699999809265137,13.899999618530273,1036723,2021-07-05
2021-07-12,14.085850715637207,14.149999618530273,14.850000381469727,13.800000190734863,14.5,514918,2021-07-12
2021-07-19,13.73743724822998,13.800000190734863,14.5,13.5,14.5,145162,2021-07-19
2021-07-26,13.63789176940918,13.699999809265137,14.350000381469727,12.949999809265137,13.649999618530273,177633,2021-07-26
2021-08-02,13.090384483337402,13.149999618530273,14.100000381469727,12.899999618530273,14.050000190734863,120198,2021-08-02
2021-08-09,12.592650413513184,12.649999618530273,13.449999809265137,11.050000190734863,13.449999809265137,174079,2021-08-09
2021-08-16,11.895824432373047,11.949999809265137,12.649999618530273,11.050000190734863,12.649999618530273,168687,2021-08-16
2021-08-23,11.846050262451172,11.899999618530273,12.699999809265137,11.300000190734863,12.300000190734863,194950,2021-08-23
2021-08-30,12.393558502197266,12.449999809265137,12.850000381469727,11.25,11.899999618530273,200510,2021-08-30
