Date,Adj Close_KRYSTAL.NS,Close_KRYSTAL.NS,High_KRYSTAL.NS,Low_KRYSTAL.NS,Open_KRYSTAL.NS,Volume_KRYSTAL.NS,Date
2024-11-04,682.5999755859375,682.5999755859375,712.5,679.9000244140625,704.0,151411,2024-11-04
2024-11-11,646.4000244140625,646.4000244140625,682.9500122070312,640.0499877929688,682.5999755859375,127563,2024-11-11
2024-11-18,643.3499755859375,643.3499755859375,658.0,631.0,650.0,104385,2024-11-18
2024-11-25,767.2999877929688,767.2999877929688,807.0,700.0,705.0499877929688,1701548,2024-11-25
2024-12-02,778.3499755859375,778.3499755859375,809.0,747.8499755859375,757.0,500628,2024-12-02
2024-12-09,776.8499755859375,776.8499755859375,807.9500122070312,748.0499877929688,769.0,440829,2024-12-09
2024-12-16,739.5499877929688,739.5499877929688,827.25,733.25,786.9000244140625,556776,2024-12-16
2024-12-23,722.9000244140625,722.9000244140625,749.4000244140625,715.0,739.9500122070312,135207,2024-12-23
2024-12-30,725.75,725.75,737.7000122070312,701.0,701.5499877929688,139343,2024-12-30
2025-01-06,665.4500122070312,665.4500122070312,728.0,657.5999755859375,725.75,207370,2025-01-06
2025-01-13,697.7000122070312,697.7000122070312,703.7999877929688,640.0,660.0,182810,2025-01-13
2025-01-20,620.25,620.25,735.0,618.0,697.0,295922,2025-01-20
2025-01-27,559.6500244140625,559.6500244140625,624.9000244140625,536.25,624.9000244140625,258946,2025-01-27
2025-02-03,558.2999877929688,558.2999877929688,600.0999755859375,538.0,555.0,189059,2025-02-03
2025-02-10,461.25,461.25,569.4000244140625,449.04998779296875,561.8499755859375,366783,2025-02-10
2025-02-17,448.95001220703125,448.95001220703125,472.0,415.6000061035156,461.20001220703125,468872,2025-02-17
2025-02-24,440.3999938964844,440.3999938964844,467.20001220703125,425.04998779296875,456.0,332464,2025-02-24
2025-03-03,461.20001220703125,461.20001220703125,467.1499938964844,416.6000061035156,445.0,324558,2025-03-03
2025-03-10,425.3500061035156,425.3500061035156,478.3999938964844,423.0,467.3999938964844,253629,2025-03-10
2025-03-17,494.6000061035156,494.6000061035156,505.0,425.1000061035156,425.3500061035156,568142,2025-03-17
2025-03-24,433.1499938964844,433.1499938964844,513.4500122070312,430.04998779296875,493.75,606977,2025-03-24
2025-03-31,449.1000061035156,449.1000061035156,465.0,433.1499938964844,433.1499938964844,115090,2025-03-31
2025-04-07,458.8999938964844,458.8999938964844,464.70001220703125,423.04998779296875,426.0,101825,2025-04-07
2025-04-14,541.5,541.5,563.8499755859375,458.8999938964844,458.8999938964844,496463,2025-04-14
2025-04-21,531.7999877929688,531.7999877929688,566.4500122070312,514.9000244140625,533.4000244140625,399872,2025-04-21
2025-04-28,615.5,615.5,628.7000122070312,520.0,525.7999877929688,1750346,2025-04-28
2025-05-05,665.5999755859375,665.5999755859375,706.5999755859375,634.5,634.5,1861758,2025-05-05
2025-05-12,662.1500244140625,662.1500244140625,716.0,631.5,687.9000244140625,482831,2025-05-12
2025-05-19,617.1500244140625,617.1500244140625,714.7999877929688,611.9000244140625,673.0,426082,2025-05-19
2025-05-26,619.5999755859375,619.5999755859375,626.0,582.0,615.0,104278,2025-05-26
2025-06-02,612.6500244140625,612.6500244140625,633.0,590.5,627.0,76549,2025-06-02
2025-06-09,599.4500122070312,599.4500122070312,629.0,591.0,629.0,67144,2025-06-09
2025-06-16,591.0999755859375,591.0999755859375,604.7999877929688,584.0,599.4000244140625,40895,2025-06-16
2025-06-23,620.7999877929688,620.7999877929688,627.4500122070312,582.0,591.0999755859375,43467,2025-06-23
2025-06-30,608.1500244140625,608.1500244140625,619.9000244140625,570.2000122070312,619.9000244140625,67999,2025-06-30
2025-07-07,655.5,655.5,688.0999755859375,600.0,600.0,131952,2025-07-07
2025-07-14,656.5499877929688,656.5499877929688,670.0,630.0,669.0,15666,2025-07-14
