Date,Adj Close_PTCIL.NS,Close_PTCIL.NS,High_PTCIL.NS,Low_PTCIL.NS,Open_PTCIL.NS,Volume_PTCIL.NS,Date
2024-01-08,6931.89990234375,6931.89990234375,7360.0,6748.0498046875,7170.0,41894,2024-01-08
2024-01-15,7095.10009765625,7095.10009765625,7682.5498046875,6852.0,6931.89990234375,93831,2024-01-15
2024-01-22,7009.89990234375,7009.89990234375,7195.0,6835.25,7095.10009765625,13472,2024-01-22
2024-01-29,8143.5498046875,8143.5498046875,8443.4501953125,6980.0,7099.0,71326,2024-01-29
2024-02-05,8609.0,8609.0,9540.0,7931.10009765625,8147.5498046875,130178,2024-02-05
2024-02-12,8418.150390625,8418.150390625,9000.0,8090.0,9000.0,37773,2024-02-12
2024-02-19,8347.9501953125,8347.9501953125,8674.150390625,8058.89990234375,8544.400390625,22040,2024-02-19
2024-02-26,8496.650390625,8496.650390625,8888.0,8050.0,8340.0,54579,2024-02-26
2024-03-04,8120.39990234375,8120.39990234375,8462.2001953125,8020.2998046875,8344.2998046875,110810,2024-03-04
2024-03-11,7844.2001953125,7844.2001953125,8273.099609375,7100.0498046875,8179.0,43766,2024-03-11
2024-03-18,7630.35009765625,7630.35009765625,8099.0,7500.0,7808.2998046875,21296,2024-03-18
2024-03-25,7334.14990234375,7334.14990234375,7713.14990234375,7222.4501953125,7630.35009765625,23189,2024-03-25
2024-04-01,7789.14990234375,7789.14990234375,7900.0,7466.5498046875,7480.0,26169,2024-04-01
2024-04-08,7533.85009765625,7533.85009765625,7890.0,7421.2998046875,7700.0,12971,2024-04-08
2024-04-15,7661.35009765625,7661.35009765625,8383.849609375,7300.0,7531.0498046875,76584,2024-04-15
2024-04-22,7677.60009765625,7677.60009765625,7987.0,7450.0,7709.39990234375,42787,2024-04-22
2024-04-29,7648.85009765625,7648.85009765625,8044.4501953125,7619.14990234375,8044.4501953125,23165,2024-04-29
2024-05-06,7326.75,7326.75,7768.10009765625,7174.39990234375,7694.5498046875,49587,2024-05-06
2024-05-13,7449.89990234375,7449.89990234375,7500.0,7149.60009765625,7400.0,22512,2024-05-13
2024-05-20,8134.9501953125,8134.9501953125,8477.849609375,7351.0,7416.60009765625,87084,2024-05-20
2024-05-27,8379.599609375,8379.599609375,8665.5498046875,7680.0,8183.75,159666,2024-05-27
2024-06-03,10934.7001953125,10934.7001953125,11300.0,8000.0,8599.0,584326,2024-06-03
2024-06-10,14729.599609375,14729.599609375,14930.9501953125,10605.0,11101.0,159462,2024-06-10
2024-06-17,13504.2001953125,13504.2001953125,15240.0,12960.0,14729.599609375,71369,2024-06-17
2024-06-24,13742.2998046875,13742.2998046875,14150.0,12702.0,13200.0,59523,2024-06-24
2024-07-01,14789.099609375,14789.099609375,15299.900390625,13310.099609375,13949.9501953125,78412,2024-07-01
2024-07-08,14547.849609375,14547.849609375,15702.099609375,13369.0,14800.0,93565,2024-07-08
2024-07-15,13721.5,13721.5,14990.0,13530.4501953125,14950.0,37853,2024-07-15
2024-07-22,13990.7001953125,13990.7001953125,14190.0,13150.0,13500.0,23959,2024-07-22
2024-07-29,13928.599609375,13928.599609375,14399.900390625,13325.0,14050.0,29715,2024-07-29
2024-08-05,14294.5,14294.5,14544.0,12717.4501953125,13500.0,38096,2024-08-05
2024-08-12,14064.0498046875,14064.0498046875,14489.900390625,13400.0,14489.900390625,16106,2024-08-12
2024-08-19,13360.0,13360.0,14063.0,13001.0,14063.0,19367,2024-08-19
2024-08-26,14863.4501953125,14863.4501953125,15344.0,13499.0,13500.0,47765,2024-08-26
2024-09-02,14093.0498046875,14093.0498046875,14925.0,13910.0,14925.0,36308,2024-09-02
2024-09-09,14260.400390625,14260.400390625,14524.0,13700.0,13956.5,36716,2024-09-09
2024-09-16,13749.5498046875,13749.5498046875,14750.0,13201.0,14298.900390625,219428,2024-09-16
2024-09-23,13520.0,13520.0,13652.349609375,12900.0,13600.0,24980,2024-09-23
2024-09-30,13975.2998046875,13975.2998046875,14440.0,13300.0,13798.0,49565,2024-09-30
2024-10-07,13351.7998046875,13351.7998046875,14076.099609375,13201.0,13595.0,29694,2024-10-07
2024-10-14,12950.0,12950.0,14040.0,12799.5,13351.7998046875,54737,2024-10-14
2024-10-21,11854.349609375,11854.349609375,13597.5,11224.0498046875,13595.0,69634,2024-10-21
2024-10-28,11953.75,11953.75,12599.0,11600.099609375,12180.0,65633,2024-10-28
2024-11-04,11647.25,11647.25,12386.2998046875,11388.7001953125,11821.0,42564,2024-11-04
2024-11-11,11066.75,11066.75,11950.0,10600.0,11555.0,63056,2024-11-11
2024-11-18,11888.099609375,11888.099609375,12200.0,11001.0,11300.0,82150,2024-11-18
2024-11-25,11968.599609375,11968.599609375,12398.0,11605.2998046875,12200.0,100171,2024-11-25
2024-12-02,11600.2998046875,11600.2998046875,12099.900390625,11550.099609375,11968.599609375,76589,2024-12-02
2024-12-09,11550.599609375,11550.599609375,11899.9501953125,11184.0,11623.0,57498,2024-12-09
2024-12-16,11595.7001953125,11595.7001953125,11799.900390625,11252.099609375,11351.0498046875,80635,2024-12-16
2024-12-23,13530.7998046875,13530.7998046875,13583.650390625,11349.099609375,11800.0,188534,2024-12-23
2024-12-30,14404.2998046875,14404.2998046875,14628.0,13101.099609375,13999.7001953125,141866,2024-12-30
2025-01-06,17083.150390625,17083.150390625,17995.0,14400.0,14490.0,303107,2025-01-06
2025-01-13,16574.900390625,16574.900390625,17800.0,16229.0,17200.0,90163,2025-01-13
2025-01-20,15473.2001953125,15473.2001953125,16741.75,14525.099609375,16420.0,93803,2025-01-20
2025-01-27,14748.0,14748.0,15549.9501953125,13421.849609375,15500.0498046875,81340,2025-01-27
2025-02-03,14173.4501953125,14173.4501953125,14998.9501953125,14025.0,14700.0,28523,2025-02-03
2025-02-10,13083.349609375,13083.349609375,14687.5498046875,12802.0,14173.400390625,58226,2025-02-10
2025-02-17,10350.349609375,10350.349609375,13083.349609375,9756.2998046875,13020.0,200581,2025-02-17
2025-02-24,10204.7998046875,10204.7998046875,10610.0,9799.900390625,10400.0,57085,2025-02-24
2025-03-03,12276.4501953125,12276.4501953125,12504.5498046875,9950.0,10298.0,68398,2025-03-03
2025-03-10,12126.9501953125,12126.9501953125,12890.25,11651.0,12500.0,64956,2025-03-10
2025-03-17,13211.900390625,13211.900390625,13212.0498046875,12126.9501953125,12126.9501953125,69927,2025-03-17
2025-03-24,14944.650390625,14944.650390625,15180.0,13382.0,13476.2001953125,90869,2025-03-24
2025-03-31,13797.25,13797.25,15076.4501953125,13400.0,14944.650390625,40208,2025-03-31
2025-04-07,13273.0,13273.0,13988.0,12417.5498046875,12417.5498046875,58141,2025-04-07
2025-04-14,14416.0,14416.0,15000.0,13273.0,13273.0,40152,2025-04-14
2025-04-21,13601.0,13601.0,14622.0,12962.0,14600.0,40524,2025-04-21
2025-04-28,12874.0,12874.0,14120.0,12591.0,13500.0,38937,2025-04-28
2025-05-05,12286.0,12286.0,13220.0,11902.0,13220.0,79547,2025-05-05
2025-05-12,14269.0,14269.0,14900.0,12607.0,13200.0,169433,2025-05-12
2025-05-19,15425.0,15425.0,15800.0,13780.0,14600.0,156470,2025-05-19
2025-05-26,15299.0,15299.0,15900.0,14800.0,15423.0,84430,2025-05-26
2025-06-02,14604.0,14604.0,15524.0,14486.0,15300.0,70741,2025-06-02
2025-06-09,15277.0,15277.0,15850.0,14251.0,14604.0,145183,2025-06-09
2025-06-16,14065.0,14065.0,15787.0,13862.0,15289.0,146851,2025-06-16
2025-06-23,15067.0,15067.0,15238.0,13911.0,14065.0,130922,2025-06-23
2025-06-30,14898.0,14898.0,15818.0,14612.0,15080.0,128121,2025-06-30
2025-07-07,14405.0,14405.0,14937.0,13970.0,14899.0,77567,2025-07-07
2025-07-14,14558.0,14558.0,14688.0,14099.0,14405.0,34967,2025-07-14
