Date,Adj Close_FAZE3Q.NS,Close_FAZE3Q.NS,High_FAZE3Q.NS,Low_FAZE3Q.NS,Open_FAZE3Q.NS,Volume_FAZE3Q.NS,Date
2024-08-26,491.54998779296875,491.54998779296875,520.0,486.0,514.4000244140625,150360,2024-08-26
2024-09-02,478.8999938964844,478.8999938964844,506.45001220703125,475.25,490.95001220703125,75706,2024-09-02
2024-09-09,472.5,472.5,491.95001220703125,463.70001220703125,485.0,106113,2024-09-09
2024-09-16,476.1000061035156,476.1000061035156,490.0,451.1499938964844,470.0,104038,2024-09-16
2024-09-23,463.54998779296875,463.54998779296875,487.5,460.20001220703125,476.8999938964844,50037,2024-09-23
2024-09-30,483.6499938964844,483.6499938964844,504.6000061035156,439.0,466.79998779296875,283574,2024-09-30
2024-10-07,441.25,441.25,483.6499938964844,430.0,483.6499938964844,110408,2024-10-07
2024-10-14,434.04998779296875,434.04998779296875,452.04998779296875,431.1499938964844,445.0,67772,2024-10-14
2024-10-21,394.0,394.0,443.70001220703125,391.3500061035156,440.54998779296875,61939,2024-10-21
2024-10-28,421.95001220703125,421.95001220703125,440.0,388.3999938964844,392.0,57235,2024-10-28
2024-11-04,411.1000061035156,411.1000061035156,429.0,397.5,429.0,61981,2024-11-04
2024-11-11,394.0,394.0,409.54998779296875,366.04998779296875,402.3500061035156,78816,2024-11-11
2024-11-18,396.6000061035156,396.6000061035156,408.95001220703125,378.75,394.0,45036,2024-11-18
2024-11-25,413.95001220703125,413.95001220703125,420.04998779296875,391.04998779296875,396.0,43643,2024-11-25
2024-12-02,437.70001220703125,437.70001220703125,441.0,407.0,407.0,46441,2024-12-02
2024-12-09,430.8500061035156,430.8500061035156,458.0,421.6499938964844,443.8500061035156,78358,2024-12-09
2024-12-16,444.6499938964844,444.6499938964844,459.0,425.1000061035156,426.1000061035156,117016,2024-12-16
2024-12-23,437.1000061035156,437.1000061035156,461.20001220703125,420.04998779296875,450.45001220703125,37699,2024-12-23
2024-12-30,433.5,433.5,448.75,402.3999938964844,438.8500061035156,43736,2024-12-30
2025-01-06,402.0,402.0,435.54998779296875,391.79998779296875,433.5,43165,2025-01-06
2025-01-13,416.3500061035156,416.3500061035156,438.0,383.5,402.8500061035156,60125,2025-01-13
2025-01-20,392.04998779296875,392.04998779296875,420.75,386.3500061035156,419.8500061035156,31913,2025-01-20
2025-01-27,396.04998779296875,396.04998779296875,413.8999938964844,350.3500061035156,385.04998779296875,68843,2025-01-27
2025-02-03,403.3500061035156,403.3500061035156,428.5,385.0,395.1499938964844,41701,2025-02-03
2025-02-10,360.0,360.0,410.04998779296875,352.0,403.0,98075,2025-02-10
2025-02-17,348.6000061035156,348.6000061035156,365.0,336.6000061035156,365.0,58332,2025-02-17
2025-02-24,329.3500061035156,329.3500061035156,353.95001220703125,319.0,351.45001220703125,46681,2025-02-24
2025-03-03,366.0,366.0,408.54998779296875,317.75,321.1499938964844,106344,2025-03-03
2025-03-10,361.1499938964844,361.1499938964844,380.0,348.04998779296875,365.0,38810,2025-03-10
2025-03-17,356.5,356.5,387.8500061035156,340.3500061035156,366.5,72314,2025-03-17
2025-03-24,346.79998779296875,346.79998779296875,391.45001220703125,345.3500061035156,361.75,134228,2025-03-24
2025-03-31,411.8999938964844,411.8999938964844,425.0,346.79998779296875,346.79998779296875,197469,2025-03-31
2025-04-07,450.29998779296875,450.29998779296875,479.0,342.04998779296875,342.04998779296875,588156,2025-04-07
2025-04-14,479.70001220703125,479.70001220703125,498.70001220703125,446.3999938964844,460.5,275711,2025-04-14
2025-04-21,500.8999938964844,500.8999938964844,539.9000244140625,465.5,484.79998779296875,608727,2025-04-21
2025-04-28,475.0,475.0,517.4500122070312,465.3500061035156,490.25,132898,2025-04-28
2025-05-05,598.8499755859375,598.8499755859375,604.0,475.20001220703125,481.5,739159,2025-05-05
2025-05-12,623.5999755859375,623.5999755859375,641.0,589.5,613.0,333119,2025-05-12
2025-05-19,645.3499755859375,645.3499755859375,663.9000244140625,617.9000244140625,624.5,261811,2025-05-19
2025-05-26,551.75,551.75,655.0,547.5,655.0,416442,2025-05-26
2025-06-02,586.0999755859375,586.0999755859375,599.9000244140625,538.0499877929688,551.9000244140625,260619,2025-06-02
2025-06-09,562.5,562.5,600.0,532.3499755859375,588.7999877929688,228371,2025-06-09
2025-06-16,556.9500122070312,556.9500122070312,575.9500122070312,542.3499755859375,564.0999755859375,140163,2025-06-16
2025-06-23,582.5,582.5,595.9500122070312,540.3499755859375,554.1500244140625,175015,2025-06-23
2025-06-30,598.4500122070312,598.4500122070312,649.9500122070312,584.0,586.0,597099,2025-06-30
2025-07-07,647.0499877929688,647.0499877929688,660.0,582.2999877929688,589.4500122070312,703448,2025-07-07
2025-07-14,707.0999755859375,707.0999755859375,746.7000122070312,635.3499755859375,653.4500122070312,744517,2025-07-14
