Date,Adj Close_ITDCEM.NS,Close_ITDCEM.NS,High_ITDCEM.NS,Low_ITDCEM.NS,Open_ITDCEM.NS,Volume_ITDCEM.NS,Date
2022-09-26,113.02649688720703,113.80000305175781,115.6500015258789,103.4000015258789,112.4000015258789,6451480,2022-09-26
2022-10-03,113.02649688720703,113.80000305175781,116.4000015258789,108.5,113.80000305175781,3111452,2022-10-03
2022-10-10,118.2408218383789,119.05000305175781,123.4000015258789,112.0,112.0,8460958,2022-10-10
2022-10-17,123.75308990478516,124.5999984741211,127.4000015258789,117.0999984741211,118.6500015258789,8642241,2022-10-17
2022-10-24,119.63129425048828,120.44999694824219,126.9000015258789,118.0999984741211,126.5,3108239,2022-10-24
2022-10-31,125.83881378173828,126.69999694824219,127.8499984741211,117.0999984741211,120.0,7378283,2022-10-31
2022-11-07,115.41018676757812,116.19999694824219,129.5,110.5,128.0,6547946,2022-11-07
2022-11-14,111.93396759033203,112.69999694824219,118.80000305175781,111.44999694824219,116.69999694824219,4051331,2022-11-14
2022-11-21,117.3965835571289,118.19999694824219,119.6500015258789,112.4000015258789,113.44999694824219,3083811,2022-11-21
2022-11-28,121.66736602783203,122.5,126.5999984741211,117.0999984741211,117.0999984741211,6895614,2022-11-28
2022-12-05,135.17494201660156,136.10000610351562,140.39999389648438,122.5,123.3499984741211,11095026,2022-12-05
2022-12-12,131.7483673095703,132.64999389648438,147.0,131.60000610351562,135.39999389648438,7767580,2022-12-12
2022-12-19,111.78499603271484,112.55000305175781,134.0,111.05000305175781,132.64999389648438,5527128,2022-12-19
2022-12-26,118.29047393798828,119.0999984741211,124.05000305175781,111.0999984741211,114.69999694824219,3482007,2022-12-26
2023-01-02,120.47552490234375,121.30000305175781,127.30000305175781,118.5,118.5,2785049,2023-01-02
2023-01-09,123.10750579833984,123.94999694824219,126.0,120.55000305175781,122.0,2806919,2023-01-09
2023-01-16,124.29935455322266,125.1500015258789,128.5500030517578,122.80000305175781,124.80000305175781,3328517,2023-01-16
2023-01-23,106.02442169189453,106.75,128.4499969482422,105.6500015258789,126.30000305175781,4818301,2023-01-23
2023-01-30,100.76044464111328,101.44999694824219,113.80000305175781,98.3499984741211,108.19999694824219,9125489,2023-01-30
2023-02-06,105.776123046875,106.5,110.94999694824219,101.0,101.0,5337107,2023-02-06
2023-02-13,103.24344635009766,103.94999694824219,109.44999694824219,103.69999694824219,107.44999694824219,3189542,2023-02-13
2023-02-20,97.6318588256836,98.30000305175781,105.25,97.8499984741211,104.0,2305041,2023-02-20
2023-02-27,105.92510223388672,106.6500015258789,108.9000015258789,93.19999694824219,98.44999694824219,4629702,2023-02-27
2023-03-06,111.93396759033203,112.69999694824219,116.19999694824219,107.19999694824219,108.0,4794940,2023-03-06
2023-03-13,106.22306060791016,106.94999694824219,114.0,103.5999984741211,113.19999694824219,3550754,2023-03-13
2023-03-20,102.00194549560547,102.69999694824219,108.0,101.55000305175781,106.05000305175781,2283887,2023-03-20
2023-03-27,103.6407241821289,104.3499984741211,106.0,96.9000015258789,103.0,2521720,2023-03-27
2023-04-03,110.99043273925781,111.75,113.05000305175781,105.0,105.0,1822992,2023-04-03
2023-04-10,110.64280700683594,111.4000015258789,114.19999694824219,108.69999694824219,111.75,1938578,2023-04-10
2023-04-17,112.7285385131836,113.5,118.44999694824219,108.0,111.3499984741211,4220785,2023-04-17
2023-04-24,122.80955505371094,123.6500015258789,126.0,113.44999694824219,114.05000305175781,7025151,2023-04-24
2023-05-01,126.73270416259766,127.5999984741211,136.10000610351562,122.3499984741211,123.6500015258789,4753807,2023-05-01
2023-05-08,132.14564514160156,133.0500030517578,136.8000030517578,126.0,128.6999969482422,4305503,2023-05-08
2023-05-15,148.08656311035156,149.10000610351562,156.3000030517578,130.35000610351562,133.60000610351562,11260829,2023-05-15
2023-05-22,148.2355499267578,149.25,155.4499969482422,143.5,150.4499969482422,6409752,2023-05-22
2023-05-29,167.85130310058594,169.0,170.0,145.4499969482422,151.5,11579561,2023-05-29
2023-06-05,159.60772705078125,160.6999969482422,172.10000610351562,160.0,169.8000030517578,5911253,2023-06-05
