Date,Adj Close_PIXTRANS.NS,Close_PIXTRANS.NS,High_PIXTRANS.NS,Low_PIXTRANS.NS,Open_PIXTRANS.NS,Volume_PIXTRANS.NS,Date
2022-12-12,866.849609375,876.0499877929688,907.3499755859375,870.0,897.9000244140625,47144,2022-12-12
2022-12-19,791.3509521484375,799.75,890.9500122070312,783.5,884.7999877929688,63678,2022-12-19
2022-12-26,848.4944458007812,857.5,892.0,788.0,797.0,107635,2022-12-26
2023-01-02,830.7824096679688,839.5999755859375,878.7999877929688,832.0,866.0999755859375,31970,2023-01-02
2023-01-09,798.7721557617188,807.25,854.9000244140625,802.2000122070312,852.2000122070312,60268,2023-01-09
2023-01-16,785.76025390625,794.0999755859375,829.75,791.5499877929688,812.0,29923,2023-01-16
2023-01-23,752.4142456054688,760.4000244140625,794.0,748.0999755859375,790.2000122070312,51604,2023-01-23
2023-01-30,716.1491088867188,723.75,760.0,702.0,760.0,93129,2023-01-30
2023-02-06,778.9328002929688,787.2000122070312,798.0,718.9000244140625,723.75,46163,2023-02-06
2023-02-13,748.25830078125,756.2000122070312,792.9500122070312,734.5,775.0,69099,2023-02-13
2023-02-20,767.5040893554688,775.6500244140625,796.0,750.1500244140625,762.0,44572,2023-02-20
2023-02-27,724.015625,731.7000122070312,779.9500122070312,718.0,776.0999755859375,56810,2023-02-27
2023-03-06,754.4426879882812,762.4500122070312,770.9000244140625,730.0,732.5,39676,2023-03-06
2023-03-13,736.8790893554688,744.7000122070312,770.0,717.2000122070312,770.0,77379,2023-03-13
2023-03-20,767.0587768554688,775.2000122070312,784.0499877929688,735.2999877929688,742.2999877929688,58591,2023-03-20
2023-03-27,752.5626220703125,760.5499877929688,784.0,728.0499877929688,763.5499877929688,77506,2023-03-27
2023-04-03,788.0856323242188,796.4500122070312,802.0,758.0999755859375,764.3499755859375,74421,2023-04-03
2023-04-10,791.2520141601562,799.6500244140625,834.7000122070312,792.8499755859375,796.4500122070312,70817,2023-04-10
2023-04-17,771.8577880859375,780.0499877929688,817.0,772.8499755859375,799.6500244140625,59670,2023-04-17
2023-04-24,798.7227172851562,807.2000122070312,814.4000244140625,769.75,780.0499877929688,62832,2023-04-24
2023-05-01,799.5637817382812,808.0499877929688,827.5,776.0499877929688,807.2000122070312,103269,2023-05-01
2023-05-08,831.8214111328125,840.6500244140625,845.0,753.5,815.0,250023,2023-05-08
2023-05-15,923.5477905273438,933.3499755859375,939.0,870.0,875.0,402297,2023-05-15
2023-05-22,976.8817749023438,987.25,999.9500122070312,914.0,934.7999877929688,189102,2023-05-22
2023-05-29,985.2430419921875,995.7000122070312,1022.9000244140625,936.0,977.0,147153,2023-05-29
2023-06-05,958.0318603515625,968.2000122070312,1002.7000122070312,911.0,1002.7000122070312,275472,2023-06-05
2023-06-12,917.1160888671875,926.8499755859375,971.75,919.25,970.0,166961,2023-06-12
2023-06-19,916.769775390625,926.5,939.0,919.3499755859375,927.0,124102,2023-06-19
2023-06-26,915.5823364257812,925.2999877929688,975.25,919.25,925.0,152532,2023-06-26
2023-07-03,934.3828125,944.2999877929688,958.0,915.0,929.9000244140625,167665,2023-07-03
2023-07-10,1191.405029296875,1204.050048828125,1204.050048828125,936.5499877929688,944.2999877929688,855815,2023-07-10
2023-07-17,1225.5074462890625,1230.8499755859375,1358.800048828125,1171.199951171875,1275.0,1273077,2023-07-17
2023-07-24,1375.0057373046875,1381.0,1425.0,1219.4000244140625,1235.0,525347,2023-07-24
2023-07-31,1491.9459228515625,1498.449951171875,1519.800048828125,1360.0,1360.0,343116,2023-07-31
2023-08-07,1363.60546875,1369.550048828125,1568.949951171875,1319.0999755859375,1501.1500244140625,277508,2023-08-07
2023-08-14,1189.1658935546875,1194.3499755859375,1284.949951171875,1175.0,1260.0,176157,2023-08-14
2023-08-21,1145.6556396484375,1150.6500244140625,1232.0,1145.0,1200.949951171875,122758,2023-08-21
2023-08-28,1179.6075439453125,1184.75,1248.199951171875,1144.4000244140625,1146.6500244140625,155051,2023-08-28
2023-09-04,1169.103271484375,1174.199951171875,1217.0,1165.0,1217.0,65508,2023-09-04
2023-09-11,1102.8919677734375,1107.699951171875,1199.0,1074.949951171875,1184.199951171875,111095,2023-09-11
2023-09-18,1088.0068359375,1092.75,1115.6500244140625,1056.4000244140625,1110.0,51030,2023-09-18
2023-09-25,1184.984130859375,1190.1500244140625,1220.0,1060.0,1085.0,210272,2023-09-25
2023-10-02,1196.63330078125,1201.8499755859375,1249.5,1159.050048828125,1190.1500244140625,169148,2023-10-02
2023-10-09,1217.9404296875,1223.25,1277.8499755859375,1160.75,1196.949951171875,131850,2023-10-09
2023-10-16,1226.1546630859375,1231.5,1268.300048828125,1210.0,1241.0,56501,2023-10-16
2023-10-23,1156.30908203125,1161.3499755859375,1235.0,1127.5,1231.5,95665,2023-10-23
2023-10-30,1085.716796875,1090.449951171875,1195.050048828125,1028.1500244140625,1161.25,244403,2023-10-30
2023-11-06,1095.0760498046875,1099.8499755859375,1150.949951171875,1086.0999755859375,1093.699951171875,50175,2023-11-06
2023-11-13,1248.5072021484375,1253.949951171875,1392.0,1249.0,1311.0,361640,2023-11-13
2023-11-20,1295.900634765625,1301.550048828125,1371.0,1224.050048828125,1279.949951171875,194113,2023-11-20
2023-11-27,1397.3084716796875,1403.4000244140625,1431.300048828125,1289.949951171875,1301.550048828125,170995,2023-11-27
2023-12-04,1314.6688232421875,1320.4000244140625,1463.0,1310.0,1424.0,128501,2023-12-04
2023-12-11,1375.5035400390625,1381.5,1488.9000244140625,1300.0,1302.0,283297,2023-12-11
2023-12-18,1360.867431640625,1366.800048828125,1440.1500244140625,1315.0,1369.0,67293,2023-12-18
2023-12-25,1286.939697265625,1292.550048828125,1386.800048828125,1261.0,1366.800048828125,41734,2023-12-25
2024-01-01,1308.79443359375,1314.5,1344.9000244140625,1291.0,1300.0,45185,2024-01-01
2024-01-08,1288.1343994140625,1293.75,1325.0,1244.5,1325.0,74021,2024-01-08
2024-01-15,1251.693359375,1257.1500244140625,1300.949951171875,1236.0,1293.75,49164,2024-01-15
2024-01-22,1256.173828125,1261.6500244140625,1299.0,1229.5,1257.1500244140625,32739,2024-01-22
2024-01-29,1266.5286865234375,1272.050048828125,1298.0,1250.0,1261.6500244140625,38136,2024-01-29
2024-02-05,1279.073974609375,1284.6500244140625,1370.0,1233.699951171875,1275.0,134622,2024-02-05
2024-02-12,1296.1495361328125,1301.800048828125,1390.0,1255.0,1371.050048828125,107966,2024-02-12
2024-02-19,1332.839599609375,1338.6500244140625,1349.0,1250.0,1301.800048828125,139100,2024-02-19
2024-02-26,1371.8197021484375,1377.800048828125,1524.8499755859375,1351.699951171875,1360.0,275263,2024-02-26
2024-03-04,1313.32470703125,1319.050048828125,1404.949951171875,1281.050048828125,1386.449951171875,73552,2024-03-04
2024-03-11,1279.72119140625,1285.300048828125,1385.0,1245.0,1334.949951171875,106759,2024-03-11
2024-03-18,1294.9547119140625,1300.5999755859375,1355.550048828125,1252.0,1266.0,43374,2024-03-18
2024-03-25,1328.5084228515625,1334.300048828125,1384.0,1285.300048828125,1300.5999755859375,66914,2024-03-25
2024-04-01,1477.658203125,1484.0999755859375,1570.0,1334.3499755859375,1334.3499755859375,415227,2024-04-01
2024-04-08,1392.529296875,1398.5999755859375,1510.0,1380.0,1495.050048828125,76824,2024-04-08
2024-04-15,1341.651123046875,1347.5,1406.949951171875,1330.1500244140625,1355.0,53745,2024-04-15
2024-04-22,1381.1290283203125,1387.1500244140625,1461.25,1355.199951171875,1370.0,71139,2024-04-22
2024-04-29,1322.3851318359375,1328.1500244140625,1405.0,1311.3499755859375,1400.0,38603,2024-04-29
2024-05-06,1295.751220703125,1301.4000244140625,1341.699951171875,1280.800048828125,1335.0,45125,2024-05-06
2024-05-13,1352.3544921875,1358.25,1368.0,1280.0,1294.0,42782,2024-05-13
2024-05-20,1376.3001708984375,1382.300048828125,1480.0999755859375,1329.699951171875,1329.699951171875,140361,2024-05-20
2024-05-27,1306.8031005859375,1312.5,1395.0,1243.300048828125,1384.949951171875,170995,2024-05-27
2024-06-03,1295.35302734375,1301.0,1335.0,1185.0,1335.0,123219,2024-06-03
2024-06-10,1297.8421630859375,1303.5,1358.0,1277.949951171875,1319.949951171875,109970,2024-06-10
2024-06-17,1316.560546875,1322.300048828125,1338.800048828125,1294.6500244140625,1303.5,75948,2024-06-17
2024-06-24,1375.5533447265625,1381.550048828125,1586.0,1300.25,1321.949951171875,680611,2024-06-24
2024-07-01,1416.6243896484375,1422.800048828125,1449.9000244140625,1348.5999755859375,1376.1500244140625,180401,2024-07-01
2024-07-08,1426.0333251953125,1432.25,1550.0,1333.25,1443.9000244140625,405283,2024-07-08
2024-07-15,1486.4200439453125,1492.9000244140625,1710.0,1441.0,1446.550048828125,1830193,2024-07-15
2024-07-22,1625.5,1625.5,1722.25,1460.550048828125,1488.0,414553,2024-07-22
2024-07-29,1528.0,1528.0,1670.949951171875,1509.25,1641.949951171875,150596,2024-07-29
2024-08-05,1505.199951171875,1505.199951171875,1560.199951171875,1446.0999755859375,1499.949951171875,250554,2024-08-05
2024-08-12,1546.6500244140625,1546.6500244140625,1730.9000244140625,1487.449951171875,1640.0,432485,2024-08-12
2024-08-19,1463.75,1463.75,1593.8499755859375,1451.0999755859375,1550.0,264343,2024-08-19
2024-08-26,1501.550048828125,1501.550048828125,1516.0,1414.4000244140625,1463.75,265887,2024-08-26
2024-09-02,1506.25,1506.25,1567.949951171875,1465.0,1510.0,412545,2024-09-02
2024-09-09,1526.949951171875,1526.949951171875,1549.9000244140625,1422.0,1507.0,623823,2024-09-09
2024-09-16,1556.800048828125,1556.800048828125,1728.0,1488.949951171875,1550.0,3057289,2024-09-16
2024-09-23,1565.4000244140625,1565.4000244140625,1689.0,1520.0,1556.800048828125,836558,2024-09-23
2024-09-30,1561.0,1561.0,1718.0,1538.6500244140625,1660.0,1071342,2024-09-30
2024-10-07,1530.0,1530.0,1597.0,1458.199951171875,1564.0,383716,2024-10-07
2024-10-14,1544.050048828125,1544.050048828125,1614.0,1504.0,1535.5999755859375,291758,2024-10-14
2024-10-21,1418.1500244140625,1418.1500244140625,1590.4000244140625,1375.5999755859375,1530.0,383246,2024-10-21
2024-10-28,1613.449951171875,1613.449951171875,1624.0,1398.0,1411.0999755859375,353554,2024-10-28
2024-11-04,1683.0,1683.0,1699.9000244140625,1582.050048828125,1600.0,671521,2024-11-04
2024-11-11,2157.10009765625,2157.10009765625,2275.0,1912.0,2019.5999755859375,2141032,2024-11-11
2024-11-18,2393.5,2393.5,2425.0,2113.300048828125,2156.0,886220,2024-11-18
2024-11-25,2545.449951171875,2545.449951171875,2690.0,2272.0,2447.949951171875,2569794,2024-11-25
2024-12-02,2689.5,2689.5,2799.949951171875,2486.35009765625,2577.699951171875,763825,2024-12-02
2024-12-09,2499.449951171875,2499.449951171875,2774.89990234375,2355.89990234375,2689.0,276791,2024-12-09
2024-12-16,2390.64990234375,2390.64990234375,2548.89990234375,2340.199951171875,2534.800048828125,170423,2024-12-16
2024-12-23,2424.35009765625,2424.35009765625,2489.199951171875,2345.0,2390.64990234375,105694,2024-12-23
2024-12-30,2518.949951171875,2518.949951171875,2571.949951171875,2349.89990234375,2448.0,121922,2024-12-30
2025-01-06,2255.300048828125,2255.300048828125,2549.0,2235.89990234375,2500.050048828125,144391,2025-01-06
2025-01-13,2073.0,2073.0,2247.0,2032.5,2201.10009765625,180818,2025-01-13
2025-01-20,2007.5,2007.5,2150.0,1970.0999755859375,2036.0,76965,2025-01-20
2025-01-27,2052.10009765625,2052.10009765625,2174.89990234375,1840.0,2007.5,188557,2025-01-27
2025-02-03,2113.10009765625,2113.10009765625,2199.10009765625,1980.0,2049.75,69857,2025-02-03
2025-02-10,1812.199951171875,1812.199951171875,2114.35009765625,1773.5,2109.050048828125,83397,2025-02-10
2025-02-17,1468.800048828125,1468.800048828125,1637.0,1382.449951171875,1460.050048828125,480396,2025-02-17
2025-02-24,1428.550048828125,1428.550048828125,1485.0,1398.0,1450.0,91384,2025-02-24
2025-03-03,1562.949951171875,1562.949951171875,1595.0,1399.0,1412.25,166255,2025-03-03
2025-03-10,1583.3499755859375,1583.3499755859375,1659.0,1445.0,1578.5999755859375,159877,2025-03-10
2025-03-17,1763.1500244140625,1763.1500244140625,1781.4000244140625,1528.6500244140625,1583.3499755859375,147317,2025-03-17
2025-03-24,1631.800048828125,1631.800048828125,1799.5999755859375,1582.550048828125,1771.699951171875,156795,2025-03-24
2025-03-31,1500.1500244140625,1500.1500244140625,1666.1500244140625,1464.050048828125,1631.800048828125,97832,2025-03-31
2025-04-07,1516.0999755859375,1516.0999755859375,1555.0,1361.5,1450.0,96056,2025-04-07
2025-04-14,1525.5999755859375,1525.5999755859375,1570.0,1516.0999755859375,1516.0999755859375,66784,2025-04-14
2025-04-21,1477.0,1477.0,1580.0,1438.199951171875,1542.0,152415,2025-04-21
2025-04-28,1528.199951171875,1528.199951171875,1637.0,1421.699951171875,1477.0,178535,2025-04-28
2025-05-05,1492.300048828125,1492.300048828125,1617.0,1437.0,1537.199951171875,144980,2025-05-05
2025-05-12,1707.0999755859375,1707.0999755859375,1752.0,1520.0999755859375,1521.0,132824,2025-05-12
2025-05-19,1732.699951171875,1732.699951171875,1773.9000244140625,1680.0999755859375,1720.800048828125,128652,2025-05-19
2025-05-26,1668.199951171875,1668.199951171875,1696.5,1520.0,1599.0,404369,2025-05-26
2025-06-02,1600.5999755859375,1600.5999755859375,1630.0,1501.0,1579.0999755859375,321734,2025-06-02
2025-06-09,1563.5999755859375,1563.5999755859375,1638.0,1550.0,1601.0,155073,2025-06-09
2025-06-16,1578.699951171875,1578.699951171875,1600.0,1529.699951171875,1569.9000244140625,117055,2025-06-16
2025-06-23,1596.5999755859375,1596.5999755859375,1618.0,1525.699951171875,1578.5999755859375,207419,2025-06-23
2025-06-30,1604.199951171875,1604.199951171875,1642.0999755859375,1567.5999755859375,1600.0,148115,2025-06-30
2025-07-07,1542.699951171875,1542.699951171875,1620.199951171875,1533.0,1620.0,121498,2025-07-07
2025-07-14,1548.5,1548.5,1578.199951171875,1533.0999755859375,1542.699951171875,66124,2025-07-14
