Date,Adj Close_EQUIPPP.NS,Close_EQUIPPP.NS,High_EQUIPPP.NS,Low_EQUIPPP.NS,Open_EQUIPPP.NS,Volume_EQUIPPP.NS,Date
2023-05-15,29.549999237060547,29.549999237060547,30.600000381469727,29.549999237060547,30.350000381469727,1238,2023-05-15
2023-05-22,28.100000381469727,28.100000381469727,29.0,28.100000381469727,29.0,3270,2023-05-22
2023-05-29,29.399999618530273,29.399999618530273,29.399999618530273,25.399999618530273,26.700000762939453,15184,2023-05-29
2023-06-05,27.100000381469727,27.100000381469727,32.25,27.100000381469727,30.850000381469727,33144,2023-06-05
2023-06-12,26.0,26.0,27.450000762939453,25.0,26.350000381469727,28009,2023-06-12
2023-06-19,30.450000762939453,30.450000762939453,31.25,25.0,26.950000762939453,63664,2023-06-19
2023-06-26,28.950000762939453,28.950000762939453,31.799999237060547,28.700000762939453,30.450000762939453,65775,2023-06-26
2023-07-03,27.5,27.5,29.350000381469727,26.549999237060547,29.0,15604,2023-07-03
2023-07-10,27.549999237060547,27.549999237060547,28.0,25.549999237060547,27.5,66363,2023-07-10
2023-07-17,26.950000762939453,26.950000762939453,27.950000762939453,26.25,27.950000762939453,18852,2023-07-17
2023-07-24,34.20000076293945,34.20000076293945,34.20000076293945,26.100000381469727,27.799999237060547,70003,2023-07-24
2023-07-31,35.900001525878906,35.900001525878906,35.900001525878906,33.5,35.900001525878906,28967,2023-07-31
2023-08-07,34.099998474121094,34.099998474121094,35.54999923706055,34.099998474121094,35.54999923706055,719,2023-08-07
2023-08-14,32.400001525878906,32.400001525878906,32.400001525878906,32.400001525878906,32.400001525878906,94,2023-08-14
2023-08-21,30.799999237060547,30.799999237060547,30.799999237060547,30.799999237060547,30.799999237060547,574,2023-08-21
2023-08-28,29.299999237060547,29.299999237060547,29.299999237060547,29.299999237060547,29.299999237060547,982,2023-08-28
2023-09-04,27.850000381469727,27.850000381469727,27.850000381469727,27.850000381469727,27.850000381469727,2191,2023-09-04
2023-09-11,26.450000762939453,26.450000762939453,27.200000762939453,26.450000762939453,27.200000762939453,11903,2023-09-11
2023-09-18,25.399999618530273,25.399999618530273,27.0,25.149999618530273,26.0,29027,2023-09-18
2023-09-25,26.649999618530273,26.649999618530273,26.649999618530273,24.149999618530273,25.299999237060547,28295,2023-09-25
2023-10-02,30.850000381469727,30.850000381469727,31.75,26.0,26.649999618530273,85452,2023-10-02
2023-10-09,27.899999618530273,27.899999618530273,30.950000762939453,26.5,29.5,51564,2023-10-09
2023-10-16,31.149999618530273,31.149999618530273,31.149999618530273,27.049999237060547,27.600000381469727,44311,2023-10-16
2023-10-23,25.450000762939453,25.450000762939453,29.600000381469727,25.450000762939453,29.600000381469727,104312,2023-10-23
2023-10-30,24.799999237060547,24.799999237060547,26.399999618530273,23.700000762939453,25.5,70498,2023-10-30
2023-11-06,25.549999237060547,25.549999237060547,26.5,24.049999237060547,25.75,61048,2023-11-06
2023-11-13,25.649999618530273,25.649999618530273,26.950000762939453,25.0,25.5,106863,2023-11-13
2023-11-20,26.100000381469727,26.100000381469727,26.549999237060547,24.600000381469727,25.549999237060547,63038,2023-11-20
2023-11-27,26.899999618530273,26.899999618530273,27.899999618530273,25.0,26.100000381469727,143126,2023-11-27
2023-12-04,29.049999237060547,29.049999237060547,29.049999237060547,25.549999237060547,26.850000381469727,570385,2023-12-04
2023-12-11,25.700000762939453,25.700000762939453,27.600000381469727,25.5,27.600000381469727,689560,2023-12-11
2023-12-18,27.0,27.0,28.899999618530273,25.5,26.0,445886,2023-12-18
2023-12-25,27.0,27.0,27.799999237060547,26.0,27.0,120638,2023-12-25
2024-01-01,28.450000762939453,28.450000762939453,28.5,26.0,27.0,376303,2024-01-01
2024-01-08,31.299999237060547,31.299999237060547,33.0,29.299999237060547,29.75,506970,2024-01-08
2024-01-15,30.700000762939453,30.700000762939453,31.5,29.0,31.299999237060547,151894,2024-01-15
2024-01-22,32.349998474121094,32.349998474121094,33.79999923706055,29.75,30.700000762939453,234978,2024-01-22
2024-01-29,32.650001525878906,32.650001525878906,33.70000076293945,30.799999237060547,32.79999923706055,303362,2024-01-29
2024-02-05,31.100000381469727,31.100000381469727,32.650001525878906,28.600000381469727,32.04999923706055,270910,2024-02-05
2024-02-12,28.899999618530273,28.899999618530273,31.399999618530273,28.399999618530273,31.100000381469727,83270,2024-02-12
2024-02-19,28.850000381469727,28.850000381469727,30.0,27.450000762939453,29.75,127748,2024-02-19
2024-02-26,28.100000381469727,28.100000381469727,29.899999618530273,27.049999237060547,28.0,138528,2024-02-26
2024-03-04,27.049999237060547,27.049999237060547,28.25,25.700000762939453,28.25,112995,2024-03-04
2024-03-11,27.0,27.0,27.700000762939453,23.450000762939453,26.049999237060547,149649,2024-03-11
2024-03-18,29.049999237060547,29.049999237060547,29.950000762939453,27.0,27.899999618530273,171821,2024-03-18
2024-03-25,29.649999618530273,29.649999618530273,30.5,27.899999618530273,29.049999237060547,115533,2024-03-25
2024-04-01,29.0,29.0,30.299999237060547,27.549999237060547,29.649999618530273,67034,2024-04-01
2024-04-08,29.399999618530273,29.399999618530273,29.799999237060547,27.100000381469727,29.0,131945,2024-04-08
2024-04-15,29.600000381469727,29.600000381469727,30.5,27.549999237060547,29.399999618530273,253623,2024-04-15
2024-04-22,35.349998474121094,35.349998474121094,36.25,28.649999618530273,30.200000762939453,375815,2024-04-22
2024-04-29,31.649999618530273,31.649999618530273,36.29999923706055,31.549999237060547,36.29999923706055,157296,2024-04-29
2024-05-06,29.899999618530273,29.899999618530273,32.400001525878906,29.149999618530273,30.649999618530273,58559,2024-05-06
2024-05-13,27.850000381469727,27.850000381469727,30.649999618530273,26.600000381469727,30.600000381469727,126898,2024-05-13
2024-05-20,26.649999618530273,26.649999618530273,28.5,26.399999618530273,27.950000762939453,80879,2024-05-20
2024-05-27,26.799999237060547,26.799999237060547,27.25,24.700000762939453,26.649999618530273,66133,2024-05-27
2024-06-03,26.299999237060547,26.299999237060547,28.100000381469727,24.850000381469727,26.0,117581,2024-06-03
2024-06-10,26.639999389648438,26.639999389648438,27.25,25.809999465942383,27.149999618530273,36002,2024-06-10
2024-06-17,26.059999465942383,26.059999465942383,27.0,25.010000228881836,26.639999389648438,71605,2024-06-17
2024-06-24,25.280000686645508,25.280000686645508,27.540000915527344,24.829999923706055,26.739999771118164,82529,2024-06-24
